dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH1_e26	GH1:27	-	-	461	CP065320.1_1356	475	6.8e-252	1	460	8	467	0.995661605206
GH43_e29	GH43_24:11	-	-	248	CP065320.1_1886	310	1.9e-135	1	248	24	268	0.995967741935
CE9_e9	CE9:9	-	-	356	CP065320.1_1911	370	1.5e-198	1	356	9	366	0.997191011236
CE9_e11	CE9:41	-	-	371	CP065320.1_1990	388	1.8e-187	1	370	6	375	0.99460916442
GH1_e115	GH1:2614	3.2.1.86:12|3.2.1.38:3|3.2.1.85:3|3.2.1.21:1|3.2.1.-:1	6-phospho-beta-D-glucoside, beta-D-fucosides, 6-phospho-beta-D-galactoside, beta-D-glucoside, rutin (polyphenol)	466	CP065320.1_2034	484	2.7e-213	2	466	9	481	0.995708154506
CE4_e196	CE4:10	-	-	117	CP065320.1_2066	255	2.4e-55	1	114	44	156	0.965811965812
GH38_e41	GH38:5	-	-	273	CP065320.1_2219	881	1.3e-200	1	273	6	278	0.996336996337
GH73_e65	GH73:28	-	-	116	CP065320.1_2384	495	1.7e-54	3	115	288	400	0.965517241379
GT4_e3889	GT4:44	-	-	145	CP065320.1_2657	383	2.2e-56	5	144	207	346	0.958620689655
GT2	GT2:26	-	-	185	CP065320.1_2659	318	3.8e-36	3	185	9	195	0.983783783784
GH1_e85	GH1:13226	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	6-phospho-beta-D-glucoside, beta-D-glucoside, beta-D-glucoside, beta-D-xyloside	470	CP065320.1_2864	484	1.1e-206	1	470	8	480	0.997872340426
GH1_e85	GH1:13226	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	6-phospho-beta-D-glucoside, beta-D-glucoside, beta-D-glucoside, beta-D-xyloside	470	CP065320.1_3196	492	1.5e-213	1	470	10	489	0.997872340426
GH1_e17	GH1:316	-	-	454	CP065320.1_3251	460	8.8e-270	2	453	4	458	0.993392070485
GH73_e65	GH73:28	-	-	116	CP065320.1_3344	940	1e-49	2	116	295	409	0.98275862069
GH4_e21	GH4:85	-	-	178	CP065320.1_3373	445	6.6e-82	1	178	5	182	0.994382022472
GH13_e141	GH13:115	3.2.1.-:2	sucrose 6(F)-phosphate, starch	288	CP065320.1_3479	561	1.3e-148	1	287	38	324	0.993055555556
CE4_e81	CE4:9	-	-	129	CP065320.1_3747	437	9.4e-82	1	129	236	364	0.992248062016
CE4_e95	CE4:10|GH153:1|GT2:1	-	-	150	CP065320.1_3804	398	8.3e-19	2	150	232	362	0.986666666667
GH77_e4	GH77:151	-	-	464	CP065320.1_895	491	1.3e-230	1	463	10	470	0.995689655172
GT35_e0	GT35:17065|GH77:18|GH13_39:1	2.4.1.1:158	-	712	CP065320.1_896	753	3.9e-235	3	710	81	751	0.99297752809
GH109_e7	GH109:31	-	-	390	CP065320.1_1223	334	2.6e-19	2	146	4	148	0.369230769231
GH1_e24	GH1:10	-	-	468	CP065320.1_1285	484	2e-292	1	468	14	481	0.997863247863
GH1_e68	GH1:7	-	-	456	CP065320.1_1303	464	6e-303	1	456	5	460	0.997807017544
GH1_e85	GH1:13226	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	6-phospho-beta-D-glucoside, beta-D-glucoside, beta-D-glucoside, beta-D-xyloside	470	CP065320.1_1780	482	1.8e-203	1	469	8	478	0.995744680851
GH1_e87	GH1:1211	3.2.1.21:5|3.2.1.-:1|3.2.1.23:1	beta-D-glucoside, rutin (polyphenol), beta-D-galactoside	461	CP065320.1_1782	480	1.2e-196	2	460	5	476	0.993492407809
GH1_e87	GH1:1211	3.2.1.21:5|3.2.1.-:1|3.2.1.23:1	beta-D-glucoside, rutin (polyphenol), beta-D-galactoside	461	CP065320.1_2346	359	1.5e-128	2	347	3	357	0.748373101952
GH1_e85	GH1:13226	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	6-phospho-beta-D-glucoside, beta-D-glucoside, beta-D-glucoside, beta-D-xyloside	470	CP065320.1_2348	491	4.6e-209	1	470	4	487	0.997872340426
GH1_e13	GH1:4683	3.2.1.86:10|3.2.1.85:2|3.2.1.21:1	6-phospho-beta-D-glucoside, 6-phospho-beta-D-galactoside, beta-D-glucoside	457	CP065320.1_2515	458	2.5e-226	1	457	3	457	0.997811816193
GT2	GT2:13	-	-	159	CP065320.1_2655	276	7.6e-61	1	158	12	170	0.987421383648
GH25_e67	GH25:9	-	-	191	CP065320.1_2708	577	8.5e-108	1	191	114	304	0.994764397906
GT2	GT2:340	-	-	162	CP065320.1_2750	316	4.2e-54	1	162	5	167	0.993827160494
GT14_e68	GT14:42|GT2:1	-	-	250	CP065320.1_3044	315	5e-18	1	237	5	237	0.944
CBM66_e0	CBM66:310|GH32:305|CBM38:44	3.2.1.65:8	fructan	154	CP065320.1_3163	412	6.3e-25	5	154	60	222	0.967532467532
CBM66_e0	CBM66:310|GH32:305|CBM38:44	3.2.1.65:8	fructan	154	CP065320.1_3163	412	1.6e-42	1	153	239	393	0.987012987013
GH32_e56	GH32:5	-	-	300	CP065320.1_3260	435	4.2e-221	1	300	10	309	0.996666666667
CE4_e134	CE4:21	-	-	121	CP065320.1_3359	457	7.2e-61	1	119	242	368	0.97520661157
GH109_e7	GH109:31	-	-	390	CP065320.1_3974	317	8.3e-23	2	159	2	159	0.402564102564
GH23_e21	GH23:981	-	-	138	CP065320.1_435	336	2.1e-69	1	137	69	206	0.985507246377
CE9_e11	CE9:41	-	-	371	CP065320.1_982	380	2.6e-198	1	371	6	376	0.99730458221
GH1_e85	GH1:13226	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	6-phospho-beta-D-glucoside, beta-D-glucoside, beta-D-glucoside, beta-D-xyloside	470	CP065320.1_1526	470	2.4e-203	2	470	2	467	0.995744680851
GT5_e18	GT5:92	-	-	472	CP065320.1_1613	480	2.7e-259	1	471	4	475	0.995762711864
GT2	GT2:8	-	-	130	CP065320.1_1715	357	3.3e-66	1	129	6	138	0.984615384615
GH170_e12	GH170:9	-	-	352	CP065320.1_1804	365	7.4e-192	1	351	4	354	0.994318181818
GH13_e133	GH13:5	-	sucrose 6(F)-phosphate	293	CP065320.1_1823	671	1.1e-177	3	293	113	416	0.98976109215
GT51_e8	GT51:1294	-	-	175	CP065320.1_1908	621	7.2e-73	2	174	50	222	0.982857142857
CE9_e11	CE9:41	-	-	371	CP065320.1_2451	380	4.5e-177	1	371	6	376	0.99730458221
GT2	GT2:125	-	-	175	CP065320.1_2741	1151	2.7e-56	1	166	9	174	0.942857142857
CBM68_e1	CBM68:141|GH13_14:141|CBM48:140	-	maltotriose and maltotetraose	91	CP065320.1_2755	713	9.8e-30	1	91	6	99	0.989010989011
CBM48_e46	CBM48:874|GH13_14:872|CBM68:828|CBM41:2|GH13:1	3.2.1.41:15	glycogen	82	CP065320.1_2755	713	4.4e-27	1	81	108	186	0.975609756098
GH13_e94	GH13_14:114|CBM48:94|CBM68:80|GH13:1|CBM41:1	3.2.1.41:3	sucrose 6(F)-phosphate, pullulan (starch degradation by fungi)	313	CP065320.1_2755	713	9.1e-140	1	313	259	574	0.996805111821
GH1_e85	GH1:13226	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	6-phospho-beta-D-glucoside, beta-D-glucoside, beta-D-glucoside, beta-D-xyloside	470	CP065320.1_3097	261	5.6e-105	219	470	6	258	0.534042553191
GH112_e0	GH112:456	2.4.1.211:13	human milk oligosaccharides, host glycans	713	CP065320.1_3317	724	0	1	712	7	720	0.997194950912
CE4_e134	CE4:21	-	-	121	CP065320.1_3358	456	1.1e-60	1	116	242	358	0.95041322314
GH23_e928	GH23:90	-	-	132	CP065320.1_3527	572	4.1e-66	2	131	298	427	0.977272727273
GH25_e36	GH25:8	-	-	176	CP065320.1_3775	297	6.1e-105	1	176	7	182	0.994318181818
GH73_e65	GH73:28	-	-	116	CP065320.1_753	593	3.3e-47	1	116	290	404	0.991379310345
GH112_e0	GH112:456	2.4.1.211:13	human milk oligosaccharides, host glycans	713	CP065320.1_1103	724	0	1	712	7	717	0.997194950912
GH109_e7	GH109:31	-	-	390	CP065320.1_1386	325	7.9e-16	3	151	2	151	0.379487179487
GH13_e1	GH13_29:585|GH13:36|GH13_31:2	3.2.1.93:2	sucrose 6(F)-phosphate, trehalose	345	CP065320.1_2071	550	3.1e-175	1	344	25	369	0.994202898551
GT51_e83	GT51:17	-	-	197	CP065320.1_228	884	6.9e-112	1	197	73	271	0.994923857868
GH23_e21	GH23:981	-	-	138	CP065320.1_2629	311	6e-69	1	137	69	206	0.985507246377
GT4_e2346	GT4:26	-	-	147	CP065320.1_2654	384	6.5e-60	2	140	212	348	0.938775510204
GT2	GT2:12|GT113:1	-	-	104	CP065320.1_2658	301	2.6e-43	1	103	8	111	0.980769230769
GT2	GT2:78|GT4:1|GT32:1	-	-	163	CP065320.1_2742	891	5.1e-57	1	162	37	199	0.98773006135
GH170_e24	GH170:41	-	-	357	CP065320.1_3160	362	6e-188	1	357	4	360	0.997198879552
CE9_e16	CE9:11	-	-	364	CP065320.1_3370	375	1.6e-215	1	362	9	370	0.991758241758
CE4_e118	CE4:8	-	-	117	CP065320.1_3722	438	1.4e-66	1	117	244	360	0.991452991453
GT4_e192	GT4:15	-	-	145	CP065320.1_3757	660	2.8e-60	1	144	210	351	0.986206896552
GT28_e1	GT28:2579|CE4:1	-	-	164	CP065320.1_3870	358	5.6e-53	1	163	190	344	0.987804878049
GH1_e85	GH1:13226	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	6-phospho-beta-D-glucoside, beta-D-glucoside, beta-D-glucoside, beta-D-xyloside	470	CP065320.1_3917	488	4.9e-220	1	468	4	482	0.993617021277
GH1_e85	GH1:13226	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	6-phospho-beta-D-glucoside, beta-D-glucoside, beta-D-glucoside, beta-D-xyloside	470	CP065320.1_403	474	2.1e-215	1	469	3	470	0.995744680851
GH4_e24	GH4:7862	3.2.1.86:16	beta-glucoside (sinigrin, cellubiose)	179	CP065320.1_739	443	8.3e-93	1	178	8	186	0.988826815642
GH4_e4	GH4:5108	3.2.1.122:13	sucrose and its isomeric disaccharides	177	CP065320.1_1863	442	2e-90	2	177	8	183	0.988700564972
GT2	GT2:209	-	-	162	CP065320.1_2081	277	3.4e-17	1	107	6	110	0.654320987654
GH1_e85	GH1:13226	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	6-phospho-beta-D-glucoside, beta-D-glucoside, beta-D-glucoside, beta-D-xyloside	470	CP065320.1_2094	482	3e-198	1	470	8	478	0.997872340426
GH1_e85	GH1:13226	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	6-phospho-beta-D-glucoside, beta-D-glucoside, beta-D-glucoside, beta-D-xyloside	470	CP065320.1_2134	489	3.6e-185	1	470	6	486	0.997872340426
GH1_e85	GH1:13226	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	6-phospho-beta-D-glucoside, beta-D-glucoside, beta-D-glucoside, beta-D-xyloside	470	CP065320.1_2290	478	1.9e-215	1	470	7	471	0.997872340426
GT51_e83	GT51:17	-	-	197	CP065320.1_230	1188	2.2e-113	2	197	353	548	0.989847715736
