Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
CP065318.1_1029	-	GT2(2-170)	GT2	GT2	N	3
CP065318.1_1070	-	GH73(155-288)	GH73_e86+CBM50_e836+CBM50_e836+CBM50_e836+CBM50_e836	CBM50+GH73	Y(1-43)	3
CP065318.1_1120	-	GH73(52-190)	GH73_e107	GH73	N	3
CP065318.1_1350	-	GT2(51-187)	GT2	GT2	N	3
CP065318.1_1351	-	GH8(36-375)	GH8_e4	GH8	N	3
CP065318.1_1375	2.4.1.7	GH13_18(36-375)	GH13_e117	GH13_18	N	3
CP065318.1_1471	-	GH73(66-203)	GH73_e177	GH73	N	3
CP065318.1_1528	-	GT111(5-218)	GT111_e1	GT111	N	3
CP065318.1_1529	-	GT2(5-165)	GT2	GT2	N	3
CP065318.1_1536	-	GT2(6-179)	GT2	GT2	N	3
CP065318.1_1539	-	GT2(8-117)	GT2	GT2	N	3
CP065318.1_1540	N	GT2(9-209)	N	N	N	1
CP065318.1_1541	-	GT2(7-117)	GT2	GT2	N	3
CP065318.1_1543	-	GH73(158-290)	GH73_e86	GH73	Y(1-36)	3
CP065318.1_1568	-	GT4(204-349)	GT4_e1712	GT4	N	3
CP065318.1_1569	-	GT4(160-302)	GT4_e360	GT4	N	3
CP065318.1_1617	-	GH73(132-267)	GH73_e17	GH73	Y(1-27)	3
CP065318.1_1637	2.4.1.129	GT51(98-276)	GT51_e50	GT51	N	3
CP065318.1_1779	3.2.1.23	GH42(14-386)	GH42_e29	GH42	N	3
CP065318.1_1793	-	GT8(4-233)	GT8_e30	GT8	N	3
CP065318.1_1799	2.4.1.-	GT4(327-455)	GT4_e945	GT4	N	3
CP065318.1_1842	-	GT4(196-351)	GT4_e1192	GT4	N	3
CP065318.1_1843	-	GT2(7-165)	GT2	GT2	N	3
CP065318.1_1844	-	GT2(8-121)	GT2	GT2	N	3
CP065318.1_1849	-	GT4(194-350)	GT4_e1890	GT4	N	3
CP065318.1_1877	3.2.1.17	GH25(25-176)	GH25_e269	GH25	N	3
CP065318.1_1896	3.2.1.84	GH31(232-672)	GH31_e37	GH31	N	3
CP065318.1_299	-	CBM50(111-153)	CBM50_e213	CBM50	Y(1-42)	3
CP065318.1_334	-	GT28(189-353)	GT28_e1	GT28	N	3
CP065318.1_641	-	GT2(54-286)	GT2	GT2	N	3
CP065318.1_666	3.2.1.23	GH2(30-624)	GH2_e13	GH2	N	3
CP065318.1_720	-	GH120(264-353)	GH120_e1+GH120_e1	GH120	N	3
CP065318.1_73	-	GT8(2-247)	GT8_e230	GT8	N	3
CP065318.1_865	5.4.99.11|3.2.1.20|3.2.1.10|3.2.1.-|3.2.1.70	GH13_31(29-381)	GH13_e122	GH13_31	N	3
CP065318.1_868	-	GT4(326-471)	GT4_e2629	GT4	N	3
CP065318.1_869	-	GT4(326-481)	GT4_e2234	GT4	N	3
CP065318.1_89	2.4.1.129	GT51(77-257)	GT51_e10	GT51	N	3
CP065318.1_892	2.4.1.8	GH65(322-692)	GH65_e0	GH65	N	3
CP065318.1_9	2.4.1.10|2.4.1.9	GH68(1-441)	GH68_e6	GH68	N	3
CP065318.1_99	3.2.1.22	GH36(10-709)	GH36_e0	GH36	N	3
CP065318.1_1156	-	N	CE2_e3	N	N	1
CP065318.1_1590	-	N	CBM50_e553	N	Y(1-32)	1
CP065318.1_1686	-	N	CBM50_e552	CBM50	Y(1-29)	2
CP065318.1_527	-	N	CBM50_e44	N	Y(1-28)	1
CP065318.1_1106	-	N	CBM50_e838	N	Y(1-24)	1
CP065318.1_1305	-	N	CBM50_e447	CBM50	Y(1-32)	2
CP065318.1_1592	-	N	CBM50_e553	N	Y(1-32)	1
CP065318.1_1815	-	N	GH25_e4+CBM50_e56	CBM50+GH25	N	2
CP065318.1_1841	2.4.1.-	N	GT4_e510	GT4	N	2
CP065318.1_66	N	N	N	GT2	N	1
CP065318.1_93	N	N	N	GH24	N	1
CP065318.1_191	N	N	N	GH13_30	N	1
CP065318.1_215	N	N	N	GT83	N	1
CP065318.1_226	N	N	N	GH28	N	1
CP065318.1_235	N	N	N	GT2	N	1
CP065318.1_241	N	N	N	CBM50+GH25	N	1
CP065318.1_343	N	N	N	GT2	N	1
CP065318.1_426	N	N	N	GH5_11	N	1
CP065318.1_464	N	N	N	GT58	N	1
CP065318.1_476	N	N	N	GH13_11	N	1
CP065318.1_477	N	N	N	GH25	N	1
CP065318.1_479	N	N	N	GH23	N	1
CP065318.1_512	N	N	N	CBM50	N	1
CP065318.1_553	N	N	N	GH13_31	N	1
CP065318.1_569	N	N	N	GT2	N	1
CP065318.1_577	N	N	N	GT4	N	1
CP065318.1_598	N	N	N	GH13	N	1
CP065318.1_640	N	N	N	GT0	N	1
CP065318.1_665	N	N	N	GH2	N	1
CP065318.1_745	N	N	N	GH84	N	1
CP065318.1_806	N	N	N	GH13_23	N	1
CP065318.1_821	N	N	N	GH65	N	1
CP065318.1_875	N	N	N	GT47	N	1
CP065318.1_904	N	N	N	GT4	N	1
CP065318.1_1166	N	N	N	GH42	N	1
CP065318.1_1173	N	N	N	GT2	N	1
CP065318.1_1260	N	N	N	CBM50	N	1
CP065318.1_1312	N	N	N	AA10	N	1
CP065318.1_1364	N	N	N	GH13_29	N	1
CP065318.1_1392	N	N	N	GH13_31	N	1
CP065318.1_1426	N	N	N	GT4	N	1
CP065318.1_1429	N	N	N	GH1	N	1
CP065318.1_1434	N	N	N	GH38	N	1
CP065318.1_1531	N	N	N	GH70	Y(1-37)	1
CP065318.1_1532	N	N	N	GH25	Y(1-40)	1
CP065318.1_1545	N	N	N	GT2	N	1
CP065318.1_1549	N	N	N	GH25	Y(1-40)	1
CP065318.1_1553	N	N	N	GT4	N	1
CP065318.1_1555	N	N	N	GH70	Y(1-39)	1
CP065318.1_1564	N	N	N	GT4	N	1
CP065318.1_1570	N	N	N	GT4	N	1
CP065318.1_1611	N	N	N	GT4	N	1
CP065318.1_1778	N	N	N	GH42	N	1
CP065318.1_1800	N	N	N	GT8	N	1
CP065318.1_1838	N	N	N	GT2	N	1
