Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
CP065320.1_1103	2.4.1.211	GH112(6-717)	GH112_e0	GH112	N	3
CP065320.1_1223	-	GH109(1-149)	GH109_e7	N	N	2
CP065320.1_1285	-	GH1(11-480)	GH1_e24	GH1	N	3
CP065320.1_1303	-	GH1(3-459)	GH1_e68	GH1	N	3
CP065320.1_1356	-	GH1(7-467)	GH1_e26	GH1	N	3
CP065320.1_1526	3.2.1.86|3.2.1.21|3.2.1.37	GH1(3-466)	GH1_e85	GH1	N	3
CP065320.1_1613	-	GT5(3-475)	GT5_e18	GT5	N	3
CP065320.1_1715	-	GT2(5-150)	GT2	GT2	N	3
CP065320.1_1771	N	GH109(1-135)	N	N	N	1
CP065320.1_1780	3.2.1.86|3.2.1.21|3.2.1.37	GH1(6-478)	GH1_e85	GH1	N	3
CP065320.1_1782	3.2.1.21|3.2.1.-|3.2.1.23	GH1(1-476)	GH1_e87	GH1	N	3
CP065320.1_1804	-	GH170(3-354)	GH170_e12	GH170	N	3
CP065320.1_1863	3.2.1.122	GH4(6-183)	GH4_e4	GH4	N	3
CP065320.1_1886	-	GH43_24(22-267)	GH43_e29	GH43_24	N	3
CP065320.1_1908	-	GT51(50-221)	GT51_e8	GT51	N	3
CP065320.1_1911	-	CE9(6-365)	CE9_e9	CE9	N	3
CP065320.1_1990	-	CE9(5-375)	CE9_e11	CE9	N	3
CP065320.1_2034	3.2.1.86|3.2.1.38|3.2.1.85|3.2.1.21|3.2.1.-	GH1(7-480)	GH1_e115	GH1	N	3
CP065320.1_2066	-	CE4(44-150)	CE4_e196	CE4	N	3
CP065320.1_2071	3.2.1.93	GH13_29(25-368)	GH13_e1	GH13_29	N	3
CP065320.1_2094	3.2.1.86|3.2.1.21|3.2.1.37	GH1(6-477)	GH1_e85	GH1	N	3
CP065320.1_2134	3.2.1.86|3.2.1.21|3.2.1.37	GH1(5-485)	GH1_e85	GH1	N	3
CP065320.1_2219	-	GH38(5-277)	GH38_e41	GH38	N	3
CP065320.1_228	-	GT51(73-270)	GT51_e83	GT51	N	3
CP065320.1_2290	3.2.1.86|3.2.1.21|3.2.1.37	GH1(4-470)	GH1_e85	GH1	N	3
CP065320.1_230	-	GT51(353-547)	GT51_e83	GT51	N	3
CP065320.1_2346	3.2.1.21|3.2.1.-|3.2.1.23	GH1(2-298)	GH1_e87	GH1	N	3
CP065320.1_2348	3.2.1.86|3.2.1.21|3.2.1.37	GH1(2-486)	GH1_e85	GH1	N	3
CP065320.1_2359	3.2.1.86|3.2.1.23|3.2.1.21	GH1(2-472)	GH1_e0	GH1	N	3
CP065320.1_2384	-	GH73(287-401)	GH73_e65	GH73	N	3
CP065320.1_2451	-	CE9(6-375)	CE9_e11	CE9	N	3
CP065320.1_2513	-	GH38(3-254)	GH38_e15	GH38	N	3
