Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
CP065315.1_41	QBB65955.1|CBM50	57.9	508	214	0	1	508	1	508	2.5e-165	585.9
CP065315.1_236	AGL63717.2|GT4	43.8	713	312	9	140	847	107	735	2.2e-153	547.0
CP065315.1_265	UQA26933.1|GT51	100.0	844	0	0	1	844	1	844	0.0e+00	1681.0
CP065315.1_281	ANU41018.1|GT4	100.0	740	0	0	1	740	1	740	0.0e+00	1476.5
CP065315.1_282	UQA26950.1|GT4	100.0	357	0	0	1	357	1	357	1.2e-214	749.2
CP065315.1_286	QIA31363.1|CE9	100.0	373	0	0	1	373	1	373	1.2e-212	742.7
CP065315.1_375	AGL63717.2|GT4	48.9	620	301	6	170	789	107	710	3.1e-160	569.7
CP065315.1_377	QQR06286.1|GH77	100.0	492	0	0	1	492	1	492	3.5e-305	1050.4
CP065315.1_384	QCW79542.1|GH101	56.2	459	196	3	58	512	611	1068	2.7e-138	496.1
CP065315.1_397	QWU85921.1|GH130	53.0	457	208	1	5	454	1375	1831	1.1e-138	497.3
CP065315.1_559	ANU40758.2|CBM40	100.0	384	0	0	1	384	1	384	7.7e-223	776.5
CP065315.1_594	QQR06494.1|CBM40|GH33	100.0	707	0	0	1	707	1	707	0.0e+00	1444.9
CP065315.1_597	ANU40725.1|CE7	100.0	324	0	0	1	324	1	324	1.8e-196	688.7
CP065315.1_612	ARE59829.1|GH33	100.0	965	0	0	1	965	1	965	0.0e+00	1947.2
CP065315.1_747	QQR06640.1|GT26	100.0	240	0	0	1	240	1	240	4.2e-134	481.1
CP065315.1_781	QQR06670.1|GT28	100.0	375	0	0	1	375	1	375	1.3e-211	739.2
CP065315.1_974	QQR07698.1|CBM50	100.0	185	0	0	1	185	1	185	2.8e-106	388.3
CP065315.1_1034	QQR06902.1|CBM48|GH13_9	99.9	673	1	0	1	673	1	673	0.0e+00	1422.5
CP065315.1_1035	QWI77036.1|CBM48|GH13_9	60.8	316	123	1	1	316	638	952	4.2e-115	418.7
CP065315.1_1037	ANU40325.1|GT5	100.0	478	0	0	1	478	1	478	7.4e-292	1006.1
CP065315.1_1038	ANU40324.1|GT35	99.9	812	1	0	1	812	4	815	0.0e+00	1660.6
CP065315.1_1047	UQA27684.1|GT39	100.0	649	0	0	1	649	1	649	0.0e+00	1332.4
CP065315.1_1199	ANU40170.1|GT2	100.0	425	0	0	1	425	1	425	2.3e-252	874.8
CP065315.1_1256	QQR07714.1|CBM54	100.0	1624	0	0	1	1624	2	1625	0.0e+00	3209.1
CP065315.1_1309	AGB41602.1|CBM50	39.4	576	330	11	1	567	1	566	2.0e-112	410.6
CP065315.1_1357	ANU39958.1|GT2	100.0	342	0	0	1	342	1	342	1.3e-197	692.6
CP065315.1_1389	ARE59829.1|GH33	82.0	361	56	5	1011	1363	606	965	1.1e-157	562.0
CP065315.1_1413	CCO12112.2|GH13_31	62.6	430	157	3	7	433	4	432	2.8e-149	532.3
CP065315.1_1427	CAN65674.1|GH28	46.8	538	263	7	23	556	111	629	2.4e-143	513.1
CP065315.1_1480	CAG7903126.1|GH28	41.5	480	262	8	5	467	52	529	3.1e-104	382.9
CP065315.1_1567	QWU85921.1|GH130	53.0	457	208	1	5	454	1375	1831	1.1e-138	497.3
CP065315.1_1588	QBQ55251.1|CBM50	43.9	830	446	8	23	837	40	864	2.1e-167	593.6
CP065315.1_1606	ANU39739.1|CE9	100.0	385	0	0	1	385	1	385	1.6e-228	795.4
CP065315.1_1638	AGB41602.1|CBM50	38.0	605	347	12	3	602	5	586	6.5e-114	415.6
CP065315.1_1643	CCO12633.2|GH84	48.2	680	287	9	6	657	7	649	1.5e-173	613.6
