HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2.hmm	170	CP065318.1_1029	376	8.7e-31	4	169	2	170	0.970588235294
GH73.hmm	128	CP065318.1_1070	571	7.5e-37	2	128	155	288	0.984375
GH73.hmm	128	CP065318.1_1120	198	3.6e-37	2	128	52	190	0.984375
GT2.hmm	170	CP065318.1_1350	436	5.7e-21	1	132	51	187	0.770588235294
GH8.hmm	320	CP065318.1_1351	380	8.2e-71	2	318	36	375	0.9875
GH13_18.hmm	343	CP065318.1_1375	486	2.7e-118	2	343	36	375	0.99416909621
GH73.hmm	128	CP065318.1_1471	209	1.8e-39	2	128	66	203	0.984375
GT111.hmm	217	CP065318.1_1528	256	2.1e-86	1	216	5	218	0.990783410138
GT2.hmm	170	CP065318.1_1529	310	6.9e-35	1	163	5	165	0.952941176471
GT2.hmm	170	CP065318.1_1536	305	3.6e-22	3	169	6	179	0.976470588235
GT2.hmm	170	CP065318.1_1539	326	5.1e-22	2	110	8	117	0.635294117647
GT2.hmm	210	CP065318.1_1540	255	2.2e-25	1	197	9	209	0.933333333333
GT2.hmm	170	CP065318.1_1541	297	5.5e-28	2	112	7	117	0.647058823529
GH73.hmm	128	CP065318.1_1543	774	3.5e-35	3	128	158	290	0.9765625
GT4.hmm	160	CP065318.1_1568	406	2.5e-31	6	153	204	349	0.91875
GT4.hmm	160	CP065318.1_1569	343	4.5e-19	5	151	160	302	0.9125
GH73.hmm	128	CP065318.1_1617	344	3.3e-31	2	128	132	267	0.984375
GT51.hmm	177	CP065318.1_1637	722	1.8e-62	4	177	98	276	0.977401129944
GH42.hmm	371	CP065318.1_1779	671	1.1e-150	1	370	14	386	0.99460916442
GT8.hmm	257	CP065318.1_1793	400	2.1e-42	30	255	4	233	0.875486381323
GT4.hmm	160	CP065318.1_1799	513	1.2e-21	7	137	327	455	0.8125
GT4.hmm	160	CP065318.1_1842	390	3.4e-27	3	154	196	351	0.94375
GT2.hmm	170	CP065318.1_1843	318	6.2e-18	2	142	7	165	0.823529411765
GT2.hmm	170	CP065318.1_1844	340	1.5e-23	1	114	8	121	0.664705882353
GT4.hmm	160	CP065318.1_1849	379	3.4e-17	5	158	194	350	0.95625
GH25.hmm	177	CP065318.1_1877	181	3.9e-31	11	167	25	176	0.881355932203
GH31.hmm	427	CP065318.1_1896	769	3.9e-168	1	427	232	672	0.997658079625
CBM50.hmm	40	CP065318.1_299	488	6.1e-17	1	39	111	153	0.95
GT28.hmm	157	CP065318.1_334	371	1.9e-50	1	157	189	353	0.993630573248
GT2.hmm	230	CP065318.1_641	434	3.9e-30	4	229	54	286	0.978260869565
GH2.hmm	752	CP065318.1_666	629	1.7e-137	17	486	30	624	0.623670212766
GH120.hmm	91	CP065318.1_720	596	6.2e-31	2	91	264	353	0.978021978022
GT8.hmm	257	CP065318.1_73	283	7e-42	31	254	2	247	0.867704280156
GH13_31.hmm	349	CP065318.1_865	561	6.4e-170	1	348	29	381	0.994269340974
GT4.hmm	160	CP065318.1_868	501	4.3e-27	11	155	326	471	0.9
GT4.hmm	160	CP065318.1_869	514	1.7e-34	5	159	326	481	0.9625
GT51.hmm	177	CP065318.1_89	755	2.7e-63	2	177	77	257	0.988700564972
GH65.hmm	372	CP065318.1_892	751	7e-150	1	371	322	692	0.994623655914
GH68.hmm	417	CP065318.1_9	580	5.8e-146	8	417	1	441	0.980815347722
GH36.hmm	688	CP065318.1_99	730	3.9e-278	1	686	10	709	0.995639534884
