Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
CP065313.1_145	N	AA7(38-245)	N	N	N	1
CP065313.1_1540	3.5.1.108	CE11(4-275)	CE11_e22	CE11	N	3
CP065313.1_1546	2.4.1.227	GT28(187-345)	GT28_e46	GT28	N	3
CP065313.1_1671	3.2.1.4|3.2.1.6	GH8(22-335)	GH8_e0	GH8	Y(1-22)	3
CP065313.1_1673	2.4.1.12|2.4.1.-	GT2(289-460)	GT2+GT2	GT2	N	3
CP065313.1_1737	-	GT51(86-261)	GT51_e153	GT51	Y(1-60)	3
CP065313.1_1858	-	GH24(24-167)	GH24_e123	N	N	2
CP065313.1_2019	-	GH23(73-216)	GH23_e326+CBM50_e183	CBM50+GH23	N	3
CP065313.1_2030	-	GT9(79-288)	GT9_e327	GT9	N	3
CP065313.1_2040	-	GT2(4-132)+GT4(513-665)	GT2+GT4_e2008	GT2+GT4	N	3
CP065313.1_2142	-	GH23(38-151)	GH23_e208	N	Y(1-26)	2
CP065313.1_2152	-	GT2(40-206)	GT2	GT2	N	3
CP065313.1_2157	-	GT2(13-127)	GT2	GT2	N	3
CP065313.1_2160	-	GT2(457-630)	GT4_e2874+GT2	GT2+GT4	N	3
CP065313.1_2357	3.2.1.52	GH3(63-285)	GH3_e78	GH3	N	3
CP065313.1_2411	2.4.1.-	GT104(7-368)	GT104_e0	GT104	N	3
CP065313.1_2476	-	GH103(47-348)	GH103_e12	GH103	Y(1-24)	3
CP065313.1_2511	-	GT2(4-111)	GT2	GT2	N	3
CP065313.1_2512	-	GT2(12-146)	GT2	GT2	N	3
CP065313.1_2513	2.4.99.-	GT73(82-320)	GT73_e0	GT73	N	3
CP065313.1_2514	-	GT4(185-317)	GT4_e1490	GT4	N	3
CP065313.1_307	-	GT111(5-222)	GT111_e20	GT111	N	3
CP065313.1_374	-	GT19(9-365)	GT19_e37	GT19	N	3
CP065313.1_424	2.4.1.129	GT51(64-231)	GT51_e0	GT51	N	3
CP065313.1_465	-	GH23(36-182)	GH23_e977	GH23	Y(1-33)	3
CP065313.1_863	-	GH102(139-293)	GH102_e26	GH102	Y(1-30)	3
CP065313.1_917	2.4.99.-	GT30(35-217)	GT30_e26	GT30	N	3
CP065313.1_918	-	GT9(67-269)	GT9_e37	GT9	N	3
CP065313.1_708	-	N	GH23_e276	GH23	N	2
CP065313.1_2159	-	N	GT4_e2874	GT4	N	2
CP065313.1_1824	-	N	CBM50_e170	CBM50	Y(1-30)	2
CP065313.1_163	N	N	N	GH5_11	N	1
CP065313.1_202	N	N	N	GH13_26	N	1
CP065313.1_574	N	N	N	GH13_30	N	1
CP065313.1_889	N	N	N	GT4	N	1
CP065313.1_894	N	N	N	GH13_23	N	1
CP065313.1_956	N	N	N	GT83	N	1
CP065313.1_981	N	N	N	GH1	N	1
CP065313.1_1123	N	N	N	GH103	N	1
CP065313.1_1292	N	N	N	GT58	N	1
CP065313.1_1376	N	N	N	GH1	N	1
CP065313.1_1379	N	N	N	GH38	N	1
CP065313.1_1473	N	N	N	CBM50+GH25	N	1
CP065313.1_1585	N	N	N	GH13	N	1
CP065313.1_1603	N	N	N	GH13_11	N	1
CP065313.1_1672	N	N	N	GT2	Y(1-41)	1
CP065313.1_1729	N	N	N	GT51	N	1
CP065313.1_1818	N	N	N	GH28	N	1
CP065313.1_1848	N	N	N	GT4	N	1
CP065313.1_1924	N	N	N	CE8	N	1
CP065313.1_1943	N	N	N	GT4	N	1
CP065313.1_1976	N	N	N	GT51	N	1
CP065313.1_2260	N	N	N	GT2	N	1
CP065313.1_2316	N	N	N	GT2	N	1
CP065313.1_2350	N	N	N	GH28	N	1
CP065313.1_2366	N	N	N	GT2	N	1
CP065313.1_2397	N	N	N	GH152	N	1
CP065313.1_2428	N	N	N	GH13_31	N	1
CP065313.1_2467	N	N	N	GH103	N	1
CP065313.1_2536	N	N	N	GH13	N	1
