Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
CP065322.1_100	-	GH27(275-508)	GH36_e33+GH27_e0	GH27	N	3
CP065322.1_1000	-	GH3(58-274)	GH3_e83	GH3	N	3
CP065322.1_1019	-	GT51(76-258)	GT51_e1	GT51	N	3
CP065322.1_1034	3.2.1.52	GH20(228-541)	GH20_e18	GH20	Y(1-20)	3
CP065322.1_1046	3.2.1.52|3.2.1.-	GH20(192-545)	GH20_e12	GH20	N	3
CP065322.1_1062	-	GH18(766-988)	GH18_e13	GH18	Y(1-27)	3
CP065322.1_1064	N	GH109(5-160)	N	N	N	1
CP065322.1_1126	3.2.1.51	GH29(80-426)	GH29_e2	GH29	Y(1-20)	3
CP065322.1_1132	3.2.1.49|3.2.1.52	GH109(71-473)	GH109_e0	GH109	Y(1-30)	3
CP065322.1_1170	3.2.1.169|-	GH84(128-423)	GH84_e9+CBM32_e131	GH84	Y(1-24)	3
CP065322.1_1178	-	GH89(72-719)	GH89_e9	GH89	Y(1-22)	3
CP065322.1_1186	-	GT83(284-656)	GT83_e58	GT83	N	3
CP065322.1_129	N	GH109(14-181)	N	GH0	N	2
CP065322.1_1291	-	GT51(193-364)	GT51_e168	GT51	N	3
CP065322.1_1300	-	GH95(28-765)	GH95_e5	GH95	Y(1-34)	3
CP065322.1_133	-	GH89(67-725)	GH89_e4	GH89	Y(1-25)	3
CP065322.1_1356	-	GT35(181-482)	GT35_e2	GT35	N	3
CP065322.1_1413	3.2.1.23|-	CBM32(62-178)+GH2(141-811)	CBM32_e15+GH2_e127	GH2	Y(1-23)	3
CP065322.1_1482	-	GH20(161-511)	GH20_e46	GH20	Y(1-20)	3
CP065322.1_1505	3.2.1.111|3.2.1.51|-	GH29(52-358)+CBM32(581-700)	GH29_e30+CBM32_e126+CBM32_e126	GH29	Y(1-42)	3
CP065322.1_1511	-	GH20(163-438)	GH20_e53	GH20	N	3
CP065322.1_1525	3.2.1.169|-	GH84(170-459)	GH84_e9+CBM32_e131	GH84	Y(1-26)	3
CP065322.1_154	-	GT51(66-240)	GT51_e36	GT51	N	3
CP065322.1_1555	-	GT4(190-333)	GT4_e1078	GT4	N	3
CP065322.1_1567	-	CE20(103-394)	CE20_e0	CE20	Y(1-23)	3
CP065322.1_1587	-	GT30(39-217)	GT30_e10	GT30	N	3
CP065322.1_1593	3.2.1.-|-	CBM51(48-171)+GH110(187-736)	CBM51_e36+GH110_e12	CBM51+GH110	Y(1-31)	3
CP065322.1_1611	-	GT2(27-157)	GT2	GT2	N	3
CP065322.1_1654	3.2.1.-	GH2(68-643)	GH2_e50	GH2	N	3
CP065322.1_17	3.2.1.63|3.2.1.51	GH95(55-778)	GH95_e0	GH95	N	3
CP065322.1_174	-	GH37(232-421)	GH63_e4	GH63	Y(1-25)	3
CP065322.1_1744	-	GH33(51-393)	GH33_e68	GH33	Y(1-39)	3
CP065322.1_1754	-	GT2(10-127)	GT2	GT2	N	3
CP065322.1_1755	-	GT2(7-123)	GT2	GT2	N	3
