# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	2021502	729	-							I5Q88_00005	1164		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	2021502	729	-	QQQ90278.1			pyridoxal phosphate-dependent aminotransferase			I5Q88_00005	1164	387	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	835	1605	-							I5Q88_00010	771		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	835	1605	-	QQQ90279.1			ROK family protein			I5Q88_00010	771	256	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	2035	2631	+							I5Q88_00015	597		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	2035	2631	+	QQQ90280.1			ECF transporter S component			I5Q88_00015	597	198	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	2628	4925	+							I5Q88_00020	2298		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	2628	4925	+	QQQ90281.1			ATP-binding cassette domain-containing protein			I5Q88_00020	2298	765	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	5286	6122	+							I5Q88_00025	837		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	5286	6122	+	QQQ90282.1			aldo/keto reductase			I5Q88_00025	837	278	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	6380	6685	+							I5Q88_00030	306		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	6380	6685	+	QQQ90283.1			YhbY family RNA-binding protein			I5Q88_00030	306	101	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	6808	7548	-					tenA		I5Q88_00035	741		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	6808	7548	-	QQQ90284.1			thiaminase II	tenA		I5Q88_00035	741	246	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	7743	8102	+							I5Q88_00040	360		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	7743	8102	+	QQQ90285.1			YccF domain-containing protein			I5Q88_00040	360	119	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	8181	8549	-							I5Q88_00045	369		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	8181	8549	-	QQQ90286.1			metallopeptidase family protein			I5Q88_00045	369	122	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	8567	9223	-							I5Q88_00050	657		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	8567	9223	-	QQQ90979.1			GNAT family N-acetyltransferase			I5Q88_00050	657	218	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	9330	10895	-							I5Q88_00055	1566		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	9330	10895	-	QQQ90287.1			DNA-binding protein			I5Q88_00055	1566	521	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	11291	13126	+							I5Q88_00060	1836		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	11291	13126	+	QQQ90980.1			long-chain fatty acid--CoA ligase			I5Q88_00060	1836	611	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	13203	14705	-							I5Q88_00065	1503		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	13203	14705	-	QQQ90288.1			MFS transporter			I5Q88_00065	1503	500	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	14647	16161	-							I5Q88_00070	1515		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	14647	16161	-	QQQ90981.1			replication-associated recombination protein A			I5Q88_00070	1515	504	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	16292	18880	+							I5Q88_00075	2589		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	16292	18880	+	QQQ90289.1			DUF3516 domain-containing protein			I5Q88_00075	2589	862	
gene	pseudogene	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	18892	19860	-							I5Q88_00080	969		pseudo
CDS	without_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	18892	19860	-				polyphosphate kinase 2 family protein			I5Q88_00080	969		pseudo
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	19977	21068	-							I5Q88_00085	1092		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	19977	21068	-	QQQ90290.1			amino acid ABC transporter permease			I5Q88_00085	1092	363	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	21072	21749	-							I5Q88_00090	678		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	21072	21749	-	QQQ90291.1			ABC transporter permease subunit			I5Q88_00090	678	225	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	21755	22594	-							I5Q88_00095	840		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	21755	22594	-	QQQ90292.1			glutamate ABC transporter substrate-binding protein			I5Q88_00095	840	279	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	22681	23466	-							I5Q88_00100	786		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	22681	23466	-	QQQ90293.1			amino acid ABC transporter ATP-binding protein			I5Q88_00100	786	261	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	23635	24423	-							I5Q88_00105	789		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	23635	24423	-	QQQ90294.1			alpha/beta fold hydrolase			I5Q88_00105	789	262	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	24601	26019	-							I5Q88_00110	1419		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	24601	26019	-	QQQ90295.1			DUF349 domain-containing protein			I5Q88_00110	1419	472	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	26152	27552	+							I5Q88_00115	1401		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	26152	27552	+	QQQ90296.1			histidine--tRNA ligase			I5Q88_00115	1401	466	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	27611	29413	+					aspS		I5Q88_00120	1803		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	27611	29413	+	QQQ90297.1			aspartate--tRNA ligase	aspS		I5Q88_00120	1803	600	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	29809	32361	-							I5Q88_00125	2553		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	29809	32361	-	QQQ90298.1			ATP-dependent Clp protease ATP-binding subunit			I5Q88_00125	2553	850	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	32675	33652	+							I5Q88_00130	978		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	32675	33652	+	QQQ90982.1			universal stress protein			I5Q88_00130	978	325	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	33814	34827	+							I5Q88_00135	1014		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	33814	34827	+	QQQ90299.1			hypothetical protein			I5Q88_00135	1014	337	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	34915	36048	-							I5Q88_00140	1134		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	34915	36048	-	QQQ90300.1			DUF3027 domain-containing protein			I5Q88_00140	1134	377	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	36050	36439	-							I5Q88_00145	390		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	36050	36439	-	QQQ90301.1			cold shock domain-containing protein			I5Q88_00145	390	129	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	36620	38365	-							I5Q88_00150	1746		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	36620	38365	-	QQQ90983.1			HAMP domain-containing histidine kinase			I5Q88_00150	1746	581	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	38440	39177	-							I5Q88_00155	738		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	38440	39177	-	QQQ90302.1			response regulator transcription factor			I5Q88_00155	738	245	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	39231	40241	-							I5Q88_00160	1011		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	39231	40241	-	QQQ90303.1			hypothetical protein			I5Q88_00160	1011	336	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	40319	40612	+							I5Q88_00165	294		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	40319	40612	+	QQQ90304.1			WXG100 family type VII secretion target			I5Q88_00165	294	97	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	40752	42365	-					groL		I5Q88_00170	1614		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	40752	42365	-	QQQ90305.1			chaperonin GroEL	groL		I5Q88_00170	1614	537	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	42581	42793	-							I5Q88_00175	213		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	42581	42793	-	QQQ90306.1			cold shock domain-containing protein			I5Q88_00175	213	70	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	43099	43764	-							I5Q88_00180	666		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	43099	43764	-	QQQ90307.1			LytR C-terminal domain-containing protein			I5Q88_00180	666	221	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	43942	44661	+							I5Q88_00185	720		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	43942	44661	+	QQQ90308.1			uracil-DNA glycosylase			I5Q88_00185	720	239	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	44788	45852	+							I5Q88_00190	1065		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	44788	45852	+	QQQ90309.1			MoxR family ATPase			I5Q88_00190	1065	354	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	45849	46814	+							I5Q88_00195	966		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	45849	46814	+	QQQ90310.1			DUF58 domain-containing protein			I5Q88_00195	966	321	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	46815	47327	+							I5Q88_00200	513		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	46815	47327	+	QQQ90311.1			hypothetical protein			I5Q88_00200	513	170	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	47324	48385	+							I5Q88_00205	1062		
CDS	with_protein	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	47324	48385	+	QQQ90312.1			VWA domain-containing protein			I5Q88_00205	1062	353	
gene	protein_coding	GCA_016696725.1	Primary Assembly	chromosome		CP065311.1	48382	49386	+							I5Q88_00210	1005		
