# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_016696785.1	Primary Assembly	chromosome		CP065314.1	7156273	138	-					spoIVA		I5Q83_00005	1476		
CDS	with_protein	GCA_016696785.1	Primary Assembly	chromosome		CP065314.1	7156273	138	-	QQR00887.1			stage IV sporulation protein A	spoIVA		I5Q83_00005	1476	491	
gene	protein_coding	GCA_016696785.1	Primary Assembly	chromosome		CP065314.1	249	851	-							I5Q83_00010	603		
CDS	with_protein	GCA_016696785.1	Primary Assembly	chromosome		CP065314.1	249	851	-	QQR00888.1			hypothetical protein			I5Q83_00010	603	200	
gene	protein_coding	GCA_016696785.1	Primary Assembly	chromosome		CP065314.1	1062	1772	-							I5Q83_00015	711		
CDS	with_protein	GCA_016696785.1	Primary Assembly	chromosome		CP065314.1	1062	1772	-	QQR00889.1			ABC transporter ATP-binding protein			I5Q83_00015	711	236	
gene	protein_coding	GCA_016696785.1	Primary Assembly	chromosome		CP065314.1	1787	2545	-							I5Q83_00020	759		
CDS	with_protein	GCA_016696785.1	Primary Assembly	chromosome		CP065314.1	1787	2545	-	QQR00890.1			ABC transporter ATP-binding protein			I5Q83_00020	759	252	
gene	protein_coding	GCA_016696785.1	Primary Assembly	chromosome		CP065314.1	2547	3620	-							I5Q83_00025	1074		
CDS	with_protein	GCA_016696785.1	Primary Assembly	chromosome		CP065314.1	2547	3620	-	QQR00891.1			branched-chain amino acid ABC transporter permease			I5Q83_00025	1074	357	
gene	protein_coding	GCA_016696785.1	Primary Assembly	chromosome		CP065314.1	3629	4510	-							I5Q83_00030	882		
CDS	with_protein	GCA_016696785.1	Primary Assembly	chromosome		CP065314.1	3629	4510	-	QQR00892.1			branched-chain amino acid ABC transporter permease			I5Q83_00030	882	293	
gene	protein_coding	GCA_016696785.1	Primary Assembly	chromosome		CP065314.1	4673	5896	-							I5Q83_00035	1224		
CDS	with_protein	GCA_016696785.1	Primary Assembly	chromosome		CP065314.1	4673	5896	-	QQR00893.1			ABC transporter substrate-binding protein			I5Q83_00035	1224	407	
gene	protein_coding	GCA_016696785.1	Primary Assembly	chromosome		CP065314.1	6098	7111	-							I5Q83_00040	1014		
CDS	with_protein	GCA_016696785.1	Primary Assembly	chromosome		CP065314.1	6098	7111	-	QQR00894.1			NAD(P)-dependent glycerol-3-phosphate dehydrogenase			I5Q83_00040	1014	337	
gene	protein_coding	GCA_016696785.1	Primary Assembly	chromosome		CP065314.1	7169	7795	-					plsY		I5Q83_00045	627		
CDS	with_protein	GCA_016696785.1	Primary Assembly	chromosome		CP065314.1	7169	7795	-	QQR00895.1			glycerol-3-phosphate 1-O-acyltransferase PlsY	plsY		I5Q83_00045	627	208	
