dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT5_e15	GT5:148	-	-	472	CP065315.1_1037	479	1.1e-213	1	470	3	472	0.993644067797
CBM54_e1	CBM54:21|GH16_3:18|CBM4:17|CBM6:11|CBM32:2|GH55:1	3.2.1.73:2|3.2.1.6:2	xylan, yeast cell wall glucan and chitin	113	CP065315.1_1256	1625	1.3e-21	5	112	198	311	0.946902654867
CE4_e61	CE4:7	-	-	111	CP065315.1_2631	257	2.9e-60	2	110	57	165	0.972972972973
GT28_e144	GT28:92	-	-	147	CP065315.1_2653	365	4.4e-65	1	146	196	341	0.986394557823
GT4_e393	GT4:10	-	-	155	CP065315.1_2659	369	6.5e-62	1	154	186	337	0.987096774194
GT4_e3921	GT4:19	-	-	152	CP065315.1_281	741	4.4e-67	2	152	191	341	0.986842105263
GT1_e656	GT1:148	-	-	358	CP065315.1_3083	398	1.9e-147	1	357	30	386	0.994413407821
GH65_e12	GH65:13	-	-	374	CP065315.1_3189	721	1.6e-204	1	374	302	675	0.997326203209
GH31_e35	GH31:280|CBM35:134	2.4.1.-:9|3.2.1.204:2	-	469	CP065315.1_3198	1077	4.3e-228	2	469	356	820	0.995735607676
CBM35_e37	CBM35:135|GH31:134|CBM61:1|GH16:1	2.4.1.-:8	xylan,decorated soluble mannan and mannooligosaccharide,beta-galactan	120	CP065315.1_3198	1077	1.6e-45	1	119	956	1072	0.983333333333
GH77_e1	GH77:1346|GT35:16	2.4.1.25:3	maltose, starch	479	CP065315.1_377	493	8.6e-185	1	478	11	488	0.995824634656
GT35_e0	GT35:17065|GH77:18|GH13_39:1	2.4.1.1:158	-	712	CP065315.1_1038	813	9.6e-303	2	710	95	806	0.994382022472
GH109_e7	GH109:31	-	-	390	CP065315.1_1696	347	1.7e-21	4	169	4	169	0.423076923077
GT2	GT2:37|GT0:2|GT32:1	-	-	209	CP065315.1_2029	357	6.7e-49	1	105	5	109	0.497607655502
GH3_e71	GH3:139	-	-	225	CP065315.1_2505	432	4.4e-91	3	225	125	358	0.986666666667
GT2	GT2:308	-	-	168	CP065315.1_2851	323	8.3e-78	1	167	8	174	0.988095238095
CE9_e44	CE9:51	-	-	367	CP065315.1_286	374	6.1e-173	2	367	6	369	0.994550408719
CBM50_e582	CBM50:87|GH18:85	-	chitin or peptidoglycan	43	CP065315.1_3498	427	5.8e-17	1	42	5	46	0.953488372093
CBM50_e582	CBM50:87|GH18:85	-	chitin or peptidoglycan	43	CP065315.1_3498	427	5.3e-16	1	42	54	96	0.953488372093
GH18_e166	GH18:91|CBM50:81	-	-	237	CP065315.1_3498	427	2.1e-108	2	237	172	407	0.991561181435
CE7_e2	CE7:32	-	-	311	CP065315.1_597	325	3.2e-162	2	311	7	317	0.993569131833
GT39_e29	GT39:80|CBM0:21|CBM16:6	-	-	201	CP065315.1_1047	650	7.1e-81	2	200	240	456	0.985074626866
GT2	GT2:27	-	-	227	CP065315.1_1199	426	5.7e-117	1	227	50	275	0.995594713656
CE9_e77	CE9:12	-	-	372	CP065315.1_1606	386	3.3e-188	1	372	9	380	0.997311827957
CE4_e53	CE4:51	-	-	122	CP065315.1_1674	263	1.5e-58	2	121	49	168	0.975409836066
GH18_e313	GH18:9	-	-	258	CP065315.1_1796	554	1.9e-43	54	257	319	537	0.786821705426
CBM50_e776	CBM50:5	-	chitin or peptidoglycan	43	CP065315.1_1817	498	3.4e-31	1	43	233	275	0.976744186047
GH13_e89	GH13_39:173|CBM34:90|GH77:35|GH13:18|GH13_20:2|CBM48:1	-	sucrose 6(F)-phosphate	317	CP065315.1_2073	615	1.3e-132	2	317	177	507	0.993690851735
GT2	GT2:24	-	-	150	CP065315.1_2074	298	2.7e-59	1	145	8	152	0.96
GH109_e7	GH109:31	-	-	390	CP065315.1_2295	340	5.1e-21	13	156	16	160	0.366666666667
GT51_e152	GT51:13	-	-	174	CP065315.1_265	902	1.1e-81	1	174	94	263	0.994252873563
GT4_e2924	GT4:8	-	-	120	CP065315.1_282	358	4.3e-24	5	119	206	321	0.95
GH4_e17	GH4:1013	3.2.1.22:9	alpha-D-galactoside (raffinose family of oligosaccharides)	180	CP065315.1_3046	461	3.5e-88	1	178	4	181	0.983333333333
CBM32_e7	CBM32:30|GH101:29|CBM51:2	-	galactose, lactose, LacNAc	127	CP065315.1_3048	773	6.2e-24	7	127	525	642	0.944881889764
GT2	GT2:136|GT0:4	-	-	142	CP065315.1_3112	362	3.4e-62	1	141	6	146	0.985915492958
GH125_e0	GH125:1681	3.2.1.-:2	alpha-mannan, plant N-glycan	396	CP065315.1_3190	600	1.1e-17	192	391	400	585	0.502525252525
GH31_e35	GH31:280|CBM35:134	2.4.1.-:9|3.2.1.204:2	-	469	CP065315.1_3195	667	2.6e-197	2	467	121	591	0.991471215352
GH25_e94	GH25:19	-	-	174	CP065315.1_3242	248	3e-80	1	174	52	224	0.994252873563
GT76_e12	GT76:10	-	-	190	CP065315.1_50	418	3e-37	5	183	90	270	0.936842105263
CBM40_e6	CBM40:46|GH33:45|CBM32:23	3.2.1.18:5	sialic acid	173	CP065315.1_594	708	2.1e-21	11	169	57	221	0.913294797688
