# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	5127385	143	-					rimO		I5Q86_00005	1341		
CDS	with_protein	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	5127385	143	-	QQQ93247.1			30S ribosomal protein S12 methylthiotransferase RimO	rimO		I5Q86_00005	1341	446	
gene	protein_coding	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	250	510	-							I5Q86_00010	261		
CDS	with_protein	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	250	510	-	QQQ93248.1			DNA-directed RNA polymerase subunit omega			I5Q86_00010	261	86	
gene	protein_coding	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	514	1146	-					gmk		I5Q86_00015	633		
CDS	with_protein	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	514	1146	-	QQQ93249.1			guanylate kinase	gmk		I5Q86_00015	633	210	
gene	protein_coding	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	1139	1411	-							I5Q86_00020	273		
CDS	with_protein	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	1139	1411	-	QQQ93250.1			DUF370 domain-containing protein			I5Q86_00020	273	90	
gene	protein_coding	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	1425	2303	-							I5Q86_00025	879		
CDS	with_protein	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	1425	2303	-	QQQ93251.1			YicC family protein			I5Q86_00025	879	292	
gene	protein_coding	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	2575	4323	+							I5Q86_00030	1749		
CDS	with_protein	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	2575	4323	+	QQQ93252.1			NFACT family protein			I5Q86_00030	1749	582	
gene	protein_coding	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	4320	5948	-							I5Q86_00035	1629		
CDS	with_protein	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	4320	5948	-	QQQ93253.1			amidohydrolase			I5Q86_00035	1629	542	
gene	protein_coding	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	6258	6701	-							I5Q86_00040	444		
CDS	with_protein	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	6258	6701	-	QQQ93254.1			chemotaxis protein CheW			I5Q86_00040	444	147	
gene	protein_coding	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	6688	8754	-							I5Q86_00045	2067		
CDS	with_protein	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	6688	8754	-	QQQ93255.1			chemotaxis protein CheA			I5Q86_00045	2067	688	
gene	protein_coding	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	8768	9709	-							I5Q86_00050	942		
CDS	with_protein	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	8768	9709	-	QQQ93256.1			diguanylate cyclase			I5Q86_00050	942	313	
gene	protein_coding	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	9727	10203	-							I5Q86_00055	477		
CDS	with_protein	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	9727	10203	-	QQQ93257.1			chemotaxis protein CheD			I5Q86_00055	477	158	
gene	protein_coding	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	10196	10819	-							I5Q86_00060	624		
CDS	with_protein	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	10196	10819	-	QQQ93258.1			chemotaxis protein CheC			I5Q86_00060	624	207	
gene	protein_coding	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	10838	12514	-							I5Q86_00065	1677		
CDS	with_protein	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	10838	12514	-	QQQ93259.1			methyl-accepting chemotaxis protein			I5Q86_00065	1677	558	
gene	protein_coding	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	12529	12900	-							I5Q86_00070	372		
CDS	with_protein	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	12529	12900	-	QQQ93260.1			response regulator			I5Q86_00070	372	123	
gene	protein_coding	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	12905	13726	-							I5Q86_00075	822		
CDS	with_protein	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	12905	13726	-	QQQ93261.1			protein-glutamate O-methyltransferase CheR			I5Q86_00075	822	273	
gene	protein_coding	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	13713	14039	-							I5Q86_00080	327		
CDS	with_protein	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	13713	14039	-	QQQ93262.1			hypothetical protein			I5Q86_00080	327	108	
gene	protein_coding	GCA_016696745.1	Primary Assembly	chromosome		CP065312.1	14027	14422	-							I5Q86_00085	396		
