# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	3024500	947	+					cadA		I5Q89_00005	2103		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	3024500	947	+	QQR12101.1			cadmium-translocating P-type ATPase	cadA		I5Q89_00005	2103	700	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	1216	1659	+					zapA		I5Q89_00010	444		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	1216	1659	+	QQR12102.1			cell division protein ZapA	zapA		I5Q89_00010	444	147	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	1679	2227	+							I5Q89_00015	549		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	1679	2227	+	QQR12103.1			CvpA family protein			I5Q89_00015	549	182	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	2338	4704	+							I5Q89_00020	2367		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	2338	4704	+	QQR12104.1			endonuclease MutS2			I5Q89_00020	2367	788	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	4802	5116	+					trxA		I5Q89_00025	315		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	4802	5116	+	QQR12105.1			thioredoxin	trxA		I5Q89_00025	315	104	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	5281	7077	+					uvrC		I5Q89_00030	1797		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	5281	7077	+	QQR12106.1			excinuclease ABC subunit UvrC	uvrC		I5Q89_00030	1797	598	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	7231	7488	+							I5Q89_00035	258		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	7231	7488	+	QQR12107.1			DUF3884 family protein			I5Q89_00035	258	85	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	7593	8492	+							I5Q89_00040	900		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	7593	8492	+	QQR12108.1			ABC transporter ATP-binding protein			I5Q89_00040	900	299	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	8485	9747	+							I5Q89_00045	1263		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	8485	9747	+	QQR12109.1			ABC transporter permease			I5Q89_00045	1263	420	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	9783	10781	-							I5Q89_00050	999		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	9783	10781	-	QQR12110.1			LacI family DNA-binding transcriptional regulator			I5Q89_00050	999	332	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	10923	12317	+							I5Q89_00055	1395		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	10923	12317	+	QQR12111.1			6-phospho-beta-glucosidase			I5Q89_00055	1395	464	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	12343	12849	-							I5Q89_00060	507		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	12343	12849	-	QQR12112.1			hypothetical protein			I5Q89_00060	507	168	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	13095	14561	+					abc-f		I5Q89_00065	1467		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	13095	14561	+	QQR13399.1			ABC-F type ribosomal protection protein	abc-f		I5Q89_00065	1467	488	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	14602	15888	-							I5Q89_00070	1287		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	14602	15888	-	QQR12113.1			NAD(P)/FAD-dependent oxidoreductase			I5Q89_00070	1287	428	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	16026	17372	+					gdhA		I5Q89_00075	1347		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	16026	17372	+	QQR12114.1			NADP-specific glutamate dehydrogenase	gdhA		I5Q89_00075	1347	448	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	17554	18903	+							I5Q89_00080	1350		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	17554	18903	+	QQR12115.1			glucose-6-phosphate isomerase			I5Q89_00080	1350	449	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	18969	19148	-							I5Q89_00085	180		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	18969	19148	-	QQR12116.1			hypothetical protein			I5Q89_00085	180	59	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	19207	19650	-					nrdI		I5Q89_00090	444		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	19207	19650	-	QQR12117.1			class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI	nrdI		I5Q89_00090	444	147	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	20023	20346	+							I5Q89_00095	324		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	20023	20346	+	QQR12118.1			ATPase V			I5Q89_00095	324	107	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	20336	22315	+							I5Q89_00100	1980		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	20336	22315	+	QQR12119.1			V-type ATP synthase subunit I			I5Q89_00100	1980	659	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	22343	22816	+							I5Q89_00105	474		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	22343	22816	+	QQR12120.1			V-type ATP synthase subunit K			I5Q89_00105	474	157	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	22833	23414	+							I5Q89_00110	582		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	22833	23414	+	QQR12121.1			ATPase V			I5Q89_00110	582	193	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	23431	24432	+							I5Q89_00115	1002		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	23431	24432	+	QQR12122.1			V-type ATPase subunit			I5Q89_00115	1002	333	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	24422	24733	+							I5Q89_00120	312		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	24422	24733	+	QQR12123.1			V-type ATP synthase subunit F			I5Q89_00120	312	103	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	24751	26532	+							I5Q89_00125	1782		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	24751	26532	+	QQR12124.1			V-type ATP synthase subunit A			I5Q89_00125	1782	593	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	26525	27901	+							I5Q89_00130	1377		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	26525	27901	+	QQR12125.1			V-type ATP synthase subunit B			I5Q89_00130	1377	458	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	27906	28541	+							I5Q89_00135	636		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	27906	28541	+	QQR12126.1			V-type ATP synthase subunit D			I5Q89_00135	636	211	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	28616	29005	+							I5Q89_00140	390		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	28616	29005	+	QQR12127.1			hypothetical protein			I5Q89_00140	390	129	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	29144	29653	+							I5Q89_00145	510		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	29144	29653	+	QQR12128.1			RNA polymerase sigma factor			I5Q89_00145	510	169	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	29654	30751	+							I5Q89_00150	1098		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	29654	30751	+	QQR12129.1			hypothetical protein			I5Q89_00150	1098	365	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	30862	31749	-							I5Q89_00155	888		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	30862	31749	-	QQR13400.1			serine hydrolase			I5Q89_00155	888	295	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	31904	33784	-							I5Q89_00160	1881		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	31904	33784	-	QQR12130.1			fructose-bisphosphatase class III			I5Q89_00160	1881	626	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	33982	35292	+					lysA		I5Q89_00165	1311		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	33982	35292	+	QQR12131.1			diaminopimelate decarboxylase	lysA		I5Q89_00165	1311	436	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	35439	36431	+							I5Q89_00170	993		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	35439	36431	+	QQR13401.1			alpha/beta hydrolase			I5Q89_00170	993	330	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	37268	38122	+							I5Q89_00175	855		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	37268	38122	+	QQR12132.1			hypothetical protein			I5Q89_00175	855	284	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	38335	38874	+							I5Q89_00180	540		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	38335	38874	+	QQR12133.1			GNAT family N-acetyltransferase			I5Q89_00180	540	179	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	38972	39316	-							I5Q89_00185	345		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	38972	39316	-	QQR12134.1			metal-sulfur cluster assembly factor			I5Q89_00185	345	114	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	39593	40657	+							I5Q89_00190	1065		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	39593	40657	+	QQR12135.1			dipeptide epimerase			I5Q89_00190	1065	354	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	40674	42050	+							I5Q89_00195	1377		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	40674	42050	+	QQR12136.1			transglutaminase domain-containing protein			I5Q89_00195	1377	458	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	42068	43720	+							I5Q89_00200	1653		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	42068	43720	+	QQR12137.1			peptide ABC transporter substrate-binding protein			I5Q89_00200	1653	550	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	44030	44863	+							I5Q89_00205	834		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	44030	44863	+	QQR12138.1			PRD domain-containing protein			I5Q89_00205	834	277	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	44900	46897	+							I5Q89_00210	1998		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	44900	46897	+	QQR12139.1			PTS transporter subunit EIIC			I5Q89_00210	1998	665	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	47139	48620	+							I5Q89_00215	1482		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	47139	48620	+	QQR12140.1			PRD domain-containing protein			I5Q89_00215	1482	493	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	48610	49062	+							I5Q89_00220	453		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	48610	49062	+	QQR12141.1			PTS sugar transporter subunit IIA			I5Q89_00220	453	150	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	49062	49379	+							I5Q89_00225	318		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	49062	49379	+	QQR12142.1			PTS fructose transporter subunit IIB			I5Q89_00225	318	105	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	49399	49848	+							I5Q89_00230	450		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	49399	49848	+	QQR12143.1			PTS sugar transporter subunit IIA			I5Q89_00230	450	149	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	49958	51058	+							I5Q89_00235	1101		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	49958	51058	+	QQR12144.1			PTS fructose transporter subunit IIC			I5Q89_00235	1101	366	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	51196	51885	+							I5Q89_00240	690		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	51196	51885	+	QQR12145.1			ribulose-phosphate 3-epimerase			I5Q89_00240	690	229	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	52176	52793	+							I5Q89_00245	618		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	52176	52793	+	QQR12146.1			lysozyme family protein			I5Q89_00245	618	205	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	52922	55258	+							I5Q89_00250	2337		
CDS	with_protein	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	52922	55258	+	QQR12147.1			cation-translocating P-type ATPase			I5Q89_00250	2337	778	
gene	protein_coding	GCA_016696825.1	Primary Assembly	chromosome		CP065317.1	55575	57461	+							I5Q89_00255	1887		
