# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	3305922	1066	+							I5Q90_00005	2214		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	3305922	1066	+	QQR09011.1			DUF3857 domain-containing protein			I5Q90_00005	2214	737	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	1230	1826	-							I5Q90_00010	597		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	1230	1826	-	QQR09012.1			response regulator transcription factor			I5Q90_00010	597	198	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	1823	2524	-							I5Q90_00015	702		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	1823	2524	-	QQR09013.1			hemerythrin domain-containing protein			I5Q90_00015	702	233	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	2653	5280	-							I5Q90_00020	2628		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	2653	5280	-	QQR09014.1			valine--tRNA ligase			I5Q90_00020	2628	875	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	5494	6075	-							I5Q90_00025	582		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	5494	6075	-	QQR09015.1			electron transport complex protein RnfA			I5Q90_00025	582	193	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	6078	6665	-							I5Q90_00030	588		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	6078	6665	-	QQR09016.1			electron transport complex subunit E			I5Q90_00030	588	195	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	6669	7340	-							I5Q90_00035	672		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	6669	7340	-	QQR09017.1			RnfABCDGE type electron transport complex subunit G			I5Q90_00035	672	223	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	7337	8290	-							I5Q90_00040	954		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	7337	8290	-	QQR09018.1			RnfABCDGE type electron transport complex subunit D			I5Q90_00040	954	317	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	8338	9699	-					rsxC		I5Q90_00045	1362		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	8338	9699	-	QQR09019.1			electron transport complex subunit RsxC	rsxC		I5Q90_00045	1362	453	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	9709	10614	-							I5Q90_00050	906		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	9709	10614	-	QQR09020.1			RnfABCDGE type electron transport complex subunit B			I5Q90_00050	906	301	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	10709	11137	-							I5Q90_00055	429		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	10709	11137	-	QQR09021.1			SoxR reducing system RseC family protein			I5Q90_00055	429	142	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	11137	12384	-							I5Q90_00060	1248		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	11137	12384	-	QQR09022.1			DUF1015 domain-containing protein			I5Q90_00060	1248	415	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	12390	13658	-							I5Q90_00065	1269		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	12390	13658	-	QQR09023.1			adenylosuccinate synthase			I5Q90_00065	1269	422	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	13687	14151	-							I5Q90_00070	465		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	13687	14151	-	QQR09024.1			transcriptional repressor			I5Q90_00070	465	154	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	14265	16712	-							I5Q90_00075	2448		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	14265	16712	-	QQR09025.1			Smr/MutS family protein			I5Q90_00075	2448	815	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	16851	17582	+							I5Q90_00080	732		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	16851	17582	+	QQR09026.1			C40 family peptidase			I5Q90_00080	732	243	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	17676	19013	-					gdhA		I5Q90_00085	1338		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	17676	19013	-	QQR09027.1			NADP-specific glutamate dehydrogenase	gdhA		I5Q90_00085	1338	445	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	19314	19739	+							I5Q90_00090	426		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	19314	19739	+	QQR09028.1			DUF4293 domain-containing protein			I5Q90_00090	426	141	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	19840	20898	-							I5Q90_00095	1059		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	19840	20898	-	QQR09029.1			GNAT family N-acetyltransferase			I5Q90_00095	1059	352	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	20983	21879	-							I5Q90_00100	897		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	20983	21879	-	QQR09030.1			GSCFA domain-containing protein			I5Q90_00100	897	298	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	22036	22659	+							I5Q90_00105	624		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	22036	22659	+	QQR09031.1			radical SAM protein			I5Q90_00105	624	207	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	22664	23464	+							I5Q90_00110	801		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	22664	23464	+	QQR09032.1			TonB family protein			I5Q90_00110	801	266	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	23467	24399	+							I5Q90_00115	933		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	23467	24399	+	QQR09033.1			carboxypeptidase-like regulatory domain-containing protein			I5Q90_00115	933	310	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	24403	24579	+							I5Q90_00120	177		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	24403	24579	+	QQR09034.1			hypothetical protein			I5Q90_00120	177	58	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	24576	25040	+							I5Q90_00125	465		
CDS	with_protein	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	24576	25040	+	QQR09035.1			hypothetical protein			I5Q90_00125	465	154	
gene	protein_coding	GCA_016696845.1	Primary Assembly	chromosome		CP065316.1	25047	25604	+							I5Q90_00130	558		
