dbCAN.subfam	Subfam.Composition	Subfam.EC	Substrate	Profile.Length	Gene.ID	Gene.Length	E.Value	Profile.Start	Profile.End	Gene.Start	Gene.End	Coverage
GT35_e0	GT35:17065|GH77:18|GH13_39:1	2.4.1.1:158	-	712	NZ_CP028714.1_1004	798	0	1	711	92	796	0.997191011236
GT107_e0	GT107:1594	2.4.99.-:2	-	525	NZ_CP028714.1_1464	676	1.5e-135	185	497	9	326	0.594285714286
GT107_e0	GT107:1594	2.4.99.-:2	-	525	NZ_CP028714.1_1464	676	2.1e-155	148	515	301	667	0.699047619048
GH109_e7	GH109:31	-	-	390	NZ_CP028714.1_1526	373	4.6e-16	3	192	3	184	0.484615384615
GT4_e1042	GT4:40	-	-	71	NZ_CP028714.1_2473	406	1.1e-43	1	71	288	358	0.985915492958
CBM50_e567	CBM50:3868	-	chitin or peptidoglycan	42	NZ_CP028714.1_2729	441	3.6e-22	1	42	99	140	0.97619047619
GH2_e29	GH2:3674|GH31:1	3.2.1.31:89	beta-D-glucuronoside	578	NZ_CP028714.1_2959	604	5.3e-268	2	578	9	588	0.996539792388
GH1_e0	GH1:9150	3.2.1.86:26|3.2.1.23:2|3.2.1.21:1	6-phospho-beta-D-glucoside, beta-D-galactoside, beta-D-glucoside	472	NZ_CP028714.1_3013	480	7.8e-245	2	472	4	477	0.995762711864
GT2	GT2:630	-	-	347	NZ_CP028714.1_3501	838	1.8e-155	4	342	235	573	0.974063400576
GT1_e0	GT1:1166	2.4.-.-:1	-	230	NZ_CP028714.1_3545	372	2.7e-129	1	230	138	367	0.995652173913
GH24_e283	GH24:928	-	-	132	NZ_CP028714.1_3761	171	2.2e-79	1	132	31	162	0.992424242424
CBM34_e8	CBM34:3739|GH13_21:3729|GH13:3|CBM25:2|GH13_20:1	3.2.1.20:14|3.2.1.1:3	granular starch	108	NZ_CP028714.1_4164	606	2.5e-44	1	107	7	113	0.981481481481
GH13_e88	GH13_21:161|CBM34:128|GH13_20:6|GH13:4|CBM25:2	3.2.1.1:1|3.2.1.133:1|3.2.1.20:1	sucrose 6(F)-phosphate, starch, glycogen, and malto-oligosaccharides, starch, starch	315	NZ_CP028714.1_4164	606	6.4e-156	1	315	179	492	0.996825396825
AA3_e57	AA3_2:11	-	-	532	NZ_CP028714.1_4234	557	8.5e-203	1	532	3	533	0.998120300752
GT2	GT2:44|GT25:39	-	-	115	NZ_CP028714.1_4340	813	1.7e-52	1	114	19	134	0.982608695652
GT25_e165	GT25:355|GT2:351	-	-	127	NZ_CP028714.1_4340	813	1.7e-53	2	127	264	397	0.984251968504
AA1_e20	AA1:10	-	-	461	NZ_CP028714.1_4483	517	5.7e-28	3	461	75	512	0.993492407809
AA2_e1	AA2:59	-	-	252	NZ_CP028714.1_460	727	9e-18	14	109	92	188	0.376984126984
AA2_e1	AA2:59	-	-	252	NZ_CP028714.1_460	727	1.1e-16	16	249	461	720	0.924603174603
GH23_e96	GH23:3929	4.2.2.n1:10	peptidoglycan	127	NZ_CP028714.1_4615	646	2.1e-65	1	126	497	622	0.984251968504
GT26_e141	GT26:4099	2.4.1.-:12	-	170	NZ_CP028714.1_625	247	6.4e-93	2	170	64	232	0.988235294118
GH1_e85	GH1:13226	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	6-phospho-beta-D-glucoside, beta-D-glucoside, beta-D-glucoside, beta-D-xyloside	470	NZ_CP028714.1_688	465	2.9e-222	1	469	4	459	0.995744680851
GT2	GT2:8	-	-	219	NZ_CP028714.1_786	328	2.1e-53	1	161	10	236	0.730593607306
GH13_e62	GH13_19:166|CBM26:16|CBM25:10|CBM74:4|GH13:2|CBM48:1	3.2.1.-:1|3.2.1.1:1	sucrose 6(F)-phosphate, starch, starch, glycogen, and malto-oligosaccharides	378	NZ_CP028714.1_834	677	1.5e-191	1	377	227	595	0.994708994709
GT51_e0	GT51:5325	2.4.1.129:10	-	165	NZ_CP028714.1_1203	243	1.1e-86	1	164	63	227	0.987878787879
