# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_016697425.1	Primary Assembly	chromosome		CP065322.1	2736708	10	-							I5Q85_00005	660		
CDS	with_protein	GCA_016697425.1	Primary Assembly	chromosome		CP065322.1	2736708	10	-	QQR33241.1			DUF3313 family protein			I5Q85_00005	660	219	
gene	protein_coding	GCA_016697425.1	Primary Assembly	chromosome		CP065322.1	363	1646	+							I5Q85_00010	1284		
CDS	with_protein	GCA_016697425.1	Primary Assembly	chromosome		CP065322.1	363	1646	+	QQR33242.1			aminopeptidase P N-terminal domain-containing protein			I5Q85_00010	1284	427	
gene	protein_coding	GCA_016697425.1	Primary Assembly	chromosome		CP065322.1	1712	2587	+							I5Q85_00015	876		
CDS	with_protein	GCA_016697425.1	Primary Assembly	chromosome		CP065322.1	1712	2587	+	QQR33243.1			ATP phosphoribosyltransferase			I5Q85_00015	876	291	
gene	protein_coding	GCA_016697425.1	Primary Assembly	chromosome		CP065322.1	2630	2734	+							I5Q85_00020	105		
CDS	with_protein	GCA_016697425.1	Primary Assembly	chromosome		CP065322.1	2630	2734	+	QQR33244.1			AURKAIP1/COX24 domain-containing protein			I5Q85_00020	105	34	
gene	protein_coding	GCA_016697425.1	Primary Assembly	chromosome		CP065322.1	2972	3400	+							I5Q85_00025	429		
CDS	with_protein	GCA_016697425.1	Primary Assembly	chromosome		CP065322.1	2972	3400	+	QQR33245.1			hypothetical protein			I5Q85_00025	429	142	
gene	protein_coding	GCA_016697425.1	Primary Assembly	chromosome		CP065322.1	3410	4117	+							I5Q85_00030	708		
CDS	with_protein	GCA_016697425.1	Primary Assembly	chromosome		CP065322.1	3410	4117	+	QQR33246.1			hypothetical protein			I5Q85_00030	708	235	
gene	protein_coding	GCA_016697425.1	Primary Assembly	chromosome		CP065322.1	4346	6094	+							I5Q85_00035	1749		
