# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_016697325.1	Primary Assembly	chromosome		CP065320.1	4452121	490	+							I5Q87_00005	516		
CDS	with_protein	GCA_016697325.1	Primary Assembly	chromosome		CP065320.1	4452121	490	+	QQR26381.1			hypothetical protein			I5Q87_00005	516	171	
gene	protein_coding	GCA_016697325.1	Primary Assembly	chromosome		CP065320.1	477	788	+							I5Q87_00010	312		
CDS	with_protein	GCA_016697325.1	Primary Assembly	chromosome		CP065320.1	477	788	+	QQR26382.1			hypothetical protein			I5Q87_00010	312	103	
gene	protein_coding	GCA_016697325.1	Primary Assembly	chromosome		CP065320.1	1256	2473	-							I5Q87_00015	1218		
CDS	with_protein	GCA_016697325.1	Primary Assembly	chromosome		CP065320.1	1256	2473	-	QQR26383.1			tyrosine-type recombinase/integrase			I5Q87_00015	1218	405	
gene	protein_coding	GCA_016697325.1	Primary Assembly	chromosome		CP065320.1	3029	3517	+							I5Q87_00020	489		
CDS	with_protein	GCA_016697325.1	Primary Assembly	chromosome		CP065320.1	3029	3517	+	QQR26384.1			hypothetical protein			I5Q87_00020	489	162	
gene	protein_coding	GCA_016697325.1	Primary Assembly	chromosome		CP065320.1	3577	3867	-							I5Q87_00025	291		
CDS	with_protein	GCA_016697325.1	Primary Assembly	chromosome		CP065320.1	3577	3867	-	QQR26385.1			hypothetical protein			I5Q87_00025	291	96	
gene	protein_coding	GCA_016697325.1	Primary Assembly	chromosome		CP065320.1	4255	4842	-							I5Q87_00030	588		
CDS	with_protein	GCA_016697325.1	Primary Assembly	chromosome		CP065320.1	4255	4842	-	QQR26386.1			hypothetical protein			I5Q87_00030	588	195	
gene	protein_coding	GCA_016697325.1	Primary Assembly	chromosome		CP065320.1	5014	5964	+							I5Q87_00035	951		
CDS	with_protein	GCA_016697325.1	Primary Assembly	chromosome		CP065320.1	5014	5964	+	QQR26387.1			substrate-binding domain-containing protein			I5Q87_00035	951	316	
gene	protein_coding	GCA_016697325.1	Primary Assembly	chromosome		CP065320.1	6043	6984	+					pstC		I5Q87_00040	942		
