dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT28_e46	GT28:8561	2.4.1.227:11	-	160	CP065313.1_1546	359	4.9e-57	1	159	187	345	0.9875
GT2	GT2:108	2.4.1.12:1	-	294	CP065313.1_1673	887	4.1e-99	1	293	290	563	0.993197278912
GT2	GT2:522	2.4.1.12:6|2.4.1.-:1	-	352	CP065313.1_1673	887	3.3e-49	79	312	448	729	0.661931818182
GH24_e123	GH24:56	-	-	132	CP065313.1_1858	172	1.7e-36	5	131	24	167	0.954545454545
GT2	GT2:5	-	-	134	CP065313.1_2157	349	4.2e-40	1	124	14	128	0.917910447761
GT4_e1490	GT4:23	-	-	132	CP065313.1_2514	369	1e-56	2	131	189	318	0.977272727273
GT19_e37	GT19:847	-	-	356	CP065313.1_374	385	3.7e-134	2	354	11	365	0.988764044944
GT51_e0	GT51:5325	2.4.1.129:10	-	165	CP065313.1_424	241	5.7e-64	2	164	68	231	0.981818181818
GH23_e276	GH23:87	-	-	102	CP065313.1_708	279	7e-38	1	101	129	229	0.980392156863
GH23_e326	GH23:1448|CBM50:1331	-	-	139	CP065313.1_2019	570	5.3e-68	1	139	73	211	0.992805755396
CBM50_e183	CBM50:75|GH18:69|GH23:1	-	chitin or peptidoglycan	43	CP065313.1_2019	570	7.2e-17	1	42	452	493	0.953488372093
GT2	GT2:8|GT4:1	-	-	164	CP065313.1_2040	790	4.5e-41	1	139	5	142	0.841463414634
GT4_e2008	GT4:8|GT2:1	-	-	143	CP065313.1_2040	790	6.3e-44	1	138	518	654	0.958041958042
GT2	GT2:363	-	-	152	CP065313.1_2152	368	6.6e-53	2	152	42	217	0.986842105263
GT4_e2874	GT4:57|GT2:50|GT17:2	-	-	133	CP065313.1_2159	431	2.3e-28	1	132	261	392	0.984962406015
GT4_e2874	GT4:57|GT2:50|GT17:2	-	-	133	CP065313.1_2160	760	2.6e-32	1	132	273	408	0.984962406015
GT2	GT2:8|GT4:1	-	-	119	CP065313.1_2160	760	7.1e-46	1	119	458	573	0.991596638655
GH3_e78	GH3:1653	3.2.1.52:1	chitin, peptidoglycan	228	CP065313.1_2357	357	1.9e-105	2	228	61	286	0.991228070175
GT104_e0	GT104:2389	2.4.1.-:4	-	383	CP065313.1_2411	370	4e-122	5	381	7	368	0.981723237598
GT111_e20	GT111:28|GT8:1	-	-	225	CP065313.1_307	259	1.4e-86	1	224	6	222	0.991111111111
GH23_e977	GH23:408	-	-	143	CP065313.1_465	218	4e-53	3	140	49	179	0.958041958042
GT30_e26	GT30:1466	2.4.99.-:1	-	172	CP065313.1_917	440	9.8e-67	1	171	37	217	0.988372093023
GT9_e37	GT9:13	-	-	209	CP065313.1_918	306	1.8e-86	1	208	68	271	0.99043062201
CE11_e22	CE11:9240	3.5.1.108:18	biosynthesis of lipid A	272	CP065313.1_1540	306	3.8e-124	1	271	5	275	0.992647058824
GH8_e0	GH8:4312	3.2.1.4:20|3.2.1.6:1	beta-D-glucan(cellulose, lichenin and cereal D-glucans), beta-D-glucan(laminarin, lichenin and cereal D-glucans)	326	CP065313.1_1671	367	1.5e-97	2	325	24	335	0.990797546012
GT51_e153	GT51:4623	-	-	175	CP065313.1_1737	807	4.6e-78	1	175	88	262	0.994285714286
CBM50_e170	CBM50:946	-	chitin or peptidoglycan	43	CP065313.1_1824	251	4.5e-18	1	42	40	81	0.953488372093
GT9_e327	GT9:6	-	-	211	CP065313.1_2030	315	3e-80	1	206	79	284	0.971563981043
GH23_e208	GH23:25	-	-	125	CP065313.1_2142	162	1.2e-42	4	121	32	149	0.936
GH103_e12	GH103:1128	-	-	288	CP065313.1_2476	393	4.5e-100	3	288	50	349	0.989583333333
GT2	GT2:33	-	-	117	CP065313.1_2511	271	6.2e-45	2	116	6	120	0.974358974359
GT2	GT2:9	-	-	121	CP065313.1_2512	260	2.5e-44	1	121	13	133	0.99173553719
GT73_e0	GT73:923	2.4.99.-:1	-	237	CP065313.1_2513	328	2.2e-32	3	233	84	317	0.970464135021
GH102_e26	GH102:180	-	-	157	CP065313.1_863	401	2.9e-62	3	157	141	294	0.980891719745
