# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	1	465	-							DBZ19_00005	465		pseudo
CDS	without_protein	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	1	465	-				Na+/H+ antiporter NhaC			DBZ19_00005	465		pseudo
gene	pseudogene	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	616	1864	-							DBZ19_00010	1249		pseudo
CDS	without_protein	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	616	1864	-				pyridine nucleotide-disulfide oxidoreductase			DBZ19_00010	1249		pseudo
gene	pseudogene	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	1913	2143	+							DBZ19_00015	231		pseudo
CDS	without_protein	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	1913	2143	+				hypothetical protein			DBZ19_00015	231		pseudo
gene	pseudogene	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	2150	4093	-							DBZ19_00020	1944		pseudo
CDS	without_protein	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	2150	4093	-				PTS-dependent dihydroxyacetone kinase operon transcriptional regulator DhaR			DBZ19_00020	1944		pseudo
gene	pseudogene	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	4472	6210	+							DBZ19_00025	1739		pseudo
CDS	without_protein	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	4472	6210	+				glyoxylate carboligase			DBZ19_00025	1739		pseudo
gene	pseudogene	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	6223	7004	+					hyi		DBZ19_00030	782		pseudo
CDS	without_protein	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	6223	7004	+				hydroxypyruvate isomerase	hyi		DBZ19_00030	782		pseudo
gene	protein_coding	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	7023	7910	+							DBZ19_00035	888		
CDS	with_protein	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	7023	7910	+	AVZ56161.1			2-hydroxy-3-oxopropionate reductase			DBZ19_00035	888	295	
gene	protein_coding	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	7985	9127	+							DBZ19_00040	1143		
CDS	with_protein	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	7985	9127	+	AVZ56162.1			glycerate kinase			DBZ19_00040	1143	380	
gene	protein_coding	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	9183	10724	-							DBZ19_00045	1542		
CDS	with_protein	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	9183	10724	-	AVZ56163.1			carnitine transporter CniT			DBZ19_00045	1542	513	
gene	protein_coding	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	10748	10972	-							DBZ19_00050	225		
CDS	with_protein	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	10748	10972	-	AVZ56164.1			hypothetical protein			DBZ19_00050	225	74	
gene	protein_coding	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	11025	12389	-							DBZ19_00055	1365		
CDS	with_protein	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	11025	12389	-	AVZ56165.1			FAD-dependent oxidoreductase			DBZ19_00055	1365	454	
gene	protein_coding	GCA_003052625.1	Primary Assembly	chromosome		CP028714.1	12407	13675	-							DBZ19_00060	1269		
