FeS	33	CP065316.1_10	302	4.1e-06	1	18	43	60	0.515151515152
Fer4	24	CP065316.1_10	302	6.1e-05	8	23	141	156	0.625
Fer4	24	CP065316.1_10	302	7e-11	1	24	165	188	0.958333333333
Fer4	24	CP065316.1_10	302	4e-08	7	23	219	235	0.666666666667
Fer4	24	CP065316.1_10	302	9.9e-09	2	23	243	264	0.875
Sigma70_r2	71	CP065316.1_1012	166	9.9e-13	6	71	14	77	0.915492957746
Sigma70_r4_2	54	CP065316.1_1012	166	3.7e-13	5	54	108	157	0.907407407407
AAA	132	CP065316.1_1013	427	5.8e-18	2	126	43	151	0.939393939394
TPR_2	34	CP065316.1_1016	544	4.3e-06	1	33	54	86	0.941176470588
TPR_1	34	CP065316.1_1016	544	6.8e-07	2	34	498	530	0.941176470588
HTH_18	81	CP065316.1_102	176	2.3e-20	2	81	91	169	0.975308641975
ACT	67	CP065316.1_1021	409	4.5e-07	2	39	7	44	0.55223880597
AAA	132	CP065316.1_1053	604	3.4e-12	2	126	43	174	0.939393939394
Glucokinase	316	CP065316.1_1085	319	4.7e-09	4	247	9	250	0.768987341772
GerE	57	CP065316.1_1095	252	1.2e-14	2	56	190	244	0.947368421053
TPR_1	34	CP065316.1_1103	701	1.5e-06	3	31	567	595	0.823529411765
Fer4	24	CP065316.1_1112	77	1e-09	1	23	8	30	0.916666666667
Fer4	24	CP065316.1_1112	77	1.3e-06	2	24	47	69	0.916666666667
Nitroreductase	170	CP065316.1_1128	214	2.3e-23	1	170	47	192	0.994117647059
AAA	132	CP065316.1_1132	822	6.1e-22	1	127	377	514	0.954545454545
PALP	294	CP065316.1_1137	402	6.1e-92	3	294	19	304	0.989795918367
ACT	67	CP065316.1_1137	402	1.5e-06	2	37	328	363	0.522388059701
Pribosyltran	159	CP065316.1_1138	217	9.2e-22	21	127	59	156	0.666666666667
Sigma70_r4_2	54	CP065316.1_1147	531	1.3e-07	18	48	7	37	0.555555555556
AAA	132	CP065316.1_1148	263	1.5e-06	1	74	114	188	0.55303030303
AAA	132	CP065316.1_1152	312	6.6e-06	2	71	7	75	0.522727272727
Fer4	24	CP065316.1_1154	264	7.3e-08	2	24	195	217	0.916666666667
Fer4	24	CP065316.1_1154	264	1.2e-05	6	23	227	244	0.708333333333
Fer4	24	CP065316.1_1162	463	2.4e-06	6	20	302	316	0.583333333333
Fer4	24	CP065316.1_1162	463	4.7e-05	7	22	352	367	0.625
Ammonium_transp	399	CP065316.1_1175	480	9.7e-107	1	397	48	453	0.992481203008
Peptidase_M23	96	CP065316.1_1196	289	5.2e-30	2	96	175	270	0.979166666667
Pyr_redox_2	292	CP065316.1_1197	486	5.6e-36	3	290	167	470	0.982876712329
CbiA	128	CP065316.1_1204	268	1.3e-31	1	127	5	228	0.984375
Sigma70_r2	71	CP065316.1_1209	168	9.7e-13	7	67	15	73	0.845070422535
Sigma70_r4_2	54	CP065316.1_1209	168	9.7e-14	3	54	109	159	0.944444444444
Peptidase_M23	96	CP065316.1_122	324	4.4e-37	1	96	200	295	0.989583333333
Sigma70_r4_2	54	CP065316.1_1226	531	1.3e-07	18	48	7	37	0.555555555556
AAA	132	CP065316.1_1227	263	1.5e-06	1	74	114	188	0.55303030303
MerR	38	CP065316.1_123	113	2.8e-12	1	38	11	48	0.973684210526
HTH_3	55	CP065316.1_1237	115	3.7e-06	2	45	25	67	0.781818181818
AAA	132	CP065316.1_1239	263	1.5e-06	1	74	114	188	0.55303030303
Sigma70_r4_2	54	CP065316.1_1240	531	1.3e-07	18	48	7	37	0.555555555556
cNMP_binding	88	CP065316.1_1241	190	2.8e-11	2	87	27	115	0.965909090909
HTH_3	55	CP065316.1_1241	190	3.6e-05	7	29	158	180	0.4
HisKA	64	CP065316.1_1245	770	7e-18	2	64	297	361	0.96875
HATPase_c	111	CP065316.1_1245	770	1.1e-24	1	110	406	514	0.981981981982
Response_reg	112	CP065316.1_1245	770	3.2e-20	1	109	537	647	0.964285714286
Response_reg	112	CP065316.1_1246	441	3.3e-19	1	108	6	113	0.955357142857
AAA	132	CP065316.1_1246	441	1.5e-07	1	118	157	280	0.886363636364
HTH_8	42	CP065316.1_1246	441	3.7e-15	6	42	395	431	0.857142857143
Aminotran_1_2	363	CP065316.1_1251	391	2.4e-54	2	363	34	383	0.994490358127
ACT	67	CP065316.1_1252	295	0.0001	3	49	213	259	0.686567164179
Sigma70_r2	71	CP065316.1_1255	193	7.8e-12	5	68	22	84	0.887323943662
Sigma70_r4_2	54	CP065316.1_1255	193	7.2e-16	2	54	115	167	0.962962962963
FecR	96	CP065316.1_1256	337	5.1e-20	2	95	126	220	0.96875
ACT	67	CP065316.1_1269	830	5.1e-07	9	63	339	390	0.805970149254
ACT	67	CP065316.1_1269	830	7.3e-06	12	63	423	468	0.761194029851
PALP	294	CP065316.1_1271	438	3.2e-27	29	277	98	373	0.843537414966
TPR_1	34	CP065316.1_128	354	4.1e-08	2	31	189	218	0.852941176471
Glycos_trans_3N	63	CP065316.1_1281	333	2e-14	2	61	3	62	0.936507936508
PALP	294	CP065316.1_1284	404	5.9e-55	4	294	62	384	0.986394557823
PALP	294	CP065316.1_1287	317	8.1e-71	2	294	9	297	0.993197278912
Response_reg	112	CP065316.1_1288	125	1.5e-07	2	109	8	116	0.955357142857
GerE	57	CP065316.1_1289	83	4.3e-18	2	57	14	69	0.964912280702
Sigma70_r4_2	54	CP065316.1_1295	531	1.3e-07	18	48	7	37	0.555555555556
