dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH2_e104	GH2:483	3.2.1.23:6|3.2.1.31:2	beta-D-galactoside, beta-D-glucuronoside	863	CP065311.1_1076	1153	0	5	862	36	1025	0.993047508691
CBM50_e32	CBM50:23	-	chitin or peptidoglycan	56	CP065311.1_1156	117	2.6e-20	1	56	67	116	0.982142857143
GT2	GT2:18	-	-	215	CP065311.1_1356	1032	4.1e-49	2	214	34	264	0.986046511628
CBM48_e2	CBM48:14087|GH13_9:14033|GH77:8|GH13:5|GT5:2|GH13_3:1|GH0:1	2.4.1.18:57	glycogen	100	CP065311.1_1363	784	7.7e-19	15	91	190	280	0.76
GH13_e200	GH13_9:2874|CBM48:2782|GH77:10|GH13:7|GH13_3:5|GH0:1|GT5:1|GH13_1:1	2.4.1.18:14	sucrose 6(F)-phosphate, starch, glycogen, and malto-oligosaccharides	301	CP065311.1_1363	784	2.4e-157	1	300	333	632	0.993355481728
CBM48_e3	CBM48:14267|GH13_11:14161|GH13:59|GH77:38|GH13_10:2|GH13_36:1	3.2.1.68:75|2.4.1.25:4|3.2.1.-:1	glycogen	101	CP065311.1_1381	706	4.8e-41	5	96	3	93	0.90099009901
GH13_e48	GH13_11:3001|CBM48:2819|GH13:35|GH77:23|GH13_10:3	3.2.1.68:15|3.2.1.-:1	sucrose 6(F)-phosphate, starch, glycogen, and malto-oligosaccharides, starch	358	CP065311.1_1381	706	7.5e-181	3	356	172	526	0.986033519553
GH13_e26	GH13_14:38|GH13_32:32|CBM48:26|CBM41:26|GH13:10|CBM25:7|CBM68:1	-	sucrose 6(F)-phosphate	299	CP065311.1_1421	237	7.8e-71	5	206	15	235	0.672240802676
GT4_e2883	GT4:19	-	-	153	CP065311.1_1516	331	7.5e-66	1	153	149	301	0.993464052288
GH43_e2	GH43_10:54	3.2.1.55:2	arabinoxylan	270	CP065311.1_174	520	6.2e-161	1	270	7	274	0.996296296296
CBM91_e2	CBM91:73|GH43_10:73	-	-	202	CP065311.1_174	520	1.3e-96	3	202	318	512	0.985148514851
CE20_e33	CE20:279|GH33:1|CBM35:1	-	-	256	CP065311.1_176	677	3.2e-64	2	254	118	537	0.984375
GT2	GT2:24	-	-	227	CP065311.1_201	429	3e-137	1	227	46	272	0.995594713656
CE5_e37	CE5:29	-	-	200	CP065311.1_224	320	2.9e-87	3	200	118	314	0.985
GH77_e2	GH77:1777|GT4:13	2.4.1.25:4	maltose, starch	527	CP065311.1_324	723	1.2e-216	1	525	190	720	0.99430740038
GT51_e11	GT51:184	-	-	191	CP065311.1_483	741	1.6e-112	1	190	78	267	0.989528795812
GH23_e487	GH23:181	-	-	65	CP065311.1_496	351	1.2e-39	1	65	278	343	0.984615384615
GT111_e29	GT111:16	-	-	222	CP065311.1_501	274	1.4e-115	1	222	16	236	0.995495495495
GH42_e28	GH42:371	3.2.1.23:18	beta-1,6/1,3-galactoside (arabinogalactan)	372	CP065311.1_511	697	6.2e-212	1	371	24	394	0.994623655914
GT4_e1604	GT4:12	-	-	149	CP065311.1_519	369	2.4e-51	2	149	192	338	0.986577181208
GT2	GT2:38|GT4:1	-	-	181	CP065311.1_521	344	3.7e-39	1	166	8	218	0.911602209945
GT2	GT2:12	-	-	148	CP065311.1_523	333	2.9e-46	1	148	9	170	0.993243243243
GT4_e150	GT4:11	-	-	140	CP065311.1_535	375	1.4e-43	2	139	193	330	0.978571428571
GT2	GT2:12	-	-	108	CP065311.1_550	304	9.1e-47	1	100	13	115	0.916666666667
GH13_e41	GH13_3:1253|GH0:92|GH13:34|GT4:1	-	sucrose 6(F)-phosphate	217	CP065311.1_609	759	1.1e-87	3	216	323	540	0.981566820276
GH23_e87	GH23:37	-	-	128	CP065311.1_656	571	7e-58	1	126	290	415	0.9765625
GT2	GT2:9	-	-	158	CP065311.1_696	346	1.5e-75	4	158	38	206	0.974683544304
GT2	GT2:373	-	-	256	CP065311.1_700	696	1.2e-112	2	256	232	486	0.9921875
GT2	GT2:28	-	-	212	CP065311.1_704	624	1.5e-95	1	211	163	373	0.990566037736
GH3_e91	GH3:308	3.2.1.21:6	beta-glucan	228	CP065311.1_729	777	2.2e-122	1	228	77	308	0.995614035088
