Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
CP065315.1_1034	2.4.1.18	CBM48(25-109)+GH13_9(176-480)	CBM48_e2+GH13_e200	CBM48+GH13_9	N	3
CP065315.1_1037	-	GT5(2-472)	GT5_e15	GT5	N	3
CP065315.1_1038	2.4.1.1	GT35(93-806)	GT35_e0	GT35	N	3
CP065315.1_1047	-	GT39(239-456)	GT39_e29	GT39	N	3
CP065315.1_1199	-	GT2(49-274)	GT2	GT2	N	3
CP065315.1_1256	3.2.1.73|3.2.1.6	CBM54(197-311)	CBM54_e1	CBM54	Y(1-35)	3
CP065315.1_1357	-	GT2(8-155)	GT2	GT2	N	3
CP065315.1_1606	-	CE9(10-379)	CE9_e77	CE9	N	3
CP065315.1_1674	-	CE4(47-168)	CE4_e53	CE4	Y(1-34)	3
CP065315.1_1696	-	GH109(3-196)	GH109_e7	N	N	2
CP065315.1_1699	N	GH109(2-141)	N	N	N	1
CP065315.1_1796	-	GH18(238-536)	GH18_e313	GH0	Y(1-28)	3
CP065315.1_2073	-	GH13_39(175-506)	GH13_e89	GH13_39	N	3
CP065315.1_2074	-	GT2(7-173)	GT2	GT2	N	3
CP065315.1_2173	N	SLH(652-693)	N	N	N	1
CP065315.1_2295	-	GH109(6-160)	GH109_e7	N	N	2
CP065315.1_2505	-	GH3(125-357)	GH3_e71	GH3	Y(1-22)	3
CP065315.1_2631	-	CE4(56-167)	CE4_e61	CE4	Y(1-38)	3
CP065315.1_265	-	GT51(96-262)	GT51_e152	GT51	N	3
CP065315.1_2653	-	GT28(195-340)	GT28_e144	GT28	N	3
CP065315.1_2659	-	GT4(185-336)	GT4_e393	GT4	N	3
CP065315.1_281	-	GT4(193-340)	GT4_e3921	GT4	N	3
CP065315.1_2851	-	GT2(7-174)	GT2	GT2	N	3
CP065315.1_286	-	CE9(32-368)	CE9_e44	CE9	N	3
CP065315.1_3046	3.2.1.22	GH4(3-179)	GH4_e17	GH4	N	3
CP065315.1_3083	-	GT1(19-386)	GT1_e656	GT1	N	3
CP065315.1_3112	-	GT2(5-123)	GT2	GT2	N	3
CP065315.1_3189	-	GH65(301-675)	GH65_e12	GH65	N	3
CP065315.1_3190	3.2.1.-	GH125(392-586)	GH125_e0	GH0	N	3
CP065315.1_3195	2.4.1.-|3.2.1.204	GH31(124-590)	GH31_e35	GH31	N	3
CP065315.1_3198	2.4.1.-|3.2.1.204	GH31(353-819)+CBM35(955-1073)	GH31_e35+CBM35_e37	CBM35+GH31	Y(1-24)	3
CP065315.1_3199	2.4.1.-|3.2.1.11	GH31(247-697)+CBM35(850-979)+CBM35(989-1111)+CBM61(1123-1268)	GH31_e69+CBM35_e45+CBM35_e45+CBM61_e4	CBM35+CBM61+GH31	Y(1-31)	3
CP065315.1_3242	-	GH25(51-223)	GH25_e94	GH25	Y(1-67)	3
CP065315.1_3498	-	GH18(174-406)	CBM50_e582+CBM50_e582+GH18_e166	CBM50+GH18	N	3
CP065315.1_377	2.4.1.25	GH77(10-489)	GH77_e1	GH77	N	3
CP065315.1_50	-	GT76(91-282)	GT76_e12	N	N	2
CP065315.1_559	3.2.1.18	CBM40(21-192)+CBM40(220-379)	CBM40_e6+CBM40_e6	CBM40	N	3
CP065315.1_594	3.2.1.18|-	CBM40(58-221)+GH33(237-687)	CBM40_e6+GH33_e63	CBM40+GH33	Y(1-33)	3
CP065315.1_595	-	GH109(2-179)	GH109_e7	N	N	2
CP065315.1_596	N	CE7(131-272)	N	N	N	1
CP065315.1_597	-	CE7(5-316)	CE7_e2	CE7	N	3
CP065315.1_612	3.2.1.18	GH33(42-508)	GH33_e131	GH33	Y(1-26)	3
CP065315.1_747	-	GT26(55-222)	GT26_e80	GT26	N	3
CP065315.1_781	-	GT28(194-358)	GT28_e1	GT28	N	3
CP065315.1_2029	-	N	GT2	GT2	N	2
CP065315.1_1817	-	N	CBM50_e776	CBM50	N	2
CP065315.1_282	-	N	GT4_e2924	GT4	N	2
CP065315.1_3048	-	N	CBM32_e7	CBM32	Y(1-28)	2
CP065315.1_3047	-	N	GH36_e28	GH36	Y(1-27)	2
CP065315.1_974	-	N	CBM50_e389	CBM50	N	2
CP065315.1_41	N	N	N	CBM50	N	1
CP065315.1_236	N	N	N	GT4	N	1
CP065315.1_375	N	N	N	GT4	N	1
CP065315.1_384	N	N	N	GH101	N	1
CP065315.1_397	N	N	N	GH130	N	1
CP065315.1_1035	N	N	N	CBM48+GH13_9	N	1
CP065315.1_1309	N	N	N	CBM50	Y(1-29)	1
CP065315.1_1389	N	N	N	GH33	Y(1-28)	1
CP065315.1_1413	N	N	N	GH13_31	N	1
CP065315.1_1427	N	N	N	GH28	N	1
CP065315.1_1480	N	N	N	GH28	N	1
CP065315.1_1567	N	N	N	GH130	N	1
CP065315.1_1588	N	N	N	CBM50	N	1
CP065315.1_1638	N	N	N	CBM50	Y(1-29)	1
CP065315.1_1643	N	N	N	GH84	N	1
CP065315.1_1669	N	N	N	GT1	N	1
CP065315.1_1750	N	N	N	CBM50	N	1
CP065315.1_1811	N	N	N	GT83	N	1
CP065315.1_1812	N	N	N	GH28	N	1
CP065315.1_1889	N	N	N	CBM50	N	1
CP065315.1_1942	N	N	N	GT2	N	1
CP065315.1_1971	N	N	N	GH1	N	1
CP065315.1_2166	N	N	N	GT2	N	1
CP065315.1_2182	N	N	N	GH13	N	1
CP065315.1_2688	N	N	N	GH130	N	1
CP065315.1_2768	N	N	N	GT58	N	1
CP065315.1_2818	N	N	N	GT4	N	1
CP065315.1_2844	N	N	N	GH5_11	N	1
CP065315.1_2863	N	N	N	GH1	N	1
CP065315.1_2871	N	N	N	GH38	N	1
CP065315.1_2916	N	N	N	GT4	N	1
CP065315.1_3235	N	N	N	CE8	N	1
CP065315.1_3248	N	N	N	GH13_30	N	1
CP065315.1_3405	N	N	N	GT2	N	1
CP065315.1_3413	N	N	N	GT0	N	1
CP065315.1_3422	N	N	N	GH13_11	N	1
CP065315.1_3648	N	N	N	GH23	N	1
