Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
CP065311.1_1024	-	GT51(98-270)	GT51_e89	GT51	Y(1-21)	3
CP065311.1_1076	3.2.1.23|3.2.1.31	GH2(35-1024)	GH2_e104	GH2	N	3
CP065311.1_1126	3.2.1.26	GH32(57-367)	GH32_e28	GH32	N	3
CP065311.1_1169	-	GT28(206-378)	GT28_e141	GT28	N	3
CP065311.1_1262	-	GT4(206-358)	GT4_e3355	GT4	N	3
CP065311.1_1333	-	GH3(160-389)	GH3_e11	GH3	Y(1-54)	3
CP065311.1_1363	2.4.1.18	GH13_9(332-632)	CBM48_e2+GH13_e200	CBM48+GH13_9	N	3
CP065311.1_1381	3.2.1.68|2.4.1.25|3.2.1.-	CBM48(3-92)+GH13_11(172-525)	CBM48_e3+GH13_e48	CBM48+GH13_11	N	3
CP065311.1_1401	3.2.1.1	GH13_5(37-374)	GH13_e25	GH13_5	N	3
CP065311.1_1421	-	GH13_32(16-236)	GH13_e26	GH13_32	N	3
CP065311.1_1422	3.2.1.41|3.2.1.1|3.2.1.68	CBM25(210-283)	CBM25_e10+CBM41_e0	CBM41+GH13_32	N	3
CP065311.1_1456	-	GT5(89-403)	GT4_e1800	GT4	N	3
CP065311.1_1516	-	GT4(145-300)	GT4_e2883	GT4	N	3
CP065311.1_174	3.2.1.55|-	GH43_10(5-273)+CBM91(317-513)	GH43_e2+CBM91_e2	GH43_10	N	3
CP065311.1_176	-	CE20(116-234)+CE20(412-535)	CE20_e33	CE20	N	3
CP065311.1_177	3.2.1.37|3.2.1.55|3.2.1.-|-	GH43_11(3-304)+CBM91(332-539)	GH43_e285+CBM91_e24	GH43_11	N	3
CP065311.1_183	3.2.1.55	GH43_12(11-366)	GH43_e260	GH43_12	N	3
CP065311.1_201	-	GT2(45-271)	GT2	GT2	N	3
CP065311.1_203	-	GT2(5-123)	GT2	GT2	N	3
CP065311.1_207	3.2.1.23	GH42(28-400)	GH42_e28	GH42	N	3
CP065311.1_214	3.2.1.23	GH2(61-950)	GH2_e1	GH2	N	3
CP065311.1_224	-	CE5(117-313)	CE5_e37	CE5	Y(1-38)	3
CP065311.1_320	3.2.1.68|3.2.1.-	GH13_11(231-597)	GH13_e48	CBM48+GH13_11	N	3
CP065311.1_324	2.4.1.25	GH77(190-697)	GH77_e2	GH77	N	3
CP065311.1_430	-	GH5_2(87-327)	GH5_e174	GH5_2	Y(1-34)	3
CP065311.1_483	-	GT51(77-267)	GT51_e11	GT51	N	3
