Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
CP065321.1_17	QUT49305.1|GH43_3	39.3	670	343	8	2	647	32	661	1.6e-132	477.2
CP065321.1_275	ASB41150.1|GT2	100.0	292	0	0	1	292	1	292	9.7e-178	626.3
CP065321.1_317	ASB41189.1|GH3	100.0	751	0	0	1	751	1	751	0.0e+00	1502.6
CP065321.1_423	QQR30557.1|GH127	100.0	679	0	0	1	679	1	679	0.0e+00	1428.3
CP065321.1_424	ASB41290.1|GH106	99.9	861	1	0	1	861	15	875	0.0e+00	1842.0
CP065321.1_448	ASV45029.1|GH23	39.2	1701	869	30	830	2399	1526	3191	0.0e+00	1090.5
CP065321.1_494	QQR30621.1|GH5_2	100.0	519	0	0	1	519	1	519	4.2e-309	1063.5
CP065321.1_503	ANU55398.1|GH4	100.0	440	0	0	1	440	1	440	4.3e-262	907.1
CP065321.1_522	ASB41381.1|GH23	100.0	601	0	0	1	601	1	601	8.9e-311	1069.3
CP065321.1_614	QQR30720.1|CBM13	100.0	566	0	0	1	566	1	566	0.0e+00	1110.9
CP065321.1_701	QQR30800.1|CBM48|GH13_11	100.0	713	0	0	1	713	1	713	0.0e+00	1515.4
CP065321.1_757	QQR30851.1|CBM54	100.0	1793	0	0	1	1793	1	1793	0.0e+00	3521.9
CP065321.1_802	ANU55131.1|GT28	100.0	375	0	0	1	375	1	375	2.3e-211	738.4
CP065321.1_834	QQR30923.1|GH3	100.0	930	0	0	1	930	1	930	0.0e+00	1876.7
CP065321.1_839	ASB41668.1|GH31	100.0	750	0	0	1	750	1	750	0.0e+00	1610.5
CP065321.1_841	QYO62262.1|GH13	63.5	345	124	2	1	344	1	344	1.4e-116	424.1
CP065321.1_883	QBQ55156.1|CBM50	39.2	607	345	7	148	750	118	704	1.2e-106	391.7
CP065321.1_928	QQR32000.1|GH13_39	99.8	632	1	0	2	633	1	632	0.0e+00	1333.9
CP065321.1_929	ANU55021.1|GT35	100.0	812	0	0	1	812	1	812	0.0e+00	1652.5
CP065321.1_941	ALR08738.2|GT83	39.1	608	329	12	2	590	1	586	2.2e-104	383.6
CP065321.1_1010	CUS04921.2|GT4	40.2	886	440	10	3	841	17	859	5.8e-191	671.8
CP065321.1_1030	ANU54938.1|GT2	100.0	324	0	0	1	324	1	324	2.4e-177	625.2
CP065321.1_1040	ANU54932.1|GH130	100.0	333	0	0	1	333	1	333	2.6e-211	738.0
CP065321.1_1099	AFB75734.1|CBM50	55.4	475	188	7	1	451	1	475	7.6e-140	501.1
CP065321.1_1154	ASB41945.1|GH42	100.0	663	0	0	1	663	1	663	0.0e+00	1403.7
CP065321.1_1175	ANU54810.1|GH29	100.0	438	0	0	1	438	1	438	6.4e-274	946.4
CP065321.1_1241	QQR31292.1|GH2	100.0	922	0	0	1	922	1	922	0.0e+00	1899.4
CP065321.1_1258	ASB42041.1|GH13_18	100.0	484	0	0	1	484	1	484	9.2e-290	999.2
CP065321.1_1264	ANU54722.1|GH32	100.0	554	0	0	1	554	5	558	0.0e+00	1159.1
CP065321.1_1275	QQR31328.1|GH42	100.0	681	0	0	1	681	1	681	0.0e+00	1451.4
CP065321.1_1472	ASB42229.1|GH5_46	100.0	526	0	0	1	526	1	526	0.0e+00	1125.2
CP065321.1_1498	ANU54514.1|GH2	100.0	582	0	0	1	582	1	582	0.0e+00	1241.5
CP065321.1_1512	ASB42272.1|GT51	100.0	242	0	0	1	242	1	242	1.3e-135	486.1
CP065321.1_1531	ASB42289.1|GH13	100.0	534	0	0	1	534	1	534	7.2e-304	1046.2
CP065321.1_1547	AGL63717.2|GT4	47.3	637	321	6	134	764	107	734	8.0e-163	578.2
CP065321.1_1674	ANU54368.1|GH18	100.0	333	0	0	1	333	1	333	5.7e-198	693.7
CP065321.1_1675	QQR31700.1|GH29	100.0	445	0	0	1	445	1	445	1.7e-269	931.8
CP065321.1_1678	QQR31702.1|GH25	100.0	300	0	0	1	300	1	300	2.9e-169	598.2
CP065321.1_1679	QQR31703.1|GH25	100.0	297	0	0	1	297	1	297	2.0e-170	602.1
CP065321.1_1756	AGL64345.2|GT2	57.5	557	235	1	244	798	298	854	3.3e-175	619.4
CP065321.1_1776	CAN65674.1|GH28	44.2	541	272	10	72	603	111	630	1.3e-129	467.6
CP065321.1_1894	ANU54178.1|GT2	100.0	417	0	0	1	417	1	417	2.8e-239	831.2
CP065321.1_1955	QQR28482.1|GH35	100.0	580	0	0	1	580	1	580	0.0e+00	1220.7
CP065321.1_1957	ANU54120.1|GH51	100.0	492	0	0	1	492	1	492	5.3e-301	1036.6
CP065321.1_1959	ASB39197.1|GH127	100.0	680	0	0	1	680	1	680	0.0e+00	1415.2
CP065321.1_1992	CAD7252417.1|GH13	40.2	604	342	10	122	710	332	931	1.3e-106	391.3
CP065321.1_2011	CAD7235639.1|GT2	39.1	542	310	6	5	538	140	669	2.5e-105	386.7
CP065321.1_2063	ASB39292.1|CBM50|GH18	100.0	425	0	0	1	425	1	425	3.4e-232	807.7
CP065321.1_2085	QQR28603.1|GH36	100.0	731	0	0	1	731	1	731	0.0e+00	1531.5
CP065321.1_2093	CAE6204650.1|GH28	50.7	602	289	4	3	598	744	1343	2.4e-175	619.4
CP065321.1_2098	ANU53994.1|GH32	100.0	450	0	0	1	450	1	450	4.7e-280	966.8
CP065321.1_2165	QQR28680.1|GH25	100.0	288	0	0	1	288	1	288	1.6e-169	599.0
CP065321.1_2170	QQR28683.1|GH43_12	100.0	516	0	0	16	531	1	516	0.0e+00	1116.7
CP065321.1_2171	ANU53928.1|GH51	100.0	507	0	0	1	507	1	507	4.7e-305	1050.0
CP065321.1_2217	CAG7883609.1|GT1	55.1	864	380	5	10	870	181	1039	2.0e-263	912.5
CP065321.1_2229	QWU85921.1|GH130	52.8	460	209	2	5	456	1375	1834	1.9e-135	486.5
CP065321.1_2240	ASB39450.1|GT28	100.0	375	0	0	1	375	1	375	4.7e-217	757.3
CP065321.1_2260	QQR28758.1|GH2	100.0	597	0	0	1	597	1	597	0.0e+00	1246.1
CP065321.1_2268	CAD7245033.1|GT58	61.1	473	167	5	7	465	1055	1524	4.6e-153	545.0
CP065321.1_2285	CCO12868.2|GH1	59.8	1211	446	8	4	1181	2	1204	0.0e+00	1424.8
CP065321.1_2288	CAD7226128.1|GH38	34.7	706	400	13	9	673	1343	2028	9.3e-110	401.7
CP065321.1_2312	ASB39517.1|CE9	100.0	386	0	0	1	386	1	386	2.0e-226	788.5
CP065321.1_2329	ASB39534.1|GH105	100.0	346	0	0	1	346	1	346	3.6e-195	684.5
CP065321.1_2340	ASB39544.1|GH120	99.8	484	1	0	1	484	20	503	8.5e-304	1045.8
CP065321.1_2361	ANU53764.1|GH27	100.0	442	0	0	1	442	1	442	7.8e-280	966.1
CP065321.1_2377	QLA08260.1|GT0	67.7	359	116	0	5	363	3	361	2.3e-139	499.2
CP065321.1_2378	ASB39579.1|GT26	100.0	238	0	0	1	238	1	238	2.3e-132	475.3
CP065321.1_2382	ANU53743.1|GT2	100.0	324	0	0	1	324	1	324	6.8e-188	660.2
CP065321.1_2394	ASB39592.1|CE4	100.0	267	0	0	1	267	1	267	1.1e-156	556.2
CP065321.1_2404	QQR28894.1|GH78	100.0	916	0	0	1	916	1	916	0.0e+00	1951.0
CP065321.1_2409	ASB39606.1|GH2	100.0	680	0	0	1	680	1	680	0.0e+00	1452.2
CP065321.1_2419	QQR28907.1|GH3	100.0	702	0	0	1	702	1	702	0.0e+00	1432.9
CP065321.1_2438	ASB39630.1|GH2	100.0	1008	0	0	1	1008	1	1008	0.0e+00	2135.1
CP065321.1_2439	QQR28925.1|GT39	100.0	1029	0	0	1	1029	1	1029	0.0e+00	2073.1
CP065321.1_2445	QQR28931.1|GT35	100.0	757	0	0	1	757	1	757	0.0e+00	1523.8
CP065321.1_2446	ASB39638.1|GH77	100.0	513	0	0	8	520	1	513	3.0e-312	1074.3
CP065321.1_2458	UPK44782.1|GH0	40.0	703	382	15	2	665	3	704	6.7e-142	508.4
CP065321.1_2459	ANU53673.1|GH0	100.0	536	0	0	1	536	1	536	0.0e+00	1139.8
CP065321.1_2478	ASB39668.1|GH23	100.0	190	0	0	1	190	10	199	8.2e-109	396.7
CP065321.1_2480	AGL64700.2|GH23	55.7	350	154	1	2	350	5	354	1.3e-104	383.6
