Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
CP065311.1_25	ALR08738.2|GT83	46.7	604	279	10	8	591	2	582	2.4e-138	496.5
CP065311.1_26	AGL63717.2|GT4	48.5	641	314	8	174	814	107	731	3.4e-162	576.2
CP065311.1_35	QYO62262.1|GH13	56.8	345	147	2	1	344	1	344	9.1e-105	384.8
CP065311.1_73	CAD7226128.1|GH38	34.8	729	423	11	12	709	1344	2051	2.3e-116	423.7
CP065311.1_78	QQQ90344.1|GT4	100.0	400	0	0	1	400	1	400	1.1e-235	819.3
CP065311.1_94	CCO12102.2|GH13_31	59.2	341	139	0	1	341	1	341	5.2e-114	414.8
CP065311.1_161	AGL64353.2|CBM50|GH25	39.5	588	321	10	2	587	4	558	3.6e-110	402.9
CP065311.1_174	ANU43775.1|GH43_10	100.0	519	0	0	1	519	1	519	0.0e+00	1120.1
CP065311.1_176	AYN23383.1|CE20	99.7	676	2	0	1	676	1	676	0.0e+00	1446.8
CP065311.1_177	QQQ90433.1|GH43_11	100.0	541	0	0	1	541	1	541	0.0e+00	1172.5
CP065311.1_183	QQQ90439.1|GH43_12	100.0	558	0	0	1	558	1	558	0.0e+00	1174.5
CP065311.1_201	ANU44377.1|GT2	100.0	428	0	0	1	428	1	428	3.9e-244	847.4
CP065311.1_203	QQQ90457.1|GT2	100.0	341	0	0	1	341	1	341	1.2e-200	702.6
CP065311.1_207	ANU43748.1|GH42	100.0	695	0	0	1	695	1	695	0.0e+00	1468.0
CP065311.1_214	ANU43743.1|GH2	100.0	1067	0	0	1	1067	1	1067	0.0e+00	2234.5
CP065311.1_215	AUH38424.1|GH42	52.9	486	225	3	14	498	607	1089	3.0e-134	482.6
CP065311.1_224	QQQ90476.1|CE5	100.0	319	0	0	1	319	1	319	7.9e-181	636.7
CP065311.1_271	QFG67851.1|CBM48|GH13_9	57.4	554	226	4	6	556	1477	2023	6.0e-184	647.9
CP065311.1_283	AGL64345.2|GT2	49.8	596	283	7	347	941	275	855	5.2e-156	555.8
CP065311.1_320	ANU43654.1|CBM48|GH13_11	100.0	898	0	0	1	898	1	898	0.0e+00	1865.9
CP065311.1_324	QQQ90563.1|GH77	100.0	722	0	0	1	722	1	722	0.0e+00	1494.6
CP065311.1_382	QCW79542.1|GH101	51.0	451	206	4	96	542	629	1068	1.5e-123	447.2
CP065311.1_430	ARE60173.1|GH5_2	100.0	374	0	0	1	374	1	374	5.0e-195	684.1
CP065311.1_436	AGL64020.2|AA10	59.9	347	137	1	5	349	1	347	1.1e-116	423.7
CP065311.1_469	CCO12868.2|GH1	50.2	1316	507	13	1	1280	1	1204	0.0e+00	1240.7
CP065311.1_472	VEG19673.1|GH16	60.6	343	87	4	21	328	173	502	3.0e-106	389.0
CP065311.1_480	ANU43058.1|GT2	100.0	308	0	0	1	308	1	308	3.5e-178	627.9
CP065311.1_483	QQQ90708.1|GT51	99.7	740	2	0	1	740	1	740	0.0e+00	1455.3
CP065311.1_489	AVM55139.1|GH65	33.5	791	401	16	10	793	682	1354	4.5e-116	422.9
CP065311.1_496	AFI63545.1|GH23	98.6	350	3	1	1	350	1	348	2.6e-177	625.2
CP065311.1_501	QQQ90722.1|GT111	100.0	273	0	0	1	273	1	273	3.7e-163	577.8
CP065311.1_504	CAI32746.2|GT4	56.4	415	160	4	1	415	1	394	1.8e-124	449.9
CP065311.1_511	QQQ90731.1|GH42	100.0	696	0	0	1	696	1	696	0.0e+00	1481.5
CP065311.1_519	ANU43089.1|GT4	100.0	368	0	0	1	368	1	368	4.9e-219	763.8
CP065311.1_521	QQQ90739.1|GT2	100.0	343	0	0	1	343	1	343	1.1e-196	689.5
CP065311.1_522	ANU43092.1|GT32	100.0	326	0	0	1	326	1	326	1.6e-192	675.6
CP065311.1_523	QQQ90741.1|GT2	100.0	332	0	0	1	332	1	332	1.3e-189	666.0
CP065311.1_524	ANU43094.2|GT32	100.0	313	0	0	1	313	1	313	2.0e-189	665.2
CP065311.1_531	ANU43099.2|GT1	100.0	186	0	0	1	186	1	186	2.9e-106	388.3
CP065311.1_535	QQQ90751.1|GT4	100.0	374	0	0	1	374	1	374	1.5e-215	752.3
CP065311.1_540	QQQ90757.1|GT2	100.0	301	0	0	1	301	1	301	1.6e-178	629.0
CP065311.1_548	QQQ90763.1|GT2	100.0	340	0	0	1	340	1	340	5.1e-194	680.6
CP065311.1_550	QQQ90765.1|GT2	100.0	303	0	0	1	303	1	303	1.4e-182	642.5
CP065311.1_581	ANU43140.1|GH30	100.0	476	0	0	1	476	1	476	1.9e-287	991.5
CP065311.1_592	CAD7245033.1|GT58	56.8	488	184	5	18	492	1054	1527	3.8e-142	508.8
CP065311.1_609	AEK30925.1|GH13_3	97.6	758	18	0	1	758	90	847	0.0e+00	1521.1
CP065311.1_631	AGL63717.2|GT4	46.3	708	294	8	162	858	107	739	8.4e-156	555.1
CP065311.1_656	ANU43205.2|GH23	100.0	570	0	0	1	570	1	570	2.7e-256	888.3
CP065311.1_696	QQQ91028.1|GT2	100.0	345	0	0	1	345	17	361	2.4e-199	698.4
CP065311.1_697	ANU43241.1|GT2	100.0	326	0	0	14	339	1	326	8.9e-191	669.8
CP065311.1_700	ANU43244.1|GT2	100.0	695	0	0	1	695	1	695	0.0e+00	1425.2
CP065311.1_701	ANU43245.1|GH25	100.0	278	0	0	1	278	1	278	8.7e-168	593.2
CP065311.1_704	QQQ90891.1|GT2	100.0	623	0	0	1	623	1	623	0.0e+00	1285.0
CP065311.1_714	QQQ90900.1|GH36	100.0	793	0	0	1	793	1	793	0.0e+00	1649.0
CP065311.1_725	QQQ90905.1|GT39	100.0	537	0	0	1	537	1	537	0.0e+00	1109.0
CP065311.1_729	QQQ90909.1|GH3	100.0	776	0	0	1	776	1	776	0.0e+00	1579.3
CP065311.1_742	QQQ90920.1|CBM48|GH13_14	100.0	699	0	0	1	699	1	699	0.0e+00	1460.7
CP065311.1_746	ANU43280.1|GH13_44	100.0	534	0	0	1	534	1	534	0.0e+00	1125.2
CP065311.1_747	QQQ90925.1|GH77	100.0	732	0	0	1	732	1	732	0.0e+00	1490.7
CP065311.1_754	QQQ90931.1|GH13_30	100.0	591	0	0	1	591	1	591	0.0e+00	1277.3
CP065311.1_765	QQQ90938.1|GH127	100.0	669	0	0	1	669	1	669	0.0e+00	1386.3
CP065311.1_770	ANU43299.1|GH13_31	100.0	611	0	0	1	611	1	611	0.0e+00	1278.1
CP065311.1_772	ANU43301.1|GH36	100.0	630	0	0	1	630	1	630	0.0e+00	1357.4
CP065311.1_777	ANU43303.1|GH36	100.0	740	0	0	1	740	1	740	0.0e+00	1536.9
CP065311.1_783	QBQ55251.1|CBM50	39.6	949	485	16	44	986	25	891	4.8e-160	569.3
CP065311.1_791	UIY46774.1|GH0	67.9	517	149	4	1	515	1	502	1.1e-120	437.6
CP065311.1_818	UQE63998.1|CBM23	100.0	244	0	0	1	244	1	244	2.9e-143	511.5
CP065311.1_863	QQQ89603.1|GH51	100.0	513	0	0	1	513	1	513	1.5e-311	1071.6
CP065311.1_875	ANU43386.1|GT35	100.0	818	0	0	1	818	1	818	0.0e+00	1665.2
