dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH130_e13	GH130:541	2.4.1.319:4|2.4.1.320:2	beta-mannan, beta-mannan	300	CP065321.1_1040	334	3.4e-146	1	299	27	321	0.993333333333
GH29_e81	GH29:191|CBM47:2	3.2.1.51:3	human milk oligosaccharides, mucin, host glycan	334	CP065321.1_1175	439	2.4e-170	2	334	10	346	0.994011976048
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	CP065321.1_1204	270	3.7e-25	8	205	40	251	0.956310679612
CBM13_e360	CBM13:210|GH43_24:188|GH43_34:3|AA5_2:1|CBM42:1|CE8:1|GH5_2:1|GH39:1|GH18:1	3.2.1.145:2	plant lectin, xylan 	230	CP065321.1_1283	229	2e-33	45	188	7	148	0.621739130435
GH5_e123	GH5_46:53|GH5:3	-	-	254	CP065321.1_1472	527	1.1e-107	2	254	74	330	0.992125984252
GH2_e112	GH2:541|CBM67:5|GH43_26:1	3.2.1.23:1	beta-D-galactoside	590	CP065321.1_1498	583	6.7e-217	2	568	10	564	0.959322033898
GH13_e141	GH13:115	3.2.1.-:2	sucrose 6(F)-phosphate, starch	288	CP065321.1_1531	535	1.4e-141	1	287	49	336	0.993055555556
GH25_e109	GH25:6	-	-	188	CP065321.1_1679	298	2.6e-63	2	187	95	282	0.984042553191
GH109_e7	GH109:31	-	-	390	CP065321.1_191	369	4.4e-29	3	298	4	295	0.75641025641
GH2_e34	GH2:97	-	-	708	CP065321.1_2260	598	9e-183	179	705	3	504	0.742937853107
GH109_e7	GH109:31	-	-	390	CP065321.1_2345	352	9e-24	2	170	8	176	0.430769230769
GT39_e29	GT39:80|CBM0:21|CBM16:6	-	-	201	CP065321.1_2439	1030	2.2e-80	2	200	611	824	0.985074626866
GH38_e32	GH38:9	-	-	281	CP065321.1_2458	666	1.4e-18	2	154	7	156	0.540925266904
GT4_e3921	GT4:19	-	-	152	CP065321.1_2511	749	1.6e-65	3	152	192	341	0.980263157895
GH109_e7	GH109:31	-	-	390	CP065321.1_2893	363	4.4e-16	17	171	21	174	0.394871794872
GH51_e19	GH51:1621	3.2.1.55:27	arabinan, arabinoxylan	489	CP065321.1_3013	488	7.9e-231	2	488	4	486	0.993865030675
GT51_e164	GT51:14	-	-	171	CP065321.1_3194	828	4.7e-71	1	170	103	273	0.988304093567
GT5_e15	GT5:148	-	-	472	CP065321.1_3405	476	1.9e-212	1	472	3	471	0.997881355932
GH2_e57	GH2:19	-	-	590	CP065321.1_3662	816	7.5e-259	2	589	5	578	0.994915254237
GH127_e0	GH127:2142	3.2.1.185:2	arabinogalactan proteins	549	CP065321.1_423	680	3.5e-227	1	549	16	591	0.998178506375
GH127_e8	GH127:151	-	-	514	CP065321.1_430	627	4e-30	62	513	90	553	0.877431906615
CBM48_e3	CBM48:14267|GH13_11:14161|GH13:59|GH77:38|GH13_10:2|GH13_36:1	3.2.1.68:75|2.4.1.25:4|3.2.1.-:1	glycogen	101	CP065321.1_701	714	1.5e-22	6	97	53	148	0.90099009901
GH13_e48	GH13_11:3001|CBM48:2819|GH13:35|GH77:23|GH13_10:3	3.2.1.68:15|3.2.1.-:1	sucrose 6(F)-phosphate, starch, glycogen, and malto-oligosaccharides, starch	358	CP065321.1_701	714	9.7e-154	3	356	207	561	0.986033519553
GH3_e14	GH3:256	3.2.1.-:3|3.2.1.21:2	beta-1,3-glucan (laminarin, lichenin and cereal D-glucans), beta-glucan	217	CP065321.1_834	931	9e-112	1	217	518	734	0.995391705069
GH31_e31	GH31:4050	3.2.1.177:12	xyloglucan (plant)	431	CP065321.1_839	751	1.2e-232	2	430	239	667	0.993039443155
GH2_e73	GH2:15	3.2.1.55:1	arabinan	461	CP065321.1_1241	923	1.4e-213	2	461	5	473	0.995661605206
GH13_e117	GH13_18:158	2.4.1.7:1	sucrose 6(F)-phosphate, Sucrose	337	CP065321.1_1258	485	6e-174	1	337	38	374	0.99703264095
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	CP065321.1_1263	392	6.3e-48	3	206	165	386	0.985436893204
GH32_e25	GH32:15|CBM38:1	-	-	292	CP065321.1_1264	555	5.5e-82	1	292	106	407	0.996575342466
GH25_e109	GH25:6	-	-	188	CP065321.1_1678	301	2.9e-67	1	188	99	287	0.994680851064
CE4_e289	CE4:411|GH153:401|GH0:1|GH39:1	-	-	169	CP065321.1_1874	295	1.4e-34	2	168	102	250	0.98224852071
GH35_e23	GH35:1719|CBM13:1|CBM32:1	3.2.1.23:8|3.2.1.-:2|3.2.1.38:1	beta-galactoside (pectin), galactan and arabinogalactan	313	CP065321.1_1955	581	5.1e-148	2	312	11	320	0.990415335463
GH18_e166	GH18:91|CBM50:81	-	-	237	CP065321.1_2063	426	8.1e-102	2	237	172	406	0.991561181435
GH36_e0	GH36:2202	3.2.1.22:25	alpha-D-galactoside (galactose oligosaccharides, galactomannans and galactolipid)	700	CP065321.1_2085	732	5e-271	2	699	14	710	0.995714285714
GH25_e95	GH25:21	-	-	172	CP065321.1_2165	289	9.4e-77	1	171	10	180	0.988372093023
GH51_e0	GH51:2271	3.2.1.55:37	arabinan, arabinoxylan	492	CP065321.1_2171	508	2.7e-236	1	491	6	504	0.99593495935
GT28_e42	GT28:19	-	-	151	CP065321.1_2240	376	2.7e-65	2	150	205	354	0.980132450331
GH120_e3	GH120:16	-	-	91	CP065321.1_2340	485	4e-27	1	91	111	200	0.989010989011
GT2	GT2:125	-	-	175	CP065321.1_2382	325	6.6e-49	1	164	6	168	0.931428571429
GH77_e1	GH77:1346|GT35:16	2.4.1.25:3	maltose, starch	479	CP065321.1_2446	521	9.8e-213	1	477	17	492	0.993736951983
GH123_e14	GH123:5	-	-	403	CP065321.1_2459	537	3.4e-156	5	403	106	501	0.987593052109
GT2	GT2:6	-	-	132	CP065321.1_275	293	2.9e-37	1	111	6	122	0.833333333333
GH109_e7	GH109:31	-	-	390	CP065321.1_2820	373	1.5e-32	3	280	5	286	0.710256410256
GH3_e198	GH3:167	3.2.1.21:4	beta-glucan	263	CP065321.1_2884	738	2e-122	1	263	147	407	0.996197718631
GH106_e45	GH106:59	-	-	839	CP065321.1_2944	871	9.6e-245	2	554	30	606	0.657926102503
GH32_e60	GH32:33	-	-	281	CP065321.1_3016	477	3.8e-108	4	281	11	287	0.985765124555
GT2	GT2:59	-	-	141	CP065321.1_3387	323	2.9e-45	1	127	14	140	0.893617021277
GH28_e106	GH28:9	-	-	340	CP065321.1_3655	431	2.4e-92	4	335	29	372	0.973529411765
GH106_e45	GH106:59	-	-	839	CP065321.1_424	862	2.8e-275	6	838	34	846	0.991656734207
GH4_e17	GH4:1013	3.2.1.22:9	alpha-D-galactoside (raffinose family of oligosaccharides)	180	CP065321.1_503	441	2e-87	1	179	4	184	0.988888888889
GH23_e928	GH23:90	-	-	132	CP065321.1_522	602	5.2e-44	1	131	322	450	0.984848484848
CBM13_e139	CBM13:11	-	plant lectin, xylan 	146	CP065321.1_604	532	7.1e-18	1	143	38	180	0.972602739726
GT2	GT2:308	-	-	168	CP065321.1_1030	325	3.3e-78	1	167	8	174	0.988095238095
GH42_e17	GH42:218	3.2.1.23:9	beta-1,6/1,3-galactoside (arabinogalactan)	371	CP065321.1_1154	664	5.8e-200	1	370	14	385	0.99460916442
GH42_e20	GH42:2137	3.2.1.23:22	beta-1,6/1,3-galactoside (arabinogalactan)	373	CP065321.1_1275	682	2.4e-179	1	372	17	391	0.994638069705
GT51_e63	GT51:7	-	-	168	CP065321.1_1512	243	9e-83	1	167	58	224	0.988095238095
GH29_e30	GH29:1257|CBM32:104|CBM0:3|GH33:3|CBM6:1|CBM9:1|CE3:1|GH136:1|GH0:1|CBM47:1|GT1:1	3.2.1.111:8|3.2.1.51:3	human milk oligosaccharides, mucin, host glycan, human milk oligosaccharides, mucin, host glycan	301	CP065321.1_1675	446	7.6e-138	2	300	18	344	0.990033222591
GH51_e19	GH51:1621	3.2.1.55:27	arabinan, arabinoxylan	489	CP065321.1_1957	493	7.2e-224	3	488	5	491	0.9918200409
GH32_e16	GH32:1098|CBM66:301|CBM38:114	3.2.1.80:10|3.2.1.65:10|3.2.1.26:7|3.2.1.153:5|3.2.1.64:3|2.4.1.99:3	fructan(inulin, levan and sucrose), levan (fructan), fructan(inulin, levan and sucrose), fructan, fructan(inulin, levan and sucrose), fructan(inulin, levan and sucrose)	316	CP065321.1_2098	451	2.3e-111	2	303	13	304	0.95253164557
CE9_e98	CE9:10	-	-	369	CP065321.1_2312	387	7e-196	2	368	5	375	0.991869918699
GH120_e6	GH120:76	-	-	56	CP065321.1_2333	102	2.9e-21	3	55	5	57	0.928571428571
GH27_e28	GH27:310|CBM51:16|CBM13:7|GH43_29:3|CBM6:2|GH159:1	3.2.1.88:1	arabinogalactan	234	CP065321.1_2361	443	7.3e-92	1	230	167	405	0.978632478632
GT26_e65	GT26:8	-	-	164	CP065321.1_2378	239	9.7e-74	3	164	62	222	0.981707317073
GH2_e100	GH2:216	3.2.1.31:3	beta-D-glucuronoside	571	CP065321.1_2409	681	2.1e-253	2	571	4	573	0.99649737303
GH2_e104	GH2:483	3.2.1.23:6|3.2.1.31:2	beta-D-galactoside, beta-D-glucuronoside	863	CP065321.1_2438	1009	0	9	862	32	893	0.988412514484
GH23_e205	GH23:6	-	-	133	CP065321.1_2478	191	2.2e-37	2	131	56	183	0.96992481203
GH3_e1	GH3:5872|GH16:4|CBM6:2|GH144:1	3.2.1.21:20|3.2.1.-:6	beta-glucan, beta-1,3-glucan (laminarin, lichenin and cereal D-glucans)	222	CP065321.1_2613	199	2e-29	118	208	70	160	0.405405405405
GH109_e7	GH109:31	-	-	390	CP065321.1_2896	376	9.2e-19	3	148	5	152	0.371794871795
GH32_e25	GH32:15|CBM38:1	-	-	292	CP065321.1_3008	491	9.7e-121	1	292	93	380	0.996575342466
GH32_e71	GH32:74	3.2.1.26:1	fructan(inulin, levan and sucrose)	308	CP065321.1_3017	487	5.6e-148	2	308	30	336	0.993506493506
GH25_e95	GH25:21	-	-	172	CP065321.1_3049	282	2.8e-56	1	171	9	180	0.988372093023
GH3_e197	GH3:1321|GH78:3|CBM6:1	3.2.1.21:22|3.2.1.-:4|3.2.1.37:1|3.2.1.55:1|3.2.1.23:1|3.2.1.45:1	beta-glucan, beta-1,3-glucan (laminarin, lichenin and cereal D-glucans), xylan, arabinan, arabinoxylan, glycosphingolipid (host glycan)	221	CP065321.1_317	752	1.1e-111	2	221	31	250	0.990950226244
GH3_e165	GH3:569	3.2.1.21:33|3.2.1.37:3|3.2.1.-:3|3.2.1.74:1	beta-glucan, xylan, beta-1,3-glucan (laminarin, lichenin and cereal D-glucans), cellodextrin (beta-1,3-glucan)	217	CP065321.1_3212	451	2.7e-66	4	217	198	410	0.981566820276
GT11_e40	GT11:171|GT6:2|GT2:1	2.4.1.69:1	-	283	CP065321.1_3390	330	1.4e-41	5	252	6	284	0.872791519435
GH23_e928	GH23:90	-	-	132	CP065321.1_3499	447	5.9e-48	1	131	167	295	0.984848484848
GT2	GT2:8	-	-	130	CP065321.1_3585	358	5.9e-58	1	126	6	135	0.961538461538
GH109_e7	GH109:31	-	-	390	CP065321.1_484	374	1.6e-19	9	151	36	176	0.364102564103
GH109_e7	GH109:31	-	-	390	CP065321.1_682	368	2.2e-18	2	149	4	153	0.376923076923
CBM54_e1	CBM54:21|GH16_3:18|CBM4:17|CBM6:11|CBM32:2|GH55:1	3.2.1.73:2|3.2.1.6:2	xylan, yeast cell wall glucan and chitin	113	CP065321.1_757	1794	1.4e-26	1	112	191	308	0.982300884956
GT76_e12	GT76:10	-	-	190	CP065321.1_762	422	7.8e-30	5	189	83	278	0.968421052632
GH109_e7	GH109:31	-	-	390	CP065321.1_785	353	6e-21	3	148	2	148	0.371794871795
GH13_e89	GH13_39:173|CBM34:90|GH77:35|GH13:18|GH13_20:2|CBM48:1	-	sucrose 6(F)-phosphate	317	CP065321.1_928	634	9.8e-142	1	317	181	510	0.996845425868
GT35_e0	GT35:17065|GH77:18|GH13_39:1	2.4.1.1:158	-	712	CP065321.1_929	813	2.4e-301	1	709	95	796	0.994382022472
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	CP065321.1_1257	258	6.7e-21	15	205	42	239	0.922330097087
GH18_e226	GH18:11	-	-	315	CP065321.1_1674	334	1.5e-150	3	315	17	324	0.990476190476
GT2	GT2:27	-	-	227	CP065321.1_1894	418	1.2e-111	1	227	45	271	0.995594713656
GH127_e0	GH127:2142	3.2.1.185:2	arabinogalactan proteins	549	CP065321.1_1959	681	5.8e-236	1	549	16	591	0.998178506375
GH43_e111	GH43_12:180|GH43:5	3.2.1.37:1|3.2.1.55:1	xylan, arabinoxylan	281	CP065321.1_2170	532	3e-124	1	281	20	311	0.996441281139
CBM91_e28	CBM91:215|GH43_12:206|GH43:7|GH43_14:1	-	-	199	CP065321.1_2170	532	3.6e-43	7	198	348	528	0.959798994975
GH105_e15	GH105:73	-	-	311	CP065321.1_2329	347	1.1e-175	1	311	27	337	0.996784565916
GH88_e10	GH88:146	-	-	321	CP065321.1_2343	229	1.7e-107	103	321	2	220	0.679127725857
CE4_e362	CE4:61	-	-	127	CP065321.1_2394	268	1.4e-63	5	127	76	198	0.96062992126
CBM67_e28	CBM67:192|GH78:190|CBM0:1|CBM66:1	3.2.1.40:1	L-rhamnose	186	CP065321.1_2404	917	7e-48	1	175	108	284	0.935483870968
GH78_e80	GH78:1278|CBM67:96|GH3:3|GH0:2|GH18:2|CBM0:1	3.2.1.40:8|3.1.1.73:2	host glycan	510	CP065321.1_2404	917	3e-187	2	508	312	898	0.992156862745
GH3_e0	GH3:1894|GH67:1|CBM6:1|CBM32:1	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	xylan, arabinan, arabinoxylan, beta-glucan, beta-1,3-glucan (laminarin, lichenin and cereal D-glucans)	251	CP065321.1_2419	703	5.6e-123	3	247	31	275	0.972111553785
GT35_e0	GT35:17065|GH77:18|GH13_39:1	2.4.1.1:158	-	712	CP065321.1_2445	758	9.6e-253	1	711	77	757	0.997191011236
GH35_e16	GH35:71	-	-	351	CP065321.1_2498	752	8.4e-178	1	351	42	391	0.997150997151
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	CP065321.1_2527	278	3.1e-20	12	200	37	251	0.912621359223
GH95_e21	GH95:56	3.2.1.63:7	alpha1,2-L-fucosidase sugar	755	CP065321.1_2877	661	3.3e-256	3	664	7	658	0.875496688742
GH172_e7	GH172:9	-	-	253	CP065321.1_3007	342	1e-159	1	252	71	322	0.99209486166
GH13_e200	GH13_9:2874|CBM48:2782|GH77:10|GH13:7|GH13_3:5|GH0:1|GT5:1|GH13_1:1	2.4.1.18:14	sucrose 6(F)-phosphate, starch, glycogen, and malto-oligosaccharides	301	CP065321.1_3402	677	3.5e-161	1	300	194	493	0.993355481728
GH109_e7	GH109:31	-	-	390	CP065321.1_3580	369	1.3e-23	2	263	4	258	0.669230769231
GH5_e251	GH5_2:742|CBM3:697|CBM5:11|CBM2:10|GH5:5|CBM13:4|GH5_8:4|CBM10:2|CBM35:1|GH26:1|CBM6:1|CBM60:1	3.2.1.4:65|3.2.1.78:2|3.2.1.132:1	cellulose, beta-D-glucan, mannans, galactomannans and glucomannan, chitosan	240	CP065321.1_494	520	5.3e-104	1	240	244	481	0.995833333333
CBM13_e203	CBM13:6|CBM26:3|GH13_28:3|CBM25:2|GH73:1|CBM74:1	-	plant lectin, xylan 	138	CP065321.1_614	653	1.5e-37	6	135	520	651	0.934782608696
GT28_e57	GT28:25	-	-	166	CP065321.1_802	376	1.9e-76	1	166	194	358	0.993975903614
