# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	3801626	332	+							I5Q82_00005	1620		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	3801626	332	+	QQR30182.1			ABC transporter ATP-binding protein			I5Q82_00005	1620	539	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	403	675	-							I5Q82_00010	273		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	403	675	-	QQR30183.1			type II toxin-antitoxin system YafQ family toxin			I5Q82_00010	273	90	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	668	910	-							I5Q82_00015	243		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	668	910	-	QQR30184.1			hypothetical protein			I5Q82_00015	243	80	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	1284	2432	-							I5Q82_00020	1149		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	1284	2432	-	QQR30185.1			site-specific integrase			I5Q82_00020	1149	382	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	2562	3911	-							I5Q82_00025	1350		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	2562	3911	-	QQR30186.1			hypothetical protein			I5Q82_00025	1350	449	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	3914	4321	-							I5Q82_00030	408		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	3914	4321	-	QQR30187.1			hypothetical protein			I5Q82_00030	408	135	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	4644	5006	-							I5Q82_00035	363		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	4644	5006	-	QQR30188.1			helix-turn-helix domain-containing protein			I5Q82_00035	363	120	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	5003	5215	-							I5Q82_00040	213		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	5003	5215	-	QQR30189.1			helix-turn-helix domain-containing protein			I5Q82_00040	213	70	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	5379	6347	+							I5Q82_00045	969		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	5379	6347	+	QQR30190.1			hypothetical protein			I5Q82_00045	969	322	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	6622	7398	-							I5Q82_00050	777		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	6622	7398	-	QQR31935.1			sulfite exporter TauE/SafE family protein			I5Q82_00050	777	258	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	7410	8537	-							I5Q82_00055	1128		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	7410	8537	-	QQR30191.1			anaerobic sulfatase maturase			I5Q82_00055	1128	375	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	8525	9979	-							I5Q82_00060	1455		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	8525	9979	-	QQR31936.1			sulfatase			I5Q82_00060	1455	484	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	10373	11278	+							I5Q82_00065	906		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	10373	11278	+	QQR30192.1			sugar ABC transporter permease			I5Q82_00065	906	301	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	11294	12208	+							I5Q82_00070	915		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	11294	12208	+	QQR30193.1			carbohydrate ABC transporter permease			I5Q82_00070	915	304	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	12231	13922	+							I5Q82_00075	1692		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	12231	13922	+	QQR30194.1			extracellular solute-binding protein			I5Q82_00075	1692	563	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	14013	15476	+							I5Q82_00080	1464		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	14013	15476	+	QQR30195.1			sulfatase-like hydrolase/transferase			I5Q82_00080	1464	487	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	15532	17493	+							I5Q82_00085	1962		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	15532	17493	+	QQR30196.1			DUF4965 domain-containing protein			I5Q82_00085	1962	653	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	17546	19654	-							I5Q82_00090	2109		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	17546	19654	-	QQR30197.1			helix-turn-helix transcriptional regulator			I5Q82_00090	2109	702	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	20579	21336	-							I5Q82_00095	758		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	20579	21336	-	QQR30198.1			IS5 family transposase			I5Q82_00095	759	252	ribosomal_slippage
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	21390	21692	+							I5Q82_00100	303		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	21390	21692	+	QQR30199.1			nucleotidyltransferase domain-containing protein			I5Q82_00100	303	100	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	21646	22020	+							I5Q82_00105	375		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	21646	22020	+	QQR30200.1			DUF86 domain-containing protein			I5Q82_00105	375	124	
gene	pseudogene	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	22385	22558	-							I5Q82_00110	174		pseudo
CDS	without_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	22385	22558	-				tyrosine-type recombinase/integrase			I5Q82_00110	174		pseudo
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	23000	24160	+							I5Q82_00115	1161		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	23000	24160	+	QQR31937.1			DNA cytosine methyltransferase			I5Q82_00115	1161	386	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	24157	26130	+							I5Q82_00120	1974		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	24157	26130	+	QQR30201.1			ATP-binding protein			I5Q82_00120	1974	657	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	26479	27000	+							I5Q82_00125	522		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	26479	27000	+	QQR30202.1			addiction module toxin RelE			I5Q82_00125	522	173	
gene	pseudogene	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	27030	27596	+							I5Q82_00130	567		pseudo
CDS	without_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	27030	27596	+				helix-turn-helix domain-containing protein			I5Q82_00130	567		pseudo
gene	pseudogene	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	27593	27772	+							I5Q82_00135	180		pseudo
CDS	without_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	27593	27772	+				winged helix-turn-helix domain-containing protein			I5Q82_00135	180		pseudo
gene	pseudogene	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	28238	28498	+							I5Q82_00140	261		pseudo
CDS	without_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	28238	28498	+				sigma-70 family RNA polymerase sigma factor			I5Q82_00140	261		pseudo
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	28605	29012	-							I5Q82_00145	408		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	28605	29012	-	QQR30203.1			hypothetical protein			I5Q82_00145	408	135	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	29333	29683	-							I5Q82_00150	351		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	29333	29683	-	QQR31938.1			helix-turn-helix domain-containing protein			I5Q82_00150	351	116	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	29692	30012	-							I5Q82_00155	321		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	29692	30012	-	QQR30204.1			helix-turn-helix domain-containing protein			I5Q82_00155	321	106	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	30231	30743	-							I5Q82_00160	513		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	30231	30743	-	QQR30205.1			hypothetical protein			I5Q82_00160	513	170	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	30840	31202	-							I5Q82_00165	363		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	30840	31202	-	QQR30206.1			helix-turn-helix domain-containing protein			I5Q82_00165	363	120	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	31199	31411	-							I5Q82_00170	213		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	31199	31411	-	QQR30207.1			helix-turn-helix domain-containing protein			I5Q82_00170	213	70	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	31573	32544	+							I5Q82_00175	972		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	31573	32544	+	QQR30208.1			hypothetical protein			I5Q82_00175	972	323	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	32582	33238	-							I5Q82_00180	657		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	32582	33238	-	QQR30209.1			ATP-binding cassette domain-containing protein			I5Q82_00180	657	218	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	33249	34112	-							I5Q82_00185	864		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	33249	34112	-	QQR30210.1			hypothetical protein			I5Q82_00185	864	287	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	34105	34881	-							I5Q82_00190	777		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	34105	34881	-	QQR30211.1			hypothetical protein			I5Q82_00190	777	258	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	34878	36026	-							I5Q82_00195	1149		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	34878	36026	-	QQR30212.1			hypothetical protein			I5Q82_00195	1149	382	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	36188	36529	+							I5Q82_00200	342		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	36188	36529	+	QQR30213.1			helix-turn-helix transcriptional regulator			I5Q82_00200	342	113	
gene	pseudogene	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	36653	37048	+							I5Q82_00205	396		pseudo
CDS	without_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	36653	37048	+				HEPN domain-containing protein			I5Q82_00205	396		pseudo
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	37027	37326	+							I5Q82_00210	300		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	37027	37326	+	QQR30214.1			nucleotidyltransferase domain-containing protein			I5Q82_00210	300	99	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	37661	39055	-							I5Q82_00215	1395		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	37661	39055	-	QQR30215.1			site-specific integrase			I5Q82_00215	1395	464	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	39048	39632	-							I5Q82_00220	585		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	39048	39632	-	QQR30216.1			helix-turn-helix transcriptional regulator			I5Q82_00220	585	194	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	39822	40004	+							I5Q82_00225	183		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	39822	40004	+	QQR30217.1			hypothetical protein			I5Q82_00225	183	60	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	40004	40171	+							I5Q82_00230	168		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	40004	40171	+	QQR30218.1			hypothetical protein			I5Q82_00230	168	55	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	40582	40992	+							I5Q82_00235	411		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	40582	40992	+	QQR30219.1			transposase			I5Q82_00235	411	136	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	41174	41398	-							I5Q82_00240	225		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	41174	41398	-	QQR30220.1			transposase			I5Q82_00240	225	74	
gene	pseudogene	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	42411	43452	+							I5Q82_00245	1042		pseudo
CDS	without_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	42411	43452	+				TonB-dependent receptor			I5Q82_00245	1042		pseudo
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	43506	43802	+							I5Q82_00250	297		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	43506	43802	+	QQR31939.1			hypothetical protein			I5Q82_00250	297	98	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	43883	44635	-							I5Q82_00255	753		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	43883	44635	-	QQR30221.1			RNA polymerase sigma factor			I5Q82_00255	753	250	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	44804	45373	-							I5Q82_00260	570		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	44804	45373	-	QQR30222.1			WHG domain-containing protein			I5Q82_00260	570	189	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	45448	45696	-							I5Q82_00265	249		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	45448	45696	-	QQR30223.1			AAA family ATPase			I5Q82_00265	249	82	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	45701	46204	-							I5Q82_00270	504		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	45701	46204	-	QQR30224.1			hypothetical protein			I5Q82_00270	504	167	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	46215	46499	-							I5Q82_00275	285		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	46215	46499	-	QQR30225.1			hypothetical protein			I5Q82_00275	285	94	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	46505	47275	-							I5Q82_00280	771		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	46505	47275	-	QQR30226.1			ABC transporter permease			I5Q82_00280	771	256	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	47272	47994	-							I5Q82_00285	723		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	47272	47994	-	QQR30227.1			ABC transporter permease			I5Q82_00285	723	240	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	47991	48746	-							I5Q82_00290	756		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	47991	48746	-	QQR30228.1			ABC transporter ATP-binding protein			I5Q82_00290	756	251	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	48901	49605	+							I5Q82_00295	705		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	48901	49605	+	QQR30229.1			response regulator transcription factor			I5Q82_00295	705	234	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	49607	50998	+							I5Q82_00300	1392		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	49607	50998	+	QQR30230.1			HAMP domain-containing histidine kinase			I5Q82_00300	1392	463	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	51117	51764	-							I5Q82_00305	648		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	51117	51764	-	QQR30231.1			hypothetical protein			I5Q82_00305	648	215	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	51697	53043	-							I5Q82_00310	1347		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	51697	53043	-	QQR30232.1			hypothetical protein			I5Q82_00310	1347	448	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	53043	53945	-							I5Q82_00315	903		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	53043	53945	-	QQR30233.1			ABC transporter ATP-binding protein			I5Q82_00315	903	300	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	54236	55036	+							I5Q82_00320	801		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	54236	55036	+	QQR30234.1			MerR family transcriptional regulator			I5Q82_00320	801	266	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	55033	55839	+							I5Q82_00325	807		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	55033	55839	+	QQR30235.1			ABC transporter ATP-binding protein			I5Q82_00325	807	268	
gene	protein_coding	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	55845	56561	+							I5Q82_00330	717		
CDS	with_protein	GCA_016697365.1	Primary Assembly	chromosome		CP065321.1	55845	56561	+	QQR30236.1			ABC transporter permease			I5Q82_00330	717	238	
