Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
CP065320.1_45	AHC21644.2|GH1	58.2	512	208	4	7	518	11	516	7.9e-170	600.9
CP065320.1_94	ALR08738.2|GT83	45.2	588	300	7	3	575	2	582	7.0e-143	511.5
CP065320.1_99	CUS04921.2|GT4	41.5	848	438	9	3	797	17	859	1.3e-195	687.2
CP065320.1_154	CAD7252417.1|GH13	43.3	587	319	10	133	712	347	926	8.5e-114	415.2
CP065320.1_160	CAE6204650.1|GH28	52.3	598	278	4	6	597	747	1343	2.3e-173	612.8
CP065320.1_217	AGL63871.2|GT2	51.0	478	212	6	307	777	521	983	4.2e-119	433.0
CP065320.1_228	ANU69519.1|GT51	100.0	750	0	0	1	750	1	750	0.0e+00	1463.7
CP065320.1_230	ANU69517.1|GT51	100.0	1187	0	0	1	1187	1	1187	0.0e+00	1847.8
CP065320.1_327	ASU18142.1|GH1	100.0	490	0	0	1	490	1	490	1.7e-304	1048.1
CP065320.1_403	ASU18207.1|GH1	100.0	473	0	0	1	473	1	473	1.9e-292	1008.1
CP065320.1_435	ASU18235.1|GH23	100.0	335	0	0	1	335	1	335	4.2e-193	677.6
CP065320.1_477	AXF51455.1|GH23	32.2	1670	990	32	128	1695	1795	3423	5.1e-242	842.4
CP065320.1_531	CAN65674.1|GH28	43.7	549	278	11	8	547	104	630	4.2e-132	475.7
CP065320.1_629	CAG7911095.1|GH5_11	42.3	892	470	16	19	871	593	1478	1.3e-201	707.2
CP065320.1_683	UOX61583.1|CE0	90.2	276	27	0	1	276	1	276	4.6e-145	517.7
CP065320.1_718	CAG7883609.1|GT1	56.9	873	367	4	3	869	170	1039	8.2e-281	970.3
CP065320.1_739	ANU69058.1|GH4	100.0	442	0	0	1	442	1	442	2.5e-257	891.3
CP065320.1_748	QBQ55251.1|CBM50	39.3	875	495	8	3	848	22	889	1.6e-156	557.4
CP065320.1_753	ANU71450.1|GH73	100.0	556	0	0	1	556	1	556	5.9e-299	1030.0
CP065320.1_872	AGL64353.2|CBM50|GH25	43.1	559	315	2	1	556	1	559	1.1e-132	477.6
CP065320.1_895	QQR27195.1|GH77	100.0	490	0	0	1	490	1	490	8.6e-304	1045.8
CP065320.1_896	ANU68916.1|GT35	100.0	752	0	0	1	752	1	752	0.0e+00	1536.5
CP065320.1_946	QBQ55251.1|CBM50	39.7	856	490	8	17	853	38	886	9.0e-155	551.6
CP065320.1_954	AMJ18631.1|GT2	46.1	1181	596	15	7	1164	3	1165	6.0e-287	991.1
CP065320.1_982	ASU18728.1|CE9	100.0	379	0	0	1	379	1	379	4.4e-223	777.3
CP065320.1_1103	QQR27382.1|GH112	100.0	723	0	0	1	723	1	723	0.0e+00	1508.8
CP065320.1_1285	QQR27537.1|GH1	100.0	483	0	0	1	483	1	483	2.3e-293	1011.1
CP065320.1_1303	ASU19014.1|GH1	100.0	463	0	0	1	463	1	463	9.1e-287	989.2
CP065320.1_1356	ASU19056.1|GH1	100.0	474	0	0	1	474	1	474	4.2e-295	1016.9
CP065320.1_1478	CAD7226128.1|GH38	35.4	725	406	15	11	691	1345	2051	2.5e-107	393.7
CP065320.1_1489	CCO12868.2|GH1	58.9	1233	454	9	1	1223	2	1191	0.0e+00	1446.4
CP065320.1_1526	QQR27750.1|GH1	100.0	469	0	0	1	469	1	469	4.7e-291	1003.4
CP065320.1_1544	CCO10293.2|CBM50	70.5	292	86	0	1	292	1	292	1.1e-109	400.2
CP065320.1_1613	ANU68281.1|GT5	100.0	479	0	0	1	479	1	479	1.3e-288	995.3
