Sigma70_r2	71	CP065314.1_101	238	9.6e-19	1	67	22	88	0.929577464789
Sigma70_r3	78	CP065314.1_101	238	5e-13	1	71	100	171	0.897435897436
Sigma70_r4	50	CP065314.1_101	238	1.2e-13	2	50	187	235	0.96
TetR_N	47	CP065314.1_1012	215	1.9e-18	1	46	8	53	0.957446808511
HATPase_c	111	CP065314.1_102	145	1.2e-12	4	106	41	139	0.918918918919
Glyoxalase	128	CP065314.1_1021	155	7.2e-08	4	128	3	116	0.96875
HTH_3	55	CP065314.1_1023	105	8e-09	1	55	10	64	0.981818181818
HTH_DeoR	57	CP065314.1_1029	206	6.2e-05	28	50	33	55	0.385964912281
STAS	117	CP065314.1_103	114	1.1e-17	4	114	8	107	0.940170940171
AAA	132	CP065314.1_1038	475	2.2e-05	3	122	94	248	0.901515151515
TPR_1	34	CP065314.1_104	437	5e-05	2	34	138	170	0.941176470588
TPR_2	34	CP065314.1_104	437	8.5e-05	4	34	360	390	0.882352941176
Peptidase_M23	96	CP065314.1_1042	339	8.3e-28	2	96	162	260	0.979166666667
HTH_DeoR	57	CP065314.1_1060	113	5.3e-06	17	51	60	94	0.59649122807
HTH_3	55	CP065314.1_1061	270	7e-14	1	55	11	66	0.981818181818
HTH_3	55	CP065314.1_1064	109	3.3e-10	4	55	13	64	0.927272727273
Trans_reg_C	77	CP065314.1_108	404	7.4e-06	7	68	35	98	0.792207792208
BTAD	146	CP065314.1_108	404	5.7e-11	1	143	114	254	0.972602739726
GGDEF	161	CP065314.1_108	404	5.4e-06	62	120	338	393	0.360248447205
HTH_1	60	CP065314.1_1094	298	8.9e-21	4	60	6	62	0.933333333333
LysR_substrate	209	CP065314.1_1094	298	6e-43	4	200	88	287	0.937799043062
Sigma70_r2	71	CP065314.1_1102	184	6.4e-15	1	70	13	80	0.971830985915
Sigma70_r4_2	54	CP065314.1_1102	184	1.2e-15	3	54	100	151	0.944444444444
SBP_bac_3	225	CP065314.1_1108	300	2.1e-49	1	223	62	282	0.986666666667
TPR_1	34	CP065314.1_111	271	1.2e-08	1	30	153	182	0.852941176471
B12-binding	121	CP065314.1_1115	398	4.1e-05	19	74	106	162	0.454545454545
SBP_bac_1	315	CP065314.1_1121	464	2.6e-28	14	313	84	370	0.949206349206
Response_reg	112	CP065314.1_1122	500	5.2e-22	1	101	4	106	0.892857142857
HTH_18	81	CP065314.1_1122	500	4.2e-24	2	80	419	496	0.962962962963
dCache_1	249	CP065314.1_1123	598	7.8e-07	43	248	91	291	0.823293172691
HATPase_c	111	CP065314.1_1123	598	9.8e-10	8	109	490	595	0.90990990991
GntR	64	CP065314.1_1125	242	1.4e-22	1	64	7	70	0.984375
PfkB	302	CP065314.1_1127	311	1.6e-42	5	294	4	288	0.956953642384
Pyr_redox_2	292	CP065314.1_1131	425	1.5e-32	1	289	109	388	0.986301369863
Fer4	24	CP065314.1_1136	252	7e-06	7	23	188	204	0.666666666667
Fer4	24	CP065314.1_1136	252	4.5e-06	7	24	216	233	0.708333333333
HTH_1	60	CP065314.1_1150	303	3.2e-19	1	59	3	61	0.966666666667
LysR_substrate	209	CP065314.1_1150	303	6.8e-13	35	175	118	266	0.66985645933
SBP_bac_1	315	CP065314.1_1163	430	2.3e-26	7	313	53	342	0.971428571429
LacI	46	CP065314.1_1167	347	4.7e-15	1	45	3	48	0.95652173913
Peripla_BP_3	164	CP065314.1_1167	347	6.4e-26	3	164	178	336	0.981707317073
Peripla_BP_2	238	CP065314.1_1170	415	2e-28	5	237	137	380	0.974789915966
AAA	132	CP065314.1_1177	495	2.9e-14	1	126	268	402	0.94696969697
AAA	132	CP065314.1_118	770	3.6e-24	1	126	349	485	0.94696969697
LacI	46	CP065314.1_1182	335	2.5e-18	1	46	5	51	0.978260869565
Peripla_BP_1	279	CP065314.1_1182	335	1.4e-09	2	148	63	209	0.523297491039
Peripla_BP_3	164	CP065314.1_1182	335	8.3e-11	4	164	174	333	0.975609756098
AAA	132	CP065314.1_119	440	3e-16	1	100	117	234	0.75
HisKA	64	CP065314.1_1191	402	2.7e-15	2	62	211	274	0.9375
HATPase_c	111	CP065314.1_1191	402	9.2e-07	2	54	326	379	0.468468468468
Response_reg	112	CP065314.1_1192	237	1e-27	1	111	8	120	0.982142857143
