Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
CP065317.1_8	CCO11681.2|GH25	70.6	299	88	0	1	299	1	299	1.6e-119	433.0
CP065317.1_11	AQL53516.1|GH4	100.0	464	0	0	1	464	1	464	5.0e-277	956.8
CP065317.1_26	QWU85921.1|GH130	52.1	457	211	1	5	453	1375	1831	2.2e-136	489.6
CP065317.1_41	CCO11377.2|GH23	40.1	553	316	6	1	545	1	546	4.0e-108	396.0
CP065317.1_50	AWQ39739.1|GH23	100.0	205	0	0	1	205	5	209	1.3e-112	409.5
CP065317.1_64	CCO72370.1|GH170	100.0	363	0	0	1	363	1	363	1.4e-213	745.7
CP065317.1_94	CCO09729.2|GH1	65.3	426	146	1	1	424	1	426	1.9e-153	546.2
CP065317.1_112	QXN81410.1|CBM50|GH73	100.0	286	0	0	1	286	1	286	9.0e-144	513.5
CP065317.1_129	AOG60880.1|GH32	48.1	495	255	1	4	498	5	497	5.0e-126	455.7
CP065317.1_130	ASU25006.1|GH13_31	100.0	557	0	0	1	557	1	557	0.0e+00	1164.4
CP065317.1_131	VEE96059.1|GH32	99.4	490	3	0	1	490	1	490	6.6e-296	1019.6
CP065317.1_134	QQR12225.1|GH1	100.0	469	0	0	1	469	1	469	1.3e-285	985.3
CP065317.1_139	CCO11054.2|CBM50	67.9	308	99	0	1	308	1	308	5.0e-116	421.4
CP065317.1_230	ASU25098.1|GH38	100.0	896	0	0	1	896	1	896	0.0e+00	1830.1
CP065317.1_231	QUE57813.1|GH125	100.0	429	0	0	1	429	1	429	4.1e-257	890.6
CP065317.1_262	AFO44358.1|GT51	99.9	750	1	0	26	775	26	775	0.0e+00	1480.3
CP065317.1_271	CAI32748.2|GT4	72.4	294	77	1	2	291	3	296	8.9e-118	427.2
CP065317.1_302	QYU66396.1|GH13_23	49.7	451	221	5	4	449	8	457	6.0e-106	388.7
CP065317.1_304	CCO12102.2|GH13_31	66.3	344	112	1	1	340	1	344	1.8e-114	416.4
CP065317.1_322	ANU73149.1|GH101	100.0	1324	0	0	1	1324	1	1324	0.0e+00	2667.9
CP065317.1_327	ASU25191.1|GH35	100.0	594	0	0	1	594	1	594	0.0e+00	1239.6
CP065317.1_332	QRG96497.1|GT8	100.0	300	0	0	1	300	1	300	1.2e-175	619.4
CP065317.1_333	QQR12413.1|GT8	100.0	281	0	0	1	281	1	281	1.4e-160	569.3
CP065317.1_343	ASU25207.1|GH73	100.0	657	0	0	1	657	1	657	3.2e-301	1037.7
CP065317.1_344	QUE58257.1|CBM32|GH31	99.9	719	1	0	1	719	1157	1875	0.0e+00	1306.2
CP065317.1_348	QDR51766.1|CE4	100.0	301	0	0	1	301	1	301	7.0e-171	603.6
CP065317.1_387	QBQ55251.1|CBM50	39.4	881	482	11	31	891	40	888	1.8e-145	520.8
CP065317.1_405	CCO12112.2|GH13_31	82.1	436	72	4	1	432	1	434	7.6e-195	683.7
CP065317.1_414	ALR08738.2|GT83	49.7	587	281	9	4	582	2	582	7.5e-153	544.7
CP065317.1_439	AGL63871.2|GT2	50.1	481	225	5	319	795	517	986	3.6e-121	439.9
CP065317.1_478	AMJ18631.1|GT2	46.5	1188	602	12	4	1175	1	1170	1.2e-293	1013.4
CP065317.1_485	QXN79461.1|GT2	100.0	326	0	0	1	326	1	326	2.5e-182	641.7
CP065317.1_488	ASU25352.1|GT2	100.0	323	0	0	1	323	1	323	2.2e-183	645.2
CP065317.1_491	QQR12558.1|GT2	100.0	324	0	0	1	324	1	324	4.2e-182	641.0
CP065317.1_494	AWQ40265.1|GH25	100.0	744	0	0	1	744	1	744	0.0e+00	1308.1
CP065317.1_496	QKR88825.1|GT2	100.0	252	0	0	1	252	1	252	8.8e-143	510.0
CP065317.1_500	AWQ40271.1|GT2	100.0	713	0	0	1	713	1	713	0.0e+00	1448.7
CP065317.1_501	ANU73321.1|GT2	100.0	1047	0	0	1	1047	1	1047	0.0e+00	2104.3
CP065317.1_506	VTT47700.1|GT2	100.0	241	0	0	1	241	1	241	7.9e-133	476.9
CP065317.1_511	AZV97325.1|GT2	100.0	237	0	0	1	237	1	237	1.6e-133	479.2
CP065317.1_512	QQR12579.1|GT2	100.0	275	0	0	1	275	1	275	4.2e-154	547.7
CP065317.1_513	QUE58488.1|GT2	100.0	260	0	0	1	260	3	262	3.8e-149	531.2
CP065317.1_529	QCH95999.1|GH13_29	50.6	476	226	5	5	478	7	475	4.4e-122	442.2
CP065317.1_533	ASU25395.1|GH92	100.0	713	0	0	1	713	1	713	0.0e+00	1479.2
CP065317.1_546	ASU25406.1|GH136	100.0	1259	0	0	1	1259	1	1259	0.0e+00	2474.9
CP065317.1_552	ASU25412.1|GH88	100.0	380	0	0	1	380	1	380	5.6e-226	786.9
CP065317.1_553	ASU25413.1|GH154	100.0	599	0	0	1	599	1	599	0.0e+00	1247.3
CP065317.1_567	CAE6204650.1|GH28	51.4	601	285	3	10	604	744	1343	1.2e-174	617.1
CP065317.1_576	AGL63717.2|GT4	46.2	673	292	5	163	835	107	709	2.5e-157	560.1
CP065317.1_583	QZK93896.1|GH73	100.0	213	0	0	1	213	1	213	4.4e-119	431.0
CP065317.1_590	CCO11001.2|GH24	42.2	940	515	11	1	921	1	931	5.8e-192	675.2
CP065317.1_594	AGL64353.2|CBM50|GH25	68.3	565	179	0	1	565	1	565	3.7e-229	798.1
CP065317.1_643	ASU25502.1|GH170	100.0	369	0	0	1	369	1	369	5.0e-211	737.3
CP065317.1_670	QKR88994.1|GT2	100.0	416	0	0	1	416	1	416	5.4e-230	800.4
CP065317.1_736	AAL59475.1|GT0	97.5	315	8	0	116	430	1	315	7.2e-161	570.9
CP065317.1_757	ANU74277.2|GH2	99.9	1259	1	0	1	1259	3	1261	0.0e+00	2589.3
CP065317.1_761	CCO11994.2|GT4	54.7	395	158	5	2	387	10	392	3.8e-116	422.2
CP065317.1_791	QUI22575.1|CBM50	36.2	596	376	4	10	603	34	627	3.6e-110	402.9
CP065317.1_834	QYO62262.1|GH13	66.4	345	114	2	1	344	1	344	1.4e-121	440.7
CP065317.1_837	QQR12881.1|GH73	100.0	515	0	0	1	515	1	515	3.5e-263	911.0
CP065317.1_855	CAD7245033.1|GT58	65.3	478	147	5	2	466	1053	1524	7.0e-170	600.9
CP065317.1_865	QQR12909.1|GH1	100.0	481	0	0	1	481	1	481	2.7e-294	1014.2
CP065317.1_896	AMJ18631.1|GT2	44.4	514	258	10	1	504	667	1162	6.1e-119	431.8
CP065317.1_900	AGL64700.2|GH23	69.0	355	110	0	2	356	5	359	2.7e-137	492.3
CP065317.1_903	AMJ20543.1|GH13_11	56.0	407	174	3	7	410	5	409	3.4e-120	435.6
CP065317.1_923	ANU73728.1|GT2	100.0	488	0	0	1	488	1	488	9.6e-287	989.2
CP065317.1_924	QQV86831.1|GT2	100.0	201	0	0	1	201	1	201	1.1e-111	406.4
CP065317.1_926	AWQ40491.1|GT2	99.8	610	1	0	1	610	227	836	0.0e+00	1205.3
CP065317.1_930	ASU25783.1|CBM50	100.0	447	0	0	1	447	1	447	4.1e-228	794.3
CP065317.1_934	ANU73736.1|GH1	100.0	476	0	0	1	476	1	476	7.9e-294	1012.7
CP065317.1_952	QQR12989.1|GH1	100.0	488	0	0	1	488	1	488	1.7e-296	1021.5
CP065317.1_953	ASU25803.1|GH1	100.0	476	0	0	1	476	1	476	2.4e-290	1001.1
CP065317.1_963	ANQ54130.1|CBM50	45.8	517	276	4	1	516	19	532	2.1e-135	486.5
CP065317.1_969	AVR92814.1|GT2	100.0	312	0	0	1	312	1	312	3.4e-176	621.3
CP065317.1_977	AMW24368.1|GT0	63.9	330	117	2	5	334	3	330	6.3e-115	417.9
CP065317.1_990	CAG7911095.1|GH5_11	43.8	901	450	15	21	879	593	1479	9.0e-219	764.2
CP065317.1_1039	QKR95814.1|GH25	100.0	265	0	0	1	265	1	265	1.3e-152	542.7
CP065317.1_1043	QQR13069.1|AA10|CBM12	100.0	456	0	0	1	456	1	456	6.2e-264	913.3
CP065317.1_1112	QBQ55243.1|CBM50	39.5	899	491	11	3	849	9	906	3.0e-155	553.1
CP065317.1_1121	QDR52409.1|CBM32|PL8	96.5	1072	38	0	1	1072	301	1372	0.0e+00	1956.4
CP065317.1_1122	ADX78406.1|CBM32|PL8	100.0	292	0	0	1	292	5	296	5.4e-160	567.4
CP065317.1_1130	CCO11377.2|GH23	41.7	554	307	7	1	546	1	546	1.5e-115	420.6
CP065317.1_1133	ANU73922.1|CE9	100.0	383	0	0	1	383	1	383	1.9e-221	771.9
CP065317.1_1153	CAD7252417.1|GH13	41.3	572	326	7	133	697	347	915	1.5e-107	394.4
CP065317.1_1168	CCO11377.2|GH23	47.0	553	286	4	1	547	1	552	5.0e-143	511.9
CP065317.1_1245	QQR13253.1|GH65	100.0	903	0	0	1	903	12	914	0.0e+00	1803.5
CP065317.1_1307	CCO12868.2|GH1	87.5	1208	144	1	1	1201	1	1208	0.0e+00	2132.5
CP065317.1_1313	QUE56719.1|AA10	100.0	212	0	0	1	212	1	212	2.1e-121	438.7
CP065317.1_1343	AGL63717.2|GT4	48.9	616	298	7	179	792	113	713	6.4e-158	562.0
CP065317.1_1408	AFO42907.1|GH1	100.0	476	0	0	1	476	1	476	2.8e-283	977.6
CP065317.1_1453	VDN48620.1|CBM50	35.3	703	373	21	14	697	477	1116	5.6e-106	389.4
CP065317.1_1454	CCO11377.2|GH23	40.1	549	321	6	7	552	3	546	1.8e-111	407.1
CP065317.1_1462	AFO42961.1|GH63	100.0	779	0	0	1	779	1	779	0.0e+00	1587.0
CP065317.1_1499	AAO79989.1|GH18|GH20|3.2.1.52|3.2.1.96	100.0	835	0	0	1	835	1	835	0.0e+00	1686.4
CP065317.1_1529	CCO11681.2|GH25	70.6	299	88	0	1	299	1	299	1.6e-119	433.0
CP065317.1_1552	QQR10961.1|GH16_6	99.4	847	5	0	2	848	1	847	0.0e+00	1531.9
CP065317.1_1553	ANU71609.1|CBM40|GH16_6|GH33	100.0	2436	0	0	1	2436	1	2436	0.0e+00	4581.2
CP065317.1_1563	QQR10970.1|GT2	100.0	446	0	0	1	446	1	446	4.0e-255	884.0
CP065317.1_1565	AAL59475.1|GT0	95.9	315	13	0	116	430	1	315	6.1e-160	567.8
CP065317.1_1587	BAH02316.1|GH23	98.7	315	4	0	1	315	1	315	3.4e-179	631.3
CP065317.1_1637	CAD7226128.1|GH38	35.2	718	409	13	11	685	1345	2049	5.6e-115	419.1
CP065317.1_1640	AGL64047.2|GH65	50.8	388	186	4	1	386	1	385	2.5e-104	382.9
CP065317.1_1686	AWQ38563.1|GH73	100.0	501	0	0	1	501	3	503	2.2e-190	669.1
CP065317.1_1701	QXN79918.1|GT4	100.0	334	0	0	1	334	1	334	1.6e-192	675.6
CP065317.1_1702	ASU26516.1|GT4	100.0	407	0	0	1	407	1	407	4.3e-232	807.4
CP065317.1_1727	QOL18122.1|GH18	100.0	314	0	0	1	314	1	314	2.3e-180	635.2
CP065317.1_1732	CAN65674.1|GH28	41.8	593	310	10	29	614	65	629	2.0e-122	443.7
CP065317.1_1807	CCO11377.2|GH23	38.7	548	322	5	6	540	5	551	2.0e-104	383.6
CP065317.1_1911	QBQ55156.1|CBM50	37.6	662	393	10	158	816	60	704	4.3e-106	389.8
CP065317.1_1920	QPB58841.1|GH18	100.0	348	0	0	1	348	1	348	5.2e-202	707.2
CP065317.1_1921	QCJ35202.1|AA10	100.0	194	0	0	1	194	1	194	6.4e-109	397.1
CP065317.1_1930	CCO12625.2|GH38	44.1	497	273	2	1	493	1	496	8.0e-108	394.8
CP065317.1_1984	QQR11341.1|GH105	100.0	368	0	0	1	368	1	368	2.4e-218	761.5
CP065317.1_2049	QZK92746.1|GH1	100.0	468	0	0	1	468	1	468	8.9e-290	999.2
CP065317.1_2086	QKR89998.1|GT51	100.0	692	0	0	1	692	1	692	0.0e+00	1359.7
CP065317.1_2107	AGL63702.2|GT4	74.4	516	130	2	8	522	9	523	5.9e-226	787.3
CP065317.1_2112	AGL63717.2|GT4	67.1	747	229	7	1	738	1	739	6.1e-277	957.2
CP065317.1_2145	CCO10096.2|GH1	67.0	463	153	0	1	463	1	463	4.0e-157	558.5
CP065317.1_2203	QQR11538.1|CBM50|GH73	100.0	805	0	0	1	805	1	805	0.0e+00	1139.4
CP065317.1_2204	CUS04921.2|GT4	43.7	847	426	7	3	802	17	859	8.5e-208	727.6
CP065317.1_2221	CCO12430.2|CE4	48.6	624	311	5	1	617	1	621	1.6e-156	557.0
CP065317.1_2229	QCJ66069.1|GH170	100.0	266	0	0	1	266	1	266	4.3e-151	537.7
CP065317.1_2260	QBQ55251.1|CBM50	35.8	888	518	10	7	865	25	889	3.4e-133	479.9
CP065317.1_2263	QBQ55156.1|CBM50	43.6	706	374	7	7	696	3	700	5.2e-153	545.4
CP065317.1_2272	QQR11600.1|GH126	100.0	388	0	0	1	388	15	402	1.6e-220	768.8
CP065317.1_2276	QUE56002.1|GT2	100.0	420	0	0	1	420	1	420	1.7e-231	805.4
CP065317.1_2294	CCO11377.2|GH23	41.6	514	294	4	44	556	44	552	1.7e-114	417.2
CP065317.1_2317	CCO12633.2|GH84	74.1	672	170	3	1	669	1	671	1.1e-298	1029.2
CP065317.1_2343	QQR11668.1|GH65	100.0	764	0	0	1	764	1	764	0.0e+00	1557.0
CP065317.1_2364	CCO11632.2|GH3	53.9	438	202	0	1	438	1	438	3.7e-120	435.6
CP065317.1_2379	QXN80951.1|GT28	100.0	363	0	0	1	363	1	363	1.9e-202	708.8
CP065317.1_2397	CCO12612.2|GH1	63.7	488	157	5	1	486	1	470	1.1e-168	597.0
CP065317.1_2404	VEE95105.1|GH1	100.0	464	0	0	1	464	1	464	1.7e-288	995.0
CP065317.1_2408	CAG7883609.1|GT1	49.6	871	430	5	2	864	170	1039	4.3e-237	825.1
CP065317.1_2428	AWZ17133.1|GH13_30	30.2	1140	717	20	3	1068	406	1540	4.0e-131	473.4
CP065317.1_2433	CBA03971.1|GT30	54.9	384	169	3	3	385	2	382	7.7e-116	421.4
CP065317.1_2464	ANU72507.1|GH23	100.0	331	0	0	1	331	1	331	2.3e-191	671.8
CP065317.1_2472	QIW86704.1|GH23	36.7	990	519	18	26	925	2291	3262	1.5e-166	590.9
CP065317.1_2481	QBQ55156.1|CBM50	36.7	659	399	7	159	814	65	708	2.5e-106	390.6
CP065317.1_2486	QBQ55156.1|CBM50	46.9	646	329	4	54	695	66	701	1.4e-153	547.4
CP065317.1_2595	AAO80948.1|GT51	100.0	690	0	0	1	690	1	690	0.0e+00	1313.5
CP065317.1_2619	QHT41207.1|GT26	100.0	248	0	0	1	248	1	248	5.8e-139	497.3
CP065317.1_2631	CCO10479.2|GH1	47.4	460	242	0	1	460	1	460	5.2e-133	478.4
CP065317.1_2680	QKR97069.1|CE7	100.0	305	0	0	1	305	1	305	1.6e-183	645.6
CP065317.1_2682	ASU24732.1|GH3	100.0	716	0	0	1	716	1	716	0.0e+00	1411.4
CP065317.1_2683	QUE55683.1|GH94	100.0	1091	0	0	1	1091	1	1091	0.0e+00	2200.6
CP065317.1_2687	QSO30058.1|GH1	100.0	477	0	0	1	477	1	477	5.3e-290	1000.0
CP065317.1_2715	AGL64345.2|GT2	73.7	577	152	0	220	796	279	855	3.5e-246	855.1
CP065317.1_2759	QZK92111.1|CE9	100.0	382	0	0	1	382	1	382	1.8e-224	781.9
CP065317.1_2780	QQR12050.1|CBM34|GH13_20	100.0	588	0	0	1	588	1	588	0.0e+00	1231.9
