HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2.hmm	170	CP065321.1_1030	325	9e-28	2	167	7	174	0.970588235294
GH130.hmm	296	CP065321.1_1040	334	1.4e-89	1	295	26	320	0.993243243243
GH42.hmm	371	CP065321.1_1154	664	5.7e-157	1	370	13	385	0.99460916442
GH29.hmm	346	CP065321.1_1175	439	8e-113	37	346	8	345	0.893063583815
CE1.hmm	227	CP065321.1_1204	270	7.3e-46	20	223	42	255	0.894273127753
GH2.hmm	752	CP065321.1_1241	923	2.5e-35	30	430	3	472	0.531914893617
CE1.hmm	227	CP065321.1_1257	258	2.9e-42	23	222	40	242	0.876651982379
GH13_18.hmm	343	CP065321.1_1258	485	1.5e-122	2	343	37	373	0.99416909621
CE1.hmm	227	CP065321.1_1263	392	1.8e-45	1	220	155	386	0.964757709251
GH32.hmm	293	CP065321.1_1264	555	6e-61	1	293	105	407	0.996587030717
GH42.hmm	371	CP065321.1_1275	682	6.9e-148	1	370	16	391	0.99460916442
CBM13.hmm	188	CP065321.1_1283	229	3.1e-24	5	135	8	143	0.691489361702
CE1.hmm	227	CP065321.1_1333	421	2.2e-21	5	193	163	371	0.828193832599
CE1.hmm	227	CP065321.1_146	452	4.2e-20	23	143	202	351	0.528634361233
GH5_46.hmm	257	CP065321.1_1472	527	1.2e-86	4	257	74	329	0.984435797665
GH2.hmm	752	CP065321.1_1498	583	1.2e-101	24	430	15	494	0.539893617021
GT51.hmm	177	CP065321.1_1512	243	3.6e-61	12	176	59	223	0.926553672316
GH13_20.hmm	300	CP065321.1_1531	535	8.5e-76	4	298	45	336	0.98
CE1.hmm	227	CP065321.1_158	452	5.1e-21	23	143	202	351	0.528634361233
GH109.hmm	399	CP065321.1_1600	382	1.9e-17	6	162	2	151	0.390977443609
GH18.hmm	296	CP065321.1_1674	334	4.2e-70	29	284	19	323	0.861486486486
GH29.hmm	346	CP065321.1_1675	446	3.7e-79	41	337	19	344	0.85549132948
GH25.hmm	177	CP065321.1_1678	301	1.8e-41	1	177	98	286	0.994350282486
GH25.hmm	177	CP065321.1_1679	298	5.8e-34	1	177	93	282	0.994350282486
CE4.hmm	130	CP065321.1_1874	295	3.7e-25	5	125	101	251	0.923076923077
GT2.hmm	230	CP065321.1_1894	418	3e-30	3	230	44	272	0.986956521739
GH109.hmm	399	CP065321.1_191	369	1.1e-29	7	162	4	154	0.388471177945
GH35.hmm	307	CP065321.1_1955	581	2.7e-125	1	305	9	320	0.990228013029
GH51.hmm	630	CP065321.1_1957	493	2.5e-137	85	541	3	491	0.72380952381
GH127.hmm	524	CP065321.1_1959	681	1.1e-218	1	524	15	590	0.998091603053
GH18.hmm	296	CP065321.1_2063	426	6.4e-31	23	280	118	408	0.868243243243
GH36.hmm	688	CP065321.1_2085	732	2.1e-245	1	687	11	710	0.997093023256
GH32.hmm	293	CP065321.1_2098	451	1.3e-87	1	284	14	302	0.965870307167
GH25.hmm	177	CP065321.1_2165	289	1.1e-40	1	176	9	179	0.988700564972
GH43_12.hmm	281	CP065321.1_2170	532	7.9e-118	1	281	19	310	0.996441281139
CBM91.hmm	200	CP065321.1_2170	532	5.7e-46	10	199	347	529	0.945
GH51.hmm	630	CP065321.1_2171	508	3.2e-143	84	544	6	506	0.730158730159
GT28.hmm	157	CP065321.1_2240	376	5.4e-32	1	154	203	354	0.974522292994
GH2.hmm	752	CP065321.1_2260	598	2e-54	201	552	42	493	0.466755319149
CE9.hmm	373	CP065321.1_2312	387	2e-128	5	372	7	374	0.983914209115
GH105.hmm	332	CP065321.1_2329	347	1.8e-76	10	328	25	334	0.957831325301
GH120.hmm	91	CP065321.1_2340	485	3.1e-33	1	91	109	199	0.989010989011
GH88.hmm	329	CP065321.1_2343	229	6.3e-84	108	329	3	220	0.671732522796
GH109.hmm	399	CP065321.1_2345	352	2e-26	4	176	6	169	0.431077694236
GH109.hmm	399	CP065321.1_2351	402	7.6e-20	4	166	4	168	0.406015037594
GH27.hmm	229	CP065321.1_2361	443	6.9e-57	14	224	172	404	0.917030567686
GT26.hmm	171	CP065321.1_2378	239	7.9e-55	8	170	62	221	0.947368421053
GT2.hmm	170	CP065321.1_2382	325	2.4e-39	1	131	5	133	0.764705882353
CE4.hmm	130	CP065321.1_2394	268	2.1e-35	6	125	75	198	0.915384615385
CBM67.hmm	176	CP065321.1_2404	917	8.1e-29	1	159	107	277	0.897727272727
GH78.hmm	504	CP065321.1_2404	917	1.2e-54	2	198	311	506	0.388888888889
GH78.hmm	504	CP065321.1_2404	917	1.1e-91	170	504	540	897	0.662698412698
GH2.hmm	752	CP065321.1_2409	681	4.1e-103	27	467	2	559	0.585106382979
GH3.hmm	216	CP065321.1_2419	703	2.2e-72	3	215	32	271	0.981481481481
GH2.hmm	752	CP065321.1_2438	1009	6.3e-191	22	751	29	893	0.969414893617
GT39.hmm	223	CP065321.1_2439	1030	2.9e-49	16	221	609	823	0.919282511211
GT35.hmm	674	CP065321.1_2445	758	1.7e-221	1	674	76	757	0.998516320475
GH77.hmm	494	CP065321.1_2446	521	3.7e-174	1	491	16	494	0.991902834008
GH123.hmm	538	CP065321.1_2459	537	7.9e-25	103	481	87	483	0.702602230483
GH23.hmm	135	CP065321.1_2478	191	1.3e-29	15	124	56	183	0.807407407407
GH35.hmm	307	CP065321.1_2498	752	3.6e-90	4	305	42	390	0.980456026059
GT4.hmm	160	CP065321.1_2511	749	7.6e-32	14	159	197	340	0.90625
CE1.hmm	227	CP065321.1_2527	278	4.9e-47	1	223	10	260	0.977973568282
GH3.hmm	216	CP065321.1_2613	199	3.1e-20	121	210	73	156	0.412037037037
GT2.hmm	170	CP065321.1_275	293	1.4e-17	1	116	5	121	0.676470588235
GH109.hmm	399	CP065321.1_2820	373	6.6e-31	4	165	2	158	0.40350877193
GH95.hmm	722	CP065321.1_2877	661	2.8e-184	6	623	6	647	0.854570637119
GH3.hmm	216	CP065321.1_2884	738	2.9e-44	6	213	145	406	0.958333333333
GH109.hmm	399	CP065321.1_2893	363	3.9e-18	4	169	2	159	0.413533834586
GH109.hmm	399	CP065321.1_2896	376	8.8e-22	4	160	2	151	0.390977443609
GH106.hmm	824	CP065321.1_2944	871	1.8e-47	38	518	38	622	0.582524271845
GH172.hmm	236	CP065321.1_3007	342	2.2e-69	3	235	70	321	0.983050847458
GH32.hmm	293	CP065321.1_3008	491	3.3e-70	1	289	92	376	0.982935153584
GH51.hmm	630	CP065321.1_3013	488	4.4e-132	85	541	3	486	0.72380952381
GH32.hmm	293	CP065321.1_3016	477	1.5e-29	17	278	21	286	0.890784982935
GH32.hmm	293	CP065321.1_3017	487	4.2e-101	1	293	28	335	0.996587030717
GH25.hmm	177	CP065321.1_3049	282	5.1e-37	1	176	8	179	0.988700564972
GH3.hmm	216	CP065321.1_317	752	5.5e-66	4	216	30	249	0.981481481481
GT51.hmm	177	CP065321.1_3194	828	7e-58	9	176	105	272	0.943502824859
GH3.hmm	216	CP065321.1_3212	451	2.5e-54	25	216	211	409	0.884259259259
GT2.hmm	170	CP065321.1_3387	323	3.7e-24	1	160	13	175	0.935294117647
GT11.hmm	276	CP065321.1_3390	330	6.1e-34	6	242	6	282	0.855072463768
GH13_9.hmm	301	CP065321.1_3402	677	2.7e-156	1	301	193	493	0.996677740864
GT5.hmm	472	CP065321.1_3405	476	1.4e-172	1	472	2	471	0.997881355932
GH151.hmm	131	CP065321.1_3545	695	3.9e-19	27	130	52	166	0.786259541985
GH151.hmm	131	CP065321.1_3546	650	4.3e-22	1	131	24	153	0.992366412214
GH109.hmm	399	CP065321.1_3580	369	1.9e-25	3	162	1	155	0.398496240602
GT2.hmm	170	CP065321.1_3585	358	4.7e-22	1	129	5	126	0.752941176471
GH109.hmm	399	CP065321.1_361	431	7.2e-18	7	173	6	172	0.416040100251
GH28.hmm	325	CP065321.1_3655	431	6.9e-58	7	309	27	376	0.929230769231
GH2.hmm	752	CP065321.1_3662	816	8e-97	29	472	3	579	0.589095744681
GH127.hmm	524	CP065321.1_423	680	3e-208	2	524	16	590	0.996183206107
GH106.hmm	824	CP065321.1_424	862	6.6e-50	210	823	277	847	0.743932038835
GH146.hmm	503	CP065321.1_430	627	1.4e-36	181	503	196	553	0.640159045726
GH5_2.hmm	237	CP065321.1_494	520	1.7e-91	2	237	243	480	0.991561181435
GH4.hmm	179	CP065321.1_503	441	2e-65	1	177	3	184	0.983240223464
CBM13.hmm	188	CP065321.1_614	653	5.5e-21	38	132	503	600	0.5
GH109.hmm	399	CP065321.1_682	368	7.9e-28	3	163	1	154	0.401002506266
GH13_11.hmm	351	CP065321.1_701	714	3.6e-152	1	351	207	560	0.997150997151
CBM54.hmm	114	CP065321.1_757	1794	5.9e-24	1	113	190	308	0.982456140351
GT76.hmm	407	CP065321.1_762	422	3.8e-18	47	269	78	310	0.545454545455
GH109.hmm	399	CP065321.1_785	353	2.2e-22	7	164	2	151	0.393483709273
GT28.hmm	157	CP065321.1_802	376	5.7e-48	2	156	193	357	0.980891719745
GH3.hmm	216	CP065321.1_834	931	6.5e-59	7	216	517	733	0.967592592593
GH31.hmm	427	CP065321.1_839	751	1.5e-128	3	427	239	667	0.992974238876
GH13_39.hmm	316	CP065321.1_928	634	1.1e-133	1	315	180	509	0.993670886076
GT35.hmm	674	CP065321.1_929	813	1.7e-257	1	672	94	796	0.995548961424
