HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH112.hmm	715	CP065320.1_1103	724	0	1	714	6	717	0.997202797203
GH109.hmm	399	CP065320.1_1223	334	2.6e-20	3	160	1	149	0.393483709273
GH1.hmm	429	CP065320.1_1285	484	7.1e-125	1	428	11	480	0.995337995338
GH1.hmm	429	CP065320.1_1303	464	5.4e-115	3	427	3	459	0.988344988345
GH1.hmm	429	CP065320.1_1356	475	1.4e-147	7	426	7	467	0.97668997669
GH1.hmm	429	CP065320.1_1526	470	2.2e-140	7	428	3	466	0.981351981352
GT5.hmm	472	CP065320.1_1613	480	4e-180	1	471	3	475	0.995762711864
GT2.hmm	170	CP065320.1_1715	357	3.7e-22	1	156	5	150	0.911764705882
GH109.hmm	399	CP065320.1_1771	341	2.4e-24	3	147	1	135	0.360902255639
GH1.hmm	429	CP065320.1_1780	482	1e-135	3	428	6	478	0.990675990676
GH1.hmm	429	CP065320.1_1782	480	1.7e-154	1	428	1	476	0.995337995338
GH170.hmm	350	CP065320.1_1804	365	1.3e-104	1	343	3	354	0.977142857143
GH4.hmm	179	CP065320.1_1863	442	2e-68	2	179	6	183	0.988826815642
GH43_24.hmm	246	CP065320.1_1886	310	7.8e-85	1	245	22	267	0.991869918699
GT51.hmm	177	CP065320.1_1908	621	8.8e-66	5	175	50	221	0.960451977401
CE9.hmm	373	CP065320.1_1911	370	2.7e-86	2	373	6	365	0.994638069705
CE9.hmm	373	CP065320.1_1990	388	1.5e-111	3	373	5	375	0.991957104558
GH1.hmm	429	CP065320.1_2034	484	1.8e-163	3	428	7	480	0.990675990676
CE4.hmm	130	CP065320.1_2066	255	1e-27	6	112	44	150	0.815384615385
GH13_29.hmm	344	CP065320.1_2071	550	3.7e-174	2	343	25	368	0.991279069767
GH1.hmm	429	CP065320.1_2094	482	2.9e-140	3	428	6	477	0.990675990676
GH1.hmm	429	CP065320.1_2134	489	1.9e-136	4	428	5	485	0.988344988345
GH38.hmm	269	CP065320.1_2219	881	4.4e-49	2	264	5	277	0.973977695167
GT51.hmm	177	CP065320.1_228	884	3.5e-53	2	176	73	270	0.983050847458
GH1.hmm	429	CP065320.1_2290	478	5e-148	2	428	4	470	0.993006993007
GT51.hmm	177	CP065320.1_230	1188	2.9e-54	3	176	353	547	0.977401129944
GH1.hmm	429	CP065320.1_2346	359	4.7e-99	4	295	2	298	0.678321678322
GH1.hmm	429	CP065320.1_2348	491	1.2e-145	3	428	2	486	0.990675990676
GH1.hmm	429	CP065320.1_2359	476	5.5e-138	4	428	2	472	0.988344988345
GH73.hmm	128	CP065320.1_2384	495	8.6e-21	4	126	287	401	0.953125
CE9.hmm	373	CP065320.1_2451	380	3.1e-108	4	373	6	375	0.98927613941
GH38.hmm	269	CP065320.1_2513	870	6.1e-60	1	255	3	254	0.944237918216
GH1.hmm	429	CP065320.1_2515	458	6e-147	4	428	3	456	0.988344988345
GT4.hmm	160	CP065320.1_2654	384	2e-33	3	150	207	348	0.91875
GT2.hmm	170	CP065320.1_2655	276	1.8e-32	1	165	11	169	0.964705882353
GT4.hmm	160	CP065320.1_2657	383	5.9e-32	12	157	208	350	0.90625
GT2.hmm	170	CP065320.1_2658	301	4.3e-25	1	104	7	111	0.605882352941
GT2.hmm	170	CP065320.1_2659	318	1.3e-18	1	144	6	157	0.841176470588
GT2.hmm	170	CP065320.1_2673	308	1.4e-30	2	132	5	137	0.764705882353
GH25.hmm	177	CP065320.1_2708	577	4.5e-35	1	177	113	303	0.994350282486
CBM48.hmm	76	CP065320.1_2734	620	4.6e-18	3	69	21	104	0.868421052632
GH13_9.hmm	301	CP065320.1_2734	620	9.5e-125	2	300	172	459	0.990033222591
GT2.hmm	170	CP065320.1_2741	1151	1.1e-37	1	164	8	168	0.958823529412
GT2.hmm	170	CP065320.1_2742	891	2.8e-35	1	169	36	202	0.988235294118
GT2.hmm	170	CP065320.1_2750	316	1.5e-25	1	143	4	145	0.835294117647
GT35.hmm	674	CP065320.1_2753	805	9e-263	2	674	96	799	0.99703264095
GH13_14.hmm	289	CP065320.1_2755	713	3.9e-105	2	289	259	573	0.993079584775
GH1.hmm	429	CP065320.1_2864	484	7.3e-141	3	428	6	479	0.990675990676
GT14.hmm	250	CP065320.1_3044	315	1.2e-22	1	231	3	238	0.92
GT14.hmm	250	CP065320.1_3052	207	3.1e-19	1	188	3	194	0.748
GH1.hmm	429	CP065320.1_3097	261	1.5e-59	202	428	6	257	0.526806526807
GH170.hmm	350	CP065320.1_3160	362	4.1e-127	1	349	3	359	0.994285714286
CBM66.hmm	155	CP065320.1_3163	412	6.6e-29	2	154	238	392	0.98064516129
GH1.hmm	429	CP065320.1_3196	492	2.3e-143	4	428	9	488	0.988344988345
GH1.hmm	429	CP065320.1_3251	460	3e-147	7	428	3	458	0.981351981352
GH32.hmm	293	CP065320.1_3260	435	1.2e-78	1	293	9	308	0.996587030717
GH1.hmm	429	CP065320.1_327	491	2.6e-144	4	428	5	486	0.988344988345
GH112.hmm	715	CP065320.1_3317	724	0	1	714	6	720	0.997202797203
CE4.hmm	130	CP065320.1_3358	456	9.4e-29	5	113	241	356	0.830769230769
CE4.hmm	130	CP065320.1_3359	457	4.9e-27	4	120	240	369	0.892307692308
CE9.hmm	373	CP065320.1_3370	375	1.2e-114	3	371	7	369	0.986595174263
GH4.hmm	179	CP065320.1_3373	445	8.1e-57	1	177	4	181	0.983240223464
GH13_20.hmm	300	CP065320.1_3479	561	2.9e-80	4	298	34	324	0.98
CE4.hmm	130	CP065320.1_3722	438	5.7e-34	5	119	243	359	0.876923076923
CE1.hmm	227	CP065320.1_3724	252	1.1e-19	74	221	83	248	0.647577092511
CE4.hmm	130	CP065320.1_3747	437	3e-25	4	123	235	362	0.915384615385
GT4.hmm	160	CP065320.1_3755	351	8.8e-21	5	157	164	312	0.95
GT4.hmm	160	CP065320.1_3757	660	2.2e-33	5	156	207	354	0.94375
GH25.hmm	177	CP065320.1_3775	297	1.1e-41	1	176	6	181	0.988700564972
CE4.hmm	130	CP065320.1_3804	398	9.1e-22	4	130	231	365	0.969230769231
GT28.hmm	157	CP065320.1_3870	358	8.7e-48	2	157	189	344	0.987261146497
GH1.hmm	429	CP065320.1_3917	488	1.4e-143	3	428	2	483	0.990675990676
GH109.hmm	399	CP065320.1_3974	317	3.4e-26	6	184	2	166	0.446115288221
CE1.hmm	227	CP065320.1_3997	253	1.3e-36	6	223	14	249	0.955947136564
GT51.hmm	177	CP065320.1_4015	234	1.5e-63	7	176	45	213	0.954802259887
GH1.hmm	429	CP065320.1_403	474	8.2e-141	4	428	2	470	0.988344988345
CE6.hmm	99	CP065320.1_683	277	9.7e-33	1	98	54	145	0.979797979798
GH4.hmm	179	CP065320.1_739	443	1.2e-76	1	179	7	187	0.994413407821
GH73.hmm	128	CP065320.1_753	593	7.4e-16	1	126	288	404	0.9765625
CE4.hmm	130	CP065320.1_804	265	4.4e-19	4	124	91	224	0.923076923077
GH77.hmm	494	CP065320.1_895	491	9.3e-144	1	470	9	469	0.949392712551
GT35.hmm	674	CP065320.1_896	753	2.3e-209	4	673	81	751	0.992581602374
CE9.hmm	373	CP065320.1_982	380	1.9e-120	2	373	4	375	0.994638069705
