Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
CP065321.1_1030	-	GT2(7-174)	GT2	GT2	N	3
CP065321.1_1040	2.4.1.319|2.4.1.320	GH130(26-320)	GH130_e13	GH130	N	3
CP065321.1_1154	3.2.1.23	GH42(13-385)	GH42_e17	GH42	N	3
CP065321.1_1175	3.2.1.51	GH29(8-345)	GH29_e81	GH29	N	3
CP065321.1_1204	-	CE1(42-255)	CE1_e22	N	N	2
CP065321.1_1241	3.2.1.55	GH2(3-472)	GH2_e73	GH2	N	3
CP065321.1_1257	-	CE1(40-242)	CE1_e22	N	N	2
CP065321.1_1258	2.4.1.7	GH13_18(37-373)	GH13_e117	GH13_18	N	3
CP065321.1_1263	-	CE1(155-386)	CE1_e22	N	N	2
CP065321.1_1264	-	GH32(105-407)	GH32_e25	GH32	N	3
CP065321.1_1275	3.2.1.23	GH42(16-391)	GH42_e20	GH42	N	3
CP065321.1_1283	3.2.1.145	CBM13(8-143)	CBM13_e360	N	N	2
CP065321.1_1333	N	CE1(163-371)	N	N	N	1
CP065321.1_146	N	CE1(202-351)	N	N	N	1
CP065321.1_1472	-	GH5_46(74-329)	GH5_e123	GH5_46	N	3
CP065321.1_1498	3.2.1.23	GH2(15-494)	GH2_e112	GH2	N	3
CP065321.1_1512	-	GT51(59-223)	GT51_e63	GT51	N	3
CP065321.1_1531	3.2.1.-	GH13_20(45-336)	GH13_e141	GH13	N	3
CP065321.1_158	N	CE1(202-351)	N	N	N	1
CP065321.1_1600	N	GH109(2-151)	N	N	N	1
CP065321.1_1674	-	GH18(19-323)	GH18_e226	GH18	N	3
CP065321.1_1675	3.2.1.111|3.2.1.51	GH29(19-344)	GH29_e30	GH29	N	3
CP065321.1_1678	-	GH25(98-286)	GH25_e109	GH25	N	3
CP065321.1_1679	-	GH25(93-282)	GH25_e109	GH25	Y(1-25)	3
CP065321.1_1874	-	CE4(101-251)	CE4_e289	N	N	2
CP065321.1_1894	-	GT2(44-272)	GT2	GT2	N	3
CP065321.1_191	-	GH109(4-154)	GH109_e7	N	N	2
CP065321.1_1955	3.2.1.23|3.2.1.-|3.2.1.38	GH35(9-320)	GH35_e23	GH35	N	3
CP065321.1_1957	3.2.1.55	GH51(3-491)	GH51_e19	GH51	N	3
CP065321.1_1959	3.2.1.185	GH127(15-590)	GH127_e0	GH127	N	3
CP065321.1_2063	-	GH18(118-408)	GH18_e166	CBM50+GH18	N	3
CP065321.1_2085	3.2.1.22	GH36(11-710)	GH36_e0	GH36	N	3
CP065321.1_2098	3.2.1.80|3.2.1.65|3.2.1.26|3.2.1.153|3.2.1.64|2.4.1.99	GH32(14-302)	GH32_e16	GH32	N	3
CP065321.1_2165	-	GH25(9-179)	GH25_e95	GH25	N	3
CP065321.1_2170	3.2.1.37|3.2.1.55|-	GH43_12(19-310)+CBM91(347-529)	GH43_e111+CBM91_e28	GH43_12	N	3
CP065321.1_2171	3.2.1.55	GH51(6-506)	GH51_e0	GH51	N	3
CP065321.1_2240	-	GT28(203-354)	GT28_e42	GT28	N	3
CP065321.1_2260	-	GH2(42-493)	GH2_e34	GH2	N	3
CP065321.1_2312	-	CE9(7-374)	CE9_e98	CE9	N	3
CP065321.1_2329	-	GH105(25-334)	GH105_e15	GH105	N	3
CP065321.1_2340	-	GH120(109-199)	GH120_e3	GH120	N	3
CP065321.1_2343	-	GH88(3-220)	GH88_e10	N	N	2
CP065321.1_2345	-	GH109(6-169)	GH109_e7	N	N	2
CP065321.1_2351	N	GH109(4-168)	N	N	N	1
CP065321.1_2361	3.2.1.88	GH27(172-404)	GH27_e28	GH27	N	3
CP065321.1_2378	-	GT26(62-221)	GT26_e65	GT26	N	3
CP065321.1_2382	-	GT2(5-133)	GT2	GT2	N	3
CP065321.1_2394	-	CE4(75-198)	CE4_e362	CE4	N	3
CP065321.1_2404	3.2.1.40|3.1.1.73	CBM67(107-277)+GH78(311-506)+GH78(540-897)	CBM67_e28+GH78_e80	GH78	N	3
CP065321.1_2409	3.2.1.31	GH2(2-559)	GH2_e100	GH2	N	3
CP065321.1_2419	3.2.1.37|3.2.1.55|3.2.1.21|3.2.1.6|3.2.1.73	GH3(32-271)	GH3_e0	GH3	N	3
CP065321.1_2438	3.2.1.23|3.2.1.31	GH2(29-893)	GH2_e104	GH2	N	3
CP065321.1_2439	-	GT39(609-823)	GT39_e29	GT39	N	3
CP065321.1_2445	2.4.1.1	GT35(76-757)	GT35_e0	GT35	N	3
CP065321.1_2446	2.4.1.25	GH77(16-494)	GH77_e1	GH77	N	3
CP065321.1_2459	-	GH123(87-483)	GH123_e14	GH0	N	3
CP065321.1_2478	-	GH23(56-183)	GH23_e205	GH23	Y(1-23)	3
CP065321.1_2498	-	GH35(42-390)	GH35_e16	GH35	N	3
CP065321.1_2511	-	GT4(197-340)	GT4_e3921	GT4	N	3
CP065321.1_2527	-	CE1(10-260)	CE1_e22	N	N	2
CP065321.1_2613	3.2.1.21|3.2.1.-	GH3(73-156)	GH3_e1	N	N	2
CP065321.1_275	-	GT2(5-121)	GT2	GT2	N	3
CP065321.1_2820	-	GH109(2-158)	GH109_e7	N	N	2
CP065321.1_2877	3.2.1.63	GH95(6-647)	GH95_e21	GH95	N	3
CP065321.1_2884	3.2.1.21	GH3(145-406)	GH3_e198	GH3	N	3
CP065321.1_2893	-	GH109(2-159)	GH109_e7	N	N	2
CP065321.1_2896	-	GH109(2-151)	GH109_e7	N	N	2
CP065321.1_2944	-	GH106(38-622)	GH106_e45	GH106	N	3
CP065321.1_3007	-	GH172(70-321)	GH172_e7	GH172	N	3
CP065321.1_3008	-	GH32(92-376)	GH32_e25	GH32	N	3
CP065321.1_3013	3.2.1.55	GH51(3-486)	GH51_e19	GH51	N	3
CP065321.1_3016	-	GH32(21-286)	GH32_e60	GH32	N	3
CP065321.1_3017	3.2.1.26	GH32(28-335)	GH32_e71	GH32	N	3
CP065321.1_3049	-	GH25(8-179)	GH25_e95	GH25	N	3
CP065321.1_317	3.2.1.21|3.2.1.-|3.2.1.37|3.2.1.55|3.2.1.23|3.2.1.45	GH3(30-249)	GH3_e197	GH3	N	3
CP065321.1_3194	-	GT51(105-272)	GT51_e164	GT51	N	3
CP065321.1_3212	3.2.1.21|3.2.1.37|3.2.1.-|3.2.1.74	GH3(211-409)	GH3_e165	GH3	N	3
CP065321.1_3387	-	GT2(13-175)	GT2	GT2	N	3
CP065321.1_3390	2.4.1.69	GT11(6-282)	GT11_e40	GT11	N	3
CP065321.1_3402	2.4.1.18	GH13_9(193-493)	GH13_e200	CBM48+GH13_9	N	3
CP065321.1_3405	-	GT5(2-471)	GT5_e15	GT5	N	3
CP065321.1_3545	N	GH151(52-166)	N	GH151	N	2
CP065321.1_3546	N	GH151(24-153)	N	GH0	N	2
CP065321.1_3580	-	GH109(1-155)	GH109_e7	N	N	2
CP065321.1_3585	-	GT2(5-126)	GT2	GT2	N	3
CP065321.1_361	N	GH109(6-172)	N	N	N	1
CP065321.1_3655	-	GH28(27-376)	GH28_e106	GH28	N	3
CP065321.1_3662	-	GH2(3-579)	GH2_e57	GH2	N	3
CP065321.1_423	3.2.1.185	GH127(16-590)	GH127_e0	GH127	N	3
