# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	4800487	1038	+							I5Q79_00005	1158		
CDS	with_protein	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	4800487	1038	+	QQR17397.1			MFS transporter			I5Q79_00005	1158	385	
gene	protein_coding	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	1200	3416	-							I5Q79_00010	2217		
CDS	with_protein	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	1200	3416	-	QQR17398.1			bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase			I5Q79_00010	2217	738	
gene	protein_coding	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	3523	5040	+							I5Q79_00015	1518		
CDS	with_protein	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	3523	5040	+	QQR17399.1			DUF4301 family protein			I5Q79_00015	1518	505	
gene	protein_coding	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	5185	5808	+							I5Q79_00020	624		
CDS	with_protein	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	5185	5808	+	QQR17400.1			chloramphenicol acetyltransferase			I5Q79_00020	624	207	
gene	protein_coding	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	5844	7238	+							I5Q79_00025	1395		
CDS	with_protein	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	5844	7238	+	QQR17401.1			acyloxyacyl hydrolase			I5Q79_00025	1395	464	
gene	protein_coding	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	7283	8434	+							I5Q79_00030	1152		
CDS	with_protein	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	7283	8434	+	QQR17402.1			acyltransferase			I5Q79_00030	1152	383	
gene	protein_coding	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	8610	9080	-							I5Q79_00035	471		
CDS	with_protein	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	8610	9080	-	QQR17403.1			GNAT family N-acetyltransferase			I5Q79_00035	471	156	
gene	protein_coding	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	9101	10267	-					purT		I5Q79_00040	1167		
CDS	with_protein	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	9101	10267	-	QQR19149.1			formate-dependent phosphoribosylglycinamide formyltransferase	purT		I5Q79_00040	1167	388	
gene	protein_coding	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	10897	12414	+							I5Q79_00045	1518		
CDS	with_protein	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	10897	12414	+	QQR17404.1			F0F1 ATP synthase subunit beta			I5Q79_00045	1518	505	
gene	protein_coding	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	12427	12672	+					atpC		I5Q79_00050	246		
CDS	with_protein	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	12427	12672	+	QQR17405.1			ATP synthase F1 subunit epsilon	atpC		I5Q79_00050	246	81	
gene	protein_coding	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	12753	13187	+							I5Q79_00055	435		
CDS	with_protein	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	12753	13187	+	QQR17406.1			hypothetical protein			I5Q79_00055	435	144	
gene	protein_coding	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	13171	14310	+					atpB		I5Q79_00060	1140		
CDS	with_protein	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	13171	14310	+	QQR17407.1			F0F1 ATP synthase subunit A	atpB		I5Q79_00060	1140	379	
gene	protein_coding	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	14422	14679	+					atpE		I5Q79_00065	258		
CDS	with_protein	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	14422	14679	+	QQR17408.1			ATP synthase F0 subunit C	atpE		I5Q79_00065	258	85	
gene	protein_coding	GCA_016697125.1	Primary Assembly	chromosome		CP065319.1	14801	15304	+					atpF		I5Q79_00070	504		
