Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
CP065318.1_9	ANU51359.1|GH68	100.0	579	0	0	1	579	13	591	1.9e-305	1051.6
CP065318.1_66	AGL64932.2|GT2	47.3	414	202	5	31	433	29	437	4.5e-105	385.6
CP065318.1_73	QQR14756.1|GT8	100.0	282	0	0	1	282	1	282	7.2e-162	573.5
CP065318.1_89	ANU51288.1|GT51	100.0	621	0	0	57	677	57	677	0.0e+00	1232.2
CP065318.1_93	CCO11001.2|GH24	37.4	948	561	10	14	946	2	932	6.4e-170	602.1
CP065318.1_99	QQR14782.1|GH36	100.0	729	0	0	1	729	1	729	0.0e+00	1500.7
CP065318.1_191	AWZ17133.1|GH13_30	31.2	1101	647	21	3	1012	406	1486	2.1e-140	504.2
CP065318.1_215	ALR08738.2|GT83	47.2	593	289	10	3	583	2	582	4.6e-150	535.4
CP065318.1_226	CAE6204650.1|GH28	50.0	600	293	3	10	603	744	1342	4.0e-165	585.5
CP065318.1_235	AGL64345.2|GT2	76.7	584	136	0	169	752	275	858	4.2e-257	891.3
CP065318.1_241	AGL64353.2|CBM50|GH25	61.8	574	212	3	1	572	1	569	1.8e-204	716.1
CP065318.1_299	ANU51087.1|CBM50	100.0	480	0	0	8	487	1	480	5.1e-147	525.0
CP065318.1_334	ANU51057.1|GT28	100.0	370	0	0	1	370	1	370	4.8e-206	720.7
CP065318.1_343	AGL63871.2|GT2	51.6	475	219	5	298	770	518	983	4.6e-126	456.1
CP065318.1_426	CAG7911095.1|GH5_11	41.3	919	485	16	2	882	576	1478	1.2e-207	727.2
CP065318.1_464	CAD7245033.1|GT58	65.2	480	150	5	2	468	1053	1528	6.7e-168	594.3
CP065318.1_476	AMJ20543.1|GH13_11	55.0	404	178	2	10	410	7	409	9.3e-118	427.6
CP065318.1_477	AGL64698.2|GH25	62.9	337	124	1	1	336	1	337	9.5e-116	420.6
CP065318.1_479	AGL64700.2|GH23	75.8	360	87	0	3	362	1	360	6.4e-155	550.8
CP065318.1_512	QBQ55156.1|CBM50	38.5	641	378	7	7	634	65	702	8.3e-105	385.2
CP065318.1_553	CCO12112.2|GH13_31	67.3	434	140	2	1	432	1	434	4.6e-163	578.2
CP065318.1_569	CAD7235639.1|GT2	41.4	529	291	8	27	551	159	672	3.2e-108	396.4
CP065318.1_577	CAI32748.2|GT4	63.7	303	109	1	1	302	1	303	5.1e-105	384.8
CP065318.1_598	QYO62262.1|GH13	58.8	345	140	2	1	344	1	344	4.7e-109	399.1
CP065318.1_640	AUV68874.1|GT0	58.1	360	149	2	5	363	3	361	2.5e-117	426.0
CP065318.1_641	QQR15294.1|GT2	100.0	433	0	0	1	433	1	433	3.7e-250	867.5
CP065318.1_665	ATQ34817.1|GH2|3.2.1.23	67.9	315	100	1	1	314	1	315	8.0e-125	450.7
