# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_016697045.1	Primary Assembly	chromosome		CP065318.1	2062332	2373	+							I5Q80_00005	3666		
CDS	with_protein	GCA_016697045.1	Primary Assembly	chromosome		CP065318.1	2062332	2373	+	QQR14691.1			nitrate reductase subunit alpha			I5Q80_00005	3666	1221	
gene	protein_coding	GCA_016697045.1	Primary Assembly	chromosome		CP065318.1	2363	3922	+					narH		I5Q80_00010	1560		
CDS	with_protein	GCA_016697045.1	Primary Assembly	chromosome		CP065318.1	2363	3922	+	QQR14692.1			nitrate reductase subunit beta	narH		I5Q80_00010	1560	519	
gene	protein_coding	GCA_016697045.1	Primary Assembly	chromosome		CP065318.1	3915	4493	+					narJ		I5Q80_00015	579		
CDS	with_protein	GCA_016697045.1	Primary Assembly	chromosome		CP065318.1	3915	4493	+	QQR14693.1			nitrate reductase molybdenum cofactor assembly chaperone	narJ		I5Q80_00015	579	192	
gene	protein_coding	GCA_016697045.1	Primary Assembly	chromosome		CP065318.1	4486	5175	+					narI		I5Q80_00020	690		
CDS	with_protein	GCA_016697045.1	Primary Assembly	chromosome		CP065318.1	4486	5175	+	QQR14694.1			respiratory nitrate reductase subunit gamma	narI		I5Q80_00020	690	229	
gene	protein_coding	GCA_016697045.1	Primary Assembly	chromosome		CP065318.1	5244	6134	-							I5Q80_00025	891		
CDS	with_protein	GCA_016697045.1	Primary Assembly	chromosome		CP065318.1	5244	6134	-	QQR14695.1			DMT family transporter			I5Q80_00025	891	296	
gene	protein_coding	GCA_016697045.1	Primary Assembly	chromosome		CP065318.1	6243	6890	-							I5Q80_00030	648		
CDS	with_protein	GCA_016697045.1	Primary Assembly	chromosome		CP065318.1	6243	6890	-	QQR14696.1			site-specific integrase			I5Q80_00030	648	215	
gene	protein_coding	GCA_016697045.1	Primary Assembly	chromosome		CP065318.1	6907	7761	-							I5Q80_00035	855		
CDS	with_protein	GCA_016697045.1	Primary Assembly	chromosome		CP065318.1	6907	7761	-	QQR14697.1			patatin family protein			I5Q80_00035	855	284	
gene	pseudogene	GCA_016697045.1	Primary Assembly	chromosome		CP065318.1	8205	8582	+							I5Q80_00040	378		pseudo
CDS	without_protein	GCA_016697045.1	Primary Assembly	chromosome		CP065318.1	8205	8582	+				KxYKxGKxW signal peptide domain-containing protein			I5Q80_00040	378		pseudo
gene	protein_coding	GCA_016697045.1	Primary Assembly	chromosome		CP065318.1	8825	10600	+							I5Q80_00045	1776		
CDS	with_protein	GCA_016697045.1	Primary Assembly	chromosome		CP065318.1	8825	10600	+	QQR15584.1			glycoside hydrolase family 68 protein			I5Q80_00045	1776	591	
