dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH43_e0	GH43_10:1191|GH43_12:66|GH28:13|GH43:5	3.2.1.55:2|3.2.1.37:1	arabinoxylan, xylan	269	CP065316.1_1005	545	1.3e-131	1	269	41	313	0.996282527881
CBM91_e10	CBM91:1294|GH43_10:1290|GH43:2|CBM6:1	-	-	195	CP065316.1_1005	545	1.2e-76	1	194	347	542	0.989743589744
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	N-glycan (host glycan, human milk oligosaccharides, chitin), mucin	351	CP065316.1_1040	685	1.6e-148	2	349	145	491	0.988603988604
CBM32_e198	CBM32:19|GH20:19	-	galactose, lactose, LacNAc	96	CP065316.1_1040	685	6.2e-20	2	94	577	671	0.958333333333
GH29_e30	GH29:1257|CBM32:104|CBM0:3|GH33:3|CBM6:1|CBM9:1|CE3:1|GH136:1|GH0:1|CBM47:1|GT1:1	3.2.1.111:8|3.2.1.51:3	human milk oligosaccharides, mucin, host glycan, human milk oligosaccharides, mucin, host glycan	301	CP065316.1_1106	601	6.3e-134	2	300	53	369	0.990033222591
GT5_e28	GT5:878	-	-	225	CP065316.1_1107	273	1.4e-90	1	223	6	231	0.986666666667
GH2_e42	GH2:49|GH31:1	3.2.1.37:1	beta-D-xyloside	458	CP065316.1_1158	1136	8.1e-218	1	458	74	530	0.997816593886
CBM20_e2	CBM20:404|GH77:401	2.4.1.25:4	granular starch, cyclodextrin	93	CP065316.1_1177	893	3.2e-20	3	84	2	81	0.870967741935
CBM20_e2	CBM20:404|GH77:401	2.4.1.25:4	granular starch, cyclodextrin	93	CP065316.1_1177	893	1.1e-19	4	91	131	219	0.935483870968
GH77_e22	GH77:485|CBM20:400	2.4.1.25:5	maltose, starch	646	CP065316.1_1177	893	1.5e-288	1	644	245	886	0.995356037152
GH133_e1	GH133:236	-	-	351	CP065316.1_1181	648	6.9e-145	2	351	289	638	0.994301994302
GT4_e602	GT4:97	-	-	147	CP065316.1_1182	416	8.2e-73	1	146	238	383	0.986394557823
GH23_e330	GH23:202|CBM50:159	-	-	132	CP065316.1_1207	548	1.7e-61	1	132	124	259	0.992424242424
