# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	3807150	58	-							I5Q84_00005	6624		
CDS	with_protein	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	3807150	58	-	QQR05928.1			DEAD/DEAH box helicase family protein			I5Q84_00005	6624	2207	
gene	pseudogene	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	3813715	953	+							I5Q84_00010	954		pseudo
CDS	without_protein	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	3813715	953	+				M42 family peptidase			I5Q84_00010	954		pseudo
gene	protein_coding	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	950	1975	+							I5Q84_00015	1026		
CDS	with_protein	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	950	1975	+	QQR05929.1			M42 family peptidase			I5Q84_00015	1026	341	
gene	protein_coding	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	1982	2980	+							I5Q84_00020	999		
CDS	with_protein	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	1982	2980	+	QQR05930.1			M42 family metallopeptidase			I5Q84_00020	999	332	
gene	protein_coding	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	3019	4269	+							I5Q84_00025	1251		
CDS	with_protein	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	3019	4269	+	QQR05931.1			methionine gamma-lyase family protein			I5Q84_00025	1251	416	
gene	protein_coding	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	4313	4996	+					yunB		I5Q84_00030	684		
CDS	with_protein	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	4313	4996	+	QQR05932.1			sporulation protein YunB	yunB		I5Q84_00030	684	227	
gene	protein_coding	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	5077	5766	+							I5Q84_00035	690		
CDS	with_protein	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	5077	5766	+	QQR05933.1			VanZ family protein			I5Q84_00035	690	229	
gene	protein_coding	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	5708	7708	+					ligA		I5Q84_00040	2001		
CDS	with_protein	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	5708	7708	+	QQR05934.1			NAD-dependent DNA ligase LigA	ligA		I5Q84_00040	2001	666	
gene	protein_coding	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	7789	8322	+							I5Q84_00045	534		
CDS	with_protein	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	7789	8322	+	QQR05935.1			amidase domain-containing protein			I5Q84_00045	534	177	
gene	protein_coding	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	8531	9970	+							I5Q84_00050	1440		
CDS	with_protein	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	8531	9970	+	QQR07657.1			hypothetical protein			I5Q84_00050	1440	479	
gene	protein_coding	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	10010	11038	-							I5Q84_00055	1029		
CDS	with_protein	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	10010	11038	-	QQR05936.1			tyrosine recombinase XerC			I5Q84_00055	1029	342	
gene	protein_coding	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	11138	11662	-							I5Q84_00060	525		
CDS	with_protein	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	11138	11662	-	QQR05937.1			tyrosine-type recombinase/integrase			I5Q84_00060	525	174	
gene	protein_coding	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	11837	12148	-							I5Q84_00065	312		
CDS	with_protein	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	11837	12148	-	QQR05938.1			hypothetical protein			I5Q84_00065	312	103	
gene	protein_coding	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	12241	13224	-							I5Q84_00070	984		
CDS	with_protein	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	12241	13224	-	QQR05939.1			hypothetical protein			I5Q84_00070	984	327	
gene	protein_coding	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	13596	13820	-							I5Q84_00075	225		
CDS	with_protein	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	13596	13820	-	QQR05940.1			hypothetical protein			I5Q84_00075	225	74	
gene	protein_coding	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	14018	14236	+							I5Q84_00080	219		
CDS	with_protein	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	14018	14236	+	QQR05941.1			helix-turn-helix transcriptional regulator			I5Q84_00080	219	72	
gene	protein_coding	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	14569	15942	-					radA		I5Q84_00085	1374		
CDS	with_protein	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	14569	15942	-	QQR05942.1			DNA repair protein RadA	radA		I5Q84_00085	1374	457	
gene	protein_coding	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	15939	16691	-							I5Q84_00090	753		
CDS	with_protein	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	15939	16691	-	QQR05943.1			N-acetylmuramoyl-L-alanine amidase			I5Q84_00090	753	250	
gene	protein_coding	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	16804	17277	+							I5Q84_00095	474		
CDS	with_protein	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	16804	17277	+	QQR05944.1			YhcH/YjgK/YiaL family protein			I5Q84_00095	474	157	
gene	protein_coding	GCA_016696805.1	Primary Assembly	chromosome		CP065315.1	17463	17921	+							I5Q84_00100	459		
