HTH_3	55	CP065319.1_1014	67	2.7e-10	1	54	8	61	0.963636363636
LacI	46	CP065319.1_103	356	2.6e-18	1	46	7	52	0.978260869565
Peripla_BP_1	279	CP065319.1_103	356	2.1e-08	4	191	67	268	0.670250896057
Glyoxalase	128	CP065319.1_1054	480	9.7e-14	1	127	2	124	0.984375
TetR_N	47	CP065319.1_1078	252	6e-08	2	47	57	102	0.957446808511
HTH_18	81	CP065319.1_1107	289	2.8e-15	1	80	191	270	0.975308641975
HisKA	64	CP065319.1_1108	773	1.4e-15	2	64	299	363	0.96875
HATPase_c	111	CP065319.1_1108	773	3e-26	2	110	409	516	0.972972972973
Response_reg	112	CP065319.1_1108	773	1.3e-20	1	110	539	650	0.973214285714
Response_reg	112	CP065319.1_1109	441	1e-18	1	108	6	113	0.955357142857
AAA	132	CP065319.1_1109	441	9.5e-10	1	124	157	286	0.931818181818
HTH_8	42	CP065319.1_1109	441	2.2e-15	6	42	395	431	0.857142857143
CbiA	128	CP065319.1_1117	254	2.2e-13	2	122	9	214	0.9375
Sigma70_r2	71	CP065319.1_1162	191	2.9e-12	1	70	32	98	0.971830985915
Sigma70_r4_2	54	CP065319.1_1162	191	2.2e-16	2	54	129	181	0.962962962963
PfkB	302	CP065319.1_1164	291	7.3e-09	173	283	128	248	0.364238410596
AAA	132	CP065319.1_117	822	1.1e-23	1	126	381	517	0.94696969697
HD	122	CP065319.1_1185	512	5.6e-19	2	120	328	418	0.967213114754
Peptidase_M23	96	CP065319.1_1193	214	1.1e-29	2	96	78	172	0.979166666667
Pribosyltran	159	CP065319.1_1199	179	7.8e-26	9	158	18	163	0.937106918239
PfkB	302	CP065319.1_1200	504	4.8e-09	145	284	331	467	0.460264900662
HTH_8	42	CP065319.1_1208	413	3.4e-17	1	42	368	409	0.97619047619
CBS	57	CP065319.1_1213	419	2.3e-06	4	54	215	266	0.877192982456
CBS	57	CP065319.1_1213	419	7.6e-08	7	55	275	323	0.842105263158
TPR_1	34	CP065319.1_1215	442	9.5e-05	8	34	325	351	0.764705882353
Sigma70_r2	71	CP065319.1_1229	184	1.6e-17	2	69	27	92	0.943661971831
Sigma70_r4_2	54	CP065319.1_1229	184	1.5e-16	2	54	123	175	0.962962962963
Aminotran_1_2	363	CP065319.1_123	395	1.3e-59	2	363	43	384	0.994490358127
cNMP_binding	88	CP065319.1_1237	229	1.7e-16	2	88	32	119	0.977272727273
Sigma70_r2	71	CP065319.1_1238	185	3.4e-12	1	68	23	88	0.943661971831
Sigma70_r4_2	54	CP065319.1_1238	185	2e-10	3	54	117	167	0.944444444444
FecR	96	CP065319.1_1239	387	9.8e-21	2	84	176	258	0.854166666667
Pyr_redox_2	292	CP065319.1_1248	317	2.2e-45	2	292	8	299	0.993150684932
