HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT35.hmm	674	NZ_CP028714.1_1004	798	2.6e-263	2	673	92	795	0.995548961424
GH77.hmm	494	NZ_CP028714.1_1005	695	4.5e-162	1	490	148	685	0.98987854251
GT51.hmm	177	NZ_CP028714.1_1025	851	5e-71	1	176	54	229	0.988700564972
GT51.hmm	177	NZ_CP028714.1_1203	243	2.9e-57	9	177	60	228	0.949152542373
CE9.hmm	373	NZ_CP028714.1_1270	378	3.9e-129	3	373	7	372	0.991957104558
GH63.hmm	570	NZ_CP028714.1_1318	784	2.5e-274	1	569	1	780	0.99649122807
GH2.hmm	752	NZ_CP028714.1_1322	1031	4.1e-213	14	751	26	886	0.980053191489
AA1.hmm	358	NZ_CP028714.1_1387	471	6.2e-18	9	235	65	285	0.631284916201
AA7.hmm	458	NZ_CP028714.1_1435	500	6.2e-18	12	193	53	241	0.39519650655
GT38.hmm	467	NZ_CP028714.1_1462	410	9.3e-193	2	397	7	403	0.845824411135
GT107.hmm	532	NZ_CP028714.1_1464	676	2.3e-109	186	492	10	314	0.575187969925
GT107.hmm	532	NZ_CP028714.1_1464	676	9.6e-149	127	501	280	647	0.703007518797
GT2.hmm	170	NZ_CP028714.1_1511	559	3.6e-22	1	121	8	127	0.705882352941
GH109.hmm	399	NZ_CP028714.1_1526	373	1.7e-20	6	196	2	172	0.47619047619
GH23.hmm	135	NZ_CP028714.1_1639	360	4.9e-21	16	121	207	353	0.777777777778
GH1.hmm	429	NZ_CP028714.1_1700	478	2.6e-153	4	428	5	474	0.988344988345
GH102.hmm	157	NZ_CP028714.1_1812	366	6.3e-41	51	157	150	257	0.675159235669
GH32.hmm	293	NZ_CP028714.1_1851	468	3.4e-97	1	293	29	334	0.996587030717
AA6.hmm	195	NZ_CP028714.1_1884	184	1.7e-47	2	193	4	179	0.979487179487
GH1.hmm	429	NZ_CP028714.1_1911	475	4.9e-149	4	428	3	470	0.988344988345
GH103.hmm	295	NZ_CP028714.1_1926	362	8.3e-96	7	294	63	355	0.972881355932
GH23.hmm	135	NZ_CP028714.1_2031	519	3.9e-23	11	121	299	448	0.814814814815
GT51.hmm	177	NZ_CP028714.1_2064	759	2.5e-52	12	176	51	214	0.926553672316
GT83.hmm	540	NZ_CP028714.1_2281	551	1.9e-156	6	527	3	521	0.964814814815
GT2.hmm	170	NZ_CP028714.1_2284	323	1.4e-35	1	166	11	171	0.970588235294
CE1.hmm	227	NZ_CP028714.1_2383	279	9e-53	1	224	21	273	0.982378854626
GH3.hmm	216	NZ_CP028714.1_2404	756	5.4e-65	3	215	88	309	0.981481481481
GH25.hmm	177	NZ_CP028714.1_2435	273	5.3e-54	1	177	70	245	0.994350282486
GT2.hmm	170	NZ_CP028714.1_2471	280	3.7e-30	1	149	8	154	0.870588235294
GT4.hmm	160	NZ_CP028714.1_2487	407	1.5e-34	12	150	225	369	0.8625
GT2.hmm	170	NZ_CP028714.1_2500	296	8.3e-16	2	129	8	134	0.747058823529
GT9.hmm	225	NZ_CP028714.1_2580	351	5.6e-17	58	193	170	317	0.6
GH4.hmm	179	NZ_CP028714.1_266	452	1.5e-73	1	178	6	186	0.988826815642
GH13_5.hmm	342	NZ_CP028714.1_2665	496	5.8e-154	2	342	31	373	0.994152046784
GT20.hmm	475	NZ_CP028714.1_2692	475	9.2e-169	13	475	2	453	0.972631578947
GH4.hmm	179	NZ_CP028714.1_2844	451	5.6e-76	1	178	6	185	0.988826815642
GH109.hmm	399	NZ_CP028714.1_2952	347	1.1e-18	4	164	3	152	0.401002506266
GH2.hmm	752	NZ_CP028714.1_2959	604	4.2e-111	24	486	7	588	0.614361702128
GH1.hmm	429	NZ_CP028714.1_3013	480	2.4e-147	4	428	3	476	0.988344988345
GH65.hmm	372	NZ_CP028714.1_3189	756	1.4e-136	2	371	299	674	0.991935483871
GH109.hmm	399	NZ_CP028714.1_3190	352	3.2e-22	5	161	9	157	0.390977443609
GH13_18.hmm	343	NZ_CP028714.1_3196	560	4.7e-152	1	343	81	423	0.997084548105
GH37.hmm	491	NZ_CP028714.1_3307	566	9.9e-192	1	490	56	531	0.995926680244
GH23.hmm	135	NZ_CP028714.1_3316	204	1.5e-16	14	118	52	197	0.77037037037
GH24.hmm	137	NZ_CP028714.1_3383	178	2.5e-39	5	137	27	167	0.963503649635
GH3.hmm	216	NZ_CP028714.1_3445	342	1.5e-52	10	216	56	278	0.953703703704
GH73.hmm	128	NZ_CP028714.1_3470	314	4e-34	5	127	160	295	0.953125
GT2.hmm	170	NZ_CP028714.1_3501	838	1.6e-24	2	168	236	418	0.976470588235
GT1.hmm	382	NZ_CP028714.1_3545	372	8.2e-33	115	377	91	364	0.685863874346
CE1.hmm	227	NZ_CP028714.1_3547	410	3.2e-19	5	218	184	402	0.938325991189
CE4.hmm	130	NZ_CP028714.1_3580	673	2.3e-24	5	125	103	271	0.923076923077
GH153.hmm	349	NZ_CP028714.1_3580	673	3.9e-170	2	348	314	664	0.991404011461
GT2.hmm	170	NZ_CP028714.1_3581	442	5.9e-40	1	169	78	245	0.988235294118
