Pribosyltran	159	CP065322.1_1001	190	2.7e-10	56	130	101	166	0.465408805031
AAA	132	CP065322.1_1016	335	1.7e-06	2	111	55	168	0.825757575758
Nitroreductase	170	CP065322.1_1035	216	1.3e-23	2	170	13	190	0.988235294118
Aminotran_1_2	363	CP065322.1_1036	364	1.2e-61	2	362	36	358	0.99173553719
HTH_3	55	CP065322.1_1039	163	6.9e-06	1	39	12	50	0.690909090909
CbiA	128	CP065322.1_1047	501	3.2e-08	9	89	129	274	0.625
TPR_2	34	CP065322.1_1067	538	2.2e-05	1	27	255	281	0.764705882353
TPR_1	34	CP065322.1_1067	538	1.4e-05	7	34	495	522	0.794117647059
HATPase_c	111	CP065322.1_107	614	1.2e-10	5	108	37	167	0.927927927928
HTH_3	55	CP065322.1_1101	140	6.1e-11	2	45	84	127	0.781818181818
NUDIX	131	CP065322.1_1117	187	2.1e-11	5	98	39	130	0.709923664122
AAA	132	CP065322.1_1118	469	8.1e-13	2	130	166	292	0.969696969697
ACT	67	CP065322.1_1125	386	8.3e-09	1	62	302	363	0.910447761194
TPR_2	34	CP065322.1_1142	743	4.7e-05	1	32	365	396	0.911764705882
AAA	132	CP065322.1_1144	460	4.1e-18	1	125	63	169	0.939393939394
AAA	132	CP065322.1_1177	861	3.1e-14	2	126	234	365	0.939393939394
AAA	132	CP065322.1_1177	861	8.5e-11	2	110	571	688	0.818181818182
Rhodanese	107	CP065322.1_1179	114	7.8e-12	12	97	36	108	0.794392523364
PfkB	302	CP065322.1_1192	321	9.1e-59	3	301	3	308	0.986754966887
NUDIX	131	CP065322.1_1193	168	3.3e-16	12	125	26	135	0.862595419847
Aminotran_1_2	363	CP065322.1_1194	400	6.3e-73	2	363	44	388	0.994490358127
Pkinase	264	CP065322.1_1195	873	8.6e-24	2	195	25	230	0.731060606061
CbiA	128	CP065322.1_1196	257	4.7e-28	1	128	4	230	0.9921875
Pkinase	264	CP065322.1_1197	918	3.1e-37	1	200	62	285	0.753787878788
HATPase_c	111	CP065322.1_1204	633	9.4e-07	5	62	23	78	0.513513513514
Glucokinase	316	CP065322.1_1214	320	9.6e-05	4	148	12	151	0.455696202532
NUDIX	131	CP065322.1_1217	136	4e-13	17	115	20	125	0.748091603053
MarR	59	CP065322.1_1226	142	2e-08	2	57	32	89	0.932203389831
Pribosyltran	159	CP065322.1_1230	178	2.4e-22	2	133	6	143	0.823899371069
HTH_3	55	CP065322.1_1244	127	5.3e-05	12	33	37	58	0.381818181818
SBP_bac_5	377	CP065322.1_1260	620	7.7e-77	2	376	74	531	0.992042440318
Fer4	24	CP065322.1_127	958	2.9e-06	2	18	712	728	0.666666666667
T2SSE	273	CP065322.1_1279	361	2.8e-41	129	271	131	278	0.520146520147
T2SSE	273	CP065322.1_1280	365	1.2e-36	128	262	123	260	0.490842490842
Rhodanese	107	CP065322.1_1306	161	4.2e-08	13	105	60	153	0.859813084112
Aminotran_1_2	363	CP065322.1_1307	409	5.8e-11	29	188	44	203	0.438016528926
Pkinase	264	CP065322.1_1309	547	7e-10	55	199	74	213	0.545454545455
Glyoxalase	128	CP065322.1_1313	157	2.2e-16	2	107	21	122	0.8203125
Peptidase_M23	96	CP065322.1_1316	134	1.2e-05	15	73	66	133	0.604166666667
HTH_3	55	CP065322.1_1335	281	8.8e-13	5	55	22	73	0.909090909091
PfkB	302	CP065322.1_1345	258	8.9e-07	162	285	99	234	0.407284768212
Pyr_redox	81	CP065322.1_1355	343	6.3e-05	2	35	167	200	0.407407407407
Fe_dep_repress	60	CP065322.1_1367	134	2.4e-17	1	57	3	59	0.933333333333
Fe_dep_repr_C	70	CP065322.1_1367	134	2.2e-13	1	53	65	117	0.742857142857
Nitroreductase	170	CP065322.1_1369	194	5.1e-19	2	169	43	190	0.982352941176
Peptidase_M23	96	CP065322.1_1374	290	1.6e-16	3	89	106	204	0.895833333333
CBS	57	CP065322.1_138	564	8.9e-09	2	56	77	131	0.947368421053
HTH_3	55	CP065322.1_1383	131	3.1e-05	1	31	24	54	0.545454545455
HD	122	CP065322.1_1386	587	1.2e-18	1	120	296	453	0.975409836066
SKI	158	CP065322.1_1392	185	1.8e-48	1	155	18	174	0.974683544304
NUDIX	131	CP065322.1_1401	241	6.2e-09	3	128	9	150	0.954198473282
AAA	132	CP065322.1_141	733	1.8e-15	2	126	42	172	0.939393939394
PglZ	176	CP065322.1_1432	515	2.5e-05	104	169	383	446	0.369318181818
PAS	113	CP065322.1_1434	418	4.2e-06	2	41	68	107	0.345132743363
HisKA	64	CP065322.1_1434	418	1.1e-12	2	57	186	249	0.859375
HATPase_c	111	CP065322.1_1434	418	1.3e-23	2	109	299	403	0.963963963964
Response_reg	112	CP065322.1_1435	464	1.6e-22	2	107	7	110	0.9375
AAA	132	CP065322.1_1435	464	3.1e-07	1	112	167	287	0.840909090909
HTH_8	42	CP065322.1_1435	464	5.1e-17	3	40	421	458	0.880952380952
