HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CBM48.hmm	76	CP065315.1_1034	674	3.1e-19	3	71	25	109	0.894736842105
GH13_9.hmm	301	CP065315.1_1034	674	6.9e-157	1	301	176	480	0.996677740864
GT5.hmm	472	CP065315.1_1037	479	1.5e-180	1	470	2	472	0.993644067797
GT35.hmm	674	CP065315.1_1038	813	3.3e-255	1	673	93	806	0.99703264095
GT39.hmm	223	CP065315.1_1047	650	2.3e-50	17	222	239	456	0.919282511211
GT2.hmm	230	CP065315.1_1199	426	1.9e-27	2	228	49	274	0.982608695652
CBM54.hmm	114	CP065315.1_1256	1625	9.3e-21	5	113	197	311	0.947368421053
GT2.hmm	170	CP065315.1_1357	343	3.6e-26	3	137	8	155	0.788235294118
CE9.hmm	373	CP065315.1_1606	386	3e-114	4	373	10	379	0.98927613941
CE4.hmm	130	CP065315.1_1674	263	9.1e-33	4	123	47	168	0.915384615385
GH109.hmm	399	CP065315.1_1696	347	2.9e-24	7	221	3	196	0.53634085213
GH109.hmm	399	CP065315.1_1699	328	1.2e-16	6	156	2	141	0.375939849624
GH18.hmm	296	CP065315.1_1796	554	7.5e-27	48	279	238	536	0.780405405405
GH13_39.hmm	316	CP065315.1_2073	615	5.6e-125	1	315	175	506	0.993670886076
GT2.hmm	170	CP065315.1_2074	298	5.1e-38	1	168	7	173	0.982352941176
SLH.hmm	42	CP065315.1_2173	753	2.4e-16	1	42	652	693	0.97619047619
GH109.hmm	399	CP065315.1_2295	340	1.1e-20	8	169	6	160	0.40350877193
GH3.hmm	216	CP065315.1_2505	432	5.8e-49	9	216	125	357	0.958333333333
CE4.hmm	130	CP065315.1_2631	257	5e-28	7	116	56	167	0.838461538462
GT51.hmm	177	CP065315.1_265	902	4.2e-61	9	176	96	262	0.943502824859
GT28.hmm	157	CP065315.1_2653	365	1e-26	2	153	195	340	0.96178343949
GT4.hmm	160	CP065315.1_2659	369	2.5e-34	6	157	185	336	0.94375
GT4.hmm	160	CP065315.1_281	741	4.3e-35	10	159	193	340	0.93125
GT2.hmm	170	CP065315.1_2851	323	2.4e-27	2	167	7	174	0.970588235294
CE9.hmm	373	CP065315.1_286	374	5.2e-124	35	373	32	368	0.906166219839
GH4.hmm	179	CP065315.1_3046	461	8.1e-63	1	174	3	179	0.966480446927
GT1.hmm	382	CP065315.1_3083	398	8e-42	18	379	19	386	0.94502617801
GT2.hmm	170	CP065315.1_3112	362	6e-22	1	128	5	123	0.747058823529
GH65.hmm	372	CP065315.1_3189	721	2.5e-110	1	371	301	675	0.994623655914
GH125.hmm	402	CP065315.1_3190	600	2e-19	191	399	392	586	0.517412935323
GH31.hmm	427	CP065315.1_3195	667	8.4e-108	8	425	124	590	0.976580796253
GH31.hmm	427	CP065315.1_3198	1077	8.4e-126	1	427	353	819	0.997658079625
CBM35.hmm	119	CP065315.1_3198	1077	7.8e-26	1	119	955	1073	0.991596638655
GH31.hmm	427	CP065315.1_3199	1273	1.4e-105	1	427	247	697	0.997658079625
CBM35.hmm	119	CP065315.1_3199	1273	3e-35	1	119	850	979	0.991596638655
CBM35.hmm	119	CP065315.1_3199	1273	1.1e-31	2	119	989	1111	0.983193277311
CBM61.hmm	141	CP065315.1_3199	1273	2.9e-33	3	140	1123	1268	0.971631205674
GH25.hmm	177	CP065315.1_3242	248	2.5e-46	1	176	51	223	0.988700564972
GH18.hmm	296	CP065315.1_3498	427	6.7e-37	65	277	174	406	0.716216216216
GH77.hmm	494	CP065315.1_377	493	6e-160	1	491	10	489	0.991902834008
GT76.hmm	407	CP065315.1_50	418	1.8e-18	53	235	91	282	0.447174447174
CBM40.hmm	179	CP065315.1_559	385	6.1e-29	17	176	21	192	0.888268156425
CBM40.hmm	179	CP065315.1_559	385	1.3e-31	18	176	220	379	0.882681564246
CBM40.hmm	179	CP065315.1_594	708	3.1e-26	19	176	58	221	0.877094972067
GH33.hmm	342	CP065315.1_594	708	1.1e-70	10	336	237	687	0.953216374269
GH109.hmm	399	CP065315.1_595	377	4e-21	6	192	2	179	0.466165413534
CE7.hmm	313	CP065315.1_596	275	3.8e-24	152	312	131	272	0.511182108626
CE7.hmm	313	CP065315.1_597	325	1.5e-90	3	311	5	316	0.984025559105
GH33.hmm	342	CP065315.1_612	966	1.2e-56	9	338	42	508	0.961988304094
GT26.hmm	171	CP065315.1_747	241	1.4e-63	2	171	55	222	0.988304093567
GT28.hmm	157	CP065315.1_781	376	2.9e-44	2	157	194	358	0.987261146497
