HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH24.hmm	137	CP065319.1_1136	176	1.8e-16	21	137	54	168	0.846715328467
GH23.hmm	135	CP065319.1_1152	323	5e-23	2	125	93	229	0.911111111111
PL33_1.hmm	155	CP065319.1_1190	645	1.6e-60	2	152	430	576	0.967741935484
GT5.hmm	472	CP065319.1_1273	279	1.1e-46	1	222	6	238	0.468220338983
GH57.hmm	383	CP065319.1_1275	486	8.5e-53	12	313	20	326	0.78590078329
GT4.hmm	160	CP065319.1_1276	422	9.8e-34	7	154	240	384	0.91875
GH133.hmm	372	CP065319.1_1277	646	6.1e-103	6	372	285	636	0.983870967742
GH109.hmm	399	CP065319.1_1310	470	8.4e-164	2	398	55	459	0.992481203008
GH2.hmm	752	CP065319.1_1313	1114	7.9e-213	22	750	51	949	0.968085106383
CE11.hmm	271	CP065319.1_1336	462	2.1e-73	1	220	4	224	0.808118081181
GH28.hmm	325	CP065319.1_1346	530	2.8e-88	8	306	76	473	0.916923076923
GH43_10.hmm	271	CP065319.1_1348	559	4.5e-109	1	271	39	309	0.9963099631
CBM91.hmm	200	CP065319.1_1348	559	1.6e-20	4	196	343	555	0.96
GH105.hmm	332	CP065319.1_1352	239	3.1e-32	8	169	57	210	0.484939759036
PL11.hmm	606	CP065319.1_1372	635	1.7e-271	2	573	30	620	0.942244224422
GH105.hmm	332	CP065319.1_1376	470	9.8e-92	9	332	96	432	0.972891566265
PL11_1.hmm	583	CP065319.1_1377	614	1e-272	3	574	30	601	0.979416809605
GH105.hmm	332	CP065319.1_1378	380	1.1e-94	10	332	61	377	0.969879518072
CE12.hmm	210	CP065319.1_1379	545	2.3e-53	2	210	66	285	0.990476190476
CE12.hmm	210	CP065319.1_1379	545	1.3e-62	2	210	317	532	0.990476190476
PL26.hmm	862	CP065319.1_1380	1116	8e-250	264	857	534	1110	0.687935034803
PL11_1.hmm	583	CP065319.1_1381	696	1e-182	12	576	63	687	0.967409948542
GH43_18.hmm	229	CP065319.1_1391	976	3.6e-90	2	229	60	294	0.991266375546
GH42.hmm	371	CP065319.1_1391	976	9.1e-124	2	370	322	696	0.991913746631
GH2.hmm	752	CP065319.1_1392	1016	1e-69	26	492	78	711	0.619680851064
CE12.hmm	210	CP065319.1_1393	413	5e-73	1	209	163	367	0.990476190476
GH28.hmm	325	CP065319.1_1394	511	1.4e-63	7	317	87	461	0.953846153846
GH28.hmm	325	CP065319.1_1396	468	5.1e-66	7	309	48	395	0.929230769231
GH106.hmm	824	CP065319.1_1397	922	0	3	823	20	914	0.995145631068
PL1_2.hmm	183	CP065319.1_1410	526	1.1e-78	1	183	89	281	0.994535519126
PL1_2.hmm	183	CP065319.1_1411	547	4.3e-80	1	183	101	289	0.994535519126
CE12.hmm	210	CP065319.1_1418	580	2.6e-78	1	210	30	261	0.995238095238
CE8.hmm	288	CP065319.1_1418	580	5.5e-99	2	274	277	549	0.944444444444
CE8.hmm	288	CP065319.1_1419	315	6.2e-105	2	287	24	305	0.989583333333
GH105.hmm	332	CP065319.1_1420	400	4.8e-121	6	332	52	396	0.981927710843
GT19.hmm	354	CP065319.1_1463	379	6.6e-114	2	350	4	357	0.983050847458
GH23.hmm	135	CP065319.1_1469	432	3.3e-24	4	119	130	261	0.851851851852
GH97.hmm	631	CP065319.1_1497	649	1.5e-203	3	630	11	647	0.993660855784
GH92.hmm	491	CP065319.1_1498	1082	6.4e-172	2	491	248	745	0.995926680244
GH43_34.hmm	280	CP065319.1_1498	1082	3e-108	1	279	781	1060	0.992857142857
GH92.hmm	491	CP065319.1_1500	781	8.7e-187	3	491	266	759	0.993890020367
GH92.hmm	491	CP065319.1_1501	762	2.9e-188	2	491	234	741	0.995926680244
GH76.hmm	358	CP065319.1_1648	524	9e-70	11	321	158	486	0.865921787709
GH92.hmm	491	CP065319.1_1655	761	3.2e-177	2	491	237	742	0.995926680244
GH76.hmm	358	CP065319.1_1657	209	1.5e-54	141	334	3	193	0.539106145251
GH130.hmm	296	CP065319.1_1659	384	1.3e-87	14	286	63	371	0.918918918919
GH92.hmm	491	CP065319.1_1660	757	1.7e-187	3	491	246	736	0.993890020367
GT2.hmm	170	CP065319.1_1717	330	6.4e-27	1	167	4	167	0.976470588235
GH20.hmm	337	CP065319.1_1726	769	1.6e-125	9	336	383	734	0.970326409496
GH105.hmm	332	CP065319.1_1740	378	2.2e-81	5	331	46	372	0.981927710843
PL42.hmm	296	CP065319.1_1741	421	2.3e-127	1	296	23	315	0.996621621622
GH154.hmm	348	CP065319.1_1742	419	3.3e-107	1	347	36	398	0.994252873563
GH16_3.hmm	230	CP065319.1_1743	636	1.8e-62	1	230	32	283	0.995652173913
GH43_24.hmm	246	CP065319.1_1743	636	2.4e-102	2	246	311	603	0.991869918699
GH16_3.hmm	230	CP065319.1_1744	508	3.9e-46	2	230	230	504	0.991304347826
GH97.hmm	631	CP065319.1_1752	652	2.2e-180	4	627	15	647	0.987321711569
GH51.hmm	630	CP065319.1_1753	822	5.8e-99	83	429	343	706	0.549206349206
GH43_19.hmm	233	CP065319.1_1754	322	1e-96	1	233	69	300	0.995708154506
GH35.hmm	307	CP065319.1_1755	779	5.5e-119	1	306	36	348	0.99348534202
GT2.hmm	170	CP065319.1_1779	822	3.5e-20	1	132	247	380	0.770588235294
CE1.hmm	227	CP065319.1_1786	291	3.5e-54	1	223	34	284	0.977973568282
GH95.hmm	722	CP065319.1_1787	814	1.3e-294	5	713	23	746	0.980609418283
CBM6.hmm	138	CP065319.1_1789	90	2.4e-25	57	138	2	89	0.586956521739
GH43_29.hmm	278	CP065319.1_1790	369	2.8e-119	1	277	26	313	0.992805755396
CE6.hmm	99	CP065319.1_1791	639	7.7e-32	2	99	87	197	0.979797979798
CE1.hmm	227	CP065319.1_1791	639	1.2e-55	2	222	405	634	0.969162995595
GH5_21.hmm	259	CP065319.1_1792	215	7.4e-50	147	258	2	133	0.428571428571
GH10.hmm	303	CP065319.1_1794	750	7.2e-46	96	301	479	740	0.676567656766
GH43_12.hmm	281	CP065319.1_1800	578	5.1e-114	2	281	70	365	0.992882562278
CBM91.hmm	200	CP065319.1_1800	578	1.5e-55	6	180	398	576	0.87
GH43_29.hmm	278	CP065319.1_1801	444	5e-115	1	278	25	297	0.996402877698
CBM6.hmm	138	CP065319.1_1801	444	2.9e-30	18	137	321	443	0.86231884058
GH97.hmm	631	CP065319.1_1802	659	1.3e-171	5	628	23	656	0.987321711569
GH43_12.hmm	281	CP065319.1_1804	576	2.7e-109	2	281	65	359	0.992882562278
CBM91.hmm	200	CP065319.1_1804	576	1.3e-55	4	182	395	574	0.89
GH3.hmm	216	CP065319.1_1805	862	6.7e-69	3	215	59	304	0.981481481481
GH43_10.hmm	271	CP065319.1_1806	533	3.6e-97	1	271	28	297	0.9963099631
CBM91.hmm	200	CP065319.1_1806	533	3e-31	5	197	323	526	0.96
GH43_29.hmm	278	CP065319.1_1807	461	6.1e-108	1	278	24	316	0.996402877698
CBM6.hmm	138	CP065319.1_1807	461	5.9e-22	17	137	339	460	0.869565217391
GH109.hmm	399	CP065319.1_1821	491	1e-15	4	162	39	187	0.395989974937
GH20.hmm	337	CP065319.1_1823	538	9.7e-109	8	336	141	481	0.973293768546
CE20.hmm	249	CP065319.1_1824	475	4.7e-82	3	248	103	363	0.983935742972
CBM51.hmm	134	CP065319.1_1829	661	6.7e-34	3	134	29	161	0.977611940299
GH27.hmm	229	CP065319.1_1829	661	1.7e-68	4	229	373	636	0.982532751092
GH89.hmm	663	CP065319.1_1831	733	5.6e-251	2	661	63	721	0.993966817496
CE9.hmm	373	CP065319.1_1833	396	1.5e-118	2	373	7	389	0.994638069705
GH109.hmm	399	CP065319.1_1838	442	4.9e-40	4	185	50	224	0.453634085213
GH109.hmm	399	CP065319.1_1840	448	1.8e-30	3	167	39	199	0.411027568922
GH3.hmm	216	CP065319.1_1849	770	1.7e-73	3	216	97	318	0.986111111111
GH144.hmm	404	CP065319.1_1850	458	1.9e-192	2	403	36	448	0.992574257426
CBM62.hmm	131	CP065319.1_1872	641	8.9e-26	57	131	428	504	0.564885496183
CBM62.hmm	131	CP065319.1_1872	641	5e-20	2	66	511	574	0.488549618321
CBM62.hmm	131	CP065319.1_1889	675	4.9e-23	62	131	469	538	0.526717557252
CBM62.hmm	131	CP065319.1_1889	675	2.9e-18	2	64	545	609	0.473282442748
GH127.hmm	524	CP065319.1_1897	685	6.9e-35	301	522	322	548	0.421755725191
GH92.hmm	491	CP065319.1_1899	764	1.2e-185	2	491	233	740	0.995926680244
GH76.hmm	358	CP065319.1_1901	420	5.2e-72	28	336	57	401	0.860335195531
GH43_34.hmm	280	CP065319.1_1902	333	3e-111	1	279	33	312	0.992857142857
GH43_26.hmm	294	CP065319.1_1903	369	2.1e-108	1	294	38	347	0.996598639456
GH115.hmm	697	CP065319.1_1904	983	1e-227	3	579	32	659	0.826398852224
GH2.hmm	752	CP065319.1_1906	607	1.2e-105	23	406	52	495	0.509308510638
GT28.hmm	157	CP065319.1_1949	374	4.5e-49	1	156	195	356	0.987261146497
GH36.hmm	688	CP065319.1_1979	730	1.4e-210	2	687	25	712	0.995639534884
GT11.hmm	276	CP065319.1_2008	301	7.4e-32	3	257	24	287	0.920289855072
GT2.hmm	170	CP065319.1_2010	328	2.6e-35	1	139	9	144	0.811764705882
GT2.hmm	170	CP065319.1_2011	321	1.8e-29	1	167	6	170	0.976470588235
