Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
CP065316.1_4	CAG7911095.1|GH5_11	40.5	906	491	17	3	870	579	1474	3.2e-192	676.0
CP065316.1_46	ANU63609.1|GH32	100.0	483	0	0	1	483	1	483	1.5e-292	1008.4
CP065316.1_48	AST56160.1|GH35	31.9	836	495	25	222	998	714	1534	6.7e-109	399.4
CP065316.1_51	ASB38314.1|GH32	100.0	616	0	0	1	616	1	616	0.0e+00	1285.4
CP065316.1_71	ASB38330.1|GH31	100.0	750	0	0	1	750	1	750	0.0e+00	1596.6
CP065316.1_75	QYO62262.1|GH13	63.3	346	125	1	1	346	1	344	2.4e-113	413.3
CP065316.1_85	ANU63577.1|GH97	100.0	703	0	0	1	703	1	703	0.0e+00	1464.5
CP065316.1_101	ANU63563.1|GH163	100.0	732	0	0	1	732	1	732	0.0e+00	1517.3
CP065316.1_168	AGL63717.2|GT4	50.2	621	295	6	201	820	107	714	6.4e-169	598.6
CP065316.1_235	QQR09216.1|GT2	100.0	334	0	0	1	334	1	334	1.8e-199	698.7
CP065316.1_244	AHC21644.2|GH1	47.8	517	267	1	4	520	8	521	7.2e-139	498.0
CP065316.1_249	ANU63438.1|GH20	100.0	776	0	0	1	776	1	776	0.0e+00	1514.2
CP065316.1_253	ASB38486.1|GH92	100.0	752	0	0	1	752	1	752	0.0e+00	1569.7
CP065316.1_257	ANU63430.2|CBM50	100.0	646	0	0	1	646	1	646	0.0e+00	1234.6
CP065316.1_259	ADY37157.1|PL10_1	51.6	353	170	1	40	391	373	725	3.5e-114	415.6
CP065316.1_283	CAG7883609.1|GT1	57.3	900	351	6	2	899	171	1039	6.1e-287	990.7
CP065316.1_329	ASB38540.1|GT2	100.0	498	0	0	6	503	1	498	5.2e-296	1020.0
CP065316.1_373	ASV45029.1|GH23	24.5	2084	1063	60	2	2001	1565	3222	1.4e-134	485.7
CP065316.1_432	ANU63296.1|GH110	100.0	605	0	0	1	605	1	605	0.0e+00	1235.7
CP065316.1_451	ANU63279.1|GH108	99.5	187	1	0	1	187	8	194	2.1e-104	382.1
CP065316.1_529	ASB38713.1|CE9	100.0	390	0	0	1	390	1	390	4.9e-225	783.9
CP065316.1_530	ASB38714.1|GT2	100.0	261	0	0	1	261	1	261	8.5e-149	530.0
CP065316.1_531	ASB38715.1|GT4	100.0	356	0	0	1	356	1	356	5.5e-207	723.8
CP065316.1_554	ASB38738.1|GT2	100.0	254	0	0	1	254	1	254	3.5e-147	524.6
CP065316.1_555	ANU64759.1|GT4	100.0	409	0	0	2	410	1	409	2.1e-247	858.2
CP065316.1_567	QQR09491.1|GH43_2	100.0	348	0	0	1	348	1	348	3.9e-218	760.8
CP065316.1_588	ASB38769.1|GH23	100.0	321	0	0	1	321	1	321	9.7e-187	656.4
CP065316.1_618	ANU63126.1|GT2	100.0	269	0	0	1	269	1	269	5.9e-153	543.9
CP065316.1_619	ANU63125.1|GT11	100.0	290	0	0	1	290	1	290	5.9e-175	617.1
CP065316.1_620	ANU63124.1|GT6	100.0	264	0	0	1	264	1	264	1.4e-154	549.3
CP065316.1_631	ANU63113.1|GT2	100.0	245	0	0	1	245	1	245	6.3e-138	493.8
CP065316.1_636	ANU63108.1|GT2	100.0	318	0	0	1	318	1	318	1.1e-185	652.9
CP065316.1_642	ANU63102.1|CE8|PL1_2	100.0	1294	0	0	1	1294	1	1294	0.0e+00	2645.9
CP065316.1_643	ANU63101.2|GH92	100.0	740	0	0	1	740	1	740	0.0e+00	1565.4
CP065316.1_644	QQR09561.1|GH92	100.0	761	0	0	1	761	1	761	0.0e+00	1599.3
CP065316.1_661	QQR09576.1|GH13_28	100.0	478	0	0	1	478	1	478	9.7e-292	1005.7
CP065316.1_668	CAE6110940.1|CE8	44.1	540	278	10	34	565	264	787	9.0e-119	431.4
CP065316.1_736	QQR09640.1|GH33	100.0	382	0	0	1	382	6	387	2.7e-228	794.7
CP065316.1_737	ANU63020.1|GH3	100.0	743	0	0	1	743	1	743	0.0e+00	1503.4
CP065316.1_760	QQR09664.1|GT2	100.0	307	0	0	1	307	1	307	2.4e-179	631.7
CP065316.1_791	QCD43617.1|GT4	61.5	387	148	1	10	396	9	394	2.3e-137	492.7
CP065316.1_801	ASV45029.1|GH23	30.1	993	590	21	20	952	2271	3219	4.8e-120	436.4
CP065316.1_814	ANU62956.1|GH0	100.0	198	0	0	1	198	1	198	1.3e-109	399.4
CP065316.1_997	QQR09854.1|GH105|GH28	100.0	873	0	0	1	873	1	873	0.0e+00	1830.5
CP065316.1_998	ASB36695.1|CE12	100.0	664	0	0	1	664	1	664	0.0e+00	1352.0
CP065316.1_1004	ASB38984.1|CE8	100.0	302	0	0	19	320	1	302	7.2e-150	533.9
CP065316.1_1005	ASB36701.1|GH43_10	100.0	544	0	0	1	544	1	544	0.0e+00	1177.5
CP065316.1_1007	QQR09858.1|PL10	100.0	454	0	0	1	454	1	454	2.3e-274	948.0
CP065316.1_1028	QQR09877.1|GH31	100.0	770	0	0	1	770	7	776	0.0e+00	1637.1
CP065316.1_1040	ASB36733.1|GH20	100.0	684	0	0	1	684	10	693	0.0e+00	1415.6
CP065316.1_1061	ANU62751.1|GT2	100.0	255	0	0	1	255	1	255	6.6e-146	520.4
CP065316.1_1083	QQR09929.1|GT35	100.0	853	0	0	1	853	1	853	0.0e+00	1776.5
CP065316.1_1084	ANU62732.1|GT3	100.0	551	0	0	1	551	1	551	0.0e+00	1138.3
CP065316.1_1106	ANU62713.1|GH29	100.0	600	0	0	1	600	1	600	0.0e+00	1248.4
CP065316.1_1107	QQR09950.1|GT5	100.0	272	0	0	1	272	1	272	1.3e-155	552.7
CP065316.1_1127	ASB36812.1|GT51	100.0	787	0	0	1	787	1	787	0.0e+00	1596.6
CP065316.1_1134	QQR09974.1|GH95	100.0	862	0	0	1	862	1	862	0.0e+00	1776.1
CP065316.1_1135	ANU62686.2|GH89	100.0	744	0	0	1	744	8	751	0.0e+00	1545.0
CP065316.1_1158	ANU64711.2|GH2	100.0	1135	0	0	1	1135	1	1135	0.0e+00	2354.3
CP065316.1_1174	ASB36855.1|GH33	100.0	663	0	0	1	663	1	663	0.0e+00	1401.7
CP065316.1_1177	ASB36857.1|CBM20|GH77	100.0	892	0	0	1	892	1	892	0.0e+00	1920.2
CP065316.1_1178	ANU62653.1|GH20	100.0	610	0	0	1	610	1	610	0.0e+00	1297.3
CP065316.1_1181	ASB36860.1|GH133	100.0	627	0	0	1	627	1	627	0.0e+00	1313.9
CP065316.1_1182	ASB36861.1|GT4	100.0	415	0	0	1	415	5	419	3.0e-249	864.4
CP065316.1_1183	ANU62648.1|GH57	100.0	500	0	0	1	500	1	500	5.2e-280	966.8
CP065316.1_1200	ASB36874.1|GT2	100.0	370	0	0	1	370	1	370	7.9e-217	756.5
CP065316.1_1207	QQR10036.1|CBM50|GH23	100.0	547	0	0	1	547	1	547	9.4e-259	896.3
CP065316.1_1264	QQR10080.1|GH31	100.0	888	0	0	1	888	1	888	0.0e+00	1884.4
CP065316.1_1268	QQR10084.1|GH16_3|GH43_24	100.0	636	0	0	1	636	1	636	0.0e+00	1378.2
CP065316.1_1334	ASB36982.1|GH18	100.0	338	0	0	1	338	1	338	7.0e-204	713.4
CP065316.1_1339	CAG7868751.1|GT106	51.8	529	247	2	4	532	30	550	1.4e-156	557.0
CP065316.1_1341	ASB36988.1|GH3	100.0	992	0	0	1	992	1	992	0.0e+00	1972.6
CP065316.1_1358	QQR10160.1|GH36	100.0	731	0	0	1	731	1	731	0.0e+00	1531.9
CP065316.1_1375	ANU62500.2|GH3	100.0	768	0	0	1	768	1	768	0.0e+00	1575.1
CP065316.1_1427	ASB37054.1|CE20	100.0	493	0	0	1	493	1	493	5.8e-300	1033.1
CP065316.1_1431	CAE6204650.1|GH28	50.2	600	291	3	2	594	745	1343	5.1e-173	611.7
CP065316.1_1436	QQR10392.1|GH3	100.0	917	0	0	51	967	36	952	0.0e+00	1864.7
CP065316.1_1439	QQR10221.1|GH18	100.0	319	0	0	1	319	1	319	2.5e-195	684.9
CP065316.1_1448	ANU62443.1|CE12|CE8	100.0	1626	0	0	1	1626	8	1633	0.0e+00	3223.7
CP065316.1_1511	QQR07864.1|GH13_38	100.0	570	0	0	1	570	1	570	0.0e+00	1224.5
CP065316.1_1520	ANU62388.1|GH16_3	100.0	265	0	0	1	265	1	265	6.2e-163	577.0
CP065316.1_1529	QCW79542.1|GH101	55.0	458	206	0	59	516	611	1068	1.1e-147	527.3
CP065316.1_1535	ALR08738.2|GT83	42.6	587	321	7	3	579	2	582	1.2e-137	494.2
CP065316.1_1545	ASB37155.1|GH95	100.0	1242	0	0	1	1242	1	1242	0.0e+00	2526.5
CP065316.1_1563	AMJ18631.1|GT2	48.9	1179	573	14	9	1174	3	1165	0.0e+00	1076.2
CP065316.1_1574	QQR07923.1|GH85	100.0	1008	0	0	1	1008	1	1008	0.0e+00	2057.7
CP065316.1_1613	CAN65674.1|GH28	43.2	546	280	7	124	665	111	630	1.7e-124	450.7
CP065316.1_1616	UBD69824.1|CBM32|GH0	34.5	1243	620	26	31	1246	29	1104	2.0e-195	687.2
CP065316.1_1659	QQR07996.1|GH92	100.0	764	0	0	1	764	1	764	0.0e+00	1614.7
CP065316.1_1660	ANU64638.1|GH2	100.0	1233	0	0	8	1240	1	1233	0.0e+00	2558.9
CP065316.1_1661	ASB37257.1|GH2	100.0	1461	0	0	1	1461	1	1461	0.0e+00	3100.5
CP065316.1_1664	QUI94464.1|GT2	41.4	764	341	17	6	678	497	1244	2.9e-148	529.6
CP065316.1_1665	QQR07999.1|GT2	100.0	440	0	0	1	440	1	440	2.8e-261	904.4
CP065316.1_1679	CAD7252417.1|GH13	52.6	604	273	8	129	725	341	938	4.7e-160	568.9
CP065316.1_1689	QQR08022.1|GH25	100.0	252	0	0	1	252	1	252	8.5e-146	520.0
CP065316.1_1705	QQR08037.1|GH43_12	100.0	565	0	0	1	565	1	565	0.0e+00	1209.1
CP065316.1_1706	ANU64596.1|GH3	100.0	854	0	0	1	854	1	854	0.0e+00	1757.7
CP065316.1_1707	ASB37302.1|CE8	100.0	1159	0	0	1	1159	1	1159	0.0e+00	2173.3
CP065316.1_1708	QQR08040.1|PL1_2	100.0	690	0	0	1	690	11	700	0.0e+00	1445.3
CP065316.1_1709	QQR08040.1|PL1_2	55.1	706	290	13	1	691	7	700	2.6e-213	745.7
CP065316.1_1726	QUT64941.1|GH105	46.2	478	230	12	53	521	390	849	1.3e-119	434.1
CP065316.1_1727	ANU64577.1|GH2	100.0	1034	0	0	1	1034	1	1034	0.0e+00	2191.0
CP065316.1_1728	ASB37320.1|GH28	100.0	225	0	0	36	260	1	225	1.3e-120	436.4
CP065316.1_1729	QQR08057.1|GH28	100.0	242	0	0	1	242	1	242	1.3e-135	486.1
CP065316.1_1752	ANU64558.1|GH31	100.0	801	0	0	1	801	1	801	0.0e+00	1648.6
CP065316.1_1777	CCO12112.2|GH13_31	66.6	419	139	1	3	420	4	422	3.0e-159	565.5
CP065316.1_1808	CAD7226128.1|GH38	34.9	716	405	15	12	689	1345	2037	5.7e-115	419.1
