Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
CP065319.1_1136	-	GH24(54-168)	GH24_e168	N	Y(1-21)	2
CP065319.1_1152	-	GH23(93-229)	GH23_e63	GH23	Y(1-24)	3
CP065319.1_1190	4.2.2.1	PL33_1(430-576)	PL33_e0	PL33_1	Y(1-26)	3
CP065319.1_1273	-	GT5(6-238)	GT5_e28	GT5	N	3
CP065319.1_1275	-	GH57(20-326)	GH57_e10	GH57	N	3
CP065319.1_1276	-	GT4(240-384)	GT4_e602	GT4	N	3
CP065319.1_1277	-	GH133(285-636)	GH133_e1	GH133	N	3
CP065319.1_1310	-	GH109(55-459)	GH109_e5	GH109	N	3
CP065319.1_1313	-	GH2(51-949)	GH2_e30	GH2	N	3
CP065319.1_1336	-	CE11(4-224)	CE11_e18	CE11	N	3
CP065319.1_1346	3.2.1.67	GH28(76-473)	GH28_e64	GH28	N	3
CP065319.1_1348	3.2.1.55|3.2.1.37|-	GH43_10(39-309)+CBM91(343-555)	GH43_e0+CBM91_e10	GH43_10	Y(1-21)	3
CP065319.1_1352	3.2.1.172	GH105(57-210)	GH105_e17	GH105	N	3
CP065319.1_1372	4.2.2.23|4.2.2.24	PL11(30-620)	PL11_e0	PL11_1	Y(1-23)	3
CP065319.1_1376	3.2.1.172	GH105(96-432)	GH105_e7	GH105	Y(1-20)	3
CP065319.1_1377	4.2.2.23|4.2.2.24	PL11_1(30-601)	PL11_e0	PL11_1	Y(1-20)	3
CP065319.1_1378	3.2.1.172	GH105(61-377)	GH105_e17	GH105	Y(1-25)	3
CP065319.1_1379	-	CE12(66-285)+CE12(317-532)	CE12_e36+CE12_e36	CE12	Y(1-24)	3
CP065319.1_1380	4.2.2.24	PL26(534-1110)	PL26_e0	PL26	Y(1-19)	3
CP065319.1_1381	-	PL11_1(63-687)	PL11_e3	PL11_1	Y(1-22)	3
CP065319.1_1391	3.2.1.55|-	GH43_18(60-294)+GH42(322-696)	GH43_e84+GH42_e27	GH42+GH43_18	N	3
CP065319.1_1392	3.2.1.23	GH2(78-711)	GH2_e125	GH2	N	3
CP065319.1_1393	-	CE12(163-367)	CE12_e37	CE12	Y(1-19)	3
CP065319.1_1394	3.2.1.173	GH28(87-461)	GH28_e139	GH28	Y(1-28)	3
CP065319.1_1396	3.2.1.173	GH28(48-395)	GH28_e34	GH28	Y(1-20)	3
CP065319.1_1397	3.2.1.174	GH106(20-914)	GH106_e0	GH106	Y(1-21)	3
CP065319.1_1410	-	PL1_2(89-281)	PL1_e95	PL1_2	Y(1-23)	3
CP065319.1_1411	4.2.2.2	PL1_2(101-289)	PL1_e60	PL1_2	Y(1-30)	3
CP065319.1_1418	-	CE12(30-261)+CE8(277-549)	CE12_e30+CE8_e86	CE12+CE8	Y(1-24)	3
CP065319.1_1419	-	CE8(24-305)	CE8_e86	CE8	N	3
CP065319.1_1420	3.2.1.-	GH105(52-396)	GH105_e41	GH105	Y(1-25)	3
CP065319.1_1463	-	GT19(4-357)	GT19_e2	GT19	N	3
CP065319.1_1469	-	GH23(130-261)	GH23_e209+CBM50_e207	CBM50+GH23	Y(1-24)	3
CP065319.1_1497	3.2.1.22	GH97(11-647)	GH97_e5	GH97	Y(1-25)	3
CP065319.1_1498	3.2.1.-|3.2.1.113|3.2.1.114|3.2.1.24|3.2.1.146	GH92(248-745)+GH43_34(781-1060)	GH92_e0+GH43_e147	GH43_34+GH92	Y(1-22)	3
CP065319.1_1500	3.2.1.-|3.2.1.113|3.2.1.114|3.2.1.24	GH92(266-759)	GH92_e0	GH92	Y(1-23)	3
CP065319.1_1501	3.2.1.113|3.2.1.-	GH92(234-741)	GH92_e18	GH92	Y(1-23)	3
CP065319.1_1648	3.2.1.101	GH76(158-486)	GH76_e36	GH76	Y(1-23)	3
CP065319.1_1655	3.2.1.113|3.2.1.-	GH92(237-742)	GH92_e18	GH92	Y(1-26)	3
CP065319.1_1657	3.2.1.101	GH76(3-193)	GH76_e42	GH76	N	3
CP065319.1_1659	3.2.1.197	GH130(63-371)	GH130_e20	GH130	Y(1-19)	3
CP065319.1_1660	3.2.1.-|3.2.1.113|3.2.1.114|3.2.1.24	GH92(246-736)	GH92_e0	GH92	Y(1-23)	3
