Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
NZ_CP028714.1_21	UAJ15154.1|GH67	60.7	389	143	3	6	388	2	386	3.4e-133	478.8
NZ_CP028714.1_34	QEI84939.1|CE0	100.0	326	0	0	1	326	1	326	9.1e-201	703.0
NZ_CP028714.1_50	CAG7911095.1|GH5_11	39.2	957	480	18	11	941	589	1469	5.4e-193	678.7
NZ_CP028714.1_66	QCH95999.1|GH13_29	99.8	471	1	0	1	471	1	471	2.6e-265	917.9
NZ_CP028714.1_67	QEI84907.1|GH13_29	100.0	551	0	0	1	551	1	551	0.0e+00	1192.2
NZ_CP028714.1_89	ANF95373.1|CBM50	53.3	642	281	9	16	647	34	666	9.3e-197	690.6
NZ_CP028714.1_95	AWK41767.1|GH13_3	74.8	449	113	0	16	464	15	463	1.3e-192	676.4
NZ_CP028714.1_141	QZQ49796.1|CBM50	66.3	451	131	7	1	440	1	441	4.6e-155	551.6
NZ_CP028714.1_164	QYO62262.1|GH13	66.6	356	114	2	3	354	2	356	2.9e-122	443.0
NZ_CP028714.1_228	ANJ40685.1|GH23	100.0	217	0	0	1	217	1	217	8.4e-126	453.4
NZ_CP028714.1_236	CAD7252683.1|GH23	42.5	616	332	7	11	605	441	1055	3.5e-130	469.5
NZ_CP028714.1_266	QHW56267.1|GH4	100.0	451	0	0	1	451	1	451	7.3e-273	943.0
NZ_CP028714.1_324	CAE6201338.1|GH1	54.2	633	280	3	20	642	589	1221	6.5e-206	721.1
NZ_CP028714.1_346	CAD7280782.1|GT2	60.5	342	131	2	43	382	1814	2153	5.2e-110	401.7
NZ_CP028714.1_349	CAD7280782.1|GT2	48.6	765	358	5	128	861	398	1158	6.3e-207	724.9
NZ_CP028714.1_391	CUS04494.2|GH39	60.0	1259	463	7	3	1224	5	1259	0.0e+00	1483.8
NZ_CP028714.1_400	QYU66396.1|GH13_23	55.2	464	188	8	7	463	6	456	3.3e-123	446.0
NZ_CP028714.1_419	CCO12868.2|GH1	45.6	1389	513	7	17	1368	7	1190	0.0e+00	1164.8
NZ_CP028714.1_442	CAD7731929.1|GH43_12	66.9	272	88	2	2	273	19	288	2.8e-106	389.4
NZ_CP028714.1_460	UKZ91289.1|AA0	60.8	748	253	7	15	725	6	750	4.2e-262	907.9
NZ_CP028714.1_472	ALR09732.2|GH92	43.1	740	397	13	3	731	5	731	8.7e-159	564.7
NZ_CP028714.1_625	ATM26343.1|GT26	100.0	246	0	0	1	246	1	246	6.2e-141	503.8
NZ_CP028714.1_626	AAA67593.1|GT56|2.4.1.-|2.4.1.-	99.6	450	2	0	1	450	359	808	6.0e-251	870.2
NZ_CP028714.1_627	ASJ28476.1|GT56	100.0	359	0	0	1	359	1	359	9.1e-210	733.0
NZ_CP028714.1_632	QWA11134.1|GT2	56.3	343	148	1	4	346	290	630	6.9e-109	397.9
NZ_CP028714.1_634	QLK59446.1|GT0	77.6	375	84	0	1	375	1	375	2.5e-170	602.1
NZ_CP028714.1_639	ALR09738.2|GH18	52.8	409	186	3	1	407	1	404	1.3e-111	407.1
NZ_CP028714.1_663	QXF31783.1|GH5_18	59.3	491	198	1	6	494	2	492	8.8e-163	577.4
NZ_CP028714.1_664	AWK40068.1|GH85	58.5	484	199	1	1	482	1	484	4.3e-162	575.1
NZ_CP028714.1_677	CAD7245033.1|GT58	68.7	473	133	4	2	460	1053	1524	4.5e-177	624.8
NZ_CP028714.1_688	QEI84326.1|GH1	100.0	464	0	0	1	464	1	464	2.0e-281	971.5
NZ_CP028714.1_689	BBP30521.1|GH1	50.5	517	222	4	19	509	20	528	1.2e-141	507.3
NZ_CP028714.1_690	URI24525.1|CBM48|CE0	72.0	389	106	2	3	389	1	388	2.2e-161	572.4
NZ_CP028714.1_747	QJI61687.1|GH31	100.0	772	0	0	1	772	1	772	0.0e+00	1657.1
NZ_CP028714.1_778	QJY78977.1|GT30	100.0	425	0	0	1	425	1	425	8.2e-242	839.7
