HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH25.hmm	177	CP065317.1_1039	266	1.4e-39	1	174	67	244	0.977401129944
AA10.hmm	178	CP065317.1_1043	457	8.2e-52	1	178	31	207	0.994382022472
GH4.hmm	179	CP065317.1_11	465	1.9e-74	1	179	7	187	0.994413407821
GH73.hmm	128	CP065317.1_112	287	8.2e-28	3	128	60	199	0.9765625
PL8.hmm	259	CP065317.1_1121	1073	2.4e-77	2	258	339	589	0.988416988417
CBM32.hmm	124	CP065317.1_1122	293	5.8e-20	15	117	54	162	0.822580645161
CE9.hmm	373	CP065317.1_1133	384	1.6e-113	4	373	6	377	0.98927613941
GH65.hmm	372	CP065317.1_1245	904	2.8e-124	1	371	423	837	0.994623655914
GH13_31.hmm	349	CP065317.1_130	558	4.7e-138	1	348	28	373	0.994269340974
GH32.hmm	293	CP065317.1_131	491	2e-79	1	293	42	345	0.996587030717
AA10.hmm	178	CP065317.1_1313	213	2.4e-46	1	178	30	210	0.994382022472
GH1.hmm	429	CP065317.1_134	470	2e-145	2	428	2	465	0.993006993007
GH1.hmm	429	CP065317.1_1408	477	2.4e-132	12	428	2	472	0.969696969697
GH63.hmm	570	CP065317.1_1462	780	3.1e-228	2	569	7	765	0.994736842105
GH20.hmm	337	CP065317.1_1499	836	7.8e-45	18	319	495	815	0.893175074184
GH16_6.hmm	274	CP065317.1_1552	849	1e-115	1	274	283	545	0.996350364964
GH16_6.hmm	274	CP065317.1_1553	2437	5.5e-143	1	274	396	668	0.996350364964
CBM40.hmm	179	CP065317.1_1553	2437	3.6e-36	7	174	873	1048	0.932960893855
GH33.hmm	342	CP065317.1_1553	2437	7.6e-90	9	336	1063	1544	0.956140350877
GT2.hmm	170	CP065317.1_1563	447	1.4e-19	1	100	71	164	0.582352941176
GH73.hmm	128	CP065317.1_1686	502	2.9e-29	2	128	216	357	0.984375
GT4.hmm	160	CP065317.1_1701	335	5.8e-21	5	132	158	283	0.79375
GT4.hmm	160	CP065317.1_1702	408	8.7e-32	4	131	201	328	0.79375
GH18.hmm	296	CP065317.1_1727	315	1.7e-22	36	171	61	250	0.456081081081
GH18.hmm	296	CP065317.1_1920	349	1.5e-28	2	295	41	340	0.989864864865
AA10.hmm	178	CP065317.1_1921	195	1.1e-48	1	178	29	192	0.994382022472
GH105.hmm	332	CP065317.1_1984	369	2.3e-111	9	330	48	363	0.96686746988
GH1.hmm	429	CP065317.1_2049	469	2.9e-147	1	427	1	465	0.993006993007
GT51.hmm	177	CP065317.1_2086	729	9.8e-65	2	177	88	265	0.988700564972
CE1.hmm	227	CP065317.1_2190	264	3.6e-49	2	223	11	259	0.973568281938
GH73.hmm	128	CP065317.1_2203	806	8.7e-28	5	128	191	329	0.9609375
GH109.hmm	399	CP065317.1_2220	322	9.7e-17	3	161	1	150	0.395989974937
GH170.hmm	350	CP065317.1_2229	279	1.6e-85	2	255	5	265	0.722857142857
GH126.hmm	321	CP065317.1_2272	389	4.9e-130	2	321	68	386	0.993769470405
GT2.hmm	230	CP065317.1_2276	421	4.9e-39	1	229	50	281	0.991304347826
GH38.hmm	269	CP065317.1_230	897	1.3e-73	1	256	5	273	0.947955390335
GH125.hmm	402	CP065317.1_231	430	3.1e-180	2	402	26	420	0.995024875622
GH65.hmm	372	CP065317.1_2343	765	7e-153	1	371	324	692	0.994623655914
GT28.hmm	157	CP065317.1_2379	364	9.5e-50	1	157	188	351	0.993630573248
GH1.hmm	429	CP065317.1_2404	465	4.2e-152	1	428	1	463	0.995337995338
AA1.hmm	358	CP065317.1_2479	509	6.1e-39	9	357	112	501	0.972067039106
GT51.hmm	177	CP065317.1_2595	779	7.3e-61	4	177	89	264	0.977401129944
GT26.hmm	171	CP065317.1_2619	249	6.9e-60	2	164	60	221	0.947368421053
GT51.hmm	177	CP065317.1_262	790	1.5e-52	1	176	90	278	0.988700564972
CE7.hmm	313	CP065317.1_2680	306	1.2e-84	22	311	4	290	0.923322683706
GH3.hmm	216	CP065317.1_2682	717	1.4e-71	3	216	75	298	0.986111111111
GH94.hmm	1036	CP065317.1_2683	1092	6.8e-195	12	1019	68	1057	0.972007722008
GH1.hmm	429	CP065317.1_2687	478	1.2e-167	3	428	7	475	0.990675990676
GH109.hmm	399	CP065317.1_2688	350	1.6e-22	5	162	2	151	0.393483709273
CE9.hmm	373	CP065317.1_2759	383	3e-126	5	373	9	376	0.986595174263
CBM34.hmm	120	CP065317.1_2780	589	1.6e-35	1	119	6	127	0.983333333333
GH13_20.hmm	300	CP065317.1_2780	589	8.4e-133	1	300	176	480	0.996666666667
GH13_31.hmm	349	CP065317.1_2781	542	5e-155	1	348	28	362	0.994269340974
GH13_31.hmm	349	CP065317.1_2782	538	1.3e-138	1	348	27	358	0.994269340974
GH101.hmm	707	CP065317.1_322	1325	4.7e-241	2	705	324	981	0.994342291372
GH35.hmm	307	CP065317.1_327	595	4.2e-124	1	306	10	327	0.99348534202
GT8.hmm	257	CP065317.1_332	301	3.6e-61	29	255	6	258	0.879377431907
GT8.hmm	257	CP065317.1_333	282	4.1e-62	25	254	3	257	0.891050583658
GH73.hmm	128	CP065317.1_343	658	2.2e-27	2	128	361	502	0.984375
CE4.hmm	130	CP065317.1_348	302	7.7e-28	6	123	94	225	0.9
GT2.hmm	170	CP065317.1_485	327	5.6e-29	3	167	8	169	0.964705882353
GT2.hmm	170	CP065317.1_488	324	9.9e-24	1	113	8	122	0.658823529412
GT2.hmm	170	CP065317.1_491	325	8.7e-41	1	167	5	167	0.976470588235
GH25.hmm	177	CP065317.1_494	745	3.6e-39	1	177	167	349	0.994350282486
GT2.hmm	170	CP065317.1_496	253	5.2e-38	1	146	7	147	0.852941176471
GT2.hmm	170	CP065317.1_500	714	5.9e-29	1	170	183	344	0.994117647059
GT2.hmm	170	CP065317.1_500	714	3.3e-20	1	125	441	568	0.729411764706
GT2.hmm	170	CP065317.1_501	1048	3.4e-31	1	170	557	718	0.994117647059
GT2.hmm	170	CP065317.1_506	242	3.7e-21	3	164	6	169	0.947058823529
GT2.hmm	170	CP065317.1_511	238	3.3e-28	1	164	3	160	0.958823529412
GT27.hmm	295	CP065317.1_513	261	1.8e-18	27	233	30	238	0.698305084746
GH92.hmm	491	CP065317.1_533	714	3.6e-153	6	489	201	695	0.983706720978
GH136.hmm	491	CP065317.1_546	1260	4.7e-126	2	489	51	650	0.991853360489
GH88.hmm	329	CP065317.1_552	381	3e-128	4	329	45	372	0.987841945289
GH154.hmm	348	CP065317.1_553	600	1.2e-120	4	348	16	353	0.988505747126
GH109.hmm	399	CP065317.1_560	340	1.8e-27	3	162	1	153	0.398496240602
GH109.hmm	399	CP065317.1_561	336	5e-18	5	166	2	155	0.40350877193
GH73.hmm	128	CP065317.1_583	214	1.1e-38	2	128	70	208	0.984375
GH109.hmm	399	CP065317.1_586	320	3.9e-17	7	162	7	152	0.388471177945
GH170.hmm	350	CP065317.1_64	364	1.9e-125	1	349	3	359	0.994285714286
GH170.hmm	350	CP065317.1_643	370	6.5e-122	1	349	1	354	0.994285714286
GT2.hmm	230	CP065317.1_670	417	1.9e-25	4	229	45	276	0.978260869565
GH2.hmm	752	CP065317.1_757	1260	2.1e-227	20	750	266	1123	0.970744680851
GH73.hmm	128	CP065317.1_837	516	2.7e-27	3	128	198	338	0.9765625
GH1.hmm	429	CP065317.1_865	482	4.6e-148	3	428	5	477	0.990675990676
GT2.hmm	170	CP065317.1_923	489	2.1e-24	1	115	45	161	0.670588235294
GT2.hmm	170	CP065317.1_924	202	4.5e-33	1	168	7	170	0.982352941176
GT2.hmm	170	CP065317.1_926	611	8.5e-25	1	112	101	210	0.652941176471
GH1.hmm	429	CP065317.1_934	477	2.5e-150	5	428	4	473	0.986013986014
GH1.hmm	429	CP065317.1_952	489	1.2e-146	5	428	3	482	0.986013986014
GH1.hmm	429	CP065317.1_953	477	2.5e-146	4	428	2	471	0.988344988345
GT2.hmm	170	CP065317.1_969	313	3e-31	1	167	3	167	0.976470588235
