LacI	46	CP065318.1_100	340	2e-15	2	45	4	49	0.934782608696
Peripla_BP_3	164	CP065318.1_100	340	3.5e-33	2	164	170	334	0.987804878049
Response_reg	112	CP065318.1_1005	227	4.1e-30	1	112	6	115	0.991071428571
Trans_reg_C	77	CP065318.1_1005	227	1.2e-27	1	77	149	222	0.987012987013
HisKA	64	CP065318.1_1006	444	5.8e-17	3	59	230	290	0.875
HATPase_c	111	CP065318.1_1006	444	1e-23	5	108	337	442	0.927927927928
LysR_substrate	209	CP065318.1_1013	145	3.2e-11	82	207	22	143	0.598086124402
Aminotran_1_2	363	CP065318.1_1018	398	1.4e-51	19	360	44	384	0.939393939394
HTH_1	60	CP065318.1_1021	291	1.6e-16	4	59	7	62	0.916666666667
LysR_substrate	209	CP065318.1_1021	291	4.4e-05	40	122	122	204	0.392344497608
TetR_N	47	CP065318.1_1023	193	5.4e-07	8	46	17	55	0.808510638298
EAL	238	CP065318.1_1028	267	5.4e-15	18	238	52	261	0.924369747899
GGDEF	161	CP065318.1_1031	388	9.7e-32	3	159	207	362	0.968944099379
EAL	238	CP065318.1_1032	231	3.7e-21	17	237	5	218	0.924369747899
Rrf2	83	CP065318.1_1036	151	6e-21	1	83	1	81	0.987951807229
HxlR	91	CP065318.1_1045	151	3.1e-24	1	89	18	105	0.967032967033
Nitroreductase	170	CP065318.1_1046	201	5.1e-17	2	169	10	178	0.982352941176
HxlR	91	CP065318.1_1047	104	6e-32	1	88	14	102	0.956043956044
Response_reg	112	CP065318.1_105	244	1.9e-24	1	111	3	112	0.982142857143
LytTR	98	CP065318.1_105	244	2.6e-27	2	97	145	241	0.969387755102
GAF	133	CP065318.1_106	542	2e-07	6	130	241	362	0.932330827068
HATPase_c	111	CP065318.1_106	542	4e-09	10	62	474	532	0.468468468468
TetR_N	47	CP065318.1_1064	171	2.5e-09	1	38	17	54	0.787234042553
HTH_5	47	CP065318.1_1069	106	3.1e-13	1	46	28	73	0.957446808511
LacI	46	CP065318.1_1071	315	7.7e-24	1	46	4	49	0.978260869565
Peripla_BP_1	279	CP065318.1_1071	315	9.8e-17	4	155	63	213	0.541218637993
Peripla_BP_3	164	CP065318.1_1071	315	2.8e-13	2	157	166	309	0.94512195122
HTH_5	47	CP065318.1_1101	111	5e-10	1	46	20	67	0.957446808511
Peripla_BP_1	279	CP065318.1_1105	332	0.0001	164	272	150	294	0.387096774194
Response_reg	112	CP065318.1_111	218	8.1e-25	1	111	4	116	0.982142857143
GerE	57	CP065318.1_111	218	3.1e-23	2	57	154	209	0.964912280702
HTH_3	55	CP065318.1_1110	75	4.6e-19	1	53	4	56	0.945454545455
HTH_3	55	CP065318.1_1111	96	5.2e-17	3	49	37	83	0.836363636364
HTH_5	47	CP065318.1_1113	117	1.3e-15	1	45	44	89	0.936170212766
HTH_5	47	CP065318.1_1116	104	4.5e-17	2	46	16	60	0.936170212766
HTH_3	55	CP065318.1_112	297	9.2e-11	4	55	9	59	0.927272727273
AAA	132	CP065318.1_1133	382	1.4e-05	4	111	25	150	0.810606060606
HTH_3	55	CP065318.1_1137	212	2e-16	2	55	8	61	0.963636363636
MerR	38	CP065318.1_1141	235	6.9e-15	1	38	3	39	0.973684210526
PALP	294	CP065318.1_1142	308	4.7e-70	4	293	11	293	0.982993197279
HATPase_c	111	CP065318.1_1146	327	9.6e-20	2	108	215	319	0.954954954955
Response_reg	112	CP065318.1_1147	227	1.8e-24	1	112	4	113	0.991071428571
Trans_reg_C	77	CP065318.1_1147	227	1.1e-21	4	77	149	221	0.948051948052
LacI	46	CP065318.1_1159	331	1e-18	1	44	4	49	0.934782608696
Peripla_BP_3	164	CP065318.1_1159	331	6.1e-36	3	164	165	329	0.981707317073
Aminotran_1_2	363	CP065318.1_116	413	1.3e-13	43	189	67	202	0.402203856749
MarR	59	CP065318.1_1163	157	5e-05	11	48	11	48	0.627118644068
AsnC_trans_reg	75	CP065318.1_1163	157	7.9e-14	1	74	67	134	0.973333333333
CBS	57	CP065318.1_1173	443	1.1e-08	2	53	226	281	0.894736842105
CBS	57	CP065318.1_1173	443	9.2e-10	8	55	297	344	0.824561403509
MarR	59	CP065318.1_1177	151	5.7e-17	3	58	30	85	0.932203389831
HTH_18	81	CP065318.1_1184	326	9.1e-20	3	80	186	262	0.950617283951
FeoA	74	CP065318.1_119	69	2e-11	21	65	15	59	0.594594594595
GntR	64	CP065318.1_1213	244	1.9e-16	2	64	6	67	0.96875
HTH_3	55	CP065318.1_1227	294	3.9e-18	3	55	11	63	0.945454545455
HTH_3	55	CP065318.1_1233	138	2.4e-12	1	55	6	69	0.981818181818
Sigma70_ECF	185	CP065318.1_124	192	1.9e-10	6	173	13	179	0.902702702703
Pyr_redox_2	292	CP065318.1_1244	333	2.6e-33	1	276	6	288	0.941780821918
Response_reg	112	CP065318.1_1246	96	7.5e-08	1	81	3	92	0.714285714286
SBP_bac_1	315	CP065318.1_1266	358	6.2e-19	10	314	46	291	0.965079365079
NUDIX	131	CP065318.1_1270	137	1.2e-18	7	125	8	125	0.900763358779
FUR	120	CP065318.1_1272	146	9.1e-25	3	119	16	132	0.966666666667
TetR_N	47	CP065318.1_1276	179	2.3e-10	7	46	16	55	0.829787234043
MCPsignal	172	CP065318.1_1277	962	7e-05	73	169	330	426	0.558139534884
Pyr_redox_2	292	CP065318.1_1286	448	1e-40	2	277	2	288	0.941780821918
Pyr_redox_2	292	CP065318.1_1287	453	1.5e-61	1	292	1	306	0.996575342466
HxlR	91	CP065318.1_1298	113	1.8e-31	1	86	20	106	0.934065934066
HxlR	91	CP065318.1_1327	132	1.5e-05	14	89	29	99	0.824175824176
Ammonium_transp	399	CP065318.1_1328	403	4e-105	1	399	9	399	0.997493734336
Trans_reg_C	77	CP065318.1_1342	237	3.8e-28	2	77	160	235	0.974025974026
Nitroreductase	170	CP065318.1_1352	254	3.2e-19	4	169	12	163	0.970588235294
TrkA_C	70	CP065318.1_1355	223	2.1e-14	2	68	152	220	0.942857142857
HTH_3	55	CP065318.1_1359	116	3.8e-17	5	53	13	62	0.872727272727
PALP	294	CP065318.1_1364	305	1.3e-60	4	294	9	291	0.986394557823
HTH_1	60	CP065318.1_1388	294	4.8e-15	1	59	3	63	0.966666666667
LysR_substrate	209	CP065318.1_1388	294	3e-35	2	206	86	290	0.976076555024
Pyr_redox_2	292	CP065318.1_1391	465	1.3e-08	1	107	17	204	0.36301369863
HTH_1	60	CP065318.1_1393	296	5.3e-13	2	48	4	52	0.766666666667
LysR_substrate	209	CP065318.1_1393	296	7.3e-24	3	205	87	289	0.966507177033
MerR	38	CP065318.1_1403	149	2.6e-11	1	34	20	52	0.868421052632
SBP_bac_3	225	CP065318.1_1409	277	1e-53	1	225	43	265	0.995555555556
