dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT51_e1	GT51:101	-	-	184	CP065322.1_1019	830	2.2e-104	1	183	77	259	0.989130434783
GT35_e2	GT35:370	-	-	307	CP065322.1_1356	555	2.2e-150	1	306	181	486	0.99348534202
GH29_e30	GH29:1257|CBM32:104|CBM0:3|GH33:3|CBM6:1|CBM9:1|CE3:1|GH136:1|GH0:1|CBM47:1|GT1:1	3.2.1.111:8|3.2.1.51:3	human milk oligosaccharides, mucin, host glycan, human milk oligosaccharides, mucin, host glycan	301	CP065322.1_1505	710	1.7e-123	2	299	52	359	0.986710963455
CBM32_e126	CBM32:138|GH29:132|CBM6:1|CBM9:1|CE3:1|GH136:1	-	galactose, lactose, LacNAc	109	CP065322.1_1505	710	1.3e-23	2	108	382	483	0.97247706422
CBM32_e126	CBM32:138|GH29:132|CBM6:1|CBM9:1|CE3:1|GH136:1	-	galactose, lactose, LacNAc	109	CP065322.1_1505	710	3.9e-28	4	107	583	688	0.94495412844
GH84_e9	GH84:335|CBM32:3	3.2.1.169:1	host glycan	294	CP065322.1_1525	998	2.3e-131	1	294	171	460	0.996598639456
CBM32_e131	CBM32:19|GH84:19	-	galactose, lactose, LacNAc	112	CP065322.1_1525	998	3.5e-20	6	112	655	766	0.946428571429
GH36_e10	GH36:169	-	-	174	CP065322.1_1629	672	7.7e-30	2	171	99	268	0.971264367816
GH33_e108	GH33:63|CE6:3	-	-	299	CP065322.1_1742	437	7.6e-20	3	296	69	370	0.979933110368
GT2	GT2:20	-	-	143	CP065322.1_1754	355	1.2e-31	3	119	16	134	0.811188811189
GT4_e1096	GT4:5	-	-	127	CP065322.1_1759	408	1.4e-60	1	126	227	352	0.984251968504
GH16_e2	GH16_3:97|GH16:1	3.2.1.-:2	carrageenan	234	CP065322.1_1845	305	7.3e-134	1	234	37	283	0.995726495726
GT8_e55	GT8:97	-	-	263	CP065322.1_1879	325	8.5e-184	1	263	4	266	0.996197718631
GT4_e118	GT4:11	-	-	140	CP065322.1_1885	425	2e-47	3	140	278	388	0.978571428571
GT10_e0	GT10:100	-	-	143	CP065322.1_1886	333	1.4e-74	2	143	119	263	0.986013986014
CBM50_e58	CBM50:98|GH23:1	-	chitin or peptidoglycan	43	CP065322.1_1990	160	9.1e-28	1	43	115	157	0.976744186047
GH36_e36	GH36:257|GH134:1|PL1_7:1	3.2.1.22:11	alpha-D-galactoside (galactose oligosaccharides, galactomannans and galactolipid)	684	CP065322.1_2026	717	1.5e-265	2	683	8	692	0.995614035088
GT26_e41	GT26:110	-	-	177	CP065322.1_2051	265	1.4e-93	1	177	73	249	0.994350282486
GH109_e0	GH109:338	3.2.1.49:6|3.2.1.52:2	mucin-type O-glycans, mucin-type O-glycans	403	CP065322.1_2090	474	2.3e-190	3	403	67	466	0.992555831266
GT2	GT2:8	-	-	152	CP065322.1_2111	377	1.2e-48	1	112	10	121	0.730263157895
CE9_e97	CE9:99	-	-	372	CP065322.1_2118	383	1.1e-207	1	372	6	377	0.997311827957
GH97_e0	GH97:91	-	-	371	CP065322.1_281	717	1.9e-264	1	371	337	707	0.99730458221
CE4_e274	CE4:13|GT4:1	-	-	141	CP065322.1_480	489	1.7e-21	2	140	184	322	0.978723404255
GH13_e113	GH13_38:338|GH13:1	3.2.1.20:2	sucrose 6(F)-phosphate, starch	375	CP065322.1_501	575	3.3e-113	1	374	15	393	0.994666666667
GH2_e1	GH2:1541|CBM32:15|CBM51:13|CBM13:8|GH106:2|CBM67:2|GH33:1	3.2.1.23:35	beta-D-galactoside	883	CP065322.1_524	1290	5.8e-283	33	880	47	937	0.959229898075
CBM32_e9	CBM32:13|GH2:5	-	galactose, lactose, LacNAc	123	CP065322.1_524	1290	2.1e-59	2	123	1158	1285	0.983739837398
GH20_e46	GH20:248|GH92:2|CE0:1	-	-	356	CP065322.1_527	548	6.8e-162	1	355	164	516	0.994382022472
GH35_e43	GH35:828|CBM32:242|GH43_24:11	3.2.1.23:3	beta-galactoside (pectin)	314	CP065322.1_541	781	8e-134	1	313	42	353	0.993630573248
CBM32_e42	CBM32:247|GH35:243|GH43_24:9	-	galactose, lactose, LacNAc	74	CP065322.1_541	781	1.4e-24	2	71	701	772	0.932432432432
GT32_e16	GT32:22	-	-	75	CP065322.1_642	254	7.9e-43	2	74	20	92	0.96
CBM48_e32	CBM48:1020|GH13_8:992|GH13:3|GT4:2|GH28:2	2.4.1.18:166	glycogen	89	CP065322.1_648	669	1.5e-33	1	89	45	129	0.988764044944
GH13_e20	GH13_8:470|CBM48:339|GH13:16|GT4:1|GH28:1	2.4.1.18:50	sucrose 6(F)-phosphate, starch, glycogen, and malto-oligosaccharides	293	CP065322.1_648	669	7e-144	1	293	215	505	0.996587030717
GH33_e52	GH33:99	-	-	334	CP065322.1_730	675	4.5e-186	1	334	322	657	0.997005988024
AA1_e46	AA1_3:109|CBM20:5|AA1:3	1.10.3.2:4|1.10.3.-:1	lignin, lignin	474	CP065322.1_742	706	5.3e-51	7	472	21	529	0.981012658228
GT4_e2827	GT4:12	-	-	149	CP065322.1_763	433	4.1e-75	2	149	255	402	0.986577181208
GH31_e47	GH31:323	-	-	445	CP065322.1_764	799	3.2e-204	1	445	227	670	0.997752808989
GH20_e22	GH20:208	3.2.1.52:2	N-glycan (host glycan, human milk oligosaccharides, chitin)	346	CP065322.1_900	505	9.3e-210	1	346	119	466	0.99710982659
GT4_e1887	GT4:7	-	-	147	CP065322.1_973	391	5.7e-41	1	133	218	350	0.897959183673
GT4_e1117	GT4:10	-	-	143	CP065322.1_978	380	5.9e-53	3	141	194	331	0.965034965035
GT2	GT2:28	-	-	114	CP065322.1_982	283	2e-49	1	114	6	120	0.991228070175
GT2	GT2:8	-	-	126	CP065322.1_983	335	3.7e-58	1	126	7	163	0.992063492063
GH3_e83	GH3:99	-	-	219	CP065322.1_1000	354	7.8e-134	1	219	58	276	0.995433789954
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	N-glycan (host glycan, human milk oligosaccharides, chitin), mucin	351	CP065322.1_1046	580	9.1e-123	3	348	191	545	0.982905982906
GH29_e2	GH29:245	3.2.1.51:1	human milk oligosaccharides, mucin, host glycan	320	CP065322.1_1126	539	5.3e-130	2	320	89	427	0.99375
GH84_e9	GH84:335|CBM32:3	3.2.1.169:1	host glycan	294	CP065322.1_1170	954	6.7e-153	1	293	129	423	0.993197278912
CBM32_e131	CBM32:19|GH84:19	-	galactose, lactose, LacNAc	112	CP065322.1_1170	954	4.9e-30	4	112	601	715	0.964285714286
GH95_e5	GH95:106	-	-	735	CP065322.1_1300	789	0	1	735	29	763	0.998639455782
