Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
CP065313.1_163	CAG7911095.1|GH5_11	41.9	840	398	18	8	823	579	1352	3.5e-184	649.4
CP065313.1_202	AMJ20771.1|GH13_26	46.9	880	443	11	1	877	1	859	8.6e-238	827.4
CP065313.1_307	ANU65918.1|GT111	100.0	258	0	0	1	258	1	258	4.5e-150	534.3
CP065313.1_374	ANU65980.1|GT19	100.0	384	0	0	1	384	1	384	2.5e-221	771.5
CP065313.1_424	ANU66032.1|GT51	100.0	240	0	0	1	240	1	240	1.3e-132	476.1
CP065313.1_465	QQQ97220.1|GH23	100.0	217	0	0	1	217	1	217	7.9e-116	420.2
CP065313.1_574	AWZ17133.1|GH13_30	31.8	1092	676	22	5	1044	406	1480	2.8e-143	513.8
CP065313.1_708	ANU66301.1|GH23	100.0	278	0	0	1	278	1	278	2.5e-151	538.5
CP065313.1_863	ANU66434.1|GH102	100.0	400	0	0	1	400	1	400	4.5e-234	813.9
CP065313.1_889	CAG7859579.1|GT4	41.8	531	290	6	7	518	40	570	3.5e-120	436.0
CP065313.1_894	QYU66396.1|GH13_23	45.8	456	236	5	4	454	8	457	4.8e-103	379.0
CP065313.1_917	ANU66484.1|GT30	100.0	439	0	0	1	439	1	439	1.4e-249	865.5
CP065313.1_918	ANU66485.1|GT9	100.0	305	0	0	1	305	11	315	1.4e-174	615.9
CP065313.1_956	ALR08738.2|GT83	53.0	594	261	6	1	588	1	582	2.3e-173	612.8
CP065313.1_981	AHC21644.2|GH1	51.2	525	250	5	1	523	1	521	6.5e-143	511.5
CP065313.1_1123	CAD7221988.1|GH103	40.0	600	348	6	12	605	18	611	2.6e-117	426.8
CP065313.1_1292	CAD7245033.1|GT58	65.6	479	144	5	2	466	1053	1524	1.0e-168	597.0
CP065313.1_1376	CCO12868.2|GH1	45.2	1395	518	8	18	1372	7	1194	0.0e+00	1172.1
CP065313.1_1379	CAD7226128.1|GH38	36.6	733	398	13	11	699	1345	2054	4.5e-120	436.0
CP065313.1_1473	AGL64353.2|CBM50|GH25	46.1	583	294	6	1	580	1	566	1.4e-138	497.3
CP065313.1_1540	QQQ95905.1|CE11	100.0	305	0	0	1	305	1	305	1.8e-174	615.5
CP065313.1_1546	QQQ95911.1|GT28	100.0	358	0	0	1	358	1	358	9.4e-199	696.4
CP065313.1_1585	QYO62262.1|GH13	66.4	369	120	2	3	368	2	369	5.5e-126	455.3
CP065313.1_1603	AMJ20543.1|GH13_11	54.5	404	174	5	19	417	11	409	1.6e-120	436.8
CP065313.1_1671	ANU67169.1|GH8	100.0	366	0	0	1	366	1	366	1.7e-219	765.4
CP065313.1_1672	ASO85436.1|GT2|2.4.1.12	37.3	764	449	8	19	763	897	1649	8.0e-139	498.4
CP065313.1_1673	QQQ96025.1|GT2	100.0	886	0	0	1	886	1	886	0.0e+00	1738.8
CP065313.1_1729	CDM22846.1|GT51	51.8	427	200	4	2	427	886	1307	1.6e-123	446.8
CP065313.1_1737	QQQ96089.1|GT51	100.0	806	0	0	1	806	1	806	0.0e+00	1548.9
CP065313.1_1818	CAN65674.1|GH28	45.3	563	283	7	61	618	99	641	5.1e-139	498.8
CP065313.1_1824	ANU65005.1|CBM50	100.0	250	0	0	1	250	1	250	2.1e-112	409.1
CP065313.1_1848	AGL63717.2|GT4	44.0	703	314	8	161	859	107	733	4.5e-154	549.3
CP065313.1_1924	CAE6110940.1|CE8	37.1	652	276	12	50	693	262	787	3.0e-108	396.7
CP065313.1_1943	AGL63717.2|GT4	45.3	609	268	8	169	717	107	710	1.9e-143	513.8
CP065313.1_1976	CAD7251071.1|GT51	76.7	348	81	0	4	351	215	562	1.8e-154	549.3
CP065313.1_2019	ANU65188.1|CBM50|GH23	100.0	569	0	0	1	569	15	583	0.0e+00	1112.8
CP065313.1_2030	ANU65198.1|GT9	100.0	314	0	0	1	314	1	314	1.6e-178	629.0
CP065313.1_2040	ANU65206.1|GT2|GT4	100.0	789	0	0	1	789	1	789	0.0e+00	1602.8
CP065313.1_2152	QQQ98064.1|GT2	100.0	336	0	0	32	367	1	336	5.0e-187	657.5
CP065313.1_2157	ANU65314.1|GT2	100.0	348	0	0	1	348	1	348	1.5e-209	732.3
CP065313.1_2159	ANU65315.1|GT4	100.0	430	0	0	1	430	1	430	8.2e-250	866.3
CP065313.1_2160	ANU65316.1|GT2|GT4	100.0	759	0	0	1	759	1	759	0.0e+00	1518.8
CP065313.1_2260	QWA11134.1|GT2	51.0	351	171	1	4	353	289	639	2.1e-105	386.3
CP065313.1_2316	AGL64345.2|GT2	48.9	571	286	3	358	924	287	855	2.1e-149	533.9
CP065313.1_2350	CAE6204650.1|GH28	50.9	599	286	4	2	593	745	1342	5.6e-172	608.2
CP065313.1_2357	ANU65497.1|GH3	100.0	356	0	0	1	356	1	356	1.7e-208	728.8
CP065313.1_2366	CAD7280782.1|GT2	50.4	797	359	5	136	901	374	1165	6.1e-229	798.1
CP065313.1_2397	CAE6179499.1|GH152	35.4	706	360	15	7	628	77	770	2.8e-113	413.3
CP065313.1_2411	ANU65567.1|GT104	100.0	369	0	0	1	369	1	369	6.7e-224	780.0
CP065313.1_2428	CCO12112.2|GH13_31	66.9	432	138	3	1	427	1	432	3.0e-159	565.5
CP065313.1_2467	AKG15280.2|GH103	57.1	490	204	6	1	488	1	486	1.5e-157	560.1
CP065313.1_2476	ANU65602.1|GH103	100.0	392	0	0	1	392	1	392	1.4e-224	782.3
CP065313.1_2511	ANU65632.2|GT2	100.0	270	0	0	1	270	63	332	4.7e-158	560.8
CP065313.1_2512	QQQ96779.1|GT2	100.0	259	0	0	1	259	1	259	2.0e-150	535.4
CP065313.1_2513	QQQ96780.1|GT73	100.0	327	0	0	1	327	1	327	1.5e-182	642.5
CP065313.1_2514	QQQ96781.1|GT4	100.0	368	0	0	1	368	1	368	7.9e-209	729.9
CP065313.1_2536	CAD7252417.1|GH13	45.1	577	307	8	134	703	345	918	2.7e-120	436.8
