dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
PL8_e19	PL8:182|CBM32:60	-	-	268	CP065317.1_1121	1073	9.7e-116	1	267	340	589	0.992537313433
GH32_e50	GH32:1615	3.2.1.26:6	fructan(inulin, levan and sucrose)	303	CP065317.1_131	491	4.7e-141	1	303	43	346	0.996699669967
GH1_e85	GH1:13226	3.2.1.86:49|3.2.1.21:4|3.2.1.37:1	6-phospho-beta-D-glucoside, beta-D-glucoside, beta-D-glucoside, beta-D-xyloside	470	CP065317.1_1408	477	3.5e-209	8	470	2	473	0.982978723404
GH18_e42	GH18:111|GH20:66	3.2.1.96:8|3.2.1.52:4	N-glycan (host glycan)	265	CP065317.1_1499	836	1e-136	1	265	65	319	0.996226415094
GH20_e105	GH20:466|CBM32:71|GH18:66|GH16_8:64|GH84:28|GH2:19|GH85:2|CBM40:1|GH33:1	3.2.1.52:9|3.2.1.96:7|3.2.1.23:1	N-glycan (host glycan, human milk oligosaccharides, chitin)	334	CP065317.1_1499	836	8.9e-145	1	332	495	818	0.991017964072
GH16_e296	GH16_6:111|CBM40:46|GH33:45|CBM16:27	-	-	263	CP065317.1_1553	2437	8.4e-132	1	263	397	669	0.996197718631
CBM40_e3	CBM40:48|GH33:47|GH16_6:46	-	sialic acid	171	CP065317.1_1553	2437	5.7e-92	1	170	878	1047	0.988304093567
GH33_e8	GH33:58|CBM40:46|GH16_6:45	-	-	480	CP065317.1_1553	2437	1e-282	1	479	1064	1545	0.995833333333
GT2	GT2:7	-	-	106	CP065317.1_1563	447	3.3e-35	1	101	72	175	0.943396226415
GH73_e216	GH73:1401|CBM50:13	-	-	142	CP065317.1_1686	502	5.3e-66	2	142	218	358	0.985915492958
GH18_e406	GH18:353|CBM13:3	3.2.1.96:7	N-glycan (host glycan)	226	CP065317.1_1727	315	2.6e-96	2	224	62	283	0.982300884956
GH18_e347	GH18:1220|CBM12:653|CBM5:158|CBM73:101|AA10:2	3.2.1.14:21	chitin	257	CP065317.1_1920	349	3e-130	1	252	43	297	0.976653696498
CBM50_e44	CBM50:826|GH23:1	-	chitin or peptidoglycan	46	CP065317.1_1997	200	2.1e-19	1	45	32	76	0.95652173913
