Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
CP065319.1_9	CAD7245033.1|GT58	62.4	505	152	5	5	502	1054	1527	7.1e-168	594.3
CP065319.1_24	AMJ20543.1|GH13_11	50.0	426	193	3	1	423	1	409	4.2e-113	412.1
CP065319.1_39	ANU57700.1|GT4	100.0	408	0	0	1	408	1	408	6.0e-242	840.1
CP065319.1_46	QQR17437.1|GT2	100.0	249	0	0	1	249	1	249	1.3e-138	496.1
CP065319.1_50	ANU57691.1|GT2	100.0	289	0	0	1	289	1	289	3.8e-166	587.8
CP065319.1_58	ANU57684.1|GT51	100.0	775	0	0	1	775	1	775	0.0e+00	1574.7
CP065319.1_73	QQR17462.1|GH13_8	100.0	670	0	0	1	670	1	670	0.0e+00	1429.1
CP065319.1_74	ANU59757.1|GH13_38	100.0	565	0	0	1	565	1	565	0.0e+00	1197.6
CP065319.1_125	ALR08738.2|GT83	44.0	588	313	7	3	580	2	583	2.5e-140	503.1
CP065319.1_158	AGL63717.2|GT4	48.3	644	311	8	194	835	107	730	6.1e-164	582.0
CP065319.1_161	CAG7903126.1|GH28	42.7	466	245	6	10	468	66	516	4.2e-104	382.5
CP065319.1_175	QQR17553.1|CBM50	100.0	444	0	0	1	444	1	444	4.0e-207	724.5
CP065319.1_204	QQR17580.1|GH92	100.0	757	0	0	1	757	1	757	0.0e+00	1593.9
CP065319.1_205	ANU57541.1|GH130	100.0	322	0	0	1	322	1	322	2.8e-202	708.0
CP065319.1_244	QUT75722.1|GH73	100.0	518	0	0	1	518	1	518	1.2e-298	1028.9
CP065319.1_419	CBA03971.1|GT30	56.7	383	161	1	6	388	2	379	1.5e-117	427.2
CP065319.1_448	ANU57325.1|GH20	100.0	691	0	0	1	691	1	691	0.0e+00	1419.4
CP065319.1_449	ANU57324.1|GH20	100.0	774	0	0	1	774	1	774	0.0e+00	1597.8
CP065319.1_450	ANU57323.1|GH2	100.0	882	0	0	50	931	1	882	0.0e+00	1835.5
CP065319.1_452	QUT23077.1|GH33	93.5	324	21	0	1	324	1	324	1.3e-176	622.9
CP065319.1_460	QDH55444.1|CE20	75.4	427	98	2	29	448	458	884	1.9e-193	679.1
CP065319.1_461	QQA06836.1|CE20	46.2	405	216	2	24	427	475	878	1.4e-113	414.8
CP065319.1_462	UQA30812.1|CE20	100.0	473	0	0	1	473	1	473	1.8e-290	1001.5
CP065319.1_491	CAN65674.1|GH28	42.5	546	284	7	73	614	111	630	1.1e-120	438.0
CP065319.1_512	ANU57275.1|GH43_29	100.0	322	0	0	1	322	1	322	1.9e-198	695.3
CP065319.1_513	QQR17855.1|GH51	100.0	660	0	0	1	660	1	660	0.0e+00	1383.6
CP065319.1_514	QQR17856.1|GH43_4	100.0	513	0	0	1	513	1	513	0.0e+00	1100.9
CP065319.1_519	ANU57268.1|GH43_4	100.0	634	0	0	1	634	9	642	0.0e+00	1323.5
CP065319.1_520	AXV50356.1|GH43_3	61.2	361	133	2	26	379	331	691	1.0e-131	473.8
CP065319.1_526	ANU57261.1|GH146	100.0	792	0	0	1	792	1	792	0.0e+00	1639.8
CP065319.1_527	QQR17869.1|GH51	100.0	514	0	0	1	514	1	514	2.5e-309	1064.3
CP065319.1_546	ANU57243.1|GH25	100.0	298	0	0	1	298	1	298	1.9e-176	622.1
CP065319.1_547	CAG7868751.1|GT106	50.6	547	257	4	4	547	30	566	1.3e-154	550.4
CP065319.1_574	QQR17911.1|GT2	100.0	247	0	0	1	247	1	247	8.6e-143	510.0
CP065319.1_671	ANU59700.1|GH23	100.0	463	0	0	1	463	1	463	1.1e-271	939.1
CP065319.1_672	CUS04494.2|GH39	57.6	911	375	6	9	914	14	918	5.7e-293	1010.7
CP065319.1_683	ACM64804.2|GT51	26.6	1677	1086	41	227	1874	199	1759	1.0e-147	529.3
CP065319.1_684	QQR18008.1|GT51	100.0	814	0	0	1	814	1	814	0.0e+00	1637.1
CP065319.1_699	QQR18022.1|GH88	100.0	406	0	0	1	406	1	406	8.0e-247	856.3
CP065319.1_702	QUR43676.1|GH43_10	96.7	485	16	0	1	485	1	485	1.6e-294	1015.0
CP065319.1_705	QUT92203.1|GH28	79.7	276	56	0	57	332	511	786	5.6e-129	464.5
CP065319.1_707	ANU57107.1|GH97	100.0	649	0	0	1	649	1	649	0.0e+00	1344.3
CP065319.1_820	QQR18125.1|GH73	100.0	503	0	0	1	503	1	503	9.5e-290	999.2
CP065319.1_883	QQR18169.1|PL13	100.0	398	0	0	1	398	1	398	2.0e-229	798.5
CP065319.1_885	UQA31184.1|GH2	100.0	813	0	0	1	813	3	815	0.0e+00	1717.2
CP065319.1_891	ANU56966.1|PL12_2	100.0	725	0	0	1	725	1	725	0.0e+00	1476.8
CP065319.1_896	ANU56962.1|GH88	100.0	434	0	0	1	434	1	434	2.0e-259	898.3
CP065319.1_897	ANU56961.1|PL12_2	100.0	666	0	0	1	666	1	666	0.0e+00	1395.2
CP065319.1_901	QQR19196.1|PL15_2	100.0	871	0	0	7	877	1	871	0.0e+00	1810.8
CP065319.1_959	AXG45674.1|GH6	39.9	686	398	5	159	841	180	854	1.1e-128	464.9
CP065319.1_975	QQR18246.1|GH97	100.0	719	0	0	1	719	1	719	0.0e+00	1503.4
CP065319.1_981	CCO12112.2|GH13_31	71.4	419	119	1	3	420	4	422	4.1e-169	598.2
CP065319.1_986	QQR18255.1|GT2	100.0	316	0	0	1	316	1	316	1.2e-181	639.4
CP065319.1_1152	QQR18397.1|GH23	100.0	322	0	0	1	322	5	326	1.5e-187	659.1
CP065319.1_1190	QQR18435.1|PL33_1	100.0	644	0	0	1	644	1	644	0.0e+00	1342.4
CP065319.1_1223	CAG7911095.1|GH5_11	40.4	902	488	16	13	876	589	1478	1.3e-188	664.1
CP065319.1_1273	QQR18514.1|GT5	100.0	278	0	0	1	278	1	278	8.7e-160	566.6
CP065319.1_1275	ANU56635.1|GH57	100.0	430	0	0	1	430	1	430	1.5e-252	875.5
CP065319.1_1276	ANU56634.1|GT4	100.0	421	0	0	1	421	1	421	3.7e-255	884.0
CP065319.1_1277	ANU56633.1|GH133	100.0	645	0	0	1	645	1	645	0.0e+00	1342.0
CP065319.1_1310	ANU59644.1|GH109	100.0	469	0	0	1	469	1	469	2.3e-285	984.6
CP065319.1_1313	ANU56603.1|GH2	100.0	1113	0	0	1	1113	15	1127	0.0e+00	2333.9
