Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
CP065317.1_1039	-	GH25(67-244)	GH25_e83	GH25	Y(1-28)	3
CP065317.1_1043	1.14.99.53	AA10(31-207)	AA10_e1	AA10+CBM12	Y(1-31)	3
CP065317.1_11	3.2.1.86	GH4(7-187)	GH4_e24	GH4	N	3
CP065317.1_112	3.2.1.-|3.2.1.96|3.2.1.17|-	GH73(60-199)	GH73_e145+CBM50_e1043	CBM50+GH73	Y(1-48)	3
CP065317.1_1121	-	PL8(339-589)	PL8_e19	CBM32+PL8	N	3
CP065317.1_1122	-	CBM32(54-162)	CBM32_e181	CBM32+PL8	Y(1-26)	3
CP065317.1_1133	-	CE9(6-377)	CE9_e101	CE9	N	3
CP065317.1_1245	2.4.1.282|2.4.1.216	GH65(423-837)	GH65_e15	GH65	N	3
CP065317.1_130	5.4.99.11|3.2.1.20|3.2.1.10|3.2.1.-|3.2.1.70	GH13_31(28-373)	GH13_e122	GH13_31	N	3
CP065317.1_131	3.2.1.26	GH32(42-345)	GH32_e50	GH32	N	3
CP065317.1_1313	-	AA10(30-210)	AA10_e24	AA10	Y(1-30)	3
CP065317.1_134	3.2.1.21|3.2.1.-|3.2.1.23	GH1(2-465)	GH1_e87	GH1	N	3
CP065317.1_1408	3.2.1.86|3.2.1.21|3.2.1.37	GH1(2-472)	GH1_e85	GH1	N	3
CP065317.1_1462	-	GH63(7-765)	GH63_e21	GH63	Y(1-33)	3
CP065317.1_1499	3.2.1.96|3.2.1.52|3.2.1.23	GH20(495-815)	GH18_e42+GH20_e105	GH18+GH20	N	3
CP065317.1_1552	-	GH16_6(283-545)	GH16_e296	GH16_6	Y(1-48)	3
CP065317.1_1553	-	GH16_6(396-668)+CBM40(873-1048)+GH33(1063-1544)	GH16_e296+CBM40_e3+GH33_e8	CBM40+GH16_6+GH33	N	3
CP065317.1_1563	-	GT2(71-164)	GT2	GT2	N	3
CP065317.1_1686	-	GH73(216-357)	GH73_e216	GH73	Y(1-25)	3
CP065317.1_1701	-	GT4(158-283)	GT4_e272	GT4	N	3
CP065317.1_1702	-	GT4(201-328)	GT4_e1712	GT4	N	3
CP065317.1_1727	3.2.1.96	GH18(61-250)	GH18_e406	GH18	N	3
CP065317.1_1920	3.2.1.14	GH18(41-340)	GH18_e347	GH18	Y(1-30)	3
CP065317.1_1921	1.14.99.53	AA10(29-192)	AA10_e27	AA10	Y(1-29)	3
CP065317.1_1984	-	GH105(48-363)	GH105_e57	GH105	N	3
CP065317.1_2049	3.2.1.85	GH1(1-465)	GH1_e65	GH1	N	3
CP065317.1_2086	2.4.1.129	GT51(88-265)	GT51_e50	GT51	N	3
CP065317.1_2190	-	CE1(11-259)	CE1_e38	N	N	2
CP065317.1_2203	3.2.1.96|3.2.1.-|-	GH73(191-329)	GH73_e89+CBM50_e965+CBM50_e965+CBM50_e807+CBM50_e783+CBM50_e783+CBM50_e783+CBM50_e1004	CBM50+GH73	Y(1-54)	3
CP065317.1_2220	N	GH109(1-150)	N	N	N	1
CP065317.1_2229	-	GH170(5-265)	GH170_e1	GH170	N	3
CP065317.1_2272	-	GH126(68-386)	GH126_e2	GH126	N	3
CP065317.1_2276	-	GT2(50-281)	GT2	GT2	N	3
CP065317.1_230	3.2.1.-	GH38(5-273)	GH38_e12	GH38	N	3
CP065317.1_231	3.2.1.-	GH125(26-420)	GH125_e0	GH125	N	3
CP065317.1_2343	2.4.1.8	GH65(324-692)	GH65_e0	GH65	N	3
CP065317.1_2379	-	GT28(188-351)	GT28_e1	GT28	N	3
CP065317.1_2404	3.2.1.86|3.2.1.85|3.2.1.21	GH1(1-463)	GH1_e13	GH1	N	3
CP065317.1_2479	1.10.3.2	AA1(112-501)	AA1_e26	N	N	2
CP065317.1_2595	2.4.1.129	GT51(89-264)	GT51_e10	GT51	N	3
CP065317.1_2619	-	GT26(60-221)	GT26_e2	GT26	N	3
CP065317.1_262	-	GT51(90-278)	GT51_e170	GT51	N	3
CP065317.1_2680	-	CE7(4-290)	CE7_e27	CE7	N	3
CP065317.1_2682	3.2.1.-	GH3(75-298)	GH3_e105	GH3	N	3
CP065317.1_2683	2.4.1.333	GH94(68-1057)	GH94_e5	GH94	N	3
CP065317.1_2687	3.2.1.86|3.2.1.38|3.2.1.85|3.2.1.21|3.2.1.-	GH1(7-475)	GH1_e115	GH1	N	3
CP065317.1_2688	N	GH109(2-151)	N	N	N	1
CP065317.1_2759	-	CE9(9-376)	CE9_e85	CE9	N	3
CP065317.1_2780	3.2.1.54|3.2.1.133|3.2.1.135	CBM34(6-127)+GH13_20(176-480)	CBM34_e0+GH13_e225	CBM34+GH13_20	N	3
CP065317.1_2781	5.4.99.11|3.2.1.20|3.2.1.10|3.2.1.-|3.2.1.70	GH13_31(28-362)	GH13_e122	GH13_31	N	3
CP065317.1_2782	5.4.99.11|3.2.1.20|3.2.1.10|3.2.1.-|3.2.1.70	GH13_31(27-358)	GH13_e122	GH13_31	N	3
CP065317.1_322	3.2.1.97	GH101(324-981)	GH101_e0	GH101	Y(1-29)	3
CP065317.1_327	3.2.1.23|3.2.1.-|3.2.1.38	GH35(10-327)	GH35_e23	GH35	N	3
CP065317.1_332	-	GT8(6-258)	GT8_e2	GT8	N	3
CP065317.1_333	-	GT8(3-257)	GT8_e84	GT8	N	3
CP065317.1_343	-	GH73(361-502)	GH73_e216	GH73	Y(1-32)	3
CP065317.1_348	3.5.1.104	CE4(94-225)	CE4_e290	CE4	Y(1-42)	3
CP065317.1_485	-	GT2(8-169)	GT2	GT2	N	3
CP065317.1_488	-	GT2(8-122)	GT2	GT2	N	3
CP065317.1_491	-	GT2(5-167)	GT2	GT2	N	3
CP065317.1_494	-	GH25(167-349)	GH25_e18	GH25	Y(1-23)	3
CP065317.1_496	-	GT2(7-147)	GT2	GT2	N	3
CP065317.1_500	-	GT2(183-344)+GT2(441-568)	GT2+GT2	GT2	N	3
CP065317.1_501	-	GT2(557-718)	GT2+GT2	GT2	N	3
CP065317.1_506	-	GT2(6-169)	GT2	GT2	N	3
CP065317.1_511	-	GT2(3-160)	GT2	GT2	N	3
CP065317.1_513	-	GT27(30-238)	GT2	GT2	N	3
CP065317.1_533	3.2.1.113	GH92(201-695)	GH92_e17	GH92	N	3
CP065317.1_546	-	GH136(51-650)	GH136_e0	GH136	Y(1-33)	3
CP065317.1_552	-	GH88(45-372)	GH88_e17	GH88	N	3
CP065317.1_553	-	GH154(16-353)	GH154_e14	GH154	N	3
CP065317.1_560	-	GH109(1-153)	GH109_e7	N	N	2
CP065317.1_561	N	GH109(2-155)	N	N	N	1
CP065317.1_583	-	GH73(70-208)	GH73_e177	GH73	N	3
CP065317.1_586	-	GH109(7-152)	GH109_e7	N	N	2
CP065317.1_64	-	GH170(3-359)	GH170_e10	GH170	N	3
CP065317.1_643	-	GH170(1-354)	GH170_e17	GH170	N	3
CP065317.1_670	-	GT2(45-276)	GT2	GT2	N	3
CP065317.1_757	3.2.1.23	GH2(266-1123)	GH2_e61	GH2	N	3
CP065317.1_837	-	GH73(198-338)	GH73_e216	GH73	N	3
CP065317.1_865	3.2.1.86|3.2.1.21|3.2.1.37	GH1(5-477)	GH1_e85	GH1	N	3
CP065317.1_923	-	GT2(45-161)	GT2	GT2	N	3
CP065317.1_924	-	GT2(7-170)	GT2	GT2	N	3
CP065317.1_926	-	GT2(101-210)	GT2	GT2	N	3
CP065317.1_934	3.2.1.86|3.2.1.23|3.2.1.21	GH1(4-473)	GH1_e0	GH1	N	3
CP065317.1_952	3.2.1.86|3.2.1.21|3.2.1.37	GH1(3-482)	GH1_e85	GH1	N	3
CP065317.1_953	3.2.1.86|3.2.1.21|3.2.1.37	GH1(2-471)	GH1_e85	GH1	N	3
CP065317.1_969	-	GT2(3-167)	GT2	GT2	N	3
CP065317.1_1997	-	N	CBM50_e44	N	Y(1-28)	1
CP065317.1_1587	-	N	GH23_e503	GH23	N	2
CP065317.1_2464	-	N	GH23_e445	GH23	N	2
CP065317.1_50	-	N	GH23_e993	GH23	N	2
CP065317.1_75	-	N	CBM50_e17	N	N	1
CP065317.1_930	-	N	CBM50_e819	CBM50	N	2
CP065317.1_512	-	N	GT2	GT2	N	2
CP065317.1_8	N	N	N	GH25	N	1
CP065317.1_26	N	N	N	GH130	N	1
CP065317.1_41	N	N	N	GH23	Y(1-25)	1
CP065317.1_94	N	N	N	GH1	N	1
CP065317.1_129	N	N	N	GH32	N	1
CP065317.1_139	N	N	N	CBM50	N	1
CP065317.1_271	N	N	N	GT4	Y(1-26)	1
CP065317.1_302	N	N	N	GH13_23	N	1
CP065317.1_304	N	N	N	GH13_31	N	1
CP065317.1_344	N	N	N	CBM32+GH31	N	1
CP065317.1_387	N	N	N	CBM50	N	1
CP065317.1_405	N	N	N	GH13_31	N	1
CP065317.1_414	N	N	N	GT83	N	1
CP065317.1_439	N	N	N	GT2	N	1
CP065317.1_478	N	N	N	GT2	N	1
CP065317.1_529	N	N	N	GH13_29	N	1
CP065317.1_567	N	N	N	GH28	N	1
CP065317.1_576	N	N	N	GT4	N	1
CP065317.1_590	N	N	N	GH24	N	1
CP065317.1_594	N	N	N	CBM50+GH25	N	1
CP065317.1_736	N	N	N	GT0	N	1
CP065317.1_761	N	N	N	GT4	N	1
CP065317.1_791	N	N	N	CBM50	N	1
CP065317.1_834	N	N	N	GH13	N	1
CP065317.1_855	N	N	N	GT58	N	1
CP065317.1_896	N	N	N	GT2	N	1
CP065317.1_900	N	N	N	GH23	N	1
CP065317.1_903	N	N	N	GH13_11	N	1
CP065317.1_963	N	N	N	CBM50	N	1
CP065317.1_977	N	N	N	GT0	N	1
CP065317.1_990	N	N	N	GH5_11	N	1
CP065317.1_1112	N	N	N	CBM50	N	1
CP065317.1_1130	N	N	N	GH23	Y(1-20)	1
CP065317.1_1153	N	N	N	GH13	N	1
CP065317.1_1168	N	N	N	GH23	Y(1-27)	1
CP065317.1_1307	N	N	N	GH1	N	1
CP065317.1_1343	N	N	N	GT4	N	1
CP065317.1_1453	N	N	N	CBM50	N	1
CP065317.1_1454	N	N	N	GH23	Y(1-22)	1
CP065317.1_1529	N	N	N	GH25	N	1
CP065317.1_1565	N	N	N	GT0	N	1
CP065317.1_1637	N	N	N	GH38	N	1
CP065317.1_1640	N	N	N	GH65	N	1
CP065317.1_1732	N	N	N	GH28	N	1
CP065317.1_1807	N	N	N	GH23	Y(1-28)	1
CP065317.1_1911	N	N	N	CBM50	N	1
CP065317.1_1930	N	N	N	GH38	N	1
CP065317.1_2107	N	N	N	GT4	N	1
CP065317.1_2112	N	N	N	GT4	N	1
CP065317.1_2145	N	N	N	GH1	N	1
CP065317.1_2204	N	N	N	GT4	N	1
CP065317.1_2221	N	N	N	CE4	N	1
CP065317.1_2260	N	N	N	CBM50	N	1
CP065317.1_2263	N	N	N	CBM50	N	1
CP065317.1_2294	N	N	N	GH23	Y(1-22)	1
CP065317.1_2317	N	N	N	GH84	N	1
CP065317.1_2364	N	N	N	GH3	N	1
CP065317.1_2397	N	N	N	GH1	N	1
CP065317.1_2408	N	N	N	GT1	N	1
CP065317.1_2428	N	N	N	GH13_30	N	1
CP065317.1_2433	N	N	N	GT30	N	1
CP065317.1_2472	N	N	N	GH23	N	1
CP065317.1_2481	N	N	N	CBM50	N	1
CP065317.1_2486	N	N	N	CBM50	N	1
CP065317.1_2631	N	N	N	GH1	N	1
CP065317.1_2715	N	N	N	GT2	N	1
