dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH57_e10	GH57:204	-	-	319	CP065319.1_1275	486	3.1e-168	1	319	7	325	0.996865203762
GT4_e602	GT4:97	-	-	147	CP065319.1_1276	422	8e-71	1	144	241	384	0.972789115646
GH2_e30	GH2:674|CBM51:7|CBM67:1	-	-	866	CP065319.1_1313	1114	0	3	866	50	951	0.996535796767
GH43_e0	GH43_10:1191|GH43_12:66|GH28:13|GH43:5	3.2.1.55:2|3.2.1.37:1	arabinoxylan, xylan	269	CP065319.1_1348	559	3e-137	1	269	40	310	0.996282527881
CBM91_e10	CBM91:1294|GH43_10:1290|GH43:2|CBM6:1	-	-	195	CP065319.1_1348	559	3.8e-74	1	194	344	555	0.989743589744
PL11_e0	PL11_1:1283|CBM2:80|CE12:47|PL11:27|CBM35:19|CBM13:13|PL11_2:8|CBM3:6|CBM37:2|GH28:1|GH128:1|CBM0:1|CBM84:1|CBM88:1|CBM5:1|CBM66:1|GH44:1|GH105:1|CBM10:1	4.2.2.23:15|4.2.2.24:5	rhamnogalacturonan I(pectin from the plant cell wall), rhamnogalacturonan I(pectin from the plant cell wall)	607	CP065319.1_1377	614	2.6e-271	3	574	30	601	0.940691927512
CE12_e36	CE12:119|CBM13:1	-	-	217	CP065319.1_1379	545	6.2e-87	1	217	66	286	0.995391705069
CE12_e36	CE12:119|CBM13:1	-	-	217	CP065319.1_1379	545	1.5e-95	1	217	317	533	0.995391705069
GH2_e125	GH2:201|CBM32:11	3.2.1.23:1	beta-D-galactoside	702	CP065319.1_1392	1016	0	2	696	79	769	0.988603988604
GH106_e0	GH106:213|CE12:1	3.2.1.174:1	pectin (rhamnogalacturonan I)	900	CP065319.1_1397	922	0	1	900	23	915	0.998888888889
CBM50_e27	CBM50:203|GH23:1	-	chitin or peptidoglycan	43	CP065319.1_1527	290	1.3e-20	1	42	247	288	0.953488372093
GH92_e18	GH92:769	3.2.1.113:6|3.2.1.-:1	host N-glycan, host N-glycan	509	CP065319.1_1655	761	5.2e-257	2	508	239	742	0.994106090373
GH130_e20	GH130:130	3.2.1.197:4	-	311	CP065319.1_1659	384	2.2e-169	2	311	64	372	0.993569131833
GH105_e39	GH105:124|GH154:20|GH16_3:1|GH43_24:1	3.2.1.-:1	pectin	327	CP065319.1_1740	378	1.2e-181	2	326	50	373	0.990825688073
GH16_e36	GH16_3:51|GH43_24:33|GH16:7|GH154:1|GH105:1	-	-	249	CP065319.1_1743	636	5.2e-122	2	249	34	284	0.991967871486
GH43_e236	GH43_24:328|GH16_3:32|CBM13:6|GH30_5:6|GH43_19:6|CBM66:1|GH105:1|GH16:1|GH35:1	-	-	288	CP065319.1_1743	636	2.2e-139	2	288	313	604	0.993055555556
GH35_e43	GH35:828|CBM32:242|GH43_24:11	3.2.1.23:3	beta-galactoside (pectin)	314	CP065319.1_1755	779	3.7e-150	1	313	37	348	0.993630573248
CBM32_e42	CBM32:247|GH35:243|GH43_24:9	-	galactose, lactose, LacNAc	74	CP065319.1_1755	779	4.1e-33	2	72	703	773	0.945945945946
GH43_e59	GH43_29:334|CBM6:308|CBM2:13|CBM13:12|CBM22:12|CBM42:12|GH43_10:9|GH43:9|CBM48:6|CE0:6|GH43_17:4|GH27:3|GH43_30:2|CE6:2|CBM64:1|CBM51:1|GH43_26:1|CBM1:1	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1	xylan, arabinoxylan, xylan	281	CP065319.1_1801	444	3.1e-125	1	281	26	298	0.996441281139
CBM6_e0	CBM6:335|GH43_29:310|CBM13:12|CBM22:12|CBM2:12|GH43_16:11|GH43:10|CBM48:6|CE0:6|GH27:2|CBM32:1|CBM36:1|CBM1:1|GH43_10:1|CBM64:1	3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	amorphous cellulose, beta-1,4-xylan,beta-1,3-glucan, beta-1,3-1,4-glucan, and beta-1,4-glucan	125	CP065319.1_1801	444	4.3e-47	2	124	321	443	0.976
GH3_e0	GH3:1894|GH67:1|CBM6:1|CBM32:1	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	xylan, arabinan, arabinoxylan, beta-glucan, beta-1,3-glucan (laminarin, lichenin and cereal D-glucans)	251	CP065319.1_1805	862	8.7e-115	4	247	59	308	0.96812749004
CBM51_e35	CBM51:42|GH27:41|CBM40:1|GH33:1	-	galactose and to blood group A/B-antigens	134	CP065319.1_1829	661	4.7e-50	1	134	29	162	0.992537313433
GH27_e45	GH27:85|CBM51:39	-	-	251	CP065319.1_1829	661	4.1e-104	1	250	374	636	0.99203187251
GH109_e2	GH109:143	-	-	391	CP065319.1_1838	442	7.1e-30	2	172	52	215	0.434782608696
GH144_e1	GH144:450|GH3:1	3.2.1.71:1|3.2.1.214:1	beta-1,2-glucan (bacteria), beta-1,2-glucan (bacteria)	412	CP065319.1_1850	458	8.5e-213	1	411	38	448	0.995145631068
CBM62_e1	CBM62:53	-	xyloglucan, arabinogalactan and galactomannan	89	CP065319.1_1872	641	3.5e-30	6	86	428	507	0.898876404494
