# accession.version	start	stop	gap_length	gap_type	linkage_evidence
CP065313.1	96424	96433	10	within_scaffold	paired-ends
CP065313.1	183206	183215	10	within_scaffold	paired-ends
CP065313.1	242095	242104	10	within_scaffold	paired-ends
CP065313.1	349972	349981	10	within_scaffold	paired-ends
CP065313.1	689030	689039	10	within_scaffold	paired-ends
CP065313.1	718919	718928	10	within_scaffold	paired-ends
CP065313.1	786344	786353	10	within_scaffold	paired-ends
CP065313.1	870228	870237	10	within_scaffold	paired-ends
CP065313.1	1018270	1018279	10	within_scaffold	paired-ends
CP065313.1	1125451	1125460	10	within_scaffold	paired-ends
CP065313.1	1160528	1160537	10	within_scaffold	paired-ends
CP065313.1	1344689	1344698	10	within_scaffold	paired-ends
CP065313.1	1366138	1366147	10	within_scaffold	paired-ends
CP065313.1	1594798	1594807	10	within_scaffold	paired-ends
CP065313.1	1929712	1929721	10	within_scaffold	paired-ends
CP065313.1	1962972	1962981	10	within_scaffold	paired-ends
CP065313.1	1969757	1969766	10	within_scaffold	paired-ends
CP065313.1	1974873	1974882	10	within_scaffold	paired-ends
CP065313.1	2711593	2711602	10	within_scaffold	paired-ends
CP065313.1	2730138	2730147	10	within_scaffold	paired-ends
CP065313.1	2731578	2731587	10	within_scaffold	paired-ends
CP065313.1	2753375	2753384	10	within_scaffold	paired-ends
CP065313.1	2770116	2770125	10	within_scaffold	paired-ends
CP065313.1	2881600	2881609	10	within_scaffold	paired-ends
