Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
NZ_CP028714.1_1004	2.4.1.1	GT35(92-795)	GT35_e0	GT35	N	3
NZ_CP028714.1_1005	2.4.1.25	GH77(148-685)	GH77_e27	GH77	N	3
NZ_CP028714.1_1025	2.4.1.129	GT51(54-229)	GT51_e130	GT51	N	3
NZ_CP028714.1_1203	2.4.1.129	GT51(60-228)	GT51_e0	GT51	N	3
NZ_CP028714.1_1270	3.5.1.25|3.5.1.80	CE9(7-372)	CE9_e34	CE9	N	3
NZ_CP028714.1_1318	3.2.1.20|3.2.1.84	GH63(1-780)	GH63_e1	GH63	Y(1-23)	3
NZ_CP028714.1_1322	3.2.1.23	GH2(26-886)	GH2_e92	GH2	N	3
NZ_CP028714.1_1387	N	AA1(65-285)	N	N	Y(1-28)	1
NZ_CP028714.1_1435	N	AA7(53-241)	N	N	N	1
NZ_CP028714.1_1462	2.4.99.-	GT38(7-403)	GT38_e0	GT38	N	3
NZ_CP028714.1_1464	2.4.99.-	GT107(10-314)+GT107(280-647)	GT107_e0+GT107_e0	GT107	N	3
NZ_CP028714.1_1511	-	GT2(8-127)	GT2	GT2	N	3
NZ_CP028714.1_1526	-	GH109(2-172)	GH109_e7	N	N	2
NZ_CP028714.1_1639	4.2.2.n1	GH23(207-353)	GH23_e150	GH23	Y(1-24)	3
NZ_CP028714.1_1700	3.2.1.86|3.2.1.23|3.2.1.21	GH1(5-474)	GH1_e0	GH1	N	3
NZ_CP028714.1_1812	4.2.2.n1	GH102(150-257)	GH102_e2	GH102	Y(1-20)	3
NZ_CP028714.1_1851	3.2.1.26	GH32(29-334)	GH32_e57	GH32	N	3
NZ_CP028714.1_1884	N	AA6(4-179)	N	N	N	1
NZ_CP028714.1_1911	3.2.1.86|3.2.1.21|3.2.1.37	GH1(3-470)	GH1_e85	GH1	N	3
NZ_CP028714.1_1926	4.2.2.n1	GH103(63-355)	GH103_e0	GH103	Y(1-24)	3
NZ_CP028714.1_2031	4.2.2.n1	GH23(299-448)	GH23_e225	GH23	N	3
NZ_CP028714.1_2064	-	GT51(51-214)	GT51_e71	GT51	N	3
NZ_CP028714.1_2281	2.4.2.43	GT83(3-521)	GT83_e0	GT83	N	3
NZ_CP028714.1_2284	-	GT2(11-171)	GT2	GT2	N	3
NZ_CP028714.1_2383	N	CE1(21-273)	N	N	N	1
NZ_CP028714.1_2404	3.2.1.21|3.2.1.-	GH3(88-309)	GH3_e1	GH3	N	3
NZ_CP028714.1_2435	-	GH25(70-245)	GH25_e19	GH25	Y(1-35)	3
NZ_CP028714.1_2471	-	GT2(8-154)	GT2	GT2	N	3
NZ_CP028714.1_2487	-	GT4(225-369)	GT4_e731	GT4	N	3
NZ_CP028714.1_2500	-	GT2(8-134)	GT2	GT2	N	3
NZ_CP028714.1_2580	-	GT9(170-317)	GT9_e146	GT0	N	3
NZ_CP028714.1_266	3.2.1.22	GH4(6-186)	GH4_e0	GH4	N	3
NZ_CP028714.1_2665	3.2.1.1	GH13_5(31-373)	GH13_e245	GH13_5	N	3
NZ_CP028714.1_2692	2.4.1.15	GT20(2-453)	GT20_e1	GT20	N	3
NZ_CP028714.1_2844	3.2.1.86	GH4(6-185)	GH4_e24	GH4	N	3
NZ_CP028714.1_2952	N	GH109(3-152)	N	N	N	1
NZ_CP028714.1_2959	3.2.1.31	GH2(7-588)	GH2_e29	GH2	N	3
NZ_CP028714.1_3013	3.2.1.86|3.2.1.23|3.2.1.21	GH1(3-476)	GH1_e0	GH1	N	3
NZ_CP028714.1_3189	2.4.1.230	GH65(299-674)	GH65_e4	GH65	N	3
NZ_CP028714.1_3190	-	GH109(9-157)	GH109_e7	N	N	2
NZ_CP028714.1_3196	2.4.1.352	GH13_18(81-423)	GH13_e137	GH13_18	N	3
NZ_CP028714.1_3307	3.2.1.28	GH37(56-531)	GH37_e6	GH37	Y(1-31)	3
NZ_CP028714.1_3316	4.2.2.n1	GH23(52-197)	GH23_e734	GH23	Y(1-49)	3
NZ_CP028714.1_3383	-	GH24(27-167)	GH24_e98	N	Y(1-24)	2
NZ_CP028714.1_3445	3.2.1.52	GH3(56-278)	GH3_e19	GH3	N	3
NZ_CP028714.1_3470	3.2.1.-	GH73(160-295)	GH73_e114	GH73	N	3
NZ_CP028714.1_3501	-	GT2(236-418)	GT2	GT2	N	3
NZ_CP028714.1_3545	2.4.-.-	GT1(91-364)	GT1_e0	GT1	N	3
NZ_CP028714.1_3547	N	CE1(184-402)	N	N	N	1
NZ_CP028714.1_3580	3.5.1.-|3.2.1.-	CE4(103-271)+GH153(314-664)	CE4_e321+GH153_e1	CE4+GH153	Y(1-26)	3
NZ_CP028714.1_3581	2.4.1.-	GT2(78-245)	GT2	GT2	N	3
NZ_CP028714.1_3599	-	AA6(3-194)	AA6_e2	N	N	2
NZ_CP028714.1_3761	-	GH24(30-161)	GH24_e283	N	Y(1-19)	2
NZ_CP028714.1_3861	-	CE8(90-420)	CE8_e3	CE8	Y(1-24)	3
NZ_CP028714.1_3939	-	GH33(36-367)	GH33_e0	GH33	N	3
NZ_CP028714.1_3944	3.5.1.25	CE9(5-376)	CE9_e0	CE9	N	3
NZ_CP028714.1_4018	N	CE1(172-386)	N	N	N	1
NZ_CP028714.1_4035	N	GT2(165-382)	N	GT0	N	2
NZ_CP028714.1_4164	3.2.1.20|3.2.1.1|3.2.1.133	CBM34(6-112)+GH13_21(178-492)	CBM34_e8+GH13_e88	CBM34+GH13_21	N	3
NZ_CP028714.1_4199	-	CE14(20-130)	CE14_e27	N	N	2
NZ_CP028714.1_4200	-	GT2(34-198)	GT2	GT2	N	3
NZ_CP028714.1_4205	-	CE1(21-271)	CE1_e38	N	N	2
NZ_CP028714.1_4208	3.2.1.23	GH2(40-916)	GH2_e92	GH2	N	3
NZ_CP028714.1_4234	-	AA3_2(2-532)	AA3_e57	AA3_2	N	3
NZ_CP028714.1_4340	-	GT2(18-132)	GT2+GT25_e165	GT2+GT25	N	3
NZ_CP028714.1_4399	-	GH23(55-198)	GH23_e819+CBM50_e338+CBM50_e338	CBM50+GH23	N	3
NZ_CP028714.1_4424	2.4.1.182	GT19(9-366)	GT19_e17	GT19	N	3
