HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH27.hmm	229	CP065322.1_100	534	5.2e-74	10	228	275	508	0.951965065502
GH3.hmm	216	CP065322.1_1000	354	1.5e-43	12	214	58	274	0.935185185185
GT51.hmm	177	CP065322.1_1019	830	1.2e-58	2	176	76	258	0.983050847458
GH20.hmm	337	CP065322.1_1034	757	1.6e-60	9	313	228	541	0.902077151335
GH20.hmm	337	CP065322.1_1046	580	6.2e-104	9	336	192	545	0.970326409496
GH18.hmm	296	CP065322.1_1062	1234	2.8e-31	59	290	766	988	0.780405405405
GH109.hmm	399	CP065322.1_1064	441	8.8e-19	4	161	5	160	0.393483709273
GH29.hmm	346	CP065322.1_1126	539	7.9e-101	31	346	80	426	0.910404624277
GH109.hmm	399	CP065322.1_1132	482	9.5e-158	2	398	71	473	0.992481203008
GH84.hmm	295	CP065322.1_1170	954	7.9e-112	1	294	128	423	0.993220338983
GH89.hmm	663	CP065322.1_1178	849	6e-211	3	661	72	719	0.99245852187
GT83.hmm	540	CP065322.1_1186	764	1.3e-92	6	363	284	656	0.661111111111
GH109.hmm	399	CP065322.1_129	402	3e-16	4	164	14	181	0.401002506266
GT51.hmm	177	CP065322.1_1291	887	1.5e-58	3	174	193	364	0.966101694915
GH95.hmm	722	CP065322.1_1300	789	1.6e-194	6	714	28	765	0.980609418283
GH89.hmm	663	CP065322.1_133	853	1.8e-214	3	662	67	725	0.993966817496
GT35.hmm	674	CP065322.1_1356	555	2.3e-70	210	558	181	482	0.516320474777
CBM32.hmm	124	CP065322.1_1413	987	1e-25	8	123	62	178	0.927419354839
GH2.hmm	752	CP065322.1_1413	987	2.6e-121	10	492	141	811	0.640957446809
GH20.hmm	337	CP065322.1_1482	666	9.5e-114	8	336	161	511	0.973293768546
GH29.hmm	346	CP065322.1_1505	710	1.9e-79	40	335	52	358	0.852601156069
CBM32.hmm	124	CP065322.1_1505	710	2.3e-22	13	122	581	700	0.879032258065
GH20.hmm	337	CP065322.1_1511	723	3.3e-61	8	335	163	438	0.970326409496
GH84.hmm	295	CP065322.1_1525	998	1.9e-99	1	294	170	459	0.993220338983
GT51.hmm	177	CP065322.1_154	598	6.1e-60	2	176	66	240	0.983050847458
GT4.hmm	160	CP065322.1_1555	371	3.8e-19	7	146	190	333	0.86875
CE20.hmm	249	CP065322.1_1567	513	8.7e-68	3	248	103	394	0.983935742972
GT30.hmm	177	CP065322.1_1587	429	3.4e-48	3	176	39	217	0.977401129944
CBM51.hmm	134	CP065322.1_1593	764	3e-31	11	131	48	171	0.89552238806
GH110.hmm	548	CP065322.1_1593	764	2e-199	1	548	187	736	0.998175182482
GT2.hmm	170	CP065322.1_1611	313	1.7e-21	15	133	27	157	0.694117647059
GH2.hmm	752	CP065322.1_1654	932	4e-93	24	481	68	643	0.607712765957
GH95.hmm	722	CP065322.1_17	797	7e-249	10	719	55	778	0.981994459834
GH37.hmm	491	CP065322.1_174	508	3.3e-25	301	480	232	421	0.364562118126
GH33.hmm	342	CP065322.1_1744	420	2.5e-79	7	338	51	393	0.96783625731
GT2.hmm	170	CP065322.1_1754	355	4.8e-17	1	116	10	127	0.676470588235
GT2.hmm	170	CP065322.1_1755	346	7.3e-36	1	121	7	123	0.705882352941
GT8.hmm	257	CP065322.1_1756	316	8.3e-46	31	254	2	258	0.867704280156
GT4.hmm	160	CP065322.1_1760	382	1.9e-23	7	149	205	340	0.8875
GT28.hmm	157	CP065322.1_1780	375	5.9e-49	3	157	200	356	0.980891719745
GH43_24.hmm	246	CP065322.1_1818	382	7.3e-105	2	246	54	348	0.991869918699
GH43_24.hmm	246	CP065322.1_1819	370	3.5e-104	2	246	53	336	0.991869918699
GH16_3.hmm	230	CP065322.1_1845	305	2.2e-68	1	230	36	282	0.995652173913
GT8.hmm	257	CP065322.1_1879	325	8.9e-50	28	256	4	265	0.887159533074
GT2.hmm	170	CP065322.1_1880	342	3.3e-38	1	168	8	175	0.982352941176
GT9.hmm	225	CP065322.1_1881	325	8e-28	2	187	72	271	0.822222222222
GT2.hmm	170	CP065322.1_1883	385	3.5e-32	1	144	6	144	0.841176470588
GT4.hmm	160	CP065322.1_1885	425	4.8e-18	40	157	278	387	0.73125
GT10.hmm	347	CP065322.1_1886	333	5.3e-41	136	305	94	263	0.487031700288
GT10.hmm	347	CP065322.1_1888	342	3e-20	60	302	26	265	0.697406340058
GH35.hmm	307	CP065322.1_1897	644	3.7e-100	1	305	55	368	0.990228013029
PL38.hmm	279	CP065322.1_1906	322	1.6e-87	4	279	18	293	0.985663082437
CBM32.hmm	124	CP065322.1_1971	713	1.9e-25	8	122	54	176	0.91935483871
GH123.hmm	538	CP065322.1_1971	713	2.8e-195	4	538	186	706	0.992565055762
CBM50.hmm	40	CP065322.1_1990	160	1.5e-16	1	40	114	156	0.975
GH2.hmm	752	CP065322.1_1993	1265	4.9e-223	23	748	71	980	0.964095744681
CBM32.hmm	124	CP065322.1_1993	1265	8.8e-27	6	122	1131	1257	0.935483870968
GH29.hmm	346	CP065322.1_2017	705	9.6e-74	42	334	41	355	0.843930635838
CBM32.hmm	124	CP065322.1_2017	705	2.9e-21	17	121	580	698	0.838709677419
GH36.hmm	688	CP065322.1_2026	717	6.6e-198	2	686	6	691	0.994186046512
GH105.hmm	332	CP065322.1_2034	745	2e-81	7	331	56	369	0.975903614458
GH20.hmm	337	CP065322.1_2039	550	4.2e-121	8	337	145	503	0.976261127596
GH16_3.hmm	230	CP065322.1_2047	314	4.3e-64	1	230	51	296	0.995652173913
GT26.hmm	171	CP065322.1_2051	265	5.5e-59	2	171	72	248	0.988304093567
GH109.hmm	399	CP065322.1_2090	474	2.3e-156	3	398	65	465	0.989974937343
GT8.hmm	257	CP065322.1_2109	372	1.3e-51	31	254	22	285	0.867704280156
GT2.hmm	170	CP065322.1_2111	377	6e-35	1	115	9	121	0.670588235294
GT11.hmm	276	CP065322.1_2112	299	3.1e-77	2	276	7	298	0.992753623188
GT2.hmm	170	CP065322.1_2113	352	5e-35	1	123	12	132	0.717647058824
GT2.hmm	170	CP065322.1_2115	359	1.4e-36	1	168	6	175	0.982352941176
CE9.hmm	373	CP065322.1_2118	383	2.2e-116	1	373	5	376	0.997319034853
GT28.hmm	157	CP065322.1_2146	376	1.8e-18	21	150	220	351	0.821656050955
GH31.hmm	427	CP065322.1_2180	1304	1.1e-57	206	427	435	666	0.51756440281
GH20.hmm	337	CP065322.1_2204	519	5.1e-97	9	335	104	453	0.967359050445
GT2.hmm	170	CP065322.1_2241	338	8.2e-25	1	167	3	174	0.976470588235
GT4.hmm	160	CP065322.1_2248	403	3.5e-32	11	159	217	363	0.925
GT4.hmm	160	CP065322.1_266	656	2.2e-26	9	158	198	343	0.93125
GH97.hmm	631	CP065322.1_281	717	1.9e-149	11	630	91	706	0.980982567353
CBM51.hmm	134	CP065322.1_300	640	9e-19	40	131	546	634	0.679104477612
GH110.hmm	548	CP065322.1_327	597	4.4e-173	27	527	92	588	0.912408759124
AA4.hmm	522	CP065322.1_330	459	2.7e-24	50	247	33	223	0.377394636015
CE4.hmm	130	CP065322.1_364	321	2.9e-34	5	119	85	201	0.876923076923
GT11.hmm	276	CP065322.1_37	262	1.5e-34	9	275	24	260	0.963768115942
GT31.hmm	192	CP065322.1_38	563	2.6e-18	1	188	290	436	0.973958333333
GH33.hmm	342	CP065322.1_411	596	8.7e-19	124	304	63	331	0.526315789474
GT2.hmm	170	CP065322.1_445	274	8.8e-24	1	131	8	132	0.764705882353
GT2.hmm	170	CP065322.1_446	315	1.6e-30	1	166	5	168	0.970588235294
CE4.hmm	130	CP065322.1_480	489	2.2e-25	4	126	182	321	0.938461538462
GH77.hmm	494	CP065322.1_485	620	4.8e-134	1	471	11	554	0.951417004049
GH13_38.hmm	375	CP065322.1_501	575	1.6e-122	1	374	14	393	0.994666666667
GH2.hmm	752	CP065322.1_523	713	4.1e-101	26	492	27	616	0.619680851064
GH2.hmm	752	CP065322.1_524	1290	1.2e-211	25	750	47	938	0.964095744681
CBM32.hmm	124	CP065322.1_524	1290	1e-21	9	122	1154	1284	0.911290322581
GH2.hmm	752	CP065322.1_525	859	3.3e-111	33	504	40	593	0.626329787234
GH20.hmm	337	CP065322.1_527	548	5.4e-106	9	336	164	516	0.970326409496
GH35.hmm	307	CP065322.1_541	781	4.4e-115	1	306	41	353	0.99348534202
GH109.hmm	399	CP065322.1_644	452	1.3e-18	6	168	131	282	0.406015037594
GH13_8.hmm	293	CP065322.1_648	669	1.9e-144	1	293	214	504	0.996587030717
GT2.hmm	230	CP065322.1_663	506	2.3e-27	4	228	54	280	0.973913043478
CE19.hmm	332	CP065322.1_697	360	4.3e-17	43	192	52	192	0.448795180723
GH13_5.hmm	342	CP065322.1_706	527	1.1e-154	1	342	64	404	0.997076023392
GH20.hmm	337	CP065322.1_709	729	1.5e-48	10	335	176	455	0.964391691395
GH33.hmm	342	CP065322.1_730	675	3.2e-94	12	330	324	656	0.929824561404
GH141.hmm	527	CP065322.1_740	777	1.5e-61	2	522	12	522	0.986717267552
AA1.hmm	358	CP065322.1_742	706	1.5e-64	7	357	43	529	0.977653631285
