HxlR	91	CP065320.1_1007	145	2.1e-23	1	89	17	105	0.967032967033
Pyr_redox_2	292	CP065320.1_101	462	3.8e-39	1	291	141	446	0.993150684932
Pyr_redox_2	292	CP065320.1_1010	449	1.1e-60	1	281	10	306	0.958904109589
HD	122	CP065320.1_1012	475	7.9e-10	1	54	64	133	0.434426229508
TetR_N	47	CP065320.1_1017	210	9.7e-17	3	47	12	56	0.936170212766
Pribosyltran	159	CP065320.1_1018	473	4.7e-06	17	120	261	369	0.647798742138
Response_reg	112	CP065320.1_1022	230	2.6e-22	1	111	3	111	0.982142857143
LytTR	98	CP065320.1_1022	230	3.5e-17	8	95	134	215	0.887755102041
TetR_N	47	CP065320.1_1023	186	2.9e-06	8	45	22	59	0.787234042553
MerR	38	CP065320.1_1031	274	2.8e-13	1	38	3	41	0.973684210526
GyrI-like	155	CP065320.1_1031	274	3e-05	80	155	114	187	0.483870967742
DctP	286	CP065320.1_104	335	1.8e-76	5	283	40	318	0.972027972028
HTH_3	55	CP065320.1_1040	73	6.7e-07	5	51	11	56	0.836363636364
Aminotran_1_2	363	CP065320.1_1044	390	7.4e-61	5	363	34	381	0.986225895317
dCache_1	249	CP065320.1_1048	773	2.8e-13	5	248	43	280	0.975903614458
GGDEF	161	CP065320.1_1048	773	3.2e-22	12	155	342	477	0.888198757764
EAL	238	CP065320.1_1048	773	1.6e-69	2	238	506	739	0.991596638655
HMA	62	CP065320.1_1067	860	1.6e-09	4	58	7	60	0.870967741935
HMA	62	CP065320.1_1067	860	1.4e-07	2	46	168	212	0.709677419355
HTH_5	47	CP065320.1_1069	120	6.1e-21	1	47	43	89	0.978723404255
NUDIX	131	CP065320.1_1074	143	1.8e-15	3	115	15	123	0.854961832061
GyrI-like	155	CP065320.1_1078	84	4.3e-06	56	116	12	75	0.387096774194
HTH_18	81	CP065320.1_1081	284	6.3e-19	1	80	28	106	0.975308641975
GyrI-like	155	CP065320.1_1081	284	1.2e-11	17	154	143	281	0.883870967742
Aminotran_1_2	363	CP065320.1_1089	345	1.7e-44	6	360	17	331	0.97520661157
Pyr_redox_2	292	CP065320.1_109	665	2.3e-24	2	246	384	621	0.835616438356
HTH_3	55	CP065320.1_1094	119	5e-14	1	52	15	66	0.927272727273
SIS	131	CP065320.1_1095	243	3e-07	47	95	99	147	0.36641221374
AAA	132	CP065320.1_1097	442	1.1e-18	1	128	53	161	0.962121212121
HTH_1	60	CP065320.1_110	302	1.4e-20	1	60	3	62	0.983333333333
LysR_substrate	209	CP065320.1_110	302	2.4e-43	3	207	88	291	0.976076555024
AraC_binding	136	CP065320.1_1104	289	2.3e-14	9	120	29	138	0.816176470588
HTH_18	81	CP065320.1_1104	289	2.9e-23	2	80	198	275	0.962962962963
SKI	158	CP065320.1_111	422	8.9e-40	2	156	263	410	0.974683544304
Glyoxalase	128	CP065320.1_1115	121	3e-05	7	127	10	115	0.9375
MerR	38	CP065320.1_1123	239	2.1e-12	1	38	6	43	0.973684210526
HisKA	64	CP065320.1_1124	714	3.8e-16	1	64	483	549	0.984375
HATPase_c	111	CP065320.1_1124	714	1.7e-08	6	95	601	690	0.801801801802
Response_reg	112	CP065320.1_1125	237	1.3e-30	1	111	5	113	0.982142857143
Trans_reg_C	77	CP065320.1_1125	237	1.2e-26	4	77	162	234	0.948051948052
HD	122	CP065320.1_1128	259	2.7e-10	4	120	31	146	0.950819672131
GGDEF	161	CP065320.1_1140	427	8.1e-11	7	140	8	132	0.826086956522
EAL	238	CP065320.1_1140	427	3.1e-60	6	238	179	410	0.974789915966
HTH_3	55	CP065320.1_1142	414	2.2e-06	1	43	17	61	0.763636363636
Pribosyltran	159	CP065320.1_1152	172	1.1e-20	4	137	5	141	0.836477987421
Response_reg	112	CP065320.1_1156	505	3.9e-27	1	111	4	116	0.982142857143
HTH_18	81	CP065320.1_1156	505	6.2e-20	1	80	422	499	0.975308641975
CHASE3	138	CP065320.1_1157	492	1.3e-06	5	97	41	132	0.666666666667
HATPase_c	111	CP065320.1_1157	492	8.7e-12	9	109	381	485	0.900900900901
GGDEF	161	CP065320.1_1159	194	9.6e-40	5	160	36	184	0.962732919255
TPR_2	34	CP065320.1_1160	245	3.8e-05	3	29	96	122	0.764705882353
SBP_bac_5	377	CP065320.1_1167	567	3.1e-72	2	362	71	469	0.954907161804
ATPase_2	233	CP065320.1_1173	619	4.3e-05	23	116	31	125	0.399141630901
HTH_3	55	CP065320.1_1179	111	2.1e-12	1	55	7	61	0.981818181818
HTH_3	55	CP065320.1_1180	108	1.9e-10	1	55	7	61	0.981818181818
HTH_DeoR	57	CP065320.1_1184	210	8.8e-05	18	43	35	60	0.438596491228
NUDIX	131	CP065320.1_1189	190	7.4e-12	11	130	51	177	0.908396946565
HhH-GPD	108	CP065320.1_1190	460	3.9e-22	1	107	145	279	0.981481481481
HTH_11	55	CP065320.1_1193	318	8.2e-15	4	55	6	58	0.927272727273
Peptidase_M23	96	CP065320.1_1194	518	8.4e-16	2	89	364	469	0.90625
HTH_18	81	CP065320.1_1195	299	3.6e-22	2	80	28	105	0.962962962963
GyrI-like	155	CP065320.1_1195	299	6.2e-10	61	154	200	292	0.6
AAA	132	CP065320.1_1213	594	2.7e-06	2	99	383	542	0.734848484848
MerR	38	CP065320.1_1215	272	7.1e-11	2	38	9	45	0.947368421053
GyrI-like	155	CP065320.1_1215	272	4.7e-07	87	140	202	253	0.341935483871
PTS_EIIC	324	CP065320.1_1222	475	5.9e-12	2	324	20	275	0.993827160494
HTH_11	55	CP065320.1_1224	645	8.2e-09	1	54	8	65	0.963636363636
Mga	87	CP065320.1_1224	645	8.3e-09	14	86	94	169	0.827586206897
PadR	75	CP065320.1_1228	186	4.2e-12	1	75	9	84	0.986666666667
HTH_3	55	CP065320.1_1233	113	4.5e-13	2	52	15	65	0.909090909091
Pyr_redox_2	292	CP065320.1_1245	643	6.8e-26	2	288	383	631	0.979452054795
Pyr_redox_2	292	CP065320.1_1246	643	4e-28	1	242	381	604	0.825342465753
HTH_18	81	CP065320.1_1247	394	2.5e-13	2	80	198	275	0.962962962963
HTH_18	81	CP065320.1_1247	394	8e-17	2	81	312	390	0.975308641975
HTH_3	55	CP065320.1_1249	151	6.6e-20	4	55	10	61	0.927272727273
TetR_N	47	CP065320.1_1255	200	7.5e-08	1	42	20	61	0.872340425532
Pyr_redox_2	292	CP065320.1_1256	641	1.2e-33	2	250	382	611	0.849315068493
HD	122	CP065320.1_1257	416	1.2e-09	3	120	26	136	0.959016393443
HD	122	CP065320.1_1257	416	3.1e-15	8	121	230	340	0.926229508197
TetR_N	47	CP065320.1_1260	199	4.1e-12	3	46	18	61	0.914893617021
TetR_N	47	CP065320.1_127	200	1.1e-10	1	45	10	55	0.936170212766
Response_reg	112	CP065320.1_1270	231	5.4e-12	1	107	6	108	0.946428571429
LytTR	98	CP065320.1_1270	231	7.6e-05	2	96	133	221	0.959183673469
HTH_DeoR	57	CP065320.1_1276	259	4.6e-18	1	56	6	61	0.964912280702
DeoRC	160	CP065320.1_1276	259	1e-38	2	160	77	234	0.9875
HTH_DeoR	57	CP065320.1_1278	686	8.7e-07	12	37	19	44	0.438596491228
Mga	87	CP065320.1_1278	686	5e-11	6	86	81	165	0.919540229885
AraC_binding	136	CP065320.1_128	111	5.8e-05	27	73	59	105	0.338235294118
HTH_Mga	60	CP065320.1_1281	638	3.2e-09	9	53	7	51	0.733333333333
Mga	87	CP065320.1_1281	638	4e-12	18	84	83	152	0.758620689655
PTS_EIIC	324	CP065320.1_1283	429	3.9e-24	48	322	61	343	0.845679012346
HisKA	64	CP065320.1_1286	504	1.1e-16	2	63	274	339	0.953125
HATPase_c	111	CP065320.1_1286	504	8.7e-25	2	109	386	496	0.963963963964
Response_reg	112	CP065320.1_1287	231	5.2e-30	1	112	4	113	0.991071428571
Trans_reg_C	77	CP065320.1_1287	231	2.9e-26	1	77	151	227	0.987012987013
SBP_bac_1	315	CP065320.1_1288	434	1.9e-33	4	306	46	329	0.95873015873
Response_reg	112	CP065320.1_1289	226	8.2e-31	1	112	4	116	0.991071428571
GerE	57	CP065320.1_1289	226	6.2e-17	2	56	158	212	0.947368421053
HATPase_c	111	CP065320.1_1290	436	4.1e-08	4	50	348	394	0.414414414414
Peripla_BP_1	279	CP065320.1_1291	326	3.5e-17	3	278	45	313	0.985663082437
NUDIX	131	CP065320.1_1296	196	3.6e-19	7	113	34	142	0.809160305344
HTH_DeoR	57	CP065320.1_1298	260	9.2e-19	1	54	8	61	0.929824561404
DeoRC	160	CP065320.1_1298	260	7.6e-48	2	160	76	233	0.9875
PTS_EIIC	324	CP065320.1_1304	348	4.3e-15	2	308	14	270	0.944444444444
HTH_11	55	CP065320.1_1307	640	1.2e-13	1	53	6	58	0.945454545455
HTH_DeoR	57	CP065320.1_1309	254	2.1e-18	4	53	9	58	0.859649122807
DeoRC	160	CP065320.1_1309	254	1.1e-36	2	157	80	234	0.96875
Glycos_trans_3N	63	CP065320.1_132	434	5.5e-24	1	63	4	66	0.984126984127
HisKA	64	CP065320.1_1320	475	6e-12	2	60	254	315	0.90625
HATPase_c	111	CP065320.1_1320	475	3.6e-21	4	106	362	466	0.918918918919
Response_reg	112	CP065320.1_1321	223	7.6e-30	2	112	4	111	0.982142857143
Trans_reg_C	77	CP065320.1_1321	223	5e-23	2	77	143	214	0.974025974026
Fer4	24	CP065320.1_1326	299	8.9e-07	7	24	52	69	0.708333333333
Fer4	24	CP065320.1_1326	299	4.1e-06	3	22	77	96	0.791666666667
MerR	38	CP065320.1_1329	122	5.7e-15	1	38	2	39	0.973684210526
HTH_DeoR	57	CP065320.1_1337	262	9.4e-19	1	54	10	63	0.929824561404
DeoRC	160	CP065320.1_1337	262	4.3e-43	3	160	80	239	0.98125
AAA	132	CP065320.1_1347	891	2.3e-07	2	131	100	246	0.977272727273
GGDEF	161	CP065320.1_1352	502	5.5e-28	3	161	137	287	0.981366459627
EAL	238	CP065320.1_1352	502	2.2e-29	11	149	318	454	0.579831932773
PfkB	302	CP065320.1_1353	266	6.8e-10	90	284	35	234	0.64238410596
PTS_EIIC	324	CP065320.1_1362	462	6.8e-27	3	315	119	384	0.962962962963
HTH_DeoR	57	CP065320.1_1385	261	6.5e-18	1	54	8	61	0.929824561404
DeoRC	160	CP065320.1_1385	261	2.2e-47	4	159	77	231	0.96875
cNMP_binding	88	CP065320.1_1388	220	3.3e-10	3	87	30	116	0.954545454545
Pyr_redox_2	292	CP065320.1_1390	394	1.2e-46	1	292	5	296	0.996575342466
Peripla_BP_2	238	CP065320.1_140	311	4.4e-29	8	237	58	285	0.96218487395
HD	122	CP065320.1_1401	281	1.1e-21	3	121	84	217	0.967213114754
Response_reg	112	CP065320.1_1402	85	6.3e-17	1	69	8	76	0.607142857143
GntR	64	CP065320.1_1403	489	1.3e-14	4	60	10	66	0.875
GntR	64	CP065320.1_1403	489	2.9e-17	2	64	257	319	0.96875
SBP_bac_1	315	CP065320.1_1406	869	8.3e-05	45	255	616	778	0.666666666667
HTH_3	55	CP065320.1_1409	213	4.4e-21	1	55	7	61	0.981818181818
Trans_reg_C	77	CP065320.1_1426	146	3.7e-26	1	77	64	140	0.987012987013
HxlR	91	CP065320.1_1428	114	7.8e-35	1	89	20	108	0.967032967033
HTH_3	55	CP065320.1_1430	214	3.2e-14	1	54	10	63	0.963636363636
LacI	46	CP065320.1_146	332	1.6e-20	1	46	5	50	0.978260869565
Peripla_BP_3	164	CP065320.1_146	332	7.2e-21	5	164	174	330	0.969512195122
MerR	38	CP065320.1_1497	274	8.7e-14	1	38	3	41	0.973684210526
GyrI-like	155	CP065320.1_1497	274	4.6e-12	62	155	183	272	0.6
HTH_3	55	CP065320.1_1500	358	1.8e-15	3	55	9	61	0.945454545455
Sigma70_r2	71	CP065320.1_1507	176	2.7e-16	2	69	20	85	0.943661971831
Sigma70_r4_2	54	CP065320.1_1507	176	2.6e-14	4	51	115	162	0.87037037037
TPR_1	34	CP065320.1_1510	127	3.7e-05	2	29	45	72	0.794117647059
HTH_11	55	CP065320.1_1514	658	1.3e-14	1	54	7	64	0.963636363636
Mga	87	CP065320.1_1514	658	1e-13	21	86	108	177	0.747126436782
MerR	38	CP065320.1_1518	270	6e-13	1	38	3	41	0.973684210526
PTS_EIIC	324	CP065320.1_1521	350	7.1e-06	3	324	13	273	0.990740740741
SBP_bac_5	377	CP065320.1_1525	541	4e-67	1	372	73	458	0.984084880637
PTS_EIIC	324	CP065320.1_1528	419	1.3e-28	2	322	34	334	0.987654320988
HTH_11	55	CP065320.1_1530	637	8.4e-14	3	54	5	55	0.927272727273
Mga	87	CP065320.1_1530	637	5e-10	15	84	82	153	0.793103448276
AAA	132	CP065320.1_1536	325	9.5e-05	3	52	46	100	0.371212121212
CBS	57	CP065320.1_1540	216	1.7e-11	5	48	7	49	0.754385964912
CBS	57	CP065320.1_1540	216	6e-15	1	56	77	132	0.964912280702
ACT	67	CP065320.1_1540	216	5.2e-08	5	65	146	203	0.89552238806
SIS	131	CP065320.1_1552	606	2.8e-25	2	128	287	412	0.961832061069
SIS	131	CP065320.1_1552	606	5.8e-24	2	127	458	584	0.954198473282
HisKA	64	CP065320.1_1558	332	2.3e-06	6	63	124	175	0.890625
HATPase_c	111	CP065320.1_1558	332	2.1e-19	1	105	220	326	0.936936936937
Response_reg	112	CP065320.1_1559	221	1e-26	1	111	4	112	0.982142857143
