LacI	46	CP065318.1_100	340	1.7e-15	2	45	4	49	0.934782608696
Trans_reg_C	77	CP065318.1_1005	227	9.5e-28	1	77	149	222	0.987012987013
HTH_1	60	CP065318.1_1021	291	1.3e-16	4	59	7	62	0.916666666667
Rrf2	83	CP065318.1_1036	151	4.9e-21	1	83	1	81	0.987951807229
DUF24	91	CP065318.1_1045	151	2.6e-24	1	89	18	105	0.967032967033
DUF24	91	CP065318.1_1047	104	4.9e-32	1	88	14	102	0.956043956044
LytTR	98	CP065318.1_105	244	2.1e-27	2	97	145	241	0.969387755102
HTH_5	47	CP065318.1_1069	106	2.5e-13	1	46	28	73	0.957446808511
LacI	46	CP065318.1_1071	315	6.3e-24	1	46	4	49	0.978260869565
HTH_5	47	CP065318.1_1101	111	4.1e-10	1	46	20	67	0.957446808511
GerE	57	CP065318.1_111	218	2.6e-23	2	57	154	209	0.964912280702
HTH_3	55	CP065318.1_1110	75	3.8e-19	1	53	4	56	0.945454545455
HTH_3	55	CP065318.1_1111	96	4.3e-17	3	49	37	83	0.836363636364
HTH_5	47	CP065318.1_1113	117	1e-15	1	45	44	89	0.936170212766
HTH_5	47	CP065318.1_1116	104	3.7e-17	2	46	16	60	0.936170212766
HTH_3	55	CP065318.1_112	297	7.6e-11	4	55	9	59	0.927272727273
HTH_3	55	CP065318.1_1137	212	1.7e-16	2	55	8	61	0.963636363636
MerR	38	CP065318.1_1141	235	5.7e-15	1	38	3	39	0.973684210526
Trans_reg_C	77	CP065318.1_1147	227	9.4e-22	4	77	149	221	0.948051948052
LacI	46	CP065318.1_1159	331	8.4e-19	1	44	4	49	0.934782608696
MarR	59	CP065318.1_1163	157	4.1e-05	11	48	11	48	0.627118644068
MarR	59	CP065318.1_1177	151	4.7e-17	3	58	30	85	0.932203389831
HTH_AraC	42	CP065318.1_1184	326	1.7e-08	1	34	171	204	0.785714285714
HTH_AraC	42	CP065318.1_1184	326	1.4e-12	7	42	226	262	0.833333333333
GntR	64	CP065318.1_1213	244	1.6e-16	2	64	6	67	0.96875
