Arg_repressor	70	CP065314.1_101	238	7.1e-05	40	67	93	119	0.385714285714
HTH_3	55	CP065314.1_1023	105	6.6e-09	1	55	10	64	0.981818181818
HTH_DeoR	57	CP065314.1_1029	206	5.1e-05	28	50	33	55	0.385964912281
HTH_DeoR	57	CP065314.1_1060	113	4.4e-06	17	51	60	94	0.59649122807
HTH_3	55	CP065314.1_1061	270	5.7e-14	1	55	11	66	0.981818181818
HTH_3	55	CP065314.1_1064	109	2.7e-10	4	55	13	64	0.927272727273
Trans_reg_C	77	CP065314.1_108	404	6.1e-06	7	68	35	98	0.792207792208
HTH_1	60	CP065314.1_1094	298	7.4e-21	4	60	6	62	0.933333333333
HTH_AraC	42	CP065314.1_1122	500	1.2e-09	1	42	404	446	0.97619047619
HTH_AraC	42	CP065314.1_1122	500	1.8e-07	2	40	458	494	0.904761904762
GntR	64	CP065314.1_1125	242	1.2e-22	1	64	7	70	0.984375
HTH_1	60	CP065314.1_1150	303	2.6e-19	1	59	3	61	0.966666666667
LacI	46	CP065314.1_1167	347	3.9e-15	1	45	3	48	0.95652173913
LacI	46	CP065314.1_1182	335	2e-18	1	46	5	51	0.978260869565
Trans_reg_C	77	CP065314.1_1192	237	1e-26	1	77	158	234	0.987012987013
HTH_AraC	42	CP065314.1_1197	268	5.1e-05	6	33	172	199	0.642857142857
HTH_AraC	42	CP065314.1_1197	268	8.7e-10	6	42	221	258	0.857142857143
HTH_AraC	42	CP065314.1_1200	290	4.7e-08	3	41	193	231	0.904761904762
HTH_AraC	42	CP065314.1_1200	290	5.2e-11	1	42	243	282	0.97619047619
GntR	64	CP065314.1_1211	237	7.2e-24	6	64	19	77	0.90625
GerE	57	CP065314.1_1212	519	6.7e-07	6	35	3	32	0.508771929825
Fe_dep_repress	60	CP065314.1_130	599	8e-05	2	31	61	92	0.483333333333
Trans_reg_C	77	CP065314.1_1309	235	7.7e-26	2	77	150	223	0.974025974026
HTH_AraC	42	CP065314.1_131	546	1.2e-11	1	42	451	493	0.97619047619
HTH_AraC	42	CP065314.1_131	546	8.9e-08	14	41	514	542	0.642857142857
HTH_3	55	CP065314.1_1342	121	6.7e-08	8	55	27	74	0.854545454545
MarR	59	CP065314.1_1348	209	1.7e-06	22	51	44	73	0.491525423729
HTH_3	55	CP065314.1_1385	103	5.8e-14	2	55	8	61	0.963636363636
TrmB	68	CP065314.1_1413	70	3.1e-06	23	62	6	49	0.573529411765
HTH_3	55	CP065314.1_1421	72	2.6e-12	11	55	15	59	0.8
HTH_3	55	CP065314.1_1422	203	2.7e-10	3	55	7	59	0.945454545455
HTH_3	55	CP065314.1_1422	203	1.3e-10	1	55	72	126	0.981818181818
Trp_repressor	88	CP065314.1_1430	107	3.8e-33	2	87	9	93	0.965909090909
HTH_AraC	42	CP065314.1_1449	529	8.6e-09	3	42	436	475	0.928571428571
HTH_AraC	42	CP065314.1_1449	529	1.4e-08	2	42	487	525	0.952380952381
HTH_6	77	CP065314.1_1465	290	1.6e-16	3	71	4	72	0.883116883117
MarR	59	CP065314.1_1469	139	2.4e-09	9	59	27	77	0.847457627119
Trans_reg_C	77	CP065314.1_1483	405	3.8e-06	7	69	40	104	0.805194805195
LytTR	98	CP065314.1_149	243	1.6e-12	3	95	140	228	0.938775510204
HTH_3	55	CP065314.1_1506	360	1.5e-13	1	54	9	62	0.963636363636
HTH_3	55	CP065314.1_1512	88	1.4e-08	3	55	20	77	0.945454545455
HTH_3	55	CP065314.1_1513	110	5.4e-09	1	54	9	62	0.963636363636
HTH_AraC	42	CP065314.1_1525	266	2.3e-10	1	42	167	208	0.97619047619
HTH_AraC	42	CP065314.1_1525	266	8.7e-10	7	38	222	254	0.738095238095
MerR	38	CP065314.1_1526	278	9.5e-14	1	38	10	47	0.973684210526
HTH_AraC	42	CP065314.1_1528	260	1.1e-12	1	42	165	206	0.97619047619
HTH_AraC	42	CP065314.1_1528	260	2.6e-08	8	42	221	256	0.809523809524
