Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
CP065316.1_1004	-	CE8(28-304)	CE8_e86	CE8	N	3
CP065316.1_1005	3.2.1.55|3.2.1.37|-	GH43_10(40-312)+CBM91(346-541)	GH43_e0+CBM91_e10	GH43_10	N	3
CP065316.1_1007	-	PL10_1(61-325)	PL10_e6	PL10	Y(1-21)	3
CP065316.1_101	3.2.1.-	GH163(195-448)	GH163_e7	GH163	Y(1-22)	3
CP065316.1_1028	-	GH31(204-636)	GH31_e8	GH31	N	3
CP065316.1_1040	3.2.1.52|3.2.1.-|-	GH20(147-491)	GH20_e12+CBM32_e198	GH20	N	3
CP065316.1_1061	-	GT2(6-161)	GT2	GT2	N	3
CP065316.1_1083	2.4.1.1	GT35(124-643)	GT35_e7	GT35	N	3
CP065316.1_1084	-	GT3(13-346)	GT3_e2	GT3	N	3
CP065316.1_1106	3.2.1.111|3.2.1.51	GH29(46-372)	GH29_e30	GH29	N	3
CP065316.1_1107	-	GT5(5-234)	GT5_e28	GT5	N	3
CP065316.1_1127	-	GT51(64-245)	GT51_e160	GT51	N	3
CP065316.1_1134	3.2.1.63|3.2.1.51	GH95(34-828)	GH95_e0	GH95	Y(1-29)	3
CP065316.1_1135	-	GH89(60-700)	GH89_e5	GH89	N	3
CP065316.1_1158	3.2.1.37	GH2(73-506)	GH2_e42	GH2	Y(1-26)	3
CP065316.1_1174	-	GH33(307-644)	GH33_e4	GH33	Y(1-19)	3
CP065316.1_1177	2.4.1.25	CBM20(2-79)+CBM20(131-219)+GH77(245-885)	CBM20_e2+CBM20_e2+GH77_e22	CBM20+GH77	N	3
CP065316.1_1178	-	GH20(110-390)	GH20_e44	GH20	Y(1-20)	3
CP065316.1_1181	-	GH133(287-637)	GH133_e1	GH133	N	3
CP065316.1_1182	-	GT4(238-383)	GT4_e602	GT4	N	3
CP065316.1_1183	-	GH57(6-327)	GH57_e10	GH57	N	3
CP065316.1_1207	-	GH23(123-259)	GH23_e330+CBM50_e954	CBM50+GH23	Y(1-20)	3
CP065316.1_1264	-	GH31(205-650)	GH31_e65	GH31	Y(1-26)	3
CP065316.1_1268	-	GH43_24(54-342)+GH16_3(385-635)	GH43_e236+GH16_e36	GH16_3+GH43_24	Y(1-25)	3
CP065316.1_1341	3.2.1.-	GH3(105-327)	GH3_e57	GH3	Y(1-37)	3
CP065316.1_1358	3.2.1.22	GH36(27-714)	GH36_e24	GH36	Y(1-19)	3
CP065316.1_1375	3.2.1.21	GH3(108-336)	GH3_e208	GH3	N	3
CP065316.1_1427	-	CE20(115-380)	CE20_e34	CE20	Y(1-32)	3
CP065316.1_1436	3.2.1.37|3.2.1.55|3.2.1.21	GH3(212-431)	GH3_e88	GH3	Y(1-26)	3
CP065316.1_1448	-	CE12(17-263)+CE8(1182-1489)	CE12_e67+CE8_e65	CE12+CE8	Y(1-30)	3
CP065316.1_1511	3.2.1.20	GH13_38(32-397)	GH13_e113	GH13_38	N	3
CP065316.1_1520	3.2.1.-	GH16_3(33-261)	GH16_e321	GH16_3	Y(1-19)	3
CP065316.1_1545	3.2.1.-|3.2.1.63	GH95(344-1130)	GH95_e1	GH95	Y(1-24)	3
CP065316.1_1574	-	GH85(117-433)	GH85_e9	GH85	Y(1-24)	3
CP065316.1_1659	3.2.1.-	GH92(226-748)	GH92_e30	GH92	Y(1-33)	3
CP065316.1_1660	-	GH2(238-984)	GH2_e5	GH2	Y(1-27)	3
CP065316.1_1661	-	GH43_2(92-353)+GH2(429-948)	GH2_e119	GH2	N	3
CP065316.1_1665	-	GT2(200-345)	GT2	GT2	N	3
CP065316.1_1689	-	GH25(54-224)	GH25_e62	GH25	N	3
CP065316.1_1705	3.2.1.55|3.2.1.8|-	GH43_12(58-354)+CBM91(387-563)	GH43_e124+CBM91_e1	GH43_12	Y(1-24)	3
CP065316.1_1706	3.2.1.37|3.2.1.55|3.2.1.21|3.2.1.6|3.2.1.73	GH3(59-304)	GH3_e0	GH3	Y(1-24)	3
CP065316.1_1707	-	CE8(754-1019)	CE8_e65	CE8	Y(1-25)	3
CP065316.1_1708	4.2.2.2	PL1_2(70-260)	PL1_e60	PL1_2	N	3
CP065316.1_1709	4.2.2.2	PL1_2(77-264)	PL1_e60	PL1_2	Y(1-17)	3
CP065316.1_1727	-	GH2(51-905)	GH2_e30	GH2	Y(1-23)	3
CP065316.1_1728	3.2.1.67	GH28(76-260)	GH28_e64	GH28	N	3
CP065316.1_1729	3.2.1.67	GH28(12-220)	GH28_e64	GH28	N	3
CP065316.1_1752	2.4.1.161	GH31(226-666)	GH31_e76	GH31	Y(1-24)	3
CP065316.1_1766	3.1.1.72|3.2.1.8	CE1(35-271)	CE1_e24	N	Y(1-21)	2
CP065316.1_1820	3.2.1.-|3.2.1.113|3.2.1.114|3.2.1.24	GH92(244-749)	GH92_e0	GH92	Y(1-24)	3
CP065316.1_1826	-	GT30(47-207)	GT30_e38	GT30	N	3
CP065316.1_1845	-	GH109(59-462)	GH109_e5	GH109	Y(1-22)	3
CP065316.1_1859	-	CE4(34-146)	CE4_e140	CE4	N	3
CP065316.1_1902	-	GH13(330-653)	CBM48_e31+GH13_e156	CBM48+GH13	Y(1-27)	3
CP065316.1_1912	-	GT4(190-333)	GT4_e3070	GT4	N	3
CP065316.1_1916	-	GT9(79-330)	GT9_e65	GT9	N	3
CP065316.1_1919	3.2.1.20	GH97(21-660)	GH97_e10	GH97	N	3
CP065316.1_1920	-	GH13(66-361)	GH13_e194	GH13	Y(1-34)	3
CP065316.1_1937	-	GT4(235-368)	GT4_e1632	GT4	N	3
CP065316.1_1963	-	GT2(8-176)	GT2	GT2	N	3
CP065316.1_1969	-	GT2(7-137)	GT2	GT2	N	3
CP065316.1_1970	-	GT2(7-118)	GT2	GT2	N	3
CP065316.1_1971	-	GT2(18-194)	GT2	GT2	N	3
CP065316.1_1972	-	GT8(3-252)	GT8_e243	GT8	N	3
CP065316.1_1973	-	GT8(6-255)	GT8_e167	GT8	N	3
CP065316.1_1974	3.2.1.55|-	GH43_2(251-533)	CBM6_e103+GH43_e327+CBM6_e103+CBM6_e103	CBM6+GH43_2	N	3
CP065316.1_1987	-	GT4(181-329)	GT4_e1166	GT4	N	3
CP065316.1_2058	-	GT4(202-346)	GT4_e2089	GT4	N	3
CP065316.1_2106	-	GT28(192-349)	GT28_e43	GT28	N	3
CP065316.1_2121	-	GT4(194-338)	GT4_e689	GT4	N	3
CP065316.1_2146	3.2.1.23	GH2(20-614)	GH2_e137	GH2	Y(1-24)	3
CP065316.1_2163	-	GH16_3(36-262)	GH16_e155	GH16_3	N	3
CP065316.1_2231	-	GH171(53-398)	GH171_e3	GH171	Y(1-32)	3
CP065316.1_2234	N	CE3(12-210)	N	N	Y(1-21)	1
CP065316.1_2235	-	CE20(302-583)	CE20_e16	CE20	Y(1-23)	3
CP065316.1_2256	-	GT19(4-357)	GT19_e2	GT19	N	3
CP065316.1_2285	-	GH33(39-358)	GH33_e33	GH33	N	3
CP065316.1_2289	-	GH33(167-536)	GH33_e14	GH33	Y(1-23)	3
CP065316.1_2293	-	GT83(13-524)	GT83_e8	N	N	2
CP065316.1_2318	-	GH43_28(51-310)+CBM32(352-468)	GH43_e85+CBM32_e190	GH43_28	Y(1-30)	3
CP065316.1_235	-	GT2(10-134)	GT2	GT2	N	3
CP065316.1_2400	3.2.1.53|3.2.1.-	GH123(11-525)	GH123_e16	GH123	N	3
CP065316.1_2441	N	CE1(446-687)	N	N	Y(1-23)	1
