HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT51.hmm	177	CP065311.1_1024	799	8.1e-61	3	176	98	270	0.977401129944
GH2.hmm	752	CP065311.1_1076	1153	1.4e-206	20	750	35	1024	0.970744680851
GH32.hmm	293	CP065311.1_1126	533	2.1e-90	1	292	57	367	0.993174061433
GT28.hmm	157	CP065311.1_1169	395	1.3e-45	2	157	206	378	0.987261146497
GT4.hmm	160	CP065311.1_1262	397	3.6e-22	7	154	206	358	0.91875
GH3.hmm	216	CP065311.1_1333	435	1.3e-37	6	216	160	389	0.972222222222
GH13_9.hmm	301	CP065311.1_1363	784	6.6e-155	1	301	332	632	0.996677740864
CBM48.hmm	76	CP065311.1_1381	706	1.5e-19	2	71	3	92	0.907894736842
GH13_11.hmm	351	CP065311.1_1381	706	1.8e-175	1	351	172	525	0.997150997151
GH13_5.hmm	342	CP065311.1_1401	501	1.8e-133	3	342	37	374	0.991228070175
GH13_32.hmm	269	CP065311.1_1421	237	1e-69	1	199	16	236	0.736059479554
CBM25.hmm	78	CP065311.1_1422	548	7.7e-21	2	77	210	283	0.961538461538
GT5.hmm	472	CP065311.1_1456	415	2e-34	126	471	89	403	0.73093220339
GT4.hmm	160	CP065311.1_1516	331	3.9e-31	6	157	145	300	0.94375
GH43_10.hmm	271	CP065311.1_174	520	3.4e-90	1	271	5	273	0.9963099631
CBM91.hmm	200	CP065311.1_174	520	2.8e-25	12	198	317	513	0.93
CE20.hmm	249	CP065311.1_176	677	2.9e-34	3	117	116	234	0.457831325301
CE20.hmm	249	CP065311.1_176	677	2.3e-36	122	246	412	535	0.497991967871
GH43_11.hmm	292	CP065311.1_177	542	5.1e-136	1	292	3	304	0.996575342466
CBM91.hmm	200	CP065311.1_177	542	1.5e-45	3	199	332	539	0.98
GH43_12.hmm	281	CP065311.1_183	559	5.9e-95	1	278	11	366	0.985765124555
GT2.hmm	230	CP065311.1_201	429	4.5e-24	3	228	45	271	0.978260869565
GT2.hmm	170	CP065311.1_203	342	4.7e-29	1	117	5	123	0.682352941176
GH42.hmm	371	CP065311.1_207	696	3.9e-153	1	370	28	400	0.99460916442
GH2.hmm	752	CP065311.1_214	1068	6.1e-204	23	749	61	950	0.965425531915
CE5.hmm	189	CP065311.1_224	320	1.8e-41	3	188	117	313	0.978835978836
GH13_11.hmm	351	CP065311.1_320	899	4.6e-142	1	351	231	597	0.997150997151
GH77.hmm	494	CP065311.1_324	723	6.6e-133	2	471	190	697	0.949392712551
GH5_2.hmm	237	CP065311.1_430	375	1.3e-94	2	236	87	327	0.987341772152
GT51.hmm	177	CP065311.1_483	741	5.1e-63	3	176	77	267	0.977401129944
GT111.hmm	217	CP065311.1_501	274	1.9e-83	1	216	15	234	0.990783410138
GH42.hmm	371	CP065311.1_511	697	1.7e-141	1	370	23	394	0.99460916442
GT4.hmm	160	CP065311.1_519	369	3.8e-33	8	157	191	338	0.93125
GT2.hmm	170	CP065311.1_521	344	1.6e-18	1	121	7	127	0.705882352941
GT32.hmm	90	CP065311.1_522	327	2e-16	7	85	105	179	0.866666666667
GT2.hmm	170	CP065311.1_523	333	1.4e-29	1	163	8	193	0.952941176471
GT32.hmm	90	CP065311.1_524	314	1.3e-16	2	85	97	172	0.922222222222
GT4.hmm	160	CP065311.1_535	375	2e-27	8	151	194	334	0.89375
GT2.hmm	170	CP065311.1_540	302	8.3e-25	1	95	12	105	0.552941176471
GT2.hmm	170	CP065311.1_548	341	5.1e-23	2	125	9	132	0.723529411765
GT2.hmm	170	CP065311.1_550	304	1.8e-22	2	94	13	106	0.541176470588
GH30_3.hmm	417	CP065311.1_581	477	6.4e-124	3	415	41	473	0.988009592326
GH13_3.hmm	210	CP065311.1_609	759	6.5e-84	4	208	322	539	0.971428571429
GH23.hmm	135	CP065311.1_656	571	2e-27	14	123	288	413	0.807407407407
GT2.hmm	170	CP065311.1_697	340	1.7e-23	2	113	20	138	0.652941176471
GT2.hmm	230	CP065311.1_700	696	1.6e-49	1	230	228	486	0.995652173913
GH25.hmm	177	CP065311.1_701	279	1.9e-40	1	177	75	260	0.994350282486
GH36.hmm	688	CP065311.1_714	794	4.2e-77	106	604	113	645	0.723837209302
GT39.hmm	223	CP065311.1_725	538	6.1e-68	2	223	45	320	0.991031390135
