HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
AA7.hmm	458	CP065313.1_145	468	7.8e-21	11	207	38	245	0.427947598253
CE11.hmm	271	CP065313.1_1540	306	6.1e-114	1	270	4	275	0.992619926199
GT28.hmm	157	CP065313.1_1546	359	1.3e-47	2	157	187	345	0.987261146497
GH8.hmm	320	CP065313.1_1671	367	2.8e-69	1	319	22	335	0.99375
GT2.hmm	170	CP065313.1_1673	887	7.5e-37	1	170	289	460	0.994117647059
GT51.hmm	177	CP065313.1_1737	807	7.2e-67	1	176	86	261	0.988700564972
GH24.hmm	137	CP065313.1_1858	172	1.3e-39	7	137	24	167	0.948905109489
GH23.hmm	135	CP065313.1_2019	570	5.4e-25	3	129	73	216	0.933333333333
GT9.hmm	225	CP065313.1_2030	315	1.4e-28	17	201	79	288	0.817777777778
GT2.hmm	170	CP065313.1_2040	790	1.1e-22	1	130	4	132	0.758823529412
GT4.hmm	160	CP065313.1_2040	790	7e-26	5	156	513	665	0.94375
GH23.hmm	135	CP065313.1_2142	162	6.1e-20	15	127	38	151	0.82962962963
GT2.hmm	170	CP065313.1_2152	368	8e-17	2	160	40	206	0.929411764706
GT2.hmm	170	CP065313.1_2157	349	1.1e-22	1	117	13	127	0.682352941176
GT2.hmm	170	CP065313.1_2160	760	7.7e-27	1	169	457	630	0.988235294118
GH3.hmm	216	CP065313.1_2357	357	9.1e-51	10	215	63	285	0.949074074074
GT104.hmm	379	CP065313.1_2411	370	1.5e-106	6	377	7	368	0.97889182058
GH103.hmm	295	CP065313.1_2476	393	2.2e-87	8	294	47	348	0.969491525424
GT2.hmm	170	CP065313.1_2511	271	2.4e-25	1	108	4	111	0.629411764706
GT2.hmm	170	CP065313.1_2512	260	6.9e-19	1	145	12	146	0.847058823529
GT73.hmm	245	CP065313.1_2513	328	1.8e-43	4	243	82	320	0.975510204082
GT4.hmm	160	CP065313.1_2514	369	8.3e-21	3	152	185	317	0.93125
GT111.hmm	217	CP065313.1_307	259	1.3e-85	1	217	5	222	0.995391705069
GT19.hmm	354	CP065313.1_374	385	3.3e-116	1	352	9	365	0.991525423729
GT51.hmm	177	CP065313.1_424	241	4.3e-59	9	176	64	231	0.943502824859
GH23.hmm	135	CP065313.1_465	218	5.7e-17	4	125	36	182	0.896296296296
GH102.hmm	157	CP065313.1_863	401	4.9e-53	2	157	139	293	0.987261146497
GT30.hmm	177	CP065313.1_917	440	3.3e-63	1	176	35	217	0.988700564972
GT9.hmm	225	CP065313.1_918	306	3.1e-36	3	187	67	269	0.817777777778
