Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
CP065322.1_17	ANU60164.1|GH95	100.0	796	0	0	1	796	1	796	0.0e+00	1650.2
CP065322.1_36	QQR33276.1|GT0	100.0	347	0	0	1	347	1	347	1.8e-210	735.3
CP065322.1_37	ANU60182.1|GT11	100.0	261	0	0	1	261	1	261	1.1e-156	556.2
CP065322.1_38	ASB35825.1|GT32	100.0	562	0	0	1	562	1	562	0.0e+00	1220.3
CP065322.1_97	CCO12112.2|GH13_31	64.5	423	144	3	8	426	4	424	2.7e-152	542.3
CP065322.1_100	QQR33337.1|GH27	100.0	533	0	0	1	533	1	533	2.3e-310	1067.8
CP065322.1_129	ANU60265.1|GH0	100.0	401	0	0	1	401	25	425	1.7e-241	838.6
CP065322.1_133	QQR33369.1|GH89	100.0	852	0	0	1	852	1	852	0.0e+00	1744.2
CP065322.1_154	ANU60288.1|GT51	100.0	597	0	0	1	597	1	597	0.0e+00	1187.6
CP065322.1_174	ASB35952.1|GH63	100.0	507	0	0	1	507	1	507	0.0e+00	1076.6
CP065322.1_202	UCB39561.1|CBM51	41.2	984	530	16	222	1181	372	1330	4.3e-216	755.7
CP065322.1_258	ALR08738.2|GT83	46.5	596	303	7	5	594	2	587	7.4e-148	528.1
CP065322.1_266	QQR33496.1|GT4	100.0	655	0	0	1	655	1	655	0.0e+00	1344.3
CP065322.1_269	QYO62262.1|GH13	67.4	365	110	3	1	365	1	356	7.5e-131	471.5
CP065322.1_281	QHV53776.1|GH97	100.0	716	0	0	1	716	1	716	0.0e+00	1501.5
CP065322.1_299	QMU30083.1|CBM35	34.5	685	433	8	45	716	209	890	1.2e-117	427.9
CP065322.1_300	QAT91941.1|CBM51	100.0	639	0	0	1	639	1	639	0.0e+00	1312.0
CP065322.1_327	ANU60454.1|GH110	100.0	596	0	0	1	596	28	623	0.0e+00	1248.8
CP065322.1_364	QQR33587.1|CE4	100.0	320	0	0	1	320	1	320	6.7e-180	633.6
CP065322.1_391	ARA85284.1|CE12	58.0	326	135	2	1	324	43	368	2.0e-107	392.9
CP065322.1_411	ANU60534.1|GH0	100.0	595	0	0	1	595	1	595	0.0e+00	1250.7
CP065322.1_445	QWO83069.1|GT2	100.0	273	0	0	1	273	1	273	1.7e-163	578.9
