HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CE8.hmm	288	CP065316.1_1004	321	7.4e-94	2	282	28	304	0.972222222222
GH43_10.hmm	271	CP065316.1_1005	545	1.7e-108	1	271	40	312	0.9963099631
CBM91.hmm	200	CP065316.1_1005	545	1.4e-21	4	195	346	541	0.955
PL10_1.hmm	288	CP065316.1_1007	455	2.3e-85	1	251	61	325	0.868055555556
GH163.hmm	251	CP065316.1_101	733	2.9e-106	1	250	195	448	0.99203187251
GH31.hmm	427	CP065316.1_1028	771	5.7e-95	1	426	204	636	0.995316159251
GH20.hmm	337	CP065316.1_1040	685	4.6e-117	9	337	147	491	0.973293768546
GT2.hmm	170	CP065316.1_1061	256	8.6e-23	1	164	6	161	0.958823529412
GT35.hmm	674	CP065316.1_1083	854	1e-127	20	564	124	643	0.807121661721
GT3.hmm	637	CP065316.1_1084	552	8.7e-113	1	346	13	346	0.541601255887
GH29.hmm	346	CP065316.1_1106	601	2.3e-79	33	340	46	372	0.887283236994
GT5.hmm	472	CP065316.1_1107	273	1.5e-35	1	217	5	234	0.457627118644
GT51.hmm	177	CP065316.1_1127	788	4.3e-60	3	177	64	245	0.983050847458
GH95.hmm	722	CP065316.1_1134	863	6.2e-249	4	715	34	828	0.984764542936
GH89.hmm	663	CP065316.1_1135	745	1.6e-217	2	642	60	700	0.965309200603
GH2.hmm	752	CP065316.1_1158	1136	9e-74	34	406	73	506	0.494680851064
GH33.hmm	342	CP065316.1_1174	664	7.3e-22	22	323	307	644	0.880116959064
CBM20.hmm	90	CP065316.1_1177	893	9.2e-16	2	79	2	79	0.855555555556
CBM20.hmm	90	CP065316.1_1177	893	7.5e-16	3	87	131	219	0.933333333333
GH77.hmm	494	CP065316.1_1177	893	2.9e-147	2	487	245	885	0.981781376518
GH20.hmm	337	CP065316.1_1178	611	1.7e-49	8	335	110	390	0.970326409496
GH133.hmm	372	CP065316.1_1181	648	1.8e-87	8	372	287	637	0.978494623656
